ï..station_id	stationname	date	daytype	rides	lat	long
40830	18th	12/30/2017	A	790	41.857908	-87.669147
40830	18th	12/20/2017	W	1613	41.857908	-87.669147
40830	18th	12/3/2017	U	1006	41.857908	-87.669147
40830	18th	12/2/2017	A	1450	41.857908	-87.669147
40830	18th	12/31/2017	U	659	41.857908	-87.669147
40830	18th	12/6/2017	W	1802	41.857908	-87.669147
40830	18th	12/22/2017	W	1465	41.857908	-87.669147
40830	18th	12/18/2017	W	1654	41.857908	-87.669147
40830	18th	12/27/2017	W	1020	41.857908	-87.669147
40830	18th	12/10/2017	U	788	41.857908	-87.669147
40830	18th	12/9/2017	A	1150	41.857908	-87.669147
40830	18th	12/4/2017	W	1768	41.857908	-87.669147
40830	18th	12/25/2017	U	320	41.857908	-87.669147
40830	18th	12/12/2017	W	1683	41.857908	-87.669147
40830	18th	12/5/2017	W	1829	41.857908	-87.669147
40830	18th	12/21/2017	W	1625	41.857908	-87.669147
40830	18th	12/16/2017	A	1194	41.857908	-87.669147
40830	18th	12/17/2017	U	789	41.857908	-87.669147
40830	18th	12/8/2017	W	1869	41.857908	-87.669147
40830	18th	12/7/2017	W	1791	41.857908	-87.669147
40830	18th	12/15/2017	W	1753	41.857908	-87.669147
40830	18th	12/23/2017	A	901	41.857908	-87.669147
40830	18th	12/29/2017	W	1196	41.857908	-87.669147
40830	18th	12/28/2017	W	1145	41.857908	-87.669147
40830	18th	12/13/2017	W	1729	41.857908	-87.669147
40830	18th	12/1/2017	W	2019	41.857908	-87.669147
40830	18th	12/24/2017	U	538	41.857908	-87.669147
40830	18th	12/14/2017	W	1746	41.857908	-87.669147
40830	18th	12/11/2017	W	1693	41.857908	-87.669147
40830	18th	12/19/2017	W	1647	41.857908	-87.669147
40830	18th	12/26/2017	W	859	41.857908	-87.669147
40830	18th	3/30/2018	W	1703	41.857908	-87.669147
40830	18th	2/9/2018	W	1356	41.857908	-87.669147
40830	18th	2/4/2018	U	604	41.857908	-87.669147
40830	18th	2/14/2018	W	1794	41.857908	-87.669147
40830	18th	3/22/2018	W	1736	41.857908	-87.669147
40830	18th	2/13/2018	W	1763	41.857908	-87.669147
40830	18th	3/9/2018	W	1749	41.857908	-87.669147
40830	18th	2/20/2018	W	1684	41.857908	-87.669147
40830	18th	1/29/2018	W	1532	41.857908	-87.669147
40830	18th	1/22/2018	W	1650	41.857908	-87.669147
40830	18th	1/23/2018	W	1697	41.857908	-87.669147
40830	18th	3/12/2018	W	1564	41.857908	-87.669147
40830	18th	1/8/2018	W	1472	41.857908	-87.669147
40830	18th	1/25/2018	W	1771	41.857908	-87.669147
40830	18th	2/8/2018	W	1654	41.857908	-87.669147
40830	18th	2/15/2018	W	1806	41.857908	-87.669147
40830	18th	2/25/2018	U	868	41.857908	-87.669147
40830	18th	1/2/2018	W	1160	41.857908	-87.669147
40830	18th	2/24/2018	A	1090	41.857908	-87.669147
40830	18th	2/2/2018	W	1496	41.857908	-87.669147
40830	18th	1/9/2018	W	1566	41.857908	-87.669147
40830	18th	3/4/2018	U	836	41.857908	-87.669147
40830	18th	2/23/2018	W	1737	41.857908	-87.669147
40830	18th	1/1/2018	U	396	41.857908	-87.669147
40830	18th	3/3/2018	A	1262	41.857908	-87.669147
40830	18th	3/5/2018	W	1666	41.857908	-87.669147
40830	18th	1/21/2018	U	801	41.857908	-87.669147
40830	18th	3/26/2018	W	1497	41.857908	-87.669147
40830	18th	3/28/2018	W	1637	41.857908	-87.669147
40830	18th	1/15/2018	W	1022	41.857908	-87.669147
40830	18th	1/24/2018	W	1660	41.857908	-87.669147
40830	18th	3/14/2018	W	1823	41.857908	-87.669147
40830	18th	1/14/2018	U	696	41.857908	-87.669147
40830	18th	1/7/2018	U	628	41.857908	-87.669147
40830	18th	3/20/2018	W	1701	41.857908	-87.669147
40830	18th	1/12/2018	W	1523	41.857908	-87.669147
40830	18th	2/1/2018	W	1744	41.857908	-87.669147
40830	18th	3/21/2018	W	1720	41.857908	-87.669147
40830	18th	2/18/2018	U	860	41.857908	-87.669147
40830	18th	1/20/2018	A	1250	41.857908	-87.669147
40830	18th	3/11/2018	U	762	41.857908	-87.669147
40830	18th	1/18/2018	W	1675	41.857908	-87.669147
40830	18th	2/6/2018	W	1644	41.857908	-87.669147
40830	18th	1/31/2018	W	1690	41.857908	-87.669147
40830	18th	3/15/2018	W	1811	41.857908	-87.669147
40830	18th	3/31/2018	A	975	41.857908	-87.669147
40830	18th	3/6/2018	W	1722	41.857908	-87.669147
40830	18th	3/19/2018	W	1615	41.857908	-87.669147
40830	18th	3/10/2018	A	1059	41.857908	-87.669147
40830	18th	1/13/2018	A	891	41.857908	-87.669147
40830	18th	1/4/2018	W	1297	41.857908	-87.669147
40830	18th	2/10/2018	A	964	41.857908	-87.669147
40830	18th	1/27/2018	A	1136	41.857908	-87.669147
40830	18th	2/27/2018	W	1679	41.857908	-87.669147
40830	18th	1/16/2018	W	1636	41.857908	-87.669147
40830	18th	2/26/2018	W	1649	41.857908	-87.669147
40830	18th	1/28/2018	U	766	41.857908	-87.669147
40830	18th	2/11/2018	U	767	41.857908	-87.669147
40830	18th	2/19/2018	W	1189	41.857908	-87.669147
40830	18th	1/19/2018	W	1679	41.857908	-87.669147
40830	18th	2/5/2018	W	1538	41.857908	-87.669147
40830	18th	3/24/2018	A	1096	41.857908	-87.669147
