ï..station_id	stationname	date	daytype	rides	lat	long
41270	43rd	12/23/2017	A	502	41.816462	-87.619021
41270	43rd	12/24/2017	U	381	41.816462	-87.619021
41270	43rd	12/22/2017	W	906	41.816462	-87.619021
41270	43rd	12/20/2017	W	1045	41.816462	-87.619021
41270	43rd	12/15/2017	W	1009	41.816462	-87.619021
41270	43rd	12/25/2017	U	226	41.816462	-87.619021
41270	43rd	12/28/2017	W	670	41.816462	-87.619021
41270	43rd	12/8/2017	W	1083	41.816462	-87.619021
41270	43rd	12/3/2017	U	469	41.816462	-87.619021
41270	43rd	12/29/2017	W	715	41.816462	-87.619021
41270	43rd	12/19/2017	W	1068	41.816462	-87.619021
41270	43rd	12/31/2017	U	335	41.816462	-87.619021
41270	43rd	12/18/2017	W	1038	41.816462	-87.619021
41270	43rd	12/10/2017	U	374	41.816462	-87.619021
41270	43rd	12/5/2017	W	1109	41.816462	-87.619021
41270	43rd	12/27/2017	W	611	41.816462	-87.619021
41270	43rd	12/6/2017	W	1199	41.816462	-87.619021
41270	43rd	12/2/2017	A	565	41.816462	-87.619021
41270	43rd	12/26/2017	W	527	41.816462	-87.619021
41270	43rd	12/12/2017	W	1073	41.816462	-87.619021
41270	43rd	12/9/2017	A	492	41.816462	-87.619021
41270	43rd	12/14/2017	W	1043	41.816462	-87.619021
41270	43rd	12/13/2017	W	1088	41.816462	-87.619021
41270	43rd	12/4/2017	W	1156	41.816462	-87.619021
41270	43rd	12/30/2017	A	360	41.816462	-87.619021
41270	43rd	12/17/2017	U	390	41.816462	-87.619021
41270	43rd	12/16/2017	A	559	41.816462	-87.619021
41270	43rd	12/21/2017	W	996	41.816462	-87.619021
41270	43rd	12/11/2017	W	1025	41.816462	-87.619021
41270	43rd	12/7/2017	W	1089	41.816462	-87.619021
41270	43rd	12/1/2017	W	1177	41.816462	-87.619021
41270	43rd	1/27/2018	A	465	41.816462	-87.619021
41270	43rd	1/7/2018	U	290	41.816462	-87.619021
41270	43rd	3/1/2018	W	965	41.816462	-87.619021
41270	43rd	3/27/2018	W	896	41.816462	-87.619021
41270	43rd	3/29/2018	W	853	41.816462	-87.619021
41270	43rd	3/26/2018	W	864	41.816462	-87.619021
41270	43rd	2/2/2018	W	906	41.816462	-87.619021
41270	43rd	2/5/2018	W	886	41.816462	-87.619021
41270	43rd	2/27/2018	W	1016	41.816462	-87.619021
41270	43rd	2/26/2018	W	1033	41.816462	-87.619021
41270	43rd	1/9/2018	W	969	41.816462	-87.619021
41270	43rd	3/14/2018	W	1026	41.816462	-87.619021
41270	43rd	3/28/2018	W	892	41.816462	-87.619021
41270	43rd	1/15/2018	W	479	41.816462	-87.619021
41270	43rd	1/1/2018	U	223	41.816462	-87.619021
41270	43rd	1/4/2018	W	836	41.816462	-87.619021
41270	43rd	1/12/2018	W	883	41.816462	-87.619021
41270	43rd	2/7/2018	W	980	41.816462	-87.619021
41270	43rd	2/28/2018	W	1039	41.816462	-87.619021
41270	43rd	3/3/2018	A	510	41.816462	-87.619021
41270	43rd	1/18/2018	W	989	41.816462	-87.619021
41270	43rd	1/30/2018	W	1003	41.816462	-87.619021
41270	43rd	1/28/2018	U	351	41.816462	-87.619021
41270	43rd	3/25/2018	U	345	41.816462	-87.619021
41270	43rd	3/15/2018	W	1061	41.816462	-87.619021
41270	43rd	2/16/2018	W	1011	41.816462	-87.619021
41270	43rd	1/24/2018	W	1025	41.816462	-87.619021
41270	43rd	1/14/2018	U	306	41.816462	-87.619021
41270	43rd	3/10/2018	A	428	41.816462	-87.619021
41270	43rd	2/20/2018	W	1002	41.816462	-87.619021
41270	43rd	3/19/2018	W	943	41.816462	-87.619021
41270	43rd	3/4/2018	U	390	41.816462	-87.619021
41270	43rd	2/11/2018	U	366	41.816462	-87.619021
41270	43rd	3/23/2018	W	851	41.816462	-87.619021
41270	43rd	3/12/2018	W	919	41.816462	-87.619021
41270	43rd	1/11/2018	W	989	41.816462	-87.619021
41270	43rd	3/30/2018	W	842	41.816462	-87.619021
41270	43rd	2/9/2018	W	599	41.816462	-87.619021
41270	43rd	1/21/2018	U	337	41.816462	-87.619021
41270	43rd	3/8/2018	W	966	41.816462	-87.619021
41270	43rd	1/5/2018	W	811	41.816462	-87.619021
41270	43rd	2/17/2018	A	454	41.816462	-87.619021
41270	43rd	2/24/2018	A	472	41.816462	-87.619021
41270	43rd	1/8/2018	W	991	41.816462	-87.619021
41270	43rd	2/3/2018	A	442	41.816462	-87.619021
41270	43rd	2/18/2018	U	354	41.816462	-87.619021
41270	43rd	2/8/2018	W	923	41.816462	-87.619021
41270	43rd	1/3/2018	W	743	41.816462	-87.619021
41270	43rd	3/6/2018	W	1023	41.816462	-87.619021
41270	43rd	1/6/2018	A	376	41.816462	-87.619021
41270	43rd	2/15/2018	W	1017	41.816462	-87.619021
41270	43rd	2/4/2018	U	309	41.816462	-87.619021
41270	43rd	3/24/2018	A	427	41.816462	-87.619021
41270	43rd	1/16/2018	W	973	41.816462	-87.619021
41270	43rd	3/2/2018	W	1007	41.816462	-87.619021
41270	43rd	2/23/2018	W	1038	41.816462	-87.619021
41270	43rd	1/31/2018	W	1098	41.816462	-87.619021
41270	43rd	2/6/2018	W	928	41.816462	-87.619021
41270	43rd	2/21/2018	W	1078	41.816462	-87.619021
41270	43rd	2/19/2018	W	649	41.816462	-87.619021
41270	43rd	1/2/2018	W	653	41.816462	-87.619021
41270	43rd	2/25/2018	U	364	41.816462	-87.619021
41270	43rd	3/18/2018	U	349	41.816462	-87.619021
41270	43rd	1/22/2018	W	950	41.816462	-87.619021
41270	43rd	1/23/2018	W	971	41.816462	-87.619021
41270	43rd	1/10/2018	W	985	41.816462	-87.619021
41270	43rd	2/14/2018	W	1071	41.816462	-87.619021
41270	43rd	1/26/2018	W	1019	41.816462	-87.619021
41270	43rd	3/13/2018	W	968	41.816462	-87.619021
41270	43rd	2/10/2018	A	425	41.816462	-87.619021
41270	43rd	3/16/2018	W	974	41.816462	-87.619021
41270	43rd	2/12/2018	W	900	41.816462	-87.619021
41270	43rd	3/21/2018	W	991	41.816462	-87.619021
41270	43rd	1/17/2018	W	962	41.816462	-87.619021
41270	43rd	1/25/2018	W	1004	41.816462	-87.619021
41270	43rd	2/1/2018	W	1048	41.816462	-87.619021
41270	43rd	1/20/2018	A	504	41.816462	-87.619021
41270	43rd	3/17/2018	A	543	41.816462	-87.619021
41270	43rd	3/7/2018	W	1014	41.816462	-87.619021
41270	43rd	3/11/2018	U	335	41.816462	-87.619021
41270	43rd	1/19/2018	W	1044	41.816462	-87.619021
41270	43rd	2/22/2018	W	1038	41.816462	-87.619021
41270	43rd	3/22/2018	W	982	41.816462	-87.619021
41270	43rd	1/29/2018	W	957	41.816462	-87.619021
41270	43rd	2/13/2018	W	1001	41.816462	-87.619021
41270	43rd	3/31/2018	A	426	41.816462	-87.619021
41270	43rd	3/5/2018	W	913	41.816462	-87.619021
41270	43rd	1/13/2018	A	424	41.816462	-87.619021
41270	43rd	3/9/2018	W	960	41.816462	-87.619021
41270	43rd	3/20/2018	W	995	41.816462	-87.619021
41270	43rd	5/22/2018	W	1068	41.816462	-87.619021
41270	43rd	4/24/2018	W	1029	41.816462	-87.619021
41270	43rd	6/3/2018	U	478	41.816462	-87.619021
41270	43rd	5/15/2018	W	1115	41.816462	-87.619021
41270	43rd	5/13/2018	U	383	41.816462	-87.619021
41270	43rd	5/17/2018	W	1100	41.816462	-87.619021
41270	43rd	5/8/2005	U	270	41.816462	-87.619021
41270	43rd	6/26/2018	W	1117	41.816462	-87.619021
41270	43rd	6/19/2018	W	1089	41.816462	-87.619021
41270	43rd	5/3/2018	W	1036	41.816462	-87.619021
41270	43rd	4/29/2018	U	400	41.816462	-87.619021
41270	43rd	4/6/2018	W	958	41.816462	-87.619021
41270	43rd	5/23/2018	W	1141	41.816462	-87.619021
41270	43rd	5/16/2018	W	1149	41.816462	-87.619021
41270	43rd	6/29/2018	W	1038	41.816462	-87.619021
41270	43rd	5/1/2018	W	1098	41.816462	-87.619021
41270	43rd	6/13/2018	W	1127	41.816462	-87.619021
41270	43rd	5/6/2018	U	420	41.816462	-87.619021
41270	43rd	4/12/2018	W	1058	41.816462	-87.619021
41270	43rd	6/27/2018	W	1082	41.816462	-87.619021
41270	43rd	4/18/2018	W	1003	41.816462	-87.619021
41270	43rd	6/22/2018	W	1033	41.816462	-87.619021
41270	43rd	6/7/2018	W	1081	41.816462	-87.619021
41270	43rd	4/27/2018	W	984	41.816462	-87.619021
41270	43rd	5/26/2018	A	604	41.816462	-87.619021
41270	43rd	4/5/2018	W	1015	41.816462	-87.619021
41270	43rd	4/21/2018	A	461	41.816462	-87.619021
41270	43rd	4/15/2018	U	323	41.816462	-87.619021
41270	43rd	6/9/2018	A	479	41.816462	-87.619021
41270	43rd	6/1/2018	W	1162	41.816462	-87.619021
41270	43rd	4/14/2018	A	456	41.816462	-87.619021
41270	43rd	6/25/2018	W	978	41.816462	-87.619021
41270	43rd	4/7/2018	A	486	41.816462	-87.619021
41270	43rd	5/14/2018	W	910	41.816462	-87.619021
41270	43rd	6/15/2018	W	1076	41.816462	-87.619021
41270	43rd	4/17/2018	W	1055	41.816462	-87.619021
41270	43rd	5/4/2018	W	1040	41.816462	-87.619021
41270	43rd	6/11/2018	W	1042	41.816462	-87.619021
41270	43rd	4/26/2018	W	1040	41.816462	-87.619021
41270	43rd	6/30/2018	A	540	41.816462	-87.619021
41270	43rd	6/10/2018	U	419	41.816462	-87.619021
41270	43rd	6/16/2018	A	548	41.816462	-87.619021
41270	43rd	6/23/2018	A	634	41.816462	-87.619021
41270	43rd	6/12/2018	W	1123	41.816462	-87.619021
41270	43rd	4/11/2018	W	1096	41.816462	-87.619021
41270	43rd	6/8/2018	W	991	41.816462	-87.619021
41270	43rd	6/24/2018	U	600	41.816462	-87.619021
41270	43rd	6/18/2018	W	985	41.816462	-87.619021
41270	43rd	4/1/2018	U	299	41.816462	-87.619021
41270	43rd	4/4/2018	W	1047	41.816462	-87.619021
41270	43rd	4/10/2018	W	1048	41.816462	-87.619021
41270	43rd	4/2/2018	W	950	41.816462	-87.619021
41270	43rd	5/27/2018	U	428	41.816462	-87.619021
41270	43rd	4/22/2018	U	388	41.816462	-87.619021
41270	43rd	5/19/2018	A	539	41.816462	-87.619021
41270	43rd	6/2/2018	A	644	41.816462	-87.619021
41270	43rd	4/30/2018	W	1039	41.816462	-87.619021
41270	43rd	5/9/2018	W	1106	41.816462	-87.619021
41270	43rd	6/5/2018	W	1137	41.816462	-87.619021
41270	43rd	5/25/2018	W	1024	41.816462	-87.619021
41270	43rd	4/9/2018	W	928	41.816462	-87.619021
41270	43rd	4/25/2018	W	1083	41.816462	-87.619021
41270	43rd	4/16/2018	W	954	41.816462	-87.619021
41270	43rd	4/20/2018	W	1011	41.816462	-87.619021
41270	43rd	5/20/2018	U	407	41.816462	-87.619021
41270	43rd	5/21/2018	W	923	41.816462	-87.619021
41270	43rd	5/18/2018	W	1027	41.816462	-87.619021
