ï..station_id	stationname	date	daytype	rides	lat	long
40580	54th/Cermak	12/20/2017	W	2088	41.85177331	-87.75669201
40580	54th/Cermak	12/12/2017	W	2108	41.85177331	-87.75669201
40580	54th/Cermak	12/9/2017	A	1263	41.85177331	-87.75669201
40580	54th/Cermak	12/6/2017	W	2364	41.85177331	-87.75669201
40580	54th/Cermak	12/8/2017	W	2157	41.85177331	-87.75669201
40580	54th/Cermak	12/14/2017	W	2143	41.85177331	-87.75669201
40580	54th/Cermak	12/23/2017	A	1103	41.85177331	-87.75669201
40580	54th/Cermak	12/11/2017	W	2091	41.85177331	-87.75669201
40580	54th/Cermak	12/25/2017	U	345	41.85177331	-87.75669201
40580	54th/Cermak	12/24/2017	U	573	41.85177331	-87.75669201
40580	54th/Cermak	12/18/2017	W	1973	41.85177331	-87.75669201
40580	54th/Cermak	12/10/2017	U	791	41.85177331	-87.75669201
40580	54th/Cermak	12/19/2017	W	2139	41.85177331	-87.75669201
40580	54th/Cermak	12/5/2017	W	2310	41.85177331	-87.75669201
40580	54th/Cermak	12/4/2017	W	2204	41.85177331	-87.75669201
40580	54th/Cermak	12/30/2017	A	850	41.85177331	-87.75669201
40580	54th/Cermak	12/27/2017	W	1484	41.85177331	-87.75669201
40580	54th/Cermak	12/3/2017	U	974	41.85177331	-87.75669201
40580	54th/Cermak	12/26/2017	W	1260	41.85177331	-87.75669201
40580	54th/Cermak	12/1/2017	W	2307	41.85177331	-87.75669201
40580	54th/Cermak	12/22/2017	W	1936	41.85177331	-87.75669201
40580	54th/Cermak	12/16/2017	A	1229	41.85177331	-87.75669201
40580	54th/Cermak	12/29/2017	W	1610	41.85177331	-87.75669201
40580	54th/Cermak	12/21/2017	W	2046	41.85177331	-87.75669201
40580	54th/Cermak	12/28/2017	W	1581	41.85177331	-87.75669201
40580	54th/Cermak	12/13/2017	W	2227	41.85177331	-87.75669201
40580	54th/Cermak	12/15/2017	W	2098	41.85177331	-87.75669201
40580	54th/Cermak	12/17/2017	U	830	41.85177331	-87.75669201
40580	54th/Cermak	12/2/2017	A	1330	41.85177331	-87.75669201
40580	54th/Cermak	12/7/2017	W	2183	41.85177331	-87.75669201
40580	54th/Cermak	12/31/2017	U	632	41.85177331	-87.75669201
40580	54th/Cermak	3/25/2018	U	740	41.85177331	-87.75669201
40580	54th/Cermak	3/28/2018	W	1981	41.85177331	-87.75669201
40580	54th/Cermak	1/20/2018	A	1084	41.85177331	-87.75669201
40580	54th/Cermak	2/20/2018	W	2041	41.85177331	-87.75669201
40580	54th/Cermak	3/27/2018	W	1967	41.85177331	-87.75669201
40580	54th/Cermak	3/30/2018	W	1714	41.85177331	-87.75669201
40580	54th/Cermak	2/23/2018	W	2068	41.85177331	-87.75669201
40580	54th/Cermak	3/24/2018	A	985	41.85177331	-87.75669201
40580	54th/Cermak	3/16/2018	W	2030	41.85177331	-87.75669201
40580	54th/Cermak	1/22/2018	W	1977	41.85177331	-87.75669201
40580	54th/Cermak	2/12/2018	W	1926	41.85177331	-87.75669201
40580	54th/Cermak	3/4/2018	U	737	41.85177331	-87.75669201
40580	54th/Cermak	2/11/2018	U	620	41.85177331	-87.75669201
40580	54th/Cermak	2/4/2018	U	582	41.85177331	-87.75669201
40580	54th/Cermak	3/20/2018	W	1991	41.85177331	-87.75669201
40580	54th/Cermak	1/17/2018	W	2031	41.85177331	-87.75669201
40580	54th/Cermak	2/27/2018	W	2214	41.85177331	-87.75669201
40580	54th/Cermak	1/16/2018	W	1977	41.85177331	-87.75669201
40580	54th/Cermak	3/14/2018	W	2048	41.85177331	-87.75669201
40580	54th/Cermak	3/22/2018	W	2075	41.85177331	-87.75669201
40580	54th/Cermak	1/18/2018	W	2023	41.85177331	-87.75669201
40580	54th/Cermak	1/15/2018	W	1243	41.85177331	-87.75669201
40580	54th/Cermak	3/26/2018	W	1882	41.85177331	-87.75669201
40580	54th/Cermak	1/27/2018	A	1073	41.85177331	-87.75669201
