ï..station_id	stationname	date	daytype	rides	lat	long
40680	Adams/Wabash	12/6/2017	W	7234	41.879507	-87.626037
40680	Adams/Wabash	12/2/2017	A	3393	41.879507	-87.626037
40680	Adams/Wabash	12/3/2017	U	2463	41.879507	-87.626037
40680	Adams/Wabash	12/5/2017	W	7130	41.879507	-87.626037
40680	Adams/Wabash	12/16/2017	A	2907	41.879507	-87.626037
40680	Adams/Wabash	12/28/2017	W	4315	41.879507	-87.626037
40680	Adams/Wabash	12/9/2017	A	2993	41.879507	-87.626037
40680	Adams/Wabash	12/15/2017	W	6481	41.879507	-87.626037
40680	Adams/Wabash	12/17/2017	U	1940	41.879507	-87.626037
40680	Adams/Wabash	12/1/2017	W	7097	41.879507	-87.626037
40680	Adams/Wabash	12/19/2017	W	6473	41.879507	-87.626037
40680	Adams/Wabash	12/26/2017	W	2740	41.879507	-87.626037
40680	Adams/Wabash	12/30/2017	A	1905	41.879507	-87.626037
40680	Adams/Wabash	12/14/2017	W	7016	41.879507	-87.626037
40680	Adams/Wabash	12/24/2017	U	1279	41.879507	-87.626037
40680	Adams/Wabash	12/29/2017	W	4274	41.879507	-87.626037
40680	Adams/Wabash	12/7/2017	W	7745	41.879507	-87.626037
40680	Adams/Wabash	12/25/2017	U	483	41.879507	-87.626037
40680	Adams/Wabash	12/31/2017	U	1419	41.879507	-87.626037
40680	Adams/Wabash	12/8/2017	W	6938	41.879507	-87.626037
40680	Adams/Wabash	12/20/2017	W	6225	41.879507	-87.626037
40680	Adams/Wabash	12/12/2017	W	6798	41.879507	-87.626037
40680	Adams/Wabash	12/22/2017	W	5129	41.879507	-87.626037
40680	Adams/Wabash	12/11/2017	W	6518	41.879507	-87.626037
40680	Adams/Wabash	12/18/2017	W	6141	41.879507	-87.626037
40680	Adams/Wabash	12/4/2017	W	7056	41.879507	-87.626037
40680	Adams/Wabash	12/27/2017	W	3842	41.879507	-87.626037
40680	Adams/Wabash	12/23/2017	A	2410	41.879507	-87.626037
40680	Adams/Wabash	12/10/2017	U	2089	41.879507	-87.626037
40680	Adams/Wabash	12/21/2017	W	6146	41.879507	-87.626037
40680	Adams/Wabash	12/13/2017	W	6806	41.879507	-87.626037
40680	Adams/Wabash	3/14/2018	W	7766	41.879507	-87.626037
40680	Adams/Wabash	3/11/2018	U	1985	41.879507	-87.626037
