ï..station_id	stationname	date	daytype	rides	lat	long
40290	Ashland/63rd	12/6/2017	W	1177	41.77886	-87.663766
40290	Ashland/63rd	12/24/2017	U	509	41.77886	-87.663766
40290	Ashland/63rd	12/9/2017	A	626	41.77886	-87.663766
40290	Ashland/63rd	12/10/2017	U	543	41.77886	-87.663766
40290	Ashland/63rd	12/29/2017	W	860	41.77886	-87.663766
40290	Ashland/63rd	12/27/2017	W	796	41.77886	-87.663766
40290	Ashland/63rd	12/14/2017	W	1153	41.77886	-87.663766
40290	Ashland/63rd	12/2/2017	A	800	41.77886	-87.663766
40290	Ashland/63rd	12/23/2017	A	705	41.77886	-87.663766
40290	Ashland/63rd	12/5/2017	W	1163	41.77886	-87.663766
40290	Ashland/63rd	12/19/2017	W	1208	41.77886	-87.663766
40290	Ashland/63rd	12/11/2017	W	1130	41.77886	-87.663766
40290	Ashland/63rd	12/30/2017	A	561	41.77886	-87.663766
40290	Ashland/63rd	12/17/2017	U	542	41.77886	-87.663766
40290	Ashland/63rd	12/8/2017	W	1198	41.77886	-87.663766
40290	Ashland/63rd	12/15/2017	W	1111	41.77886	-87.663766
40290	Ashland/63rd	12/7/2017	W	1154	41.77886	-87.663766
40290	Ashland/63rd	12/3/2017	U	602	41.77886	-87.663766
40290	Ashland/63rd	12/4/2017	W	1233	41.77886	-87.663766
40290	Ashland/63rd	12/18/2017	W	1041	41.77886	-87.663766
40290	Ashland/63rd	12/28/2017	W	797	41.77886	-87.663766
40290	Ashland/63rd	12/1/2017	W	1238	41.77886	-87.663766
40290	Ashland/63rd	12/26/2017	W	706	41.77886	-87.663766
40290	Ashland/63rd	12/22/2017	W	1086	41.77886	-87.663766
40290	Ashland/63rd	12/12/2017	W	1075	41.77886	-87.663766
40290	Ashland/63rd	12/31/2017	U	453	41.77886	-87.663766
40290	Ashland/63rd	12/13/2017	W	1161	41.77886	-87.663766
40290	Ashland/63rd	12/20/2017	W	1136	41.77886	-87.663766
40290	Ashland/63rd	12/16/2017	A	708	41.77886	-87.663766
40290	Ashland/63rd	12/21/2017	W	1083	41.77886	-87.663766
40290	Ashland/63rd	12/25/2017	U	393	41.77886	-87.663766
40290	Ashland/63rd	3/24/2018	A	554	41.77886	-87.663766
40290	Ashland/63rd	2/20/2018	W	1115	41.77886	-87.663766
40290	Ashland/63rd	3/5/2018	W	1068	41.77886	-87.663766
40290	Ashland/63rd	2/3/2018	A	640	41.77886	-87.663766
40290	Ashland/63rd	1/27/2018	A	684	41.77886	-87.663766
