ï..station_id	stationname	date	daytype	rides	lat	long
41360	California-Lake	12/7/2017	W	991	41.88422	-87.696234
41360	California-Lake	12/16/2017	A	527	41.88422	-87.696234
41360	California-Lake	12/26/2017	W	499	41.88422	-87.696234
41360	California-Lake	12/29/2017	W	737	41.88422	-87.696234
41360	California-Lake	12/8/2017	W	953	41.88422	-87.696234
41360	California-Lake	12/20/2017	W	962	41.88422	-87.696234
41360	California-Lake	12/11/2017	W	1007	41.88422	-87.696234
41360	California-Lake	12/25/2017	U	264	41.88422	-87.696234
41360	California-Lake	12/9/2017	A	478	41.88422	-87.696234
41360	California-Lake	12/4/2017	W	1095	41.88422	-87.696234
41360	California-Lake	12/23/2017	A	468	41.88422	-87.696234
41360	California-Lake	12/10/2017	U	365	41.88422	-87.696234
41360	California-Lake	12/14/2017	W	1006	41.88422	-87.696234
41360	California-Lake	12/3/2017	U	438	41.88422	-87.696234
41360	California-Lake	12/28/2017	W	659	41.88422	-87.696234
41360	California-Lake	12/31/2017	U	311	41.88422	-87.696234
41360	California-Lake	12/22/2017	W	887	41.88422	-87.696234
41360	California-Lake	12/2/2017	A	573	41.88422	-87.696234
41360	California-Lake	12/17/2017	U	372	41.88422	-87.696234
41360	California-Lake	12/18/2017	W	1005	41.88422	-87.696234
41360	California-Lake	12/1/2017	W	1104	41.88422	-87.696234
41360	California-Lake	12/12/2017	W	1006	41.88422	-87.696234
41360	California-Lake	12/13/2017	W	956	41.88422	-87.696234
41360	California-Lake	12/30/2017	A	413	41.88422	-87.696234
41360	California-Lake	12/15/2017	W	1001	41.88422	-87.696234
41360	California-Lake	12/19/2017	W	1023	41.88422	-87.696234
41360	California-Lake	12/6/2017	W	1073	41.88422	-87.696234
41360	California-Lake	12/27/2017	W	632	41.88422	-87.696234
41360	California-Lake	12/21/2017	W	943	41.88422	-87.696234
41360	California-Lake	12/24/2017	U	316	41.88422	-87.696234
41360	California-Lake	12/5/2017	W	1041	41.88422	-87.696234
41360	California-Lake	2/8/2018	W	953	41.88422	-87.696234
41360	California-Lake	3/19/2018	W	952	41.88422	-87.696234
41360	California-Lake	1/19/2018	W	949	41.88422	-87.696234
41360	California-Lake	2/9/2018	W	593	41.88422	-87.696234
41360	California-Lake	1/25/2018	W	1043	41.88422	-87.696234
41360	California-Lake	1/11/2018	W	977	41.88422	-87.696234
41360	California-Lake	3/24/2018	A	558	41.88422	-87.696234
41360	California-Lake	1/12/2018	W	874	41.88422	-87.696234
41360	California-Lake	1/6/2018	A	426	41.88422	-87.696234
41360	California-Lake	1/26/2018	W	975	41.88422	-87.696234
41360	California-Lake	2/15/2018	W	1020	41.88422	-87.696234
41360	California-Lake	1/9/2018	W	1023	41.88422	-87.696234
41360	California-Lake	2/27/2018	W	1074	41.88422	-87.696234
41360	California-Lake	1/3/2018	W	762	41.88422	-87.696234
41360	California-Lake	2/24/2018	A	537	41.88422	-87.696234
41360	California-Lake	3/31/2018	A	475	41.88422	-87.696234
41360	California-Lake	3/28/2018	W	883	41.88422	-87.696234
41360	California-Lake	2/13/2018	W	1117	41.88422	-87.696234
41360	California-Lake	1/2/2018	W	650	41.88422	-87.696234
41360	California-Lake	2/26/2018	W	1035	41.88422	-87.696234
41360	California-Lake	1/17/2018	W	960	41.88422	-87.696234
41360	California-Lake	1/16/2018	W	916	41.88422	-87.696234
41360	California-Lake	2/12/2018	W	859	41.88422	-87.696234
41360	California-Lake	3/4/2018	U	421	41.88422	-87.696234
41360	California-Lake	1/28/2018	U	369	41.88422	-87.696234
41360	California-Lake	3/29/2018	W	853	41.88422	-87.696234
41360	California-Lake	1/24/2018	W	1035	41.88422	-87.696234
41360	California-Lake	1/14/2018	U	338	41.88422	-87.696234
41360	California-Lake	2/16/2018	W	1008	41.88422	-87.696234
41360	California-Lake	2/1/2018	W	963	41.88422	-87.696234
41360	California-Lake	2/3/2018	A	474	41.88422	-87.696234
41360	California-Lake	3/5/2018	W	958	41.88422	-87.696234
41360	California-Lake	3/1/2018	W	986	41.88422	-87.696234
41360	California-Lake	2/21/2018	W	1031	41.88422	-87.696234
41360	California-Lake	2/2/2018	W	859	41.88422	-87.696234
41360	California-Lake	3/26/2018	W	851	41.88422	-87.696234
41360	California-Lake	3/8/2018	W	995	41.88422	-87.696234
41360	California-Lake	3/22/2018	W	947	41.88422	-87.696234
41360	California-Lake	3/7/2018	W	951	41.88422	-87.696234
41360	California-Lake	2/28/2018	W	1078	41.88422	-87.696234
41360	California-Lake	2/23/2018	W	1049	41.88422	-87.696234
41360	California-Lake	1/15/2018	W	490	41.88422	-87.696234
41360	California-Lake	2/14/2018	W	1066	41.88422	-87.696234
41360	California-Lake	2/22/2018	W	1019	41.88422	-87.696234
41360	California-Lake	2/11/2018	U	289	41.88422	-87.696234
41360	California-Lake	2/6/2018	W	951	41.88422	-87.696234
41360	California-Lake	3/13/2018	W	1005	41.88422	-87.696234
41360	California-Lake	1/29/2018	W	986	41.88422	-87.696234
41360	California-Lake	3/3/2018	A	540	41.88422	-87.696234
41360	California-Lake	1/7/2018	U	318	41.88422	-87.696234
41360	California-Lake	3/12/2018	W	956	41.88422	-87.696234
41360	California-Lake	2/19/2018	W	672	41.88422	-87.696234
41360	California-Lake	3/23/2018	W	960	41.88422	-87.696234
41360	California-Lake	3/20/2018	W	916	41.88422	-87.696234
41360	California-Lake	3/25/2018	U	365	41.88422	-87.696234
41360	California-Lake	1/10/2018	W	1052	41.88422	-87.696234
41360	California-Lake	1/4/2018	W	758	41.88422	-87.696234
41360	California-Lake	2/25/2018	U	393	41.88422	-87.696234
41360	California-Lake	3/6/2018	W	1020	41.88422	-87.696234
41360	California-Lake	1/5/2018	W	777	41.88422	-87.696234
41360	California-Lake	2/7/2018	W	986	41.88422	-87.696234
41360	California-Lake	3/18/2018	U	436	41.88422	-87.696234
41360	California-Lake	2/18/2018	U	421	41.88422	-87.696234
41360	California-Lake	2/20/2018	W	981	41.88422	-87.696234
41360	California-Lake	3/10/2018	A	524	41.88422	-87.696234
41360	California-Lake	1/8/2018	W	948	41.88422	-87.696234
41360	California-Lake	1/21/2018	U	385	41.88422	-87.696234
41360	California-Lake	1/20/2018	A	560	41.88422	-87.696234
41360	California-Lake	3/9/2018	W	967	41.88422	-87.696234
41360	California-Lake	1/1/2018	U	208	41.88422	-87.696234
41360	California-Lake	2/5/2018	W	869	41.88422	-87.696234
41360	California-Lake	1/27/2018	A	544	41.88422	-87.696234
41360	California-Lake	1/18/2018	W	892	41.88422	-87.696234
41360	California-Lake	3/15/2018	W	973	41.88422	-87.696234
41360	California-Lake	1/31/2018	W	978	41.88422	-87.696234
41360	California-Lake	3/30/2018	W	791	41.88422	-87.696234
41360	California-Lake	3/14/2018	W	983	41.88422	-87.696234
41360	California-Lake	1/22/2018	W	964	41.88422	-87.696234
41360	California-Lake	1/23/2018	W	997	41.88422	-87.696234
41360	California-Lake	2/17/2018	A	521	41.88422	-87.696234
41360	California-Lake	3/21/2018	W	979	41.88422	-87.696234
41360	California-Lake	2/4/2018	U	324	41.88422	-87.696234
41360	California-Lake	1/30/2018	W	997	41.88422	-87.696234
41360	California-Lake	3/16/2018	W	959	41.88422	-87.696234
41360	California-Lake	3/27/2018	W	864	41.88422	-87.696234
41360	California-Lake	1/13/2018	A	456	41.88422	-87.696234
41360	California-Lake	2/10/2018	A	402	41.88422	-87.696234
41360	California-Lake	3/11/2018	U	406	41.88422	-87.696234
41360	California-Lake	3/2/2018	W	1067	41.88422	-87.696234
41360	California-Lake	3/17/2018	A	621	41.88422	-87.696234
41360	California-Lake	4/7/2018	A	582	41.88422	-87.696234
41360	California-Lake	6/3/2018	U	473	41.88422	-87.696234
41360	California-Lake	6/19/2018	W	1084	41.88422	-87.696234
41360	California-Lake	4/30/2018	W	1053	41.88422	-87.696234
41360	California-Lake	4/22/2018	U	421	41.88422	-87.696234
41360	California-Lake	5/20/2018	U	404	41.88422	-87.696234
41360	California-Lake	5/18/2018	W	1052	41.88422	-87.696234
41360	California-Lake	4/8/2018	U	414	41.88422	-87.696234
41360	California-Lake	5/25/2018	W	1049	41.88422	-87.696234
41360	California-Lake	6/2/2018	A	607	41.88422	-87.696234
41360	California-Lake	6/15/2018	W	1063	41.88422	-87.696234
41360	California-Lake	4/18/2018	W	913	41.88422	-87.696234
41360	California-Lake	6/22/2018	W	938	41.88422	-87.696234
41360	California-Lake	4/28/2018	A	552	41.88422	-87.696234
41360	California-Lake	6/4/2018	W	1134	41.88422	-87.696234
41360	California-Lake	5/12/2018	A	489	41.88422	-87.696234
41360	California-Lake	5/27/2018	U	438	41.88422	-87.696234
41360	California-Lake	4/5/2018	W	1014	41.88422	-87.696234
41360	California-Lake	5/1/2018	W	1110	41.88422	-87.696234
41360	California-Lake	5/14/2018	W	932	41.88422	-87.696234
