ï..station_id	stationname	date	daytype	rides	41.887389	-87.76565
40280	Central-Lake	12/2/2017	A	1270	41.887389	-87.76565
40280	Central-Lake	12/3/2017	U	983	41.887390	-87.76566
40280	Central-Lake	12/12/2017	W	1854	41.887391	-87.76567
40280	Central-Lake	12/19/2017	W	1992	41.887392	-87.76568
40280	Central-Lake	12/30/2017	A	908	41.887393	-87.76569
40280	Central-Lake	12/9/2017	A	1116	41.887394	-87.76570
40280	Central-Lake	12/27/2017	W	1317	41.887395	-87.76571
40280	Central-Lake	12/7/2017	W	1964	41.887396	-87.76572
40280	Central-Lake	12/28/2017	W	1485	41.887397	-87.76573
40280	Central-Lake	12/16/2017	A	1271	41.887398	-87.76574
40280	Central-Lake	12/17/2017	U	945	41.887399	-87.76575
40280	Central-Lake	12/6/2017	W	1975	41.887400	-87.76576
40280	Central-Lake	12/13/2017	W	1927	41.887401	-87.76577
40280	Central-Lake	12/1/2017	W	2176	41.887402	-87.76578
40280	Central-Lake	12/5/2017	W	1971	41.887403	-87.76579
40280	Central-Lake	12/29/2017	W	1594	41.887404	-87.76580
40280	Central-Lake	12/4/2017	W	2020	41.887405	-87.76581
40280	Central-Lake	12/24/2017	U	854	41.887406	-87.76582
40280	Central-Lake	12/25/2017	U	660	41.887407	-87.76583
40280	Central-Lake	12/11/2017	W	1904	41.887408	-87.76584
40280	Central-Lake	12/21/2017	W	1895	41.887409	-87.76585
40280	Central-Lake	12/23/2017	A	1116	41.887410	-87.76586
40280	Central-Lake	12/15/2017	W	2003	41.887411	-87.76587
40280	Central-Lake	12/26/2017	W	1221	41.887412	-87.76588
40280	Central-Lake	12/8/2017	W	1999	41.887413	-87.76589
40280	Central-Lake	12/22/2017	W	1840	41.887414	-87.76590
40280	Central-Lake	12/18/2017	W	1970	41.887415	-87.76591
40280	Central-Lake	12/14/2017	W	2001	41.887416	-87.76592
40280	Central-Lake	12/31/2017	U	795	41.887417	-87.76593
40280	Central-Lake	12/20/2017	W	2026	41.887418	-87.76594
40280	Central-Lake	12/10/2017	U	875	41.887419	-87.76595
40280	Central-Lake	3/30/2018	W	1838	41.887420	-87.76596
40280	Central-Lake	3/25/2018	U	935	41.887421	-87.76597
40280	Central-Lake	2/18/2018	U	924	41.887422	-87.76598
40280	Central-Lake	2/9/2018	W	1311	41.887423	-87.76599
40280	Central-Lake	1/5/2018	W	1665	41.887424	-87.76600
40280	Central-Lake	1/16/2018	W	1854	41.887425	-87.76601
40280	Central-Lake	1/13/2018	A	1097	41.887426	-87.76602
40280	Central-Lake	3/18/2018	U	895	41.887427	-87.76603
40280	Central-Lake	3/3/2018	A	1291	41.887428	-87.76604
40280	Central-Lake	1/7/2018	U	773	41.887429	-87.76605
40280	Central-Lake	3/14/2018	W	2127	41.887430	-87.76606
40280	Central-Lake	1/30/2018	W	1987	41.887431	-87.76607
40280	Central-Lake	2/8/2018	W	1903	41.887432	-87.76608
40280	Central-Lake	3/20/2018	W	1892	41.887433	-87.76609
40280	Central-Lake	2/2/2018	W	1848	41.887434	-87.76610
40280	Central-Lake	2/15/2018	W	1982	41.887435	-87.76611
40280	Central-Lake	2/22/2018	W	2044	41.887436	-87.76612
40280	Central-Lake	1/24/2018	W	1951	41.887437	-87.76613
40280	Central-Lake	3/8/2018	W	1988	41.887438	-87.76614
40280	Central-Lake	3/24/2018	A	1170	41.887439	-87.76615
40280	Central-Lake	3/7/2018	W	2026	41.887440	-87.76616
40280	Central-Lake	1/6/2018	A	943	41.887441	-87.76617
40280	Central-Lake	2/14/2018	W	2046	41.887442	-87.76618
40280	Central-Lake	3/13/2018	W	1930	41.887443	-87.76619
40280	Central-Lake	2/16/2018	W	2071	41.887444	-87.76620
40280	Central-Lake	2/20/2018	W	1963	41.887445	-87.76621
40280	Central-Lake	1/2/2018	W	1394	41.887446	-87.76622
40280	Central-Lake	2/21/2018	W	2153	41.887447	-87.76623
40280	Central-Lake	3/12/2018	W	1898	41.887448	-87.76624
40280	Central-Lake	1/12/2018	W	1834	41.887449	-87.76625
40280	Central-Lake	2/23/2018	W	2113	41.887450	-87.76626
40280	Central-Lake	2/12/2018	W	1684	41.887451	-87.76627
40280	Central-Lake	1/8/2018	W	1790	41.887452	-87.76628
40280	Central-Lake	3/29/2018	W	1763	41.887453	-87.76629
40280	Central-Lake	3/21/2018	W	2035	41.887454	-87.76630
40280	Central-Lake	3/16/2018	W	2011	41.887455	-87.76631
40280	Central-Lake	1/1/2018	U	574	41.887456	-87.76632
40280	Central-Lake	3/17/2018	A	1235	41.887457	-87.76633
40280	Central-Lake	3/5/2018	W	1886	41.887458	-87.76634
40280	Central-Lake	2/24/2018	A	1288	41.887459	-87.76635
40280	Central-Lake	1/15/2018	W	1176	41.887460	-87.76636
40280	Central-Lake	1/3/2018	W	1626	41.887461	-87.76637
40280	Central-Lake	2/5/2018	W	1727	41.887462	-87.76638
40280	Central-Lake	3/10/2018	A	1186	41.887463	-87.76639
40280	Central-Lake	1/27/2018	A	1203	41.887464	-87.76640
40280	Central-Lake	3/9/2018	W	2039	41.887465	-87.76641
40280	Central-Lake	2/13/2018	W	1965	41.887466	-87.76642
40280	Central-Lake	3/11/2018	U	909	41.887467	-87.76643
40280	Central-Lake	1/21/2018	U	876	41.887468	-87.76644
40280	Central-Lake	3/15/2018	W	2093	41.887469	-87.76645
40280	Central-Lake	2/26/2018	W	2006	41.887470	-87.76646
40280	Central-Lake	1/17/2018	W	1927	41.887471	-87.76647
40280	Central-Lake	3/19/2018	W	1921	41.887472	-87.76648
40280	Central-Lake	3/31/2018	A	1131	41.887473	-87.76649
40280	Central-Lake	2/28/2018	W	2079	41.887474	-87.76650
40280	Central-Lake	2/7/2018	W	1916	41.887475	-87.76651
40280	Central-Lake	2/11/2018	U	778	41.887476	-87.76652
40280	Central-Lake	3/22/2018	W	2018	41.887477	-87.76653
40280	Central-Lake	2/3/2018	A	1111	41.887478	-87.76654
40280	Central-Lake	2/25/2018	U	938	41.887479	-87.76655
40280	Central-Lake	1/23/2018	W	1941	41.887480	-87.76656
40280	Central-Lake	3/26/2018	W	1766	41.887481	-87.76657
40280	Central-Lake	3/23/2018	W	2000	41.887482	-87.76658
40280	Central-Lake	1/29/2018	W	1842	41.887483	-87.76659
40280	Central-Lake	2/6/2018	W	1866	41.887484	-87.76660
40280	Central-Lake	1/31/2018	W	2032	41.887485	-87.76661
40280	Central-Lake	1/26/2018	W	2083	41.887486	-87.76662
40280	Central-Lake	1/10/2018	W	1902	41.887487	-87.76663
40280	Central-Lake	1/18/2018	W	1891	41.887488	-87.76664
40280	Central-Lake	2/4/2018	U	794	41.887489	-87.76665
40280	Central-Lake	2/17/2018	A	1144	41.887490	-87.76666
40280	Central-Lake	3/28/2018	W	1866	41.887491	-87.76667
40280	Central-Lake	3/4/2018	U	995	41.887492	-87.76668
40280	Central-Lake	2/10/2018	A	1031	41.887493	-87.76669
40280	Central-Lake	1/9/2018	W	1846	41.887494	-87.76670
40280	Central-Lake	1/4/2018	W	1559	41.887495	-87.76671
40280	Central-Lake	2/19/2018	W	1409	41.887496	-87.76672
40280	Central-Lake	2/1/2018	W	1976	41.887497	-87.76673
40280	Central-Lake	2/27/2018	W	2138	41.887498	-87.76674
40280	Central-Lake	1/22/2018	W	2021	41.887499	-87.76675
40280	Central-Lake	1/11/2018	W	1895	41.887500	-87.76676
40280	Central-Lake	3/27/2018	W	1747	41.887501	-87.76677
40280	Central-Lake	1/20/2018	A	1123	41.887502	-87.76678
40280	Central-Lake	1/25/2018	W	2025	41.887503	-87.76679
40280	Central-Lake	3/1/2018	W	2033	41.887504	-87.76680
40280	Central-Lake	3/2/2018	W	2189	41.887505	-87.76681
40280	Central-Lake	3/6/2018	W	2040	41.887506	-87.76682
40280	Central-Lake	1/28/2018	U	864	41.887507	-87.76683
40280	Central-Lake	1/19/2018	W	1956	41.887508	-87.76684
40280	Central-Lake	1/14/2018	U	813	41.887509	-87.76685
40280	Central-Lake	4/1/2018	U	879	41.887510	-87.76686
40280	Central-Lake	6/30/2018	A	1231	41.887511	-87.76687
40280	Central-Lake	5/22/2018	W	2118	41.887512	-87.76688
40280	Central-Lake	4/19/2018	W	1920	41.887513	-87.76689
40280	Central-Lake	5/5/2018	A	1435	41.887514	-87.76690
40280	Central-Lake	4/2/2018	W	1844	41.887515	-87.76691
40280	Central-Lake	5/9/2018	W	1979	41.887516	-87.76692
40280	Central-Lake	5/21/2018	W	1857	41.887517	-87.76693
40280	Central-Lake	6/15/2018	W	2134	41.887518	-87.76694
40280	Central-Lake	4/30/2018	W	2061	41.887519	-87.76695
40280	Central-Lake	5/31/2018	W	2143	41.887520	-87.76696
40280	Central-Lake	5/13/2018	U	956	41.887521	-87.76697
40280	Central-Lake	5/1/2018	W	2172	41.887522	-87.76698
40280	Central-Lake	4/17/2018	W	2003	41.887523	-87.76699
40280	Central-Lake	4/28/2018	A	1201	41.887524	-87.76700
40280	Central-Lake	6/27/2018	W	2050	41.887525	-87.76701
40280	Central-Lake	6/17/2018	U	1040	41.887526	-87.76702
40280	Central-Lake	5/26/2018	A	1413	41.887527	-87.76703
40280	Central-Lake	6/1/2018	W	2222	41.887528	-87.76704
40280	Central-Lake	5/10/2018	W	2082	41.887529	-87.76705
40280	Central-Lake	4/7/2018	A	1270	41.887530	-87.76706
40280	Central-Lake	6/2/2018	A	1302	41.887531	-87.76707
40280	Central-Lake	5/16/2018	W	2162	41.887532	-87.76708
40280	Central-Lake	5/11/2018	W	1914	41.887533	-87.76709
40280	Central-Lake	6/21/2018	W	1708	41.887534	-87.76710
40280	Central-Lake	5/4/2018	W	2167	41.887535	-87.76711
40280	Central-Lake	5/25/2018	W	2147	41.887536	-87.76712
40280	Central-Lake	5/24/2018	W	2116	41.887537	-87.76713
40280	Central-Lake	6/20/2018	W	2067	41.887538	-87.76714
40280	Central-Lake	6/26/2018	W	1877	41.887539	-87.76715
40280	Central-Lake	4/14/2018	A	1052	41.887540	-87.76716
40280	Central-Lake	4/27/2018	W	2023	41.887541	-87.76717
40280	Central-Lake	6/6/2018	W	2116	41.887542	-87.76718
40280	Central-Lake	4/6/2018	W	1929	41.887543	-87.76719
40280	Central-Lake	6/19/2018	W	2109	41.887544	-87.76720
40280	Central-Lake	4/25/2018	W	2070	41.887545	-87.76721
40280	Central-Lake	5/12/2018	A	1221	41.887546	-87.76722
40280	Central-Lake	6/18/2018	W	1912	41.887547	-87.76723
40280	Central-Lake	4/18/2018	W	1947	41.887548	-87.76724
40280	Central-Lake	5/19/2018	A	1267	41.887549	-87.76725
40280	Central-Lake	4/15/2018	U	848	41.887550	-87.76726
40280	Central-Lake	5/28/2018	U	1033	41.887551	-87.76727
40280	Central-Lake	4/21/2018	A	1254	41.887552	-87.76728
40280	Central-Lake	4/26/2018	W	2147	41.887553	-87.76729
40280	Central-Lake	4/8/2018	U	931	41.887554	-87.76730
40280	Central-Lake	5/29/2018	W	1995	41.887555	-87.76731
40280	Central-Lake	4/24/2018	W	2092	41.887556	-87.76732
40280	Central-Lake	6/24/2018	U	1179	41.887557	-87.76733
40280	Central-Lake	5/6/2018	U	1003	41.887558	-87.76734
40280	Central-Lake	4/13/2018	W	1885	41.887559	-87.76735
40280	Central-Lake	5/27/2018	U	1036	41.887560	-87.76736
40280	Central-Lake	4/11/2018	W	2015	41.887561	-87.76737
40280	Central-Lake	6/9/2018	A	1234	41.887562	-87.76738
40280	Central-Lake	6/13/2018	W	2143	41.887563	-87.76739
40280	Central-Lake	6/8/2018	W	1939	41.887564	-87.76740
40280	Central-Lake	4/29/2018	U	903	41.887565	-87.76741
40280	Central-Lake	4/9/2018	W	1838	41.887566	-87.76742
40280	Central-Lake	6/10/2018	U	883	41.887567	-87.76743
40280	Central-Lake	6/14/2018	W	2072	41.887568	-87.76744
40280	Central-Lake	6/23/2018	A	1416	41.887569	-87.76745
40280	Central-Lake	6/29/2018	W	2049	41.887570	-87.76746
40280	Central-Lake	5/23/2018	W	2215	41.887571	-87.76747
40280	Central-Lake	6/12/2018	W	2074	41.887572	-87.76748
40280	Central-Lake	6/22/2018	W	1902	41.887573	-87.76749
40280	Central-Lake	6/3/2018	U	1091	41.887574	-87.76750
40280	Central-Lake	5/20/2018	U	916	41.887575	-87.76751
40280	Central-Lake	5/2/2018	W	2107	41.887576	-87.76752
40280	Central-Lake	4/4/2018	W	1975	41.887577	-87.76753
40280	Central-Lake	6/16/2018	A	1324	41.887578	-87.76754
40280	Central-Lake	5/14/2018	W	1849	41.887579	-87.76755
40280	Central-Lake	6/28/2018	W	2040	41.887580	-87.76756
40280	Central-Lake	5/30/2018	W	2021	41.887581	-87.76757
40280	Central-Lake	5/18/2018	W	2056	41.887582	-87.76758
40280	Central-Lake	4/3/2018	W	1975	41.887583	-87.76759
40280	Central-Lake	6/4/2018	W	2099	41.887584	-87.76760
40280	Central-Lake	4/16/2018	W	1839	41.887585	-87.76761
40280	Central-Lake	4/22/2018	U	916	41.887586	-87.76762
40280	Central-Lake	4/12/2018	W	1986	41.887587	-87.76763
40280	Central-Lake	5/17/2018	W	2098	41.887588	-87.76764
