ï..station_id	stationname	date	daytype	rides	lat	long
41000	Cermak-Chinatown	12/18/2017	W	3636	41.853206	-87.630968
41000	Cermak-Chinatown	12/4/2017	W	3842	41.853206	-87.630968
41000	Cermak-Chinatown	12/21/2017	W	3701	41.853206	-87.630968
41000	Cermak-Chinatown	12/22/2017	W	3688	41.853206	-87.630968
41000	Cermak-Chinatown	12/30/2017	A	2518	41.853206	-87.630968
41000	Cermak-Chinatown	12/5/2017	W	3419	41.853206	-87.630968
41000	Cermak-Chinatown	12/31/2017	U	2377	41.853206	-87.630968
41000	Cermak-Chinatown	12/3/2017	U	3052	41.853206	-87.630968
41000	Cermak-Chinatown	12/25/2017	U	1813	41.853206	-87.630968
41000	Cermak-Chinatown	12/29/2017	W	2866	41.853206	-87.630968
41000	Cermak-Chinatown	12/10/2017	U	2514	41.853206	-87.630968
41000	Cermak-Chinatown	12/12/2017	W	3189	41.853206	-87.630968
41000	Cermak-Chinatown	12/8/2017	W	3922	41.853206	-87.630968
41000	Cermak-Chinatown	12/6/2017	W	3608	41.853206	-87.630968
41000	Cermak-Chinatown	12/24/2017	U	2065	41.853206	-87.630968
41000	Cermak-Chinatown	12/23/2017	A	2898	41.853206	-87.630968
41000	Cermak-Chinatown	12/7/2017	W	3473	41.853206	-87.630968
41000	Cermak-Chinatown	12/19/2017	W	3589	41.853206	-87.630968
41000	Cermak-Chinatown	12/28/2017	W	2698	41.853206	-87.630968
41000	Cermak-Chinatown	12/17/2017	U	2669	41.853206	-87.630968
41000	Cermak-Chinatown	12/13/2017	W	3315	41.853206	-87.630968
41000	Cermak-Chinatown	12/15/2017	W	3889	41.853206	-87.630968
41000	Cermak-Chinatown	12/11/2017	W	3467	41.853206	-87.630968
41000	Cermak-Chinatown	12/14/2017	W	3457	41.853206	-87.630968
41000	Cermak-Chinatown	12/9/2017	A	3238	41.853206	-87.630968
41000	Cermak-Chinatown	12/27/2017	W	2560	41.853206	-87.630968
41000	Cermak-Chinatown	12/1/2017	W	4454	41.853206	-87.630968
41000	Cermak-Chinatown	12/20/2017	W	3527	41.853206	-87.630968
41000	Cermak-Chinatown	12/16/2017	A	4209	41.853206	-87.630968
41000	Cermak-Chinatown	12/26/2017	W	1985	41.853206	-87.630968
41000	Cermak-Chinatown	12/2/2017	A	4383	41.853206	-87.630968
41000	Cermak-Chinatown	3/6/2018	W	3602	41.853206	-87.630968
41000	Cermak-Chinatown	2/17/2018	A	4853	41.853206	-87.630968
41000	Cermak-Chinatown	2/27/2018	W	3605	41.853206	-87.630968
41000	Cermak-Chinatown	2/18/2018	U	3650	41.853206	-87.630968
41000	Cermak-Chinatown	3/19/2018	W	3939	41.853206	-87.630968
41000	Cermak-Chinatown	1/20/2018	A	4289	41.853206	-87.630968
41000	Cermak-Chinatown	1/10/2018	W	3337	41.853206	-87.630968
41000	Cermak-Chinatown	3/20/2018	W	3782	41.853206	-87.630968
41000	Cermak-Chinatown	2/4/2018	U	1774	41.853206	-87.630968
41000	Cermak-Chinatown	2/7/2018	W	3361	41.853206	-87.630968
41000	Cermak-Chinatown	3/4/2018	U	3060	41.853206	-87.630968
41000	Cermak-Chinatown	1/11/2018	W	3263	41.853206	-87.630968
41000	Cermak-Chinatown	1/23/2018	W	3479	41.853206	-87.630968
41000	Cermak-Chinatown	2/23/2018	W	4222	41.853206	-87.630968
41000	Cermak-Chinatown	1/21/2018	U	2575	41.853206	-87.630968
41000	Cermak-Chinatown	2/20/2018	W	3296	41.853206	-87.630968
41000	Cermak-Chinatown	1/15/2018	W	2384	41.853206	-87.630968
41000	Cermak-Chinatown	3/3/2018	A	4503	41.853206	-87.630968
41000	Cermak-Chinatown	2/5/2018	W	2954	41.853206	-87.630968
41000	Cermak-Chinatown	3/21/2018	W	3889	41.853206	-87.630968
41000	Cermak-Chinatown	2/6/2018	W	3263	41.853206	-87.630968
41000	Cermak-Chinatown	2/9/2018	W	2540	41.853206	-87.630968
41000	Cermak-Chinatown	1/28/2018	U	2688	41.853206	-87.630968
41000	Cermak-Chinatown	1/4/2018	W	2739	41.853206	-87.630968
41000	Cermak-Chinatown	3/10/2018	A	4393	41.853206	-87.630968
41000	Cermak-Chinatown	1/13/2018	A	3061	41.853206	-87.630968
41000	Cermak-Chinatown	1/24/2018	W	3568	41.853206	-87.630968
41000	Cermak-Chinatown	3/23/2018	W	4410	41.853206	-87.630968
41000	Cermak-Chinatown	1/30/2018	W	3347	41.853206	-87.630968
41000	Cermak-Chinatown	1/22/2018	W	3573	41.853206	-87.630968
41000	Cermak-Chinatown	2/28/2018	W	3661	41.853206	-87.630968
41000	Cermak-Chinatown	1/27/2018	A	3985	41.853206	-87.630968
41000	Cermak-Chinatown	1/9/2018	W	3242	41.853206	-87.630968
41000	Cermak-Chinatown	1/14/2018	U	2366	41.853206	-87.630968
41000	Cermak-Chinatown	1/26/2018	W	4195	41.853206	-87.630968
41000	Cermak-Chinatown	2/13/2018	W	3553	41.853206	-87.630968
41000	Cermak-Chinatown	2/24/2018	A	4163	41.853206	-87.630968
41000	Cermak-Chinatown	2/11/2018	U	2516	41.853206	-87.630968
41000	Cermak-Chinatown	2/12/2018	W	3434	41.853206	-87.630968
41000	Cermak-Chinatown	2/3/2018	A	3249	41.853206	-87.630968
41000	Cermak-Chinatown	1/5/2018	W	2816	41.853206	-87.630968
41000	Cermak-Chinatown	3/13/2018	W	4152	41.853206	-87.630968
