ï..station_id	stationname	date	daytype	rides	lat	long
40420	Cicero-Cermak	12/2/2017	A	932	41.85182	-87.745336
40420	Cicero-Cermak	12/14/2017	W	1191	41.85182	-87.745336
40420	Cicero-Cermak	12/27/2017	W	844	41.85182	-87.745336
40420	Cicero-Cermak	12/28/2017	W	857	41.85182	-87.745336
40420	Cicero-Cermak	12/3/2017	U	671	41.85182	-87.745336
40420	Cicero-Cermak	12/10/2017	U	590	41.85182	-87.745336
40420	Cicero-Cermak	12/29/2017	W	997	41.85182	-87.745336
40420	Cicero-Cermak	12/8/2017	W	1253	41.85182	-87.745336
40420	Cicero-Cermak	12/9/2017	A	806	41.85182	-87.745336
40420	Cicero-Cermak	12/15/2017	W	1208	41.85182	-87.745336
40420	Cicero-Cermak	12/1/2017	W	1398	41.85182	-87.745336
40420	Cicero-Cermak	12/5/2017	W	1251	41.85182	-87.745336
40420	Cicero-Cermak	12/21/2017	W	1214	41.85182	-87.745336
40420	Cicero-Cermak	12/13/2017	W	1173	41.85182	-87.745336
40420	Cicero-Cermak	12/22/2017	W	1211	41.85182	-87.745336
40420	Cicero-Cermak	12/25/2017	U	300	41.85182	-87.745336
40420	Cicero-Cermak	12/30/2017	A	637	41.85182	-87.745336
40420	Cicero-Cermak	12/6/2017	W	1256	41.85182	-87.745336
40420	Cicero-Cermak	12/24/2017	U	467	41.85182	-87.745336
40420	Cicero-Cermak	12/31/2017	U	501	41.85182	-87.745336
40420	Cicero-Cermak	12/26/2017	W	720	41.85182	-87.745336
40420	Cicero-Cermak	12/4/2017	W	1230	41.85182	-87.745336
40420	Cicero-Cermak	12/11/2017	W	1149	41.85182	-87.745336
40420	Cicero-Cermak	12/16/2017	A	895	41.85182	-87.745336
40420	Cicero-Cermak	12/12/2017	W	1074	41.85182	-87.745336
40420	Cicero-Cermak	12/17/2017	U	644	41.85182	-87.745336
40420	Cicero-Cermak	12/19/2017	W	1207	41.85182	-87.745336
40420	Cicero-Cermak	12/18/2017	W	1033	41.85182	-87.745336
40420	Cicero-Cermak	12/20/2017	W	1144	41.85182	-87.745336
40420	Cicero-Cermak	12/23/2017	A	796	41.85182	-87.745336
40420	Cicero-Cermak	12/7/2017	W	1195	41.85182	-87.745336
40420	Cicero-Cermak	2/14/2018	W	1170	41.85182	-87.745336
40420	Cicero-Cermak	1/11/2018	W	1175	41.85182	-87.745336
40420	Cicero-Cermak	3/20/2018	W	1123	41.85182	-87.745336
40420	Cicero-Cermak	1/7/2018	U	507	41.85182	-87.745336
40420	Cicero-Cermak	2/16/2018	W	1235	41.85182	-87.745336
40420	Cicero-Cermak	1/16/2018	W	1039	41.85182	-87.745336
40420	Cicero-Cermak	2/4/2018	U	444	41.85182	-87.745336
40420	Cicero-Cermak	1/13/2018	A	661	41.85182	-87.745336
40420	Cicero-Cermak	1/5/2018	W	950	41.85182	-87.745336
40420	Cicero-Cermak	3/6/2018	W	1123	41.85182	-87.745336
40420	Cicero-Cermak	1/2/2018	W	789	41.85182	-87.745336
40420	Cicero-Cermak	2/24/2018	A	807	41.85182	-87.745336
40420	Cicero-Cermak	1/31/2018	W	1162	41.85182	-87.745336
40420	Cicero-Cermak	2/8/2018	W	1107	41.85182	-87.745336
40420	Cicero-Cermak	3/30/2018	W	1058	41.85182	-87.745336
40420	Cicero-Cermak	3/11/2018	U	575	41.85182	-87.745336
40420	Cicero-Cermak	2/17/2018	A	759	41.85182	-87.745336
40420	Cicero-Cermak	3/15/2018	W	1231	41.85182	-87.745336
40420	Cicero-Cermak	3/18/2018	U	611	41.85182	-87.745336
40420	Cicero-Cermak	3/22/2018	W	1205	41.85182	-87.745336
40420	Cicero-Cermak	2/15/2018	W	1183	41.85182	-87.745336
40420	Cicero-Cermak	3/28/2018	W	1078	41.85182	-87.745336
40420	Cicero-Cermak	1/4/2018	W	903	41.85182	-87.745336
40420	Cicero-Cermak	1/23/2018	W	1056	41.85182	-87.745336
40420	Cicero-Cermak	2/27/2018	W	1247	41.85182	-87.745336
40420	Cicero-Cermak	2/11/2018	U	521	41.85182	-87.745336
40420	Cicero-Cermak	1/14/2018	U	446	41.85182	-87.745336
40420	Cicero-Cermak	3/4/2018	U	609	41.85182	-87.745336
40420	Cicero-Cermak	3/26/2018	W	1082	41.85182	-87.745336
40420	Cicero-Cermak	2/2/2018	W	1132	41.85182	-87.745336
40420	Cicero-Cermak	1/21/2018	U	582	41.85182	-87.745336
40420	Cicero-Cermak	2/10/2018	A	699	41.85182	-87.745336
40420	Cicero-Cermak	3/1/2018	W	1153	41.85182	-87.745336
40420	Cicero-Cermak	1/9/2018	W	1027	41.85182	-87.745336
40420	Cicero-Cermak	1/1/2018	U	380	41.85182	-87.745336
40420	Cicero-Cermak	3/24/2018	A	708	41.85182	-87.745336
40420	Cicero-Cermak	3/2/2018	W	1330	41.85182	-87.745336
40420	Cicero-Cermak	1/6/2018	A	648	41.85182	-87.745336
40420	Cicero-Cermak	2/26/2018	W	1142	41.85182	-87.745336
40420	Cicero-Cermak	3/16/2018	W	1231	41.85182	-87.745336
40420	Cicero-Cermak	1/28/2018	U	576	41.85182	-87.745336
40420	Cicero-Cermak	3/12/2018	W	1038	41.85182	-87.745336
40420	Cicero-Cermak	2/28/2018	W	1245	41.85182	-87.745336
40420	Cicero-Cermak	2/13/2018	W	1132	41.85182	-87.745336
40420	Cicero-Cermak	2/1/2018	W	1159	41.85182	-87.745336
40420	Cicero-Cermak	3/3/2018	A	837	41.85182	-87.745336
40420	Cicero-Cermak	1/10/2018	W	1092	41.85182	-87.745336
40420	Cicero-Cermak	1/26/2018	W	1230	41.85182	-87.745336
40420	Cicero-Cermak	2/12/2018	W	996	41.85182	-87.745336
40420	Cicero-Cermak	3/8/2018	W	1199	41.85182	-87.745336
40420	Cicero-Cermak	2/25/2018	U	655	41.85182	-87.745336
40420	Cicero-Cermak	1/19/2018	W	1144	41.85182	-87.745336
