ï..station_id	stationname	date	daytype	rides	lat	long
40970	Cicero-Forest Park	12/10/2017	U	635	41.871574	-87.745154
40970	Cicero-Forest Park	12/4/2017	W	1394	41.871574	-87.745154
40970	Cicero-Forest Park	12/28/2017	W	939	41.871574	-87.745154
40970	Cicero-Forest Park	12/5/2017	W	1353	41.871574	-87.745154
40970	Cicero-Forest Park	12/16/2017	A	933	41.871574	-87.745154
40970	Cicero-Forest Park	12/13/2017	W	1297	41.871574	-87.745154
40970	Cicero-Forest Park	12/17/2017	U	700	41.871574	-87.745154
40970	Cicero-Forest Park	12/30/2017	A	689	41.871574	-87.745154
40970	Cicero-Forest Park	12/14/2017	W	1394	41.871574	-87.745154
40970	Cicero-Forest Park	12/22/2017	W	1271	41.871574	-87.745154
40970	Cicero-Forest Park	12/7/2017	W	1331	41.871574	-87.745154
40970	Cicero-Forest Park	12/2/2017	A	962	41.871574	-87.745154
40970	Cicero-Forest Park	12/3/2017	U	766	41.871574	-87.745154
40970	Cicero-Forest Park	12/15/2017	W	1271	41.871574	-87.745154
40970	Cicero-Forest Park	12/25/2017	U	492	41.871574	-87.745154
40970	Cicero-Forest Park	12/1/2017	W	1393	41.871574	-87.745154
40970	Cicero-Forest Park	12/11/2017	W	1271	41.871574	-87.745154
40970	Cicero-Forest Park	12/8/2017	W	1369	41.871574	-87.745154
40970	Cicero-Forest Park	12/21/2017	W	1228	41.871574	-87.745154
40970	Cicero-Forest Park	12/24/2017	U	554	41.871574	-87.745154
40970	Cicero-Forest Park	12/26/2017	W	770	41.871574	-87.745154
40970	Cicero-Forest Park	12/27/2017	W	944	41.871574	-87.745154
40970	Cicero-Forest Park	12/23/2017	A	761	41.871574	-87.745154
40970	Cicero-Forest Park	12/20/2017	W	1275	41.871574	-87.745154
40970	Cicero-Forest Park	12/18/2017	W	1222	41.871574	-87.745154
40970	Cicero-Forest Park	12/9/2017	A	890	41.871574	-87.745154
40970	Cicero-Forest Park	12/12/2017	W	1230	41.871574	-87.745154
40970	Cicero-Forest Park	12/29/2017	W	1058	41.871574	-87.745154
40970	Cicero-Forest Park	12/31/2017	U	539	41.871574	-87.745154
40970	Cicero-Forest Park	12/6/2017	W	1370	41.871574	-87.745154
40970	Cicero-Forest Park	12/19/2017	W	1360	41.871574	-87.745154
40970	Cicero-Forest Park	1/13/2018	A	715	41.871574	-87.745154
40970	Cicero-Forest Park	3/18/2018	U	589	41.871574	-87.745154
40970	Cicero-Forest Park	2/15/2018	W	1252	41.871574	-87.745154
40970	Cicero-Forest Park	1/1/2018	U	430	41.871574	-87.745154
40970	Cicero-Forest Park	3/20/2018	W	1249	41.871574	-87.745154
40970	Cicero-Forest Park	3/4/2018	U	609	41.871574	-87.745154
40970	Cicero-Forest Park	3/24/2018	A	806	41.871574	-87.745154
40970	Cicero-Forest Park	3/12/2018	W	1167	41.871574	-87.745154
40970	Cicero-Forest Park	3/9/2018	W	1176	41.871574	-87.745154
40970	Cicero-Forest Park	1/18/2018	W	1242	41.871574	-87.745154
40970	Cicero-Forest Park	3/5/2018	W	1184	41.871574	-87.745154
40970	Cicero-Forest Park	3/2/2018	W	1276	41.871574	-87.745154
40970	Cicero-Forest Park	2/11/2018	U	536	41.871574	-87.745154
40970	Cicero-Forest Park	1/28/2018	U	619	41.871574	-87.745154
40970	Cicero-Forest Park	1/17/2018	W	1215	41.871574	-87.745154
40970	Cicero-Forest Park	3/31/2018	A	751	41.871574	-87.745154
40970	Cicero-Forest Park	3/13/2018	W	1254	41.871574	-87.745154
40970	Cicero-Forest Park	1/7/2018	U	535	41.871574	-87.745154
40970	Cicero-Forest Park	1/19/2018	W	1256	41.871574	-87.745154
40970	Cicero-Forest Park	2/4/2018	U	498	41.871574	-87.745154
40970	Cicero-Forest Park	3/27/2018	W	1240	41.871574	-87.745154
40970	Cicero-Forest Park	2/14/2018	W	1299	41.871574	-87.745154
40970	Cicero-Forest Park	3/16/2018	W	1245	41.871574	-87.745154
40970	Cicero-Forest Park	3/30/2018	W	1079	41.871574	-87.745154
40970	Cicero-Forest Park	3/10/2018	A	839	41.871574	-87.745154
40970	Cicero-Forest Park	2/21/2018	W	1293	41.871574	-87.745154
40970	Cicero-Forest Park	2/27/2018	W	1270	41.871574	-87.745154
