ï..station_id	stationname	date	daytype	rides	lat	long
40320	Division/Milwaukee	12/5/2017	W	6278	41.903355	-87.666496
40320	Division/Milwaukee	12/21/2017	W	5992	41.903355	-87.666496
40320	Division/Milwaukee	12/6/2017	W	6329	41.903355	-87.666496
40320	Division/Milwaukee	12/3/2017	U	2550	41.903355	-87.666496
40320	Division/Milwaukee	12/10/2017	U	2300	41.903355	-87.666496
40320	Division/Milwaukee	12/17/2017	U	2284	41.903355	-87.666496
40320	Division/Milwaukee	12/24/2017	U	1394	41.903355	-87.666496
40320	Division/Milwaukee	12/27/2017	W	3082	41.903355	-87.666496
40320	Division/Milwaukee	12/9/2017	A	3260	41.903355	-87.666496
40320	Division/Milwaukee	12/1/2017	W	6968	41.903355	-87.666496
40320	Division/Milwaukee	12/25/2017	U	704	41.903355	-87.666496
40320	Division/Milwaukee	12/13/2017	W	6263	41.903355	-87.666496
40320	Division/Milwaukee	12/7/2017	W	6505	41.903355	-87.666496
40320	Division/Milwaukee	12/12/2017	W	6238	41.903355	-87.666496
40320	Division/Milwaukee	12/14/2017	W	6373	41.903355	-87.666496
40320	Division/Milwaukee	12/18/2017	W	6090	41.903355	-87.666496
40320	Division/Milwaukee	12/19/2017	W	6260	41.903355	-87.666496
40320	Division/Milwaukee	12/4/2017	W	6340	41.903355	-87.666496
40320	Division/Milwaukee	12/30/2017	A	1980	41.903355	-87.666496
40320	Division/Milwaukee	12/16/2017	A	3227	41.903355	-87.666496
40320	Division/Milwaukee	12/26/2017	W	2152	41.903355	-87.666496
40320	Division/Milwaukee	12/15/2017	W	6110	41.903355	-87.666496
40320	Division/Milwaukee	12/22/2017	W	5037	41.903355	-87.666496
40320	Division/Milwaukee	12/29/2017	W	3466	41.903355	-87.666496
40320	Division/Milwaukee	12/11/2017	W	6112	41.903355	-87.666496
40320	Division/Milwaukee	12/23/2017	A	2362	41.903355	-87.666496
40320	Division/Milwaukee	12/2/2017	A	3519	41.903355	-87.666496
40320	Division/Milwaukee	12/8/2017	W	6368	41.903355	-87.666496
40320	Division/Milwaukee	12/31/2017	U	1653	41.903355	-87.666496
40320	Division/Milwaukee	12/20/2017	W	6255	41.903355	-87.666496
40320	Division/Milwaukee	12/28/2017	W	3555	41.903355	-87.666496
40320	Division/Milwaukee	2/9/2018	W	4237	41.903355	-87.666496
40320	Division/Milwaukee	3/2/2018	W	6166	41.903355	-87.666496
40320	Division/Milwaukee	3/18/2018	U	2605	41.903355	-87.666496
40320	Division/Milwaukee	2/28/2018	W	6376	41.903355	-87.666496
40320	Division/Milwaukee	1/24/2018	W	6205	41.903355	-87.666496
40320	Division/Milwaukee	3/15/2018	W	6539	41.903355	-87.666496
40320	Division/Milwaukee	1/1/2018	U	1725	41.903355	-87.666496
40320	Division/Milwaukee	2/13/2018	W	6525	41.903355	-87.666496
40320	Division/Milwaukee	1/7/2018	U	1609	41.903355	-87.666496
40320	Division/Milwaukee	1/22/2018	W	6104	41.903355	-87.666496
40320	Division/Milwaukee	1/31/2018	W	6264	41.903355	-87.666496
40320	Division/Milwaukee	1/29/2018	W	6055	41.903355	-87.666496
40320	Division/Milwaukee	1/26/2018	W	6216	41.903355	-87.666496
40320	Division/Milwaukee	1/9/2018	W	5987	41.903355	-87.666496
40320	Division/Milwaukee	2/25/2018	U	2170	41.903355	-87.666496
40320	Division/Milwaukee	1/13/2018	A	2466	41.903355	-87.666496
40320	Division/Milwaukee	3/26/2018	W	5700	41.903355	-87.666496
40320	Division/Milwaukee	2/7/2018	W	6323	41.903355	-87.666496
40320	Division/Milwaukee	3/6/2018	W	6265	41.903355	-87.666496
40320	Division/Milwaukee	3/9/2018	W	6353	41.903355	-87.666496
40320	Division/Milwaukee	2/27/2018	W	6385	41.903355	-87.666496
40320	Division/Milwaukee	1/21/2018	U	1939	41.903355	-87.666496
40320	Division/Milwaukee	1/19/2018	W	6301	41.903355	-87.666496
40320	Division/Milwaukee	1/2/2018	W	4195	41.903355	-87.666496
40320	Division/Milwaukee	3/16/2018	W	6358	41.903355	-87.666496
40320	Division/Milwaukee	3/12/2018	W	6056	41.903355	-87.666496
40320	Division/Milwaukee	3/24/2018	A	2987	41.903355	-87.666496
40320	Division/Milwaukee	2/16/2018	W	6460	41.903355	-87.666496
40320	Division/Milwaukee	1/4/2018	W	5006	41.903355	-87.666496
40320	Division/Milwaukee	2/19/2018	W	4178	41.903355	-87.666496
40320	Division/Milwaukee	3/5/2018	W	6116	41.903355	-87.666496
40320	Division/Milwaukee	3/30/2018	W	5180	41.903355	-87.666496
40320	Division/Milwaukee	3/8/2018	W	6578	41.903355	-87.666496
40320	Division/Milwaukee	1/23/2018	W	6356	41.903355	-87.666496
40320	Division/Milwaukee	1/8/2018	W	5804	41.903355	-87.666496
40320	Division/Milwaukee	3/11/2018	U	2143	41.903355	-87.666496
40320	Division/Milwaukee	3/10/2018	A	3044	41.903355	-87.666496
40320	Division/Milwaukee	1/11/2018	W	5947	41.903355	-87.666496
40320	Division/Milwaukee	3/14/2018	W	6442	41.903355	-87.666496
40320	Division/Milwaukee	2/15/2018	W	6471	41.903355	-87.666496
40320	Division/Milwaukee	1/30/2018	W	6201	41.903355	-87.666496
40320	Division/Milwaukee	3/22/2018	W	6183	41.903355	-87.666496
40320	Division/Milwaukee	2/8/2018	W	6258	41.903355	-87.666496
40320	Division/Milwaukee	3/20/2018	W	6443	41.903355	-87.666496
40320	Division/Milwaukee	1/14/2018	U	1905	41.903355	-87.666496
40320	Division/Milwaukee	1/12/2018	W	5938	41.903355	-87.666496
40320	Division/Milwaukee	3/13/2018	W	6367	41.903355	-87.666496
40320	Division/Milwaukee	2/1/2018	W	6173	41.903355	-87.666496
40320	Division/Milwaukee	3/31/2018	A	2662	41.903355	-87.666496
40320	Division/Milwaukee	1/20/2018	A	3504	41.903355	-87.666496
40320	Division/Milwaukee	2/6/2018	W	6198	41.903355	-87.666496
40320	Division/Milwaukee	2/12/2018	W	6168	41.903355	-87.666496
40320	Division/Milwaukee	3/21/2018	W	6168	41.903355	-87.666496
40320	Division/Milwaukee	2/18/2018	U	2280	41.903355	-87.666496
40320	Division/Milwaukee	2/3/2018	A	2580	41.903355	-87.666496
40320	Division/Milwaukee	2/26/2018	W	6148	41.903355	-87.666496
40320	Division/Milwaukee	1/25/2018	W	6283	41.903355	-87.666496
40320	Division/Milwaukee	2/17/2018	A	2925	41.903355	-87.666496
40320	Division/Milwaukee	3/17/2018	A	4749	41.903355	-87.666496
40320	Division/Milwaukee	2/20/2018	W	6118	41.903355	-87.666496
40320	Division/Milwaukee	1/16/2018	W	6195	41.903355	-87.666496
40320	Division/Milwaukee	1/5/2018	W	4841	41.903355	-87.666496
40320	Division/Milwaukee	3/27/2018	W	5859	41.903355	-87.666496
40320	Division/Milwaukee	2/11/2018	U	2186	41.903355	-87.666496
40320	Division/Milwaukee	2/24/2018	A	2925	41.903355	-87.666496
40320	Division/Milwaukee	1/17/2018	W	6121	41.903355	-87.666496
40320	Division/Milwaukee	3/19/2018	W	6283	41.903355	-87.666496
40320	Division/Milwaukee	1/3/2018	W	4877	41.903355	-87.666496
40320	Division/Milwaukee	2/10/2018	A	2799	41.903355	-87.666496
40320	Division/Milwaukee	3/4/2018	U	2183	41.903355	-87.666496
40320	Division/Milwaukee	2/21/2018	W	6277	41.903355	-87.666496
40320	Division/Milwaukee	1/28/2018	U	1931	41.903355	-87.666496
40320	Division/Milwaukee	3/3/2018	A	3203	41.903355	-87.666496
40320	Division/Milwaukee	2/22/2018	W	6355	41.903355	-87.666496
40320	Division/Milwaukee	3/25/2018	U	2330	41.903355	-87.666496
40320	Division/Milwaukee	2/2/2018	W	5861	41.903355	-87.666496
40320	Division/Milwaukee	3/29/2018	W	5762	41.903355	-87.666496
40320	Division/Milwaukee	2/4/2018	U	1834	41.903355	-87.666496
