ï..station_id	stationname	date	daytype	rides	lat	long
40720	East 63rd-Cottage Grove	12/26/2017	W	613	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/27/2017	W	708	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/15/2017	W	1092	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/18/2017	W	1037	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/6/2017	W	1151	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/14/2017	W	1088	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/4/2017	W	1217	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/20/2017	W	1089	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/28/2017	W	733	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/17/2017	U	504	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/9/2017	A	586	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/12/2017	W	1034	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/30/2017	A	515	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/13/2017	W	1108	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/21/2017	W	1001	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/5/2017	W	1084	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/10/2017	U	476	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/24/2017	U	414	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/1/2017	W	1268	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/7/2017	W	1104	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/29/2017	W	848	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/23/2017	A	574	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/22/2017	W	982	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/2/2017	A	700	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/16/2017	A	671	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/25/2017	U	390	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/8/2017	W	1101	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/11/2017	W	1109	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/31/2017	U	404	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/3/2017	U	589	41.780309	-87.605857
40720	East 63rd-Cottage Grove	12/19/2017	W	1127	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/5/2018	W	1059	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/4/2018	W	869	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/22/2018	W	1120	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/4/2018	U	401	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/21/2018	W	1087	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/22/2018	W	1091	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/14/2018	W	1108	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/12/2018	W	944	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/5/2018	W	903	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/18/2018	U	467	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/18/2018	W	1069	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/9/2018	W	1111	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/20/2018	A	607	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/30/2018	W	1002	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/5/2018	W	968	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/30/2018	W	1034	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/14/2018	W	1118	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/7/2018	U	436	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/4/2018	U	504	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/13/2018	W	1040	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/19/2018	W	1090	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/3/2018	A	526	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/20/2018	W	1056	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/12/2018	W	1008	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/22/2018	W	1138	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/27/2018	A	679	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/10/2018	W	1005	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/6/2018	W	1036	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/16/2018	W	1164	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/2/2018	W	1016	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/6/2018	A	525	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/15/2018	W	1096	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/25/2018	U	533	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/25/2018	U	536	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/24/2018	A	561	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/26/2018	W	999	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/24/2018	A	667	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/10/2018	A	517	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/17/2018	A	546	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/14/2018	U	404	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/2/2018	W	780	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/20/2018	W	1082	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/23/2018	W	1027	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/11/2018	U	420	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/11/2018	U	499	41.780309	-87.605857
40720	East 63rd-Cottage Grove	1/3/2018	W	842	41.780309	-87.605857
40720	East 63rd-Cottage Grove	3/21/2018	W	977	41.780309	-87.605857
40720	East 63rd-Cottage Grove	2/19/2018	W	771	41.780309	-87.605857
