ï..station_id	stationname	date	daytype	rides	lat	long
40390	Forest Park	12/13/2017	W	3412	41.874257	-87.817318
40390	Forest Park	12/21/2017	W	3182	41.874257	-87.817318
40390	Forest Park	12/14/2017	W	3427	41.874257	-87.817318
40390	Forest Park	12/5/2017	W	3564	41.874257	-87.817318
40390	Forest Park	12/23/2017	A	1417	41.874257	-87.817318
40390	Forest Park	12/15/2017	W	3188	41.874257	-87.817318
40390	Forest Park	12/16/2017	A	1565	41.874257	-87.817318
40390	Forest Park	12/9/2017	A	1835	41.874257	-87.817318
40390	Forest Park	12/11/2017	W	3253	41.874257	-87.817318
40390	Forest Park	12/10/2017	U	1122	41.874257	-87.817318
40390	Forest Park	12/12/2017	W	3310	41.874257	-87.817318
40390	Forest Park	12/28/2017	W	2180	41.874257	-87.817318
40390	Forest Park	12/29/2017	W	2302	41.874257	-87.817318
40390	Forest Park	12/24/2017	U	997	41.874257	-87.817318
40390	Forest Park	12/25/2017	U	632	41.874257	-87.817318
40390	Forest Park	12/2/2017	A	1620	41.874257	-87.817318
40390	Forest Park	12/7/2017	W	3504	41.874257	-87.817318
40390	Forest Park	12/20/2017	W	3201	41.874257	-87.817318
40390	Forest Park	12/18/2017	W	3103	41.874257	-87.817318
40390	Forest Park	12/30/2017	A	1073	41.874257	-87.817318
40390	Forest Park	12/22/2017	W	2766	41.874257	-87.817318
40390	Forest Park	12/8/2017	W	3418	41.874257	-87.817318
40390	Forest Park	12/19/2017	W	3252	41.874257	-87.817318
40390	Forest Park	12/27/2017	W	2101	41.874257	-87.817318
40390	Forest Park	12/26/2017	W	1800	41.874257	-87.817318
40390	Forest Park	12/3/2017	U	1312	41.874257	-87.817318
40390	Forest Park	12/1/2017	W	3662	41.874257	-87.817318
40390	Forest Park	12/31/2017	U	1075	41.874257	-87.817318
40390	Forest Park	12/4/2017	W	3578	41.874257	-87.817318
40390	Forest Park	12/6/2017	W	3533	41.874257	-87.817318
40390	Forest Park	12/17/2017	U	1237	41.874257	-87.817318
40390	Forest Park	3/1/2018	W	3353	41.874257	-87.817318
40390	Forest Park	3/10/2018	A	1400	41.874257	-87.817318
40390	Forest Park	1/10/2018	W	3163	41.874257	-87.817318
40390	Forest Park	3/8/2018	W	3307	41.874257	-87.817318
40390	Forest Park	3/31/2018	A	1420	41.874257	-87.817318
40390	Forest Park	3/20/2018	W	3340	41.874257	-87.817318
40390	Forest Park	3/18/2018	U	1099	41.874257	-87.817318
40390	Forest Park	3/16/2018	W	3237	41.874257	-87.817318
40390	Forest Park	1/31/2018	W	3345	41.874257	-87.817318
40390	Forest Park	3/26/2018	W	2983	41.874257	-87.817318
40390	Forest Park	1/5/2018	W	2523	41.874257	-87.817318
40390	Forest Park	1/2/2018	W	2275	41.874257	-87.817318
40390	Forest Park	3/28/2018	W	3202	41.874257	-87.817318
40390	Forest Park	3/7/2018	W	3373	41.874257	-87.817318
40390	Forest Park	2/3/2018	A	1172	41.874257	-87.817318
40390	Forest Park	2/12/2018	W	2946	41.874257	-87.817318
40390	Forest Park	1/14/2018	U	1059	41.874257	-87.817318
40390	Forest Park	1/26/2018	W	3235	41.874257	-87.817318
40390	Forest Park	3/29/2018	W	3188	41.874257	-87.817318
40390	Forest Park	3/19/2018	W	3255	41.874257	-87.817318
40390	Forest Park	1/12/2018	W	2929	41.874257	-87.817318
40390	Forest Park	3/13/2018	W	3396	41.874257	-87.817318
40390	Forest Park	2/16/2018	W	3156	41.874257	-87.817318
40390	Forest Park	1/11/2018	W	3278	41.874257	-87.817318
40390	Forest Park	1/18/2018	W	3281	41.874257	-87.817318
40390	Forest Park	2/20/2018	W	3384	41.874257	-87.817318
40390	Forest Park	1/30/2018	W	3333	41.874257	-87.817318
40390	Forest Park	3/12/2018	W	3245	41.874257	-87.817318
40390	Forest Park	1/29/2018	W	3238	41.874257	-87.817318
40390	Forest Park	2/4/2018	U	959	41.874257	-87.817318
40390	Forest Park	2/18/2018	U	1060	41.874257	-87.817318
40390	Forest Park	3/6/2018	W	3316	41.874257	-87.817318
40390	Forest Park	1/8/2018	W	2987	41.874257	-87.817318
40390	Forest Park	2/8/2018	W	3245	41.874257	-87.817318
40390	Forest Park	2/1/2018	W	3282	41.874257	-87.817318
40390	Forest Park	1/9/2018	W	3126	41.874257	-87.817318
40390	Forest Park	2/10/2018	A	1141	41.874257	-87.817318
40390	Forest Park	1/28/2018	U	1077	41.874257	-87.817318
40390	Forest Park	3/22/2018	W	3428	41.874257	-87.817318
40390	Forest Park	1/19/2018	W	3239	41.874257	-87.817318
40390	Forest Park	1/3/2018	W	2625	41.874257	-87.817318
40390	Forest Park	1/16/2018	W	3186	41.874257	-87.817318
40390	Forest Park	2/17/2018	A	1290	41.874257	-87.817318
40390	Forest Park	2/11/2018	U	904	41.874257	-87.817318
40390	Forest Park	1/7/2018	U	830	41.874257	-87.817318
40390	Forest Park	1/4/2018	W	2660	41.874257	-87.817318
40390	Forest Park	2/26/2018	W	3265	41.874257	-87.817318
40390	Forest Park	3/5/2018	W	3011	41.874257	-87.817318
40390	Forest Park	2/9/2018	W	1935	41.874257	-87.817318
