ï..station_id	stationname	date	daytype	rides	lat	long
40760	Granville	12/5/2017	W	4230	41.993664	-87.659202
40760	Granville	12/18/2017	W	3364	41.993664	-87.659202
40760	Granville	12/28/2017	W	2308	41.993664	-87.659202
40760	Granville	12/15/2017	W	4058	41.993664	-87.659202
40760	Granville	12/22/2017	W	2918	41.993664	-87.659202
40760	Granville	12/30/2017	A	1742	41.993664	-87.659202
40760	Granville	12/16/2017	A	3270	41.993664	-87.659202
40760	Granville	12/11/2017	W	3822	41.993664	-87.659202
40760	Granville	12/13/2017	W	4129	41.993664	-87.659202
40760	Granville	12/4/2017	W	4062	41.993664	-87.659202
40760	Granville	12/3/2017	U	2657	41.993664	-87.659202
40760	Granville	12/27/2017	W	2129	41.993664	-87.659202
40760	Granville	12/9/2017	A	3117	41.993664	-87.659202
40760	Granville	12/25/2017	U	714	41.993664	-87.659202
40760	Granville	12/20/2017	W	3411	41.993664	-87.659202
40760	Granville	12/19/2017	W	3433	41.993664	-87.659202
40760	Granville	12/14/2017	W	4081	41.993664	-87.659202
40760	Granville	12/26/2017	W	1701	41.993664	-87.659202
40760	Granville	12/21/2017	W	3220	41.993664	-87.659202
40760	Granville	12/12/2017	W	4134	41.993664	-87.659202
40760	Granville	12/24/2017	U	1357	41.993664	-87.659202
40760	Granville	12/8/2017	W	4555	41.993664	-87.659202
40760	Granville	12/29/2017	W	2477	41.993664	-87.659202
40760	Granville	12/1/2017	W	4929	41.993664	-87.659202
40760	Granville	12/31/2017	U	1711	41.993664	-87.659202
40760	Granville	12/10/2017	U	2267	41.993664	-87.659202
40760	Granville	12/23/2017	A	2017	41.993664	-87.659202
40760	Granville	12/2/2017	A	3731	41.993664	-87.659202
40760	Granville	12/7/2017	W	4099	41.993664	-87.659202
40760	Granville	12/6/2017	W	4121	41.993664	-87.659202
40760	Granville	12/17/2017	U	2211	41.993664	-87.659202
40760	Granville	3/3/2018	A	2790	41.993664	-87.659202
40760	Granville	1/4/2018	W	3020	41.993664	-87.659202
40760	Granville	2/28/2018	W	3958	41.993664	-87.659202
40760	Granville	3/21/2018	W	3873	41.993664	-87.659202
40760	Granville	3/1/2018	W	4123	41.993664	-87.659202
40760	Granville	1/1/2018	U	1077	41.993664	-87.659202
40760	Granville	3/7/2018	W	3681	41.993664	-87.659202
40760	Granville	2/9/2018	W	3634	41.993664	-87.659202
40760	Granville	2/19/2018	W	3262	41.993664	-87.659202
40760	Granville	2/13/2018	W	4066	41.993664	-87.659202
40760	Granville	3/28/2018	W	3939	41.993664	-87.659202
40760	Granville	2/21/2018	W	4099	41.993664	-87.659202
40760	Granville	3/12/2018	W	3959	41.993664	-87.659202
40760	Granville	1/20/2018	A	3719	41.993664	-87.659202
40760	Granville	1/15/2018	W	3074	41.993664	-87.659202
40760	Granville	1/24/2018	W	4064	41.993664	-87.659202
40760	Granville	2/10/2018	A	3246	41.993664	-87.659202
40760	Granville	3/10/2018	A	2669	41.993664	-87.659202
40760	Granville	1/31/2018	W	4020	41.993664	-87.659202
40760	Granville	1/23/2018	W	4033	41.993664	-87.659202
40760	Granville	1/5/2018	W	2876	41.993664	-87.659202
40760	Granville	1/2/2018	W	2668	41.993664	-87.659202
40760	Granville	3/6/2018	W	3562	41.993664	-87.659202
40760	Granville	2/16/2018	W	4449	41.993664	-87.659202
40760	Granville	2/18/2018	U	2333	41.993664	-87.659202
40760	Granville	3/31/2018	A	2500	41.993664	-87.659202
40760	Granville	1/13/2018	A	2241	41.993664	-87.659202
40760	Granville	2/1/2018	W	4018	41.993664	-87.659202
40760	Granville	2/22/2018	W	4133	41.993664	-87.659202
40760	Granville	3/8/2018	W	3684	41.993664	-87.659202
40760	Granville	1/9/2018	W	3375	41.993664	-87.659202
40760	Granville	3/14/2018	W	4114	41.993664	-87.659202
40760	Granville	2/25/2018	U	2368	41.993664	-87.659202
