ï..station_id	stationname	date	daytype	rides	lat	long
40030	Pulaski-Lake	12/24/2017	U	595	41.885412	-87.725404
40030	Pulaski-Lake	12/27/2017	W	860	41.885412	-87.725404
40030	Pulaski-Lake	12/11/2017	W	1280	41.885412	-87.725404
40030	Pulaski-Lake	12/26/2017	W	789	41.885412	-87.725404
40030	Pulaski-Lake	12/8/2017	W	1398	41.885412	-87.725404
40030	Pulaski-Lake	12/25/2017	U	486	41.885412	-87.725404
40030	Pulaski-Lake	12/28/2017	W	914	41.885412	-87.725404
40030	Pulaski-Lake	12/21/2017	W	1295	41.885412	-87.725404
40030	Pulaski-Lake	12/14/2017	W	1281	41.885412	-87.725404
40030	Pulaski-Lake	12/19/2017	W	1263	41.885412	-87.725404
40030	Pulaski-Lake	12/3/2017	U	752	41.885412	-87.725404
40030	Pulaski-Lake	12/5/2017	W	1348	41.885412	-87.725404
40030	Pulaski-Lake	12/6/2017	W	1477	41.885412	-87.725404
40030	Pulaski-Lake	12/13/2017	W	1368	41.885412	-87.725404
40030	Pulaski-Lake	12/9/2017	A	819	41.885412	-87.725404
40030	Pulaski-Lake	12/17/2017	U	683	41.885412	-87.725404
40030	Pulaski-Lake	12/15/2017	W	1347	41.885412	-87.725404
40030	Pulaski-Lake	12/30/2017	A	673	41.885412	-87.725404
40030	Pulaski-Lake	12/16/2017	A	968	41.885412	-87.725404
40030	Pulaski-Lake	12/23/2017	A	845	41.885412	-87.725404
40030	Pulaski-Lake	12/4/2017	W	1384	41.885412	-87.725404
40030	Pulaski-Lake	12/10/2017	U	663	41.885412	-87.725404
40030	Pulaski-Lake	12/18/2017	W	1292	41.885412	-87.725404
40030	Pulaski-Lake	12/12/2017	W	1244	41.885412	-87.725404
40030	Pulaski-Lake	12/1/2017	W	1560	41.885412	-87.725404
40030	Pulaski-Lake	12/2/2017	A	988	41.885412	-87.725404
40030	Pulaski-Lake	12/22/2017	W	1319	41.885412	-87.725404
40030	Pulaski-Lake	12/7/2017	W	1315	41.885412	-87.725404
40030	Pulaski-Lake	12/29/2017	W	998	41.885412	-87.725404
40030	Pulaski-Lake	12/20/2017	W	1378	41.885412	-87.725404
40030	Pulaski-Lake	12/31/2017	U	525	41.885412	-87.725404
40030	Pulaski-Lake	2/28/2018	W	1344	41.885412	-87.725404
40030	Pulaski-Lake	1/28/2018	U	684	41.885412	-87.725404
40030	Pulaski-Lake	3/9/2018	W	1337	41.885412	-87.725404
40030	Pulaski-Lake	3/5/2018	W	1257	41.885412	-87.725404
40030	Pulaski-Lake	1/5/2018	W	1014	41.885412	-87.725404
40030	Pulaski-Lake	1/9/2018	W	1300	41.885412	-87.725404
40030	Pulaski-Lake	3/21/2018	W	1298	41.885412	-87.725404
40030	Pulaski-Lake	2/17/2018	A	846	41.885412	-87.725404
40030	Pulaski-Lake	2/20/2018	W	1254	41.885412	-87.725404
40030	Pulaski-Lake	3/20/2018	W	1236	41.885412	-87.725404
40030	Pulaski-Lake	3/4/2018	U	675	41.885412	-87.725404
40030	Pulaski-Lake	1/24/2018	W	1337	41.885412	-87.725404
40030	Pulaski-Lake	2/1/2018	W	1331	41.885412	-87.725404
40030	Pulaski-Lake	1/12/2018	W	1214	41.885412	-87.725404
40030	Pulaski-Lake	1/17/2018	W	1249	41.885412	-87.725404
40030	Pulaski-Lake	1/3/2018	W	992	41.885412	-87.725404
40030	Pulaski-Lake	2/15/2018	W	1430	41.885412	-87.725404
40030	Pulaski-Lake	3/16/2018	W	1369	41.885412	-87.725404
40030	Pulaski-Lake	3/25/2018	U	635	41.885412	-87.725404
40030	Pulaski-Lake	2/6/2018	W	1286	41.885412	-87.725404
40030	Pulaski-Lake	2/5/2018	W	1133	41.885412	-87.725404
40030	Pulaski-Lake	3/3/2018	A	859	41.885412	-87.725404
40030	Pulaski-Lake	3/31/2018	A	829	41.885412	-87.725404
40030	Pulaski-Lake	3/17/2018	A	954	41.885412	-87.725404
40030	Pulaski-Lake	1/25/2018	W	1359	41.885412	-87.725404
40030	Pulaski-Lake	3/12/2018	W	1269	41.885412	-87.725404
40030	Pulaski-Lake	1/1/2018	U	414	41.885412	-87.725404
40030	Pulaski-Lake	1/13/2018	A	720	41.885412	-87.725404
40030	Pulaski-Lake	1/16/2018	W	1241	41.885412	-87.725404
40030	Pulaski-Lake	2/12/2018	W	1180	41.885412	-87.725404
40030	Pulaski-Lake	2/27/2018	W	1430	41.885412	-87.725404
40030	Pulaski-Lake	3/23/2018	W	1367	41.885412	-87.725404
40030	Pulaski-Lake	3/26/2018	W	1181	41.885412	-87.725404
40030	Pulaski-Lake	1/6/2018	A	715	41.885412	-87.725404
40030	Pulaski-Lake	3/1/2018	W	1293	41.885412	-87.725404
40030	Pulaski-Lake	2/19/2018	W	1014	41.885412	-87.725404
40030	Pulaski-Lake	3/13/2018	W	1263	41.885412	-87.725404
40030	Pulaski-Lake	3/2/2018	W	1426	41.885412	-87.725404
40030	Pulaski-Lake	1/7/2018	U	537	41.885412	-87.725404
40030	Pulaski-Lake	2/8/2018	W	1276	41.885412	-87.725404
40030	Pulaski-Lake	3/18/2018	U	693	41.885412	-87.725404
40030	Pulaski-Lake	3/24/2018	A	861	41.885412	-87.725404
40030	Pulaski-Lake	1/21/2018	U	605	41.885412	-87.725404
40030	Pulaski-Lake	2/13/2018	W	1316	41.885412	-87.725404
40030	Pulaski-Lake	1/2/2018	W	815	41.885412	-87.725404
40030	Pulaski-Lake	3/22/2018	W	1336	41.885412	-87.725404
40030	Pulaski-Lake	1/10/2018	W	1348	41.885412	-87.725404
40030	Pulaski-Lake	3/7/2018	W	1240	41.885412	-87.725404
40030	Pulaski-Lake	3/29/2018	W	1201	41.885412	-87.725404
40030	Pulaski-Lake	1/23/2018	W	1287	41.885412	-87.725404
40030	Pulaski-Lake	1/30/2018	W	1303	41.885412	-87.725404
