ï..station_id	stationname	date	daytype	rides	lat	long
40080	Sheridan	12/7/2017	W	5232	41.953775	-87.654929
40080	Sheridan	12/5/2017	W	5105	41.953775	-87.654929
40080	Sheridan	12/30/2017	A	2127	41.953775	-87.654929
40080	Sheridan	12/2/2017	A	3588	41.953775	-87.654929
40080	Sheridan	12/29/2017	W	2994	41.953775	-87.654929
40080	Sheridan	12/25/2017	U	720	41.953775	-87.654929
40080	Sheridan	12/17/2017	U	2397	41.953775	-87.654929
40080	Sheridan	12/15/2017	W	4934	41.953775	-87.654929
40080	Sheridan	12/3/2017	U	2517	41.953775	-87.654929
40080	Sheridan	12/31/2017	U	2040	41.953775	-87.654929
40080	Sheridan	12/23/2017	A	2026	41.953775	-87.654929
40080	Sheridan	12/9/2017	A	3145	41.953775	-87.654929
40080	Sheridan	12/12/2017	W	4975	41.953775	-87.654929
40080	Sheridan	12/24/2017	U	1242	41.953775	-87.654929
40080	Sheridan	12/10/2017	U	2245	41.953775	-87.654929
40080	Sheridan	12/4/2017	W	4988	41.953775	-87.654929
40080	Sheridan	12/1/2017	W	5531	41.953775	-87.654929
40080	Sheridan	12/14/2017	W	5073	41.953775	-87.654929
40080	Sheridan	12/16/2017	A	3451	41.953775	-87.654929
40080	Sheridan	12/6/2017	W	5015	41.953775	-87.654929
40080	Sheridan	12/27/2017	W	2517	41.953775	-87.654929
40080	Sheridan	12/13/2017	W	5005	41.953775	-87.654929
40080	Sheridan	12/22/2017	W	3785	41.953775	-87.654929
40080	Sheridan	12/21/2017	W	4463	41.953775	-87.654929
40080	Sheridan	12/28/2017	W	2975	41.953775	-87.654929
40080	Sheridan	12/8/2017	W	5209	41.953775	-87.654929
40080	Sheridan	12/19/2017	W	4924	41.953775	-87.654929
40080	Sheridan	12/11/2017	W	4870	41.953775	-87.654929
40080	Sheridan	12/18/2017	W	4659	41.953775	-87.654929
40080	Sheridan	12/26/2017	W	1730	41.953775	-87.654929
40080	Sheridan	12/20/2017	W	4579	41.953775	-87.654929
40080	Sheridan	2/22/2018	W	5180	41.953775	-87.654929
40080	Sheridan	3/6/2018	W	4883	41.953775	-87.654929
40080	Sheridan	1/15/2018	W	2994	41.953775	-87.654929
40080	Sheridan	1/19/2018	W	5023	41.953775	-87.654929
40080	Sheridan	3/26/2018	W	4592	41.953775	-87.654929
40080	Sheridan	1/29/2018	W	4872	41.953775	-87.654929
40080	Sheridan	1/24/2018	W	5159	41.953775	-87.654929
40080	Sheridan	3/30/2018	W	4225	41.953775	-87.654929
40080	Sheridan	3/12/2018	W	4904	41.953775	-87.654929
40080	Sheridan	2/18/2018	U	2391	41.953775	-87.654929
40080	Sheridan	1/26/2018	W	5098	41.953775	-87.654929
40080	Sheridan	2/23/2018	W	5057	41.953775	-87.654929
40080	Sheridan	3/31/2018	A	2712	41.953775	-87.654929
40080	Sheridan	3/24/2018	A	2786	41.953775	-87.654929
40080	Sheridan	3/20/2018	W	4803	41.953775	-87.654929
40080	Sheridan	1/21/2018	U	2068	41.953775	-87.654929
40080	Sheridan	2/1/2018	W	4987	41.953775	-87.654929
40080	Sheridan	3/14/2018	W	5166	41.953775	-87.654929
40080	Sheridan	1/11/2018	W	4894	41.953775	-87.654929
40080	Sheridan	3/5/2018	W	4735	41.953775	-87.654929
40080	Sheridan	2/11/2018	U	2178	41.953775	-87.654929
40080	Sheridan	3/21/2018	W	4858	41.953775	-87.654929
40080	Sheridan	2/12/2018	W	4987	41.953775	-87.654929
40080	Sheridan	2/13/2018	W	5215	41.953775	-87.654929
40080	Sheridan	3/11/2018	U	2203	41.953775	-87.654929
40080	Sheridan	2/4/2018	U	2004	41.953775	-87.654929
40080	Sheridan	2/5/2018	W	4726	41.953775	-87.654929
40080	Sheridan	2/16/2018	W	5011	41.953775	-87.654929
40080	Sheridan	3/1/2018	W	5032	41.953775	-87.654929
40080	Sheridan	1/4/2018	W	4257	41.953775	-87.654929
40080	Sheridan	1/2/2018	W	3714	41.953775	-87.654929
40080	Sheridan	1/18/2018	W	5198	41.953775	-87.654929
40080	Sheridan	3/2/2018	W	5210	41.953775	-87.654929
40080	Sheridan	1/27/2018	A	3171	41.953775	-87.654929
40080	Sheridan	2/14/2018	W	5328	41.953775	-87.654929
40080	Sheridan	1/5/2018	W	4223	41.953775	-87.654929
40080	Sheridan	3/28/2018	W	4860	41.953775	-87.654929
40080	Sheridan	2/3/2018	A	2745	41.953775	-87.654929
40080	Sheridan	3/19/2018	W	4731	41.953775	-87.654929
40080	Sheridan	3/10/2018	A	3217	41.953775	-87.654929
40080	Sheridan	1/8/2018	W	4704	41.953775	-87.654929
40080	Sheridan	1/12/2018	W	3970	41.953775	-87.654929
40080	Sheridan	1/30/2018	W	5155	41.953775	-87.654929
40080	Sheridan	2/26/2018	W	4911	41.953775	-87.654929
40080	Sheridan	1/23/2018	W	5200	41.953775	-87.654929
40080	Sheridan	3/22/2018	W	4911	41.953775	-87.654929
40080	Sheridan	1/6/2018	A	2441	41.953775	-87.654929
40080	Sheridan	2/8/2018	W	4935	41.953775	-87.654929
40080	Sheridan	1/13/2018	A	2780	41.953775	-87.654929
40080	Sheridan	1/16/2018	W	5001	41.953775	-87.654929
40080	Sheridan	3/3/2018	A	3160	41.953775	-87.654929
40080	Sheridan	3/18/2018	U	2548	41.953775	-87.654929
40080	Sheridan	1/22/2018	W	5003	41.953775	-87.654929
40080	Sheridan	3/8/2018	W	5112	41.953775	-87.654929
40080	Sheridan	2/15/2018	W	5172	41.953775	-87.654929
40080	Sheridan	3/16/2018	W	5140	41.953775	-87.654929
40080	Sheridan	3/7/2018	W	5110	41.953775	-87.654929
40080	Sheridan	3/29/2018	W	4795	41.953775	-87.654929
40080	Sheridan	2/10/2018	A	2982	41.953775	-87.654929
40080	Sheridan	1/10/2018	W	5006	41.953775	-87.654929
40080	Sheridan	1/14/2018	U	1988	41.953775	-87.654929
40080	Sheridan	3/13/2018	W	5070	41.953775	-87.654929
40080	Sheridan	2/25/2018	U	2269	41.953775	-87.654929
40080	Sheridan	2/17/2018	A	3034	41.953775	-87.654929
40080	Sheridan	3/9/2018	W	4988	41.953775	-87.654929
40080	Sheridan	2/20/2018	W	4951	41.953775	-87.654929
40080	Sheridan	2/24/2018	A	3168	41.953775	-87.654929
40080	Sheridan	2/9/2018	W	3790	41.953775	-87.654929
40080	Sheridan	3/25/2018	U	2330	41.953775	-87.654929
40080	Sheridan	1/28/2018	U	2105	41.953775	-87.654929
40080	Sheridan	1/1/2018	U	1565	41.953775	-87.654929
40080	Sheridan	1/7/2018	U	1809	41.953775	-87.654929
40080	Sheridan	2/28/2018	W	5076	41.953775	-87.654929
40080	Sheridan	3/15/2018	W	5154	41.953775	-87.654929
40080	Sheridan	2/6/2018	W	4949	41.953775	-87.654929
40080	Sheridan	3/27/2018	W	4858	41.953775	-87.654929
40080	Sheridan	1/17/2018	W	4963	41.953775	-87.654929
40080	Sheridan	2/7/2018	W	5085	41.953775	-87.654929
40080	Sheridan	3/4/2018	U	2159	41.953775	-87.654929
40080	Sheridan	1/31/2018	W	5171	41.953775	-87.654929
40080	Sheridan	1/25/2018	W	5215	41.953775	-87.654929
40080	Sheridan	2/21/2018	W	5150	41.953775	-87.654929
40080	Sheridan	1/9/2018	W	5016	41.953775	-87.654929
40080	Sheridan	2/19/2018	W	3764	41.953775	-87.654929
40080	Sheridan	3/17/2018	A	4757	41.953775	-87.654929
40080	Sheridan	2/2/2018	W	4665	41.953775	-87.654929
40080	Sheridan	1/3/2018	W	4226	41.953775	-87.654929
40080	Sheridan	2/27/2018	W	5094	41.953775	-87.654929
40080	Sheridan	1/20/2018	A	3386	41.953775	-87.654929
40080	Sheridan	3/23/2018	W	4709	41.953775	-87.654929
40080	Sheridan	5/1/2018	W	5464	41.953775	-87.654929
40080	Sheridan	4/18/2018	W	4985	41.953775	-87.654929
40080	Sheridan	4/25/2018	W	5201	41.953775	-87.654929
40080	Sheridan	6/14/2018	W	5023	41.953775	-87.654929
40080	Sheridan	5/5/2018	A	3415	41.953775	-87.654929
40080	Sheridan	4/27/2018	W	5134	41.953775	-87.654929
40080	Sheridan	6/17/2018	U	2523	41.953775	-87.654929
40080	Sheridan	5/26/2018	A	3693	41.953775	-87.654929
40080	Sheridan	4/15/2018	U	1847	41.953775	-87.654929
40080	Sheridan	5/23/2018	W	5508	41.953775	-87.654929
40080	Sheridan	5/3/2018	W	5163	41.953775	-87.654929
40080	Sheridan	4/14/2018	A	2813	41.953775	-87.654929
40080	Sheridan	5/27/2018	U	3102	41.953775	-87.654929
40080	Sheridan	6/27/2018	W	4899	41.953775	-87.654929
40080	Sheridan	5/31/2018	W	5182	41.953775	-87.654929
40080	Sheridan	4/1/2018	U	1687	41.953775	-87.654929
40080	Sheridan	6/12/2018	W	4961	41.953775	-87.654929
40080	Sheridan	5/20/2018	U	2071	41.953775	-87.654929
40080	Sheridan	4/20/2018	W	4982	41.953775	-87.654929
40080	Sheridan	4/6/2018	W	4946	41.953775	-87.654929
40080	Sheridan	4/19/2018	W	5105	41.953775	-87.654929
40080	Sheridan	5/24/2018	W	5230	41.953775	-87.654929
40080	Sheridan	6/28/2018	W	4990	41.953775	-87.654929
40080	Sheridan	4/28/2018	A	3396	41.953775	-87.654929
40080	Sheridan	6/11/2018	W	4803	41.953775	-87.654929
40080	Sheridan	6/24/2018	U	8026	41.953775	-87.654929
40080	Sheridan	4/8/2018	U	2124	41.953775	-87.654929
40080	Sheridan	5/14/2018	W	4899	41.953775	-87.654929
40080	Sheridan	5/7/2018	W	5271	41.953775	-87.654929
40080	Sheridan	6/10/2018	U	2535	41.953775	-87.654929
40080	Sheridan	6/22/2018	W	4660	41.953775	-87.654929
40080	Sheridan	4/9/2018	W	4780	41.953775	-87.654929
40080	Sheridan	6/7/2018	W	5599	41.953775	-87.654929
40080	Sheridan	4/21/2018	A	3132	41.953775	-87.654929
40080	Sheridan	4/7/2018	A	3003	41.953775	-87.654929
40080	Sheridan	6/6/2018	W	5357	41.953775	-87.654929
40080	Sheridan	4/24/2018	W	5052	41.953775	-87.654929
40080	Sheridan	6/8/2018	W	5269	41.953775	-87.654929
40080	Sheridan	5/29/2018	W	4807	41.953775	-87.654929
40080	Sheridan	5/13/2018	U	2205	41.953775	-87.654929
40080	Sheridan	6/25/2018	W	4693	41.953775	-87.654929
40080	Sheridan	6/23/2018	A	3390	41.953775	-87.654929
40080	Sheridan	5/6/2018	U	2403	41.953775	-87.654929
40080	Sheridan	5/16/2018	W	4999	41.953775	-87.654929
40080	Sheridan	6/29/2018	W	5216	41.953775	-87.654929
40080	Sheridan	5/19/2018	A	3181	41.953775	-87.654929
40080	Sheridan	5/8/2018	W	5550	41.953775	-87.654929
40080	Sheridan	4/17/2018	W	5112	41.953775	-87.654929
40080	Sheridan	6/18/2018	W	4908	41.953775	-87.654929
40080	Sheridan	5/25/2018	W	5340	41.953775	-87.654929
40080	Sheridan	4/11/2018	W	5385	41.953775	-87.654929
40080	Sheridan	5/22/2018	W	5261	41.953775	-87.654929
40080	Sheridan	6/1/2018	W	5334	41.953775	-87.654929
40080	Sheridan	5/15/2018	W	5080	41.953775	-87.654929
40080	Sheridan	6/16/2018	A	3515	41.953775	-87.654929
40080	Sheridan	6/20/2018	W	5243	41.953775	-87.654929
40080	Sheridan	6/4/2018	W	4853	41.953775	-87.654929
