ï..station_id	stationname	date	daytype	rides	lat	long
41700	Washington/Wabash	12/9/2017	A	5749	41.88322	-87.626189
41700	Washington/Wabash	12/14/2017	W	10228	41.88322	-87.626189
41700	Washington/Wabash	12/25/2017	U	1205	41.88322	-87.626189
41700	Washington/Wabash	12/27/2017	W	6092	41.88322	-87.626189
41700	Washington/Wabash	12/29/2017	W	7313	41.88322	-87.626189
41700	Washington/Wabash	12/18/2017	W	10378	41.88322	-87.626189
41700	Washington/Wabash	12/19/2017	W	11253	41.88322	-87.626189
41700	Washington/Wabash	12/17/2017	U	4031	41.88322	-87.626189
41700	Washington/Wabash	12/4/2017	W	10619	41.88322	-87.626189
41700	Washington/Wabash	12/1/2017	W	11381	41.88322	-87.626189
41700	Washington/Wabash	12/21/2017	W	10799	41.88322	-87.626189
41700	Washington/Wabash	12/6/2017	W	10271	41.88322	-87.626189
41700	Washington/Wabash	12/26/2017	W	4725	41.88322	-87.626189
41700	Washington/Wabash	12/22/2017	W	10513	41.88322	-87.626189
41700	Washington/Wabash	12/31/2017	U	2881	41.88322	-87.626189
41700	Washington/Wabash	12/20/2017	W	10591	41.88322	-87.626189
41700	Washington/Wabash	12/5/2017	W	9968	41.88322	-87.626189
41700	Washington/Wabash	12/24/2017	U	2935	41.88322	-87.626189
41700	Washington/Wabash	12/7/2017	W	10266	41.88322	-87.626189
41700	Washington/Wabash	12/10/2017	U	3958	41.88322	-87.626189
41700	Washington/Wabash	12/2/2017	A	8106	41.88322	-87.626189
41700	Washington/Wabash	12/13/2017	W	10252	41.88322	-87.626189
41700	Washington/Wabash	12/30/2017	A	3400	41.88322	-87.626189
41700	Washington/Wabash	12/28/2017	W	6798	41.88322	-87.626189
41700	Washington/Wabash	12/23/2017	A	5777	41.88322	-87.626189
41700	Washington/Wabash	12/3/2017	U	5048	41.88322	-87.626189
41700	Washington/Wabash	12/12/2017	W	10088	41.88322	-87.626189
41700	Washington/Wabash	12/16/2017	A	6904	41.88322	-87.626189
41700	Washington/Wabash	12/15/2017	W	9987	41.88322	-87.626189
41700	Washington/Wabash	12/11/2017	W	10059	41.88322	-87.626189
41700	Washington/Wabash	12/8/2017	W	10835	41.88322	-87.626189
41700	Washington/Wabash	1/6/2018	A	3473	41.88322	-87.626189
41700	Washington/Wabash	1/17/2018	W	9165	41.88322	-87.626189
41700	Washington/Wabash	2/23/2018	W	9862	41.88322	-87.626189
41700	Washington/Wabash	2/2/2018	W	8857	41.88322	-87.626189
41700	Washington/Wabash	1/21/2018	U	2776	41.88322	-87.626189
41700	Washington/Wabash	1/7/2018	U	2399	41.88322	-87.626189
41700	Washington/Wabash	2/10/2018	A	3970	41.88322	-87.626189
41700	Washington/Wabash	3/17/2018	A	9627	41.88322	-87.626189
41700	Washington/Wabash	2/12/2018	W	9116	41.88322	-87.626189
41700	Washington/Wabash	2/9/2018	W	6159	41.88322	-87.626189
41700	Washington/Wabash	1/9/2018	W	9033	41.88322	-87.626189
41700	Washington/Wabash	1/30/2018	W	8811	41.88322	-87.626189
41700	Washington/Wabash	3/8/2018	W	10001	41.88322	-87.626189
41700	Washington/Wabash	1/10/2018	W	9588	41.88322	-87.626189
41700	Washington/Wabash	3/2/2018	W	9248	41.88322	-87.626189
41700	Washington/Wabash	3/7/2018	W	9898	41.88322	-87.626189
41700	Washington/Wabash	2/8/2018	W	9490	41.88322	-87.626189
41700	Washington/Wabash	1/14/2018	U	2640	41.88322	-87.626189
41700	Washington/Wabash	2/19/2018	W	6805	41.88322	-87.626189
41700	Washington/Wabash	2/15/2018	W	9930	41.88322	-87.626189
41700	Washington/Wabash	3/21/2018	W	9984	41.88322	-87.626189
41700	Washington/Wabash	1/3/2018	W	7723	41.88322	-87.626189
41700	Washington/Wabash	3/26/2018	W	9143	41.88322	-87.626189
41700	Washington/Wabash	1/25/2018	W	9846	41.88322	-87.626189
41700	Washington/Wabash	1/5/2018	W	7725	41.88322	-87.626189
41700	Washington/Wabash	3/16/2018	W	9919	41.88322	-87.626189
41700	Washington/Wabash	2/18/2018	U	3613	41.88322	-87.626189
41700	Washington/Wabash	1/15/2018	W	5728	41.88322	-87.626189
41700	Washington/Wabash	2/6/2018	W	9073	41.88322	-87.626189
41700	Washington/Wabash	1/12/2018	W	8901	41.88322	-87.626189
41700	Washington/Wabash	2/22/2018	W	9937	41.88322	-87.626189
41700	Washington/Wabash	1/18/2018	W	9653	41.88322	-87.626189
41700	Washington/Wabash	2/21/2018	W	9721	41.88322	-87.626189
41700	Washington/Wabash	3/19/2018	W	9851	41.88322	-87.626189
41700	Washington/Wabash	3/13/2018	W	9696	41.88322	-87.626189
41700	Washington/Wabash	3/10/2018	A	4802	41.88322	-87.626189
41700	Washington/Wabash	3/27/2018	W	9457	41.88322	-87.626189
41700	Washington/Wabash	2/14/2018	W	10303	41.88322	-87.626189
41700	Washington/Wabash	2/7/2018	W	9290	41.88322	-87.626189
41700	Washington/Wabash	1/29/2018	W	9206	41.88322	-87.626189
41700	Washington/Wabash	3/30/2018	W	9305	41.88322	-87.626189
41700	Washington/Wabash	2/27/2018	W	10432	41.88322	-87.626189
41700	Washington/Wabash	1/2/2018	W	6581	41.88322	-87.626189
