ï..station_id	stationname	date	daytype	rides	lat	long
40220	Western-Forest Park	12/23/2017	A	754	41.875478	-87.688436
40220	Western-Forest Park	12/1/2017	W	1912	41.875478	-87.688436
40220	Western-Forest Park	12/26/2017	W	731	41.875478	-87.688436
40220	Western-Forest Park	12/16/2017	A	1016	41.875478	-87.688436
40220	Western-Forest Park	12/2/2017	A	1044	41.875478	-87.688436
40220	Western-Forest Park	12/31/2017	U	511	41.875478	-87.688436
40220	Western-Forest Park	12/25/2017	U	377	41.875478	-87.688436
40220	Western-Forest Park	12/30/2017	A	636	41.875478	-87.688436
40220	Western-Forest Park	12/14/2017	W	1640	41.875478	-87.688436
40220	Western-Forest Park	12/9/2017	A	890	41.875478	-87.688436
40220	Western-Forest Park	12/20/2017	W	1561	41.875478	-87.688436
40220	Western-Forest Park	12/18/2017	W	1561	41.875478	-87.688436
40220	Western-Forest Park	12/19/2017	W	1610	41.875478	-87.688436
40220	Western-Forest Park	12/17/2017	U	738	41.875478	-87.688436
40220	Western-Forest Park	12/11/2017	W	1561	41.875478	-87.688436
40220	Western-Forest Park	12/15/2017	W	1649	41.875478	-87.688436
40220	Western-Forest Park	12/22/2017	W	1398	41.875478	-87.688436
40220	Western-Forest Park	12/4/2017	W	1720	41.875478	-87.688436
40220	Western-Forest Park	12/27/2017	W	856	41.875478	-87.688436
40220	Western-Forest Park	12/29/2017	W	897	41.875478	-87.688436
40220	Western-Forest Park	12/5/2017	W	1738	41.875478	-87.688436
40220	Western-Forest Park	12/6/2017	W	1699	41.875478	-87.688436
40220	Western-Forest Park	12/12/2017	W	1545	41.875478	-87.688436
40220	Western-Forest Park	12/10/2017	U	656	41.875478	-87.688436
40220	Western-Forest Park	12/21/2017	W	1528	41.875478	-87.688436
40220	Western-Forest Park	12/24/2017	U	540	41.875478	-87.688436
40220	Western-Forest Park	12/3/2017	U	774	41.875478	-87.688436
40220	Western-Forest Park	12/28/2017	W	864	41.875478	-87.688436
40220	Western-Forest Park	12/13/2017	W	1655	41.875478	-87.688436
40220	Western-Forest Park	12/8/2017	W	1694	41.875478	-87.688436
40220	Western-Forest Park	12/7/2017	W	1690	41.875478	-87.688436
40220	Western-Forest Park	3/19/2018	W	1529	41.875478	-87.688436
40220	Western-Forest Park	2/23/2018	W	1714	41.875478	-87.688436
40220	Western-Forest Park	2/3/2018	A	743	41.875478	-87.688436
40220	Western-Forest Park	2/14/2018	W	1729	41.875478	-87.688436
40220	Western-Forest Park	3/2/2018	W	1666	41.875478	-87.688436
40220	Western-Forest Park	3/1/2018	W	1611	41.875478	-87.688436
40220	Western-Forest Park	2/12/2018	W	1473	41.875478	-87.688436
40220	Western-Forest Park	1/6/2018	A	649	41.875478	-87.688436
40220	Western-Forest Park	3/14/2018	W	1687	41.875478	-87.688436
40220	Western-Forest Park	2/6/2018	W	1541	41.875478	-87.688436
40220	Western-Forest Park	1/7/2018	U	542	41.875478	-87.688436
40220	Western-Forest Park	3/10/2018	A	849	41.875478	-87.688436
40220	Western-Forest Park	3/21/2018	W	1601	41.875478	-87.688436
40220	Western-Forest Park	2/9/2018	W	886	41.875478	-87.688436
40220	Western-Forest Park	1/26/2018	W	1666	41.875478	-87.688436
40220	Western-Forest Park	3/5/2018	W	1491	41.875478	-87.688436
40220	Western-Forest Park	1/29/2018	W	1487	41.875478	-87.688436
40220	Western-Forest Park	3/22/2018	W	1556	41.875478	-87.688436
40220	Western-Forest Park	2/25/2018	U	707	41.875478	-87.688436
40220	Western-Forest Park	1/27/2018	A	831	41.875478	-87.688436
40220	Western-Forest Park	1/8/2018	W	1360	41.875478	-87.688436
40220	Western-Forest Park	1/15/2018	W	803	41.875478	-87.688436
40220	Western-Forest Park	2/26/2018	W	1648	41.875478	-87.688436
40220	Western-Forest Park	2/24/2018	A	866	41.875478	-87.688436
40220	Western-Forest Park	2/17/2018	A	839	41.875478	-87.688436
40220	Western-Forest Park	3/18/2018	U	656	41.875478	-87.688436
40220	Western-Forest Park	3/17/2018	A	1115	41.875478	-87.688436
40220	Western-Forest Park	2/4/2018	U	550	41.875478	-87.688436
40220	Western-Forest Park	1/9/2018	W	1484	41.875478	-87.688436
40220	Western-Forest Park	1/4/2018	W	1046	41.875478	-87.688436
40220	Western-Forest Park	2/27/2018	W	1729	41.875478	-87.688436
40220	Western-Forest Park	3/9/2018	W	1646	41.875478	-87.688436
40220	Western-Forest Park	3/26/2018	W	1175	41.875478	-87.688436
40220	Western-Forest Park	1/5/2018	W	1033	41.875478	-87.688436
40220	Western-Forest Park	2/15/2018	W	1610	41.875478	-87.688436
40220	Western-Forest Park	1/17/2018	W	1603	41.875478	-87.688436
40220	Western-Forest Park	3/11/2018	U	599	41.875478	-87.688436
40220	Western-Forest Park	2/19/2018	W	1060	41.875478	-87.688436
40220	Western-Forest Park	3/27/2018	W	1208	41.875478	-87.688436
40220	Western-Forest Park	3/31/2018	A	716	41.875478	-87.688436
40220	Western-Forest Park	3/12/2018	W	1506	41.875478	-87.688436
40220	Western-Forest Park	1/13/2018	A	761	41.875478	-87.688436
40220	Western-Forest Park	1/28/2018	U	606	41.875478	-87.688436
40220	Western-Forest Park	1/1/2018	U	414	41.875478	-87.688436
40220	Western-Forest Park	2/13/2018	W	1668	41.875478	-87.688436
40220	Western-Forest Park	2/16/2018	W	1694	41.875478	-87.688436
40220	Western-Forest Park	3/30/2018	W	1171	41.875478	-87.688436
40220	Western-Forest Park	2/10/2018	A	724	41.875478	-87.688436
40220	Western-Forest Park	1/11/2018	W	1514	41.875478	-87.688436
40220	Western-Forest Park	1/14/2018	U	571	41.875478	-87.688436
40220	Western-Forest Park	3/3/2018	A	856	41.875478	-87.688436
40220	Western-Forest Park	3/29/2018	W	1270	41.875478	-87.688436
40220	Western-Forest Park	3/24/2018	A	802	41.875478	-87.688436
40220	Western-Forest Park	2/21/2018	W	1691	41.875478	-87.688436
40220	Western-Forest Park	1/22/2018	W	1516	41.875478	-87.688436
40220	Western-Forest Park	3/13/2018	W	1588	41.875478	-87.688436
40220	Western-Forest Park	2/28/2018	W	1743	41.875478	-87.688436
40220	Western-Forest Park	1/30/2018	W	1647	41.875478	-87.688436
40220	Western-Forest Park	3/8/2018	W	1696	41.875478	-87.688436
40220	Western-Forest Park	1/31/2018	W	1671	41.875478	-87.688436
40220	Western-Forest Park	3/16/2018	W	1687	41.875478	-87.688436
40220	Western-Forest Park	1/10/2018	W	1531	41.875478	-87.688436
40220	Western-Forest Park	1/16/2018	W	1602	41.875478	-87.688436
40220	Western-Forest Park	2/11/2018	U	573	41.875478	-87.688436
40220	Western-Forest Park	2/18/2018	U	694	41.875478	-87.688436
40220	Western-Forest Park	3/7/2018	W	1697	41.875478	-87.688436
40220	Western-Forest Park	1/21/2018	U	589	41.875478	-87.688436
40220	Western-Forest Park	3/20/2018	W	1595	41.875478	-87.688436
40220	Western-Forest Park	1/12/2018	W	1418	41.875478	-87.688436
40220	Western-Forest Park	3/6/2018	W	1641	41.875478	-87.688436
40220	Western-Forest Park	3/23/2018	W	1599	41.875478	-87.688436
40220	Western-Forest Park	1/18/2018	W	1610	41.875478	-87.688436
