ï..station_id	stationname	date	daytype	rides	lat	long
41430	87th	12/21/2017	W	4010	41.735372	-87.624717
41430	87th	12/20/2017	W	3964	41.735372	-87.624717
41430	87th	12/24/2017	U	2146	41.735372	-87.624717
41430	87th	12/8/2017	W	4100	41.735372	-87.624717
41430	87th	12/5/2017	W	4202	41.735372	-87.624717
41430	87th	12/19/2017	W	4035	41.735372	-87.624717
41430	87th	12/31/2017	U	1905	41.735372	-87.624717
41430	87th	12/18/2017	W	3848	41.735372	-87.624717
41430	87th	12/28/2017	W	2931	41.735372	-87.624717
41430	87th	12/13/2017	W	3970	41.735372	-87.624717
41430	87th	12/10/2017	U	2264	41.735372	-87.624717
41430	87th	12/11/2017	W	3992	41.735372	-87.624717
41430	87th	12/29/2017	W	3281	41.735372	-87.624717
41430	87th	12/15/2017	W	4127	41.735372	-87.624717
41430	87th	12/1/2017	W	4659	41.735372	-87.624717
41430	87th	12/6/2017	W	4123	41.735372	-87.624717
41430	87th	12/17/2017	U	2313	41.735372	-87.624717
41430	87th	12/7/2017	W	4073	41.735372	-87.624717
41430	87th	12/4/2017	W	4217	41.735372	-87.624717
41430	87th	12/16/2017	A	2932	41.735372	-87.624717
41430	87th	12/3/2017	U	2516	41.735372	-87.624717
41430	87th	12/14/2017	W	3991	41.735372	-87.624717
41430	87th	12/23/2017	A	2879	41.735372	-87.624717
41430	87th	12/26/2017	W	2667	41.735372	-87.624717
41430	87th	12/2/2017	A	3166	41.735372	-87.624717
41430	87th	12/25/2017	U	1207	41.735372	-87.624717
41430	87th	12/22/2017	W	4208	41.735372	-87.624717
41430	87th	12/12/2017	W	4009	41.735372	-87.624717
41430	87th	12/30/2017	A	2183	41.735372	-87.624717
41430	87th	12/9/2017	A	2665	41.735372	-87.624717
41430	87th	12/27/2017	W	2751	41.735372	-87.624717
41430	87th	1/2/2018	W	2754	41.735372	-87.624717
41430	87th	3/15/2018	W	3962	41.735372	-87.624717
41430	87th	3/31/2018	A	2675	41.735372	-87.624717
41430	87th	1/10/2018	W	3764	41.735372	-87.624717
41430	87th	3/14/2018	W	4008	41.735372	-87.624717
41430	87th	1/24/2018	W	3807	41.735372	-87.624717
41430	87th	2/26/2018	W	4021	41.735372	-87.624717
41430	87th	1/21/2018	U	2060	41.735372	-87.624717
41430	87th	3/8/2018	W	3759	41.735372	-87.624717
41430	87th	1/4/2018	W	3136	41.735372	-87.624717
41430	87th	3/2/2018	W	4125	41.735372	-87.624717
41430	87th	1/29/2018	W	3561	41.735372	-87.624717
41430	87th	1/25/2018	W	4008	41.735372	-87.624717
41430	87th	3/19/2018	W	3801	41.735372	-87.624717
41430	87th	2/15/2018	W	4028	41.735372	-87.624717
41430	87th	3/17/2018	A	2802	41.735372	-87.624717
41430	87th	3/18/2018	U	2239	41.735372	-87.624717
41430	87th	1/26/2018	W	4028	41.735372	-87.624717
41430	87th	1/12/2018	W	3690	41.735372	-87.624717
41430	87th	1/13/2018	A	2389	41.735372	-87.624717
41430	87th	1/18/2018	W	3756	41.735372	-87.624717
41430	87th	1/5/2018	W	3225	41.735372	-87.624717
41430	87th	2/22/2018	W	4011	41.735372	-87.624717
41430	87th	3/30/2018	W	3618	41.735372	-87.624717
