ï..station_id	stationname	date	daytype	rides	lat	long
40280	Central-Lake	12/2/2017	A	1270	41.887389	-87.76565
40280	Central-Lake	12/3/2017	U	983	41.887389	-87.76565
40280	Central-Lake	12/12/2017	W	1854	41.887389	-87.76565
40280	Central-Lake	12/19/2017	W	1992	41.887389	-87.76565
40280	Central-Lake	12/30/2017	A	908	41.887389	-87.76565
40280	Central-Lake	12/9/2017	A	1116	41.887389	-87.76565
40280	Central-Lake	12/27/2017	W	1317	41.887389	-87.76565
40280	Central-Lake	12/7/2017	W	1964	41.887389	-87.76565
40280	Central-Lake	12/28/2017	W	1485	41.887389	-87.76565
40280	Central-Lake	12/16/2017	A	1271	41.887389	-87.76565
40280	Central-Lake	12/17/2017	U	945	41.887389	-87.76565
40280	Central-Lake	12/6/2017	W	1975	41.887389	-87.76565
40280	Central-Lake	12/13/2017	W	1927	41.887389	-87.76565
40280	Central-Lake	12/1/2017	W	2176	41.887389	-87.76565
40280	Central-Lake	12/5/2017	W	1971	41.887389	-87.76565
40280	Central-Lake	12/29/2017	W	1594	41.887389	-87.76565
40280	Central-Lake	12/4/2017	W	2020	41.887389	-87.76565
40280	Central-Lake	12/24/2017	U	854	41.887389	-87.76565
40280	Central-Lake	12/25/2017	U	660	41.887389	-87.76565
40280	Central-Lake	12/11/2017	W	1904	41.887389	-87.76565
40280	Central-Lake	12/21/2017	W	1895	41.887389	-87.76565
40280	Central-Lake	12/23/2017	A	1116	41.887389	-87.76565
40280	Central-Lake	12/15/2017	W	2003	41.887389	-87.76565
40280	Central-Lake	12/26/2017	W	1221	41.887389	-87.76565
40280	Central-Lake	12/8/2017	W	1999	41.887389	-87.76565
40280	Central-Lake	12/22/2017	W	1840	41.887389	-87.76565
40280	Central-Lake	12/18/2017	W	1970	41.887389	-87.76565
40280	Central-Lake	12/14/2017	W	2001	41.887389	-87.76565
40280	Central-Lake	12/31/2017	U	795	41.887389	-87.76565
40280	Central-Lake	12/20/2017	W	2026	41.887389	-87.76565
40280	Central-Lake	12/10/2017	U	875	41.887389	-87.76565
40280	Central-Lake	3/30/2018	W	1838	41.887389	-87.76565
40280	Central-Lake	3/25/2018	U	935	41.887389	-87.76565
40280	Central-Lake	2/18/2018	U	924	41.887389	-87.76565
