ï..station_id	stationname	date	daytype	rides	lat	long
40590	Damen/Milwaukee	12/24/2017	U	1552	41.909744	-87.677437
40590	Damen/Milwaukee	12/28/2017	W	3817	41.909744	-87.677437
40590	Damen/Milwaukee	12/16/2017	A	4584	41.909744	-87.677437
40590	Damen/Milwaukee	12/27/2017	W	3383	41.909744	-87.677437
40590	Damen/Milwaukee	12/29/2017	W	4174	41.909744	-87.677437
40590	Damen/Milwaukee	12/19/2017	W	6572	41.909744	-87.677437
40590	Damen/Milwaukee	12/11/2017	W	6167	41.909744	-87.677437
40590	Damen/Milwaukee	12/8/2017	W	6741	41.909744	-87.677437
40590	Damen/Milwaukee	12/20/2017	W	6312	41.909744	-87.677437
40590	Damen/Milwaukee	12/21/2017	W	6250	41.909744	-87.677437
40590	Damen/Milwaukee	12/13/2017	W	6089	41.909744	-87.677437
40590	Damen/Milwaukee	12/23/2017	A	3295	41.909744	-87.677437
40590	Damen/Milwaukee	12/2/2017	A	4952	41.909744	-87.677437
40590	Damen/Milwaukee	12/1/2017	W	7448	41.909744	-87.677437
40590	Damen/Milwaukee	12/7/2017	W	6441	41.909744	-87.677437
40590	Damen/Milwaukee	12/6/2017	W	6334	41.909744	-87.677437
40590	Damen/Milwaukee	12/31/2017	U	2255	41.909744	-87.677437
40590	Damen/Milwaukee	12/3/2017	U	3702	41.909744	-87.677437
40590	Damen/Milwaukee	12/25/2017	U	614	41.909744	-87.677437
40590	Damen/Milwaukee	12/15/2017	W	6498	41.909744	-87.677437
40590	Damen/Milwaukee	12/18/2017	W	6245	41.909744	-87.677437
40590	Damen/Milwaukee	12/4/2017	W	6330	41.909744	-87.677437
40590	Damen/Milwaukee	12/10/2017	U	3152	41.909744	-87.677437
40590	Damen/Milwaukee	12/22/2017	W	5533	41.909744	-87.677437
40590	Damen/Milwaukee	12/9/2017	A	4225	41.909744	-87.677437
40590	Damen/Milwaukee	12/5/2017	W	6217	41.909744	-87.677437
40590	Damen/Milwaukee	12/26/2017	W	2256	41.909744	-87.677437
40590	Damen/Milwaukee	12/12/2017	W	6165	41.909744	-87.677437
40590	Damen/Milwaukee	12/30/2017	A	2687	41.909744	-87.677437
40590	Damen/Milwaukee	12/14/2017	W	6400	41.909744	-87.677437
40590	Damen/Milwaukee	12/17/2017	U	3166	41.909744	-87.677437
40590	Damen/Milwaukee	3/9/2018	W	6598	41.909744	-87.677437
40590	Damen/Milwaukee	2/1/2018	W	6024	41.909744	-87.677437
40590	Damen/Milwaukee	1/14/2018	U	2470	41.909744	-87.677437
40590	Damen/Milwaukee	1/11/2018	W	6094	41.909744	-87.677437
40590	Damen/Milwaukee	3/6/2018	W	6242	41.909744	-87.677437
40590	Damen/Milwaukee	2/27/2018	W	6297	41.909744	-87.677437
40590	Damen/Milwaukee	3/28/2018	W	6290	41.909744	-87.677437
40590	Damen/Milwaukee	1/22/2018	W	5929	41.909744	-87.677437
40590	Damen/Milwaukee	1/21/2018	U	2629	41.909744	-87.677437
40590	Damen/Milwaukee	2/8/2018	W	6060	41.909744	-87.677437
40590	Damen/Milwaukee	1/30/2018	W	5855	41.909744	-87.677437
40590	Damen/Milwaukee	1/8/2018	W	5845	41.909744	-87.677437
40590	Damen/Milwaukee	3/17/2018	A	6968	41.909744	-87.677437
40590	Damen/Milwaukee	3/1/2018	W	6111	41.909744	-87.677437
40590	Damen/Milwaukee	2/3/2018	A	3550	41.909744	-87.677437
40590	Damen/Milwaukee	2/15/2018	W	6330	41.909744	-87.677437
40590	Damen/Milwaukee	1/10/2018	W	5923	41.909744	-87.677437
40590	Damen/Milwaukee	3/7/2018	W	6551	41.909744	-87.677437
40590	Damen/Milwaukee	1/4/2018	W	5259	41.909744	-87.677437
40590	Damen/Milwaukee	1/18/2018	W	6140	41.909744	-87.677437
40590	Damen/Milwaukee	3/4/2018	U	3223	41.909744	-87.677437
40590	Damen/Milwaukee	1/23/2018	W	6143	41.909744	-87.677437
40590	Damen/Milwaukee	3/24/2018	A	3847	41.909744	-87.677437
40590	Damen/Milwaukee	1/3/2018	W	5221	41.909744	-87.677437
40590	Damen/Milwaukee	2/2/2018	W	5975	41.909744	-87.677437
40590	Damen/Milwaukee	2/5/2018	W	5418	41.909744	-87.677437
40590	Damen/Milwaukee	1/20/2018	A	4917	41.909744	-87.677437
40590	Damen/Milwaukee	2/28/2018	W	6337	41.909744	-87.677437
40590	Damen/Milwaukee	3/2/2018	W	6633	41.909744	-87.677437
40590	Damen/Milwaukee	1/15/2018	W	4162	41.909744	-87.677437
40590	Damen/Milwaukee	1/24/2018	W	6194	41.909744	-87.677437
40590	Damen/Milwaukee	2/21/2018	W	6333	41.909744	-87.677437
40590	Damen/Milwaukee	2/14/2018	W	6495	41.909744	-87.677437
40590	Damen/Milwaukee	3/18/2018	U	3881	41.909744	-87.677437
40590	Damen/Milwaukee	2/12/2018	W	5939	41.909744	-87.677437
40590	Damen/Milwaukee	2/6/2018	W	5891	41.909744	-87.677437
40590	Damen/Milwaukee	2/18/2018	U	3075	41.909744	-87.677437
40590	Damen/Milwaukee	1/12/2018	W	6027	41.909744	-87.677437
40590	Damen/Milwaukee	2/11/2018	U	2879	41.909744	-87.677437
40590	Damen/Milwaukee	3/8/2018	W	6424	41.909744	-87.677437
40590	Damen/Milwaukee	1/19/2018	W	6328	41.909744	-87.677437
40590	Damen/Milwaukee	2/10/2018	A	3896	41.909744	-87.677437
40590	Damen/Milwaukee	1/6/2018	A	2876	41.909744	-87.677437
40590	Damen/Milwaukee	1/29/2018	W	5793	41.909744	-87.677437
40590	Damen/Milwaukee	3/30/2018	W	6431	41.909744	-87.677437
40590	Damen/Milwaukee	3/21/2018	W	6480	41.909744	-87.677437
40590	Damen/Milwaukee	3/15/2018	W	6822	41.909744	-87.677437
40590	Damen/Milwaukee	2/19/2018	W	4785	41.909744	-87.677437
40590	Damen/Milwaukee	2/16/2018	W	6637	41.909744	-87.677437
40590	Damen/Milwaukee	2/13/2018	W	6280	41.909744	-87.677437
40590	Damen/Milwaukee	1/7/2018	U	2272	41.909744	-87.677437
40590	Damen/Milwaukee	3/3/2018	A	4454	41.909744	-87.677437
40590	Damen/Milwaukee	2/17/2018	A	4054	41.909744	-87.677437
40590	Damen/Milwaukee	3/19/2018	W	6462	41.909744	-87.677437
40590	Damen/Milwaukee	3/25/2018	U	3469	41.909744	-87.677437
40590	Damen/Milwaukee	2/22/2018	W	6339	41.909744	-87.677437
40590	Damen/Milwaukee	1/31/2018	W	5989	41.909744	-87.677437
40590	Damen/Milwaukee	3/13/2018	W	6259	41.909744	-87.677437
40590	Damen/Milwaukee	1/26/2018	W	6899	41.909744	-87.677437
40590	Damen/Milwaukee	3/5/2018	W	5851	41.909744	-87.677437
40590	Damen/Milwaukee	3/14/2018	W	6750	41.909744	-87.677437
40590	Damen/Milwaukee	3/16/2018	W	7135	41.909744	-87.677437
40590	Damen/Milwaukee	1/2/2018	W	4335	41.909744	-87.677437
40590	Damen/Milwaukee	1/9/2018	W	5890	41.909744	-87.677437
40590	Damen/Milwaukee	2/26/2018	W	6280	41.909744	-87.677437
40590	Damen/Milwaukee	2/7/2018	W	5995	41.909744	-87.677437
40590	Damen/Milwaukee	3/11/2018	U	3274	41.909744	-87.677437
40590	Damen/Milwaukee	2/4/2018	U	2273	41.909744	-87.677437
40590	Damen/Milwaukee	3/10/2018	A	4416	41.909744	-87.677437
40590	Damen/Milwaukee	2/25/2018	U	3107	41.909744	-87.677437
40590	Damen/Milwaukee	3/23/2018	W	6611	41.909744	-87.677437
40590	Damen/Milwaukee	3/20/2018	W	6192	41.909744	-87.677437
40590	Damen/Milwaukee	1/16/2018	W	6054	41.909744	-87.677437
40590	Damen/Milwaukee	1/27/2018	A	4356	41.909744	-87.677437
40590	Damen/Milwaukee	3/31/2018	A	3932	41.909744	-87.677437
40590	Damen/Milwaukee	3/27/2018	W	6235	41.909744	-87.677437
40590	Damen/Milwaukee	2/23/2018	W	6384	41.909744	-87.677437
40590	Damen/Milwaukee	1/5/2018	W	5205	41.909744	-87.677437
40590	Damen/Milwaukee	2/20/2018	W	5881	41.909744	-87.677437
40590	Damen/Milwaukee	1/25/2018	W	6387	41.909744	-87.677437
40590	Damen/Milwaukee	3/26/2018	W	6185	41.909744	-87.677437
40590	Damen/Milwaukee	2/24/2018	A	3932	41.909744	-87.677437
40590	Damen/Milwaukee	3/22/2018	W	6481	41.909744	-87.677437
40590	Damen/Milwaukee	1/17/2018	W	6037	41.909744	-87.677437
40590	Damen/Milwaukee	1/28/2018	U	2819	41.909744	-87.677437
40590	Damen/Milwaukee	1/1/2018	U	2583	41.909744	-87.677437
40590	Damen/Milwaukee	3/12/2018	W	6347	41.909744	-87.677437
40590	Damen/Milwaukee	3/29/2018	W	6298	41.909744	-87.677437
40590	Damen/Milwaukee	2/9/2018	W	4512	41.909744	-87.677437
40590	Damen/Milwaukee	1/13/2018	A	3313	41.909744	-87.677437
40590	Damen/Milwaukee	6/23/2018	A	4842	41.909744	-87.677437
40590	Damen/Milwaukee	5/14/2018	W	5802	41.909744	-87.677437
40590	Damen/Milwaukee	5/26/2018	A	4691	41.909744	-87.677437
40590	Damen/Milwaukee	6/9/2018	A	4651	41.909744	-87.677437
40590	Damen/Milwaukee	4/21/2018	A	4250	41.909744	-87.677437
40590	Damen/Milwaukee	6/18/2018	W	6394	41.909744	-87.677437
40590	Damen/Milwaukee	5/4/2018	W	7106	41.909744	-87.677437
40590	Damen/Milwaukee	5/5/2018	A	4666	41.909744	-87.677437
40590	Damen/Milwaukee	5/28/2018	U	3070	41.909744	-87.677437
40590	Damen/Milwaukee	4/11/2018	W	6403	41.909744	-87.677437
40590	Damen/Milwaukee	6/27/2018	W	6840	41.909744	-87.677437
40590	Damen/Milwaukee	6/1/2018	W	7511	41.909744	-87.677437
40590	Damen/Milwaukee	4/22/2018	U	3032	41.909744	-87.677437
40590	Damen/Milwaukee	5/25/2018	W	6756	41.909744	-87.677437
40590	Damen/Milwaukee	6/29/2018	W	6946	41.909744	-87.677437
