ï..station_id	stationname	date	daytype	rides	lat	long
40870	Francisco	12/19/2017	W	1643	41.966046	-87.701644
40870	Francisco	12/15/2017	W	1655	41.966046	-87.701644
40870	Francisco	12/7/2017	W	1674	41.966046	-87.701644
40870	Francisco	12/4/2017	W	1677	41.966046	-87.701644
40870	Francisco	12/9/2017	A	825	41.966046	-87.701644
40870	Francisco	12/2/2017	A	1051	41.966046	-87.701644
40870	Francisco	12/17/2017	U	669	41.966046	-87.701644
40870	Francisco	12/13/2017	W	1698	41.966046	-87.701644
40870	Francisco	12/12/2017	W	1696	41.966046	-87.701644
40870	Francisco	12/14/2017	W	1687	41.966046	-87.701644
40870	Francisco	12/31/2017	U	539	41.966046	-87.701644
40870	Francisco	12/3/2017	U	661	41.966046	-87.701644
40870	Francisco	12/29/2017	W	1003	41.966046	-87.701644
40870	Francisco	12/21/2017	W	1585	41.966046	-87.701644
40870	Francisco	12/1/2017	W	1839	41.966046	-87.701644
40870	Francisco	12/26/2017	W	699	41.966046	-87.701644
40870	Francisco	12/11/2017	W	1647	41.966046	-87.701644
40870	Francisco	12/30/2017	A	572	41.966046	-87.701644
40870	Francisco	12/24/2017	U	414	41.966046	-87.701644
40870	Francisco	12/16/2017	A	942	41.966046	-87.701644
40870	Francisco	12/8/2017	W	1660	41.966046	-87.701644
40870	Francisco	12/20/2017	W	1628	41.966046	-87.701644
40870	Francisco	12/6/2017	W	1706	41.966046	-87.701644
40870	Francisco	12/18/2017	W	1598	41.966046	-87.701644
40870	Francisco	12/23/2017	A	682	41.966046	-87.701644
40870	Francisco	12/10/2017	U	594	41.966046	-87.701644
40870	Francisco	12/22/2017	W	1346	41.966046	-87.701644
40870	Francisco	12/27/2017	W	972	41.966046	-87.701644
40870	Francisco	12/5/2017	W	1696	41.966046	-87.701644
40870	Francisco	12/28/2017	W	1025	41.966046	-87.701644
40870	Francisco	12/25/2017	U	179	41.966046	-87.701644
40870	Francisco	3/25/2018	U	588	41.966046	-87.701644
40870	Francisco	3/21/2018	W	1608	41.966046	-87.701644
40870	Francisco	3/26/2018	W	1521	41.966046	-87.701644
40870	Francisco	2/19/2018	W	1099	41.966046	-87.701644
40870	Francisco	2/20/2018	W	1585	41.966046	-87.701644
40870	Francisco	1/10/2018	W	1661	41.966046	-87.701644
40870	Francisco	3/31/2018	A	727	41.966046	-87.701644
40870	Francisco	2/16/2018	W	1658	41.966046	-87.701644
40870	Francisco	1/25/2018	W	1629	41.966046	-87.701644
40870	Francisco	3/2/2018	W	1616	41.966046	-87.701644
40870	Francisco	3/3/2018	A	830	41.966046	-87.701644
40870	Francisco	1/19/2018	W	1569	41.966046	-87.701644
40870	Francisco	3/5/2018	W	1535	41.966046	-87.701644
40870	Francisco	1/1/2018	U	259	41.966046	-87.701644
40870	Francisco	2/12/2018	W	1579	41.966046	-87.701644
40870	Francisco	1/11/2018	W	1667	41.966046	-87.701644
40870	Francisco	3/14/2018	W	1705	41.966046	-87.701644
40870	Francisco	1/18/2018	W	1641	41.966046	-87.701644
40870	Francisco	3/10/2018	A	777	41.966046	-87.701644
40870	Francisco	2/21/2018	W	1724	41.966046	-87.701644
40870	Francisco	3/19/2018	W	1547	41.966046	-87.701644
40870	Francisco	1/31/2018	W	1660	41.966046	-87.701644
40870	Francisco	3/7/2018	W	1727	41.966046	-87.701644
