ï..station_id	stationname	date	daytype	rides	lat	long
40020	Harlem-Lake	12/7/2017	W	3785	41.886848	-87.803176
40020	Harlem-Lake	12/29/2017	W	2757	41.886848	-87.803176
40020	Harlem-Lake	12/25/2017	U	585	41.886848	-87.803176
40020	Harlem-Lake	12/23/2017	A	1977	41.886848	-87.803176
40020	Harlem-Lake	12/6/2017	W	3710	41.886848	-87.803176
40020	Harlem-Lake	12/22/2017	W	3216	41.886848	-87.803176
40020	Harlem-Lake	12/20/2017	W	3637	41.886848	-87.803176
40020	Harlem-Lake	12/13/2017	W	3723	41.886848	-87.803176
40020	Harlem-Lake	12/31/2017	U	1258	41.886848	-87.803176
40020	Harlem-Lake	12/19/2017	W	3649	41.886848	-87.803176
40020	Harlem-Lake	12/4/2017	W	3687	41.886848	-87.803176
40020	Harlem-Lake	12/18/2017	W	3417	41.886848	-87.803176
40020	Harlem-Lake	12/16/2017	A	2211	41.886848	-87.803176
40020	Harlem-Lake	12/12/2017	W	3544	41.886848	-87.803176
40020	Harlem-Lake	12/27/2017	W	2413	41.886848	-87.803176
40020	Harlem-Lake	12/21/2017	W	3497	41.886848	-87.803176
40020	Harlem-Lake	12/30/2017	A	1482	41.886848	-87.803176
40020	Harlem-Lake	12/28/2017	W	2639	41.886848	-87.803176
40020	Harlem-Lake	12/2/2017	A	2300	41.886848	-87.803176
40020	Harlem-Lake	12/15/2017	W	3516	41.886848	-87.803176
40020	Harlem-Lake	12/3/2017	U	1632	41.886848	-87.803176
40020	Harlem-Lake	12/10/2017	U	1421	41.886848	-87.803176
40020	Harlem-Lake	12/26/2017	W	1946	41.886848	-87.803176
40020	Harlem-Lake	12/9/2017	A	2085	41.886848	-87.803176
40020	Harlem-Lake	12/24/2017	U	1308	41.886848	-87.803176
40020	Harlem-Lake	12/11/2017	W	3441	41.886848	-87.803176
40020	Harlem-Lake	12/8/2017	W	3773	41.886848	-87.803176
40020	Harlem-Lake	12/17/2017	U	1492	41.886848	-87.803176
40020	Harlem-Lake	12/14/2017	W	3666	41.886848	-87.803176
40020	Harlem-Lake	12/5/2017	W	3683	41.886848	-87.803176
40020	Harlem-Lake	12/1/2017	W	4088	41.886848	-87.803176
40020	Harlem-Lake	11/1/2018	W	4021	41.886848	-87.803176
40020	Harlem-Lake	11/2/2018	W	3850	41.886848	-87.803176
40020	Harlem-Lake	11/3/2018	A	2308	41.886848	-87.803176
40020	Harlem-Lake	11/4/2018	U	1443	41.886848	-87.803176
40020	Harlem-Lake	11/5/2018	W	3670	41.886848	-87.803176
40020	Harlem-Lake	11/6/2018	W	3773	41.886848	-87.803176
40020	Harlem-Lake	11/7/2018	W	3884	41.886848	-87.803176
40020	Harlem-Lake	11/8/2018	W	3936	41.886848	-87.803176
40020	Harlem-Lake	11/9/2018	W	3658	41.886848	-87.803176
40020	Harlem-Lake	11/10/2018	A	2026	41.886848	-87.803176
40020	Harlem-Lake	11/11/2018	U	1528	41.886848	-87.803176
40020	Harlem-Lake	11/12/2018	W	3422	41.886848	-87.803176
40020	Harlem-Lake	11/13/2018	W	3816	41.886848	-87.803176
40020	Harlem-Lake	11/14/2018	W	3804	41.886848	-87.803176
40020	Harlem-Lake	11/15/2018	W	3756	41.886848	-87.803176
40020	Harlem-Lake	11/16/2018	W	3905	41.886848	-87.803176
40020	Harlem-Lake	11/17/2018	A	2322	41.886848	-87.803176
40020	Harlem-Lake	11/18/2018	U	1620	41.886848	-87.803176
40020	Harlem-Lake	11/19/2018	W	3606	41.886848	-87.803176
40020	Harlem-Lake	11/20/2018	W	3697	41.886848	-87.803176
40020	Harlem-Lake	11/21/2018	W	3370	41.886848	-87.803176
40020	Harlem-Lake	11/22/2018	U	1082	41.886848	-87.803176
40020	Harlem-Lake	2/6/2018	W	3397	41.886848	-87.803176
40020	Harlem-Lake	3/25/2018	U	1540	41.886848	-87.803176
40020	Harlem-Lake	1/23/2018	W	3604	41.886848	-87.803176
40020	Harlem-Lake	3/5/2018	W	3439	41.886848	-87.803176
40020	Harlem-Lake	3/9/2018	W	3660	41.886848	-87.803176
