ï..station_id	stationname	date	daytype	rides	lat	long
40550	Irving Park-O'Hare	12/18/2017	W	4187	41.952925	-87.729229
40550	Irving Park-O'Hare	12/24/2017	U	1512	41.952925	-87.729229
40550	Irving Park-O'Hare	12/29/2017	W	3020	41.952925	-87.729229
40550	Irving Park-O'Hare	12/6/2017	W	4555	41.952925	-87.729229
40550	Irving Park-O'Hare	12/8/2017	W	4520	41.952925	-87.729229
40550	Irving Park-O'Hare	12/20/2017	W	4406	41.952925	-87.729229
40550	Irving Park-O'Hare	12/10/2017	U	1709	41.952925	-87.729229
40550	Irving Park-O'Hare	12/27/2017	W	2789	41.952925	-87.729229
40550	Irving Park-O'Hare	12/12/2017	W	4364	41.952925	-87.729229
40550	Irving Park-O'Hare	12/21/2017	W	4410	41.952925	-87.729229
40550	Irving Park-O'Hare	12/13/2017	W	4369	41.952925	-87.729229
40550	Irving Park-O'Hare	12/30/2017	A	1695	41.952925	-87.729229
40550	Irving Park-O'Hare	12/2/2017	A	2525	41.952925	-87.729229
40550	Irving Park-O'Hare	12/3/2017	U	1942	41.952925	-87.729229
40550	Irving Park-O'Hare	12/28/2017	W	2983	41.952925	-87.729229
40550	Irving Park-O'Hare	12/11/2017	W	4214	41.952925	-87.729229
40550	Irving Park-O'Hare	12/19/2017	W	4246	41.952925	-87.729229
40550	Irving Park-O'Hare	12/1/2017	W	4673	41.952925	-87.729229
40550	Irving Park-O'Hare	12/14/2017	W	4450	41.952925	-87.729229
40550	Irving Park-O'Hare	12/23/2017	A	2199	41.952925	-87.729229
40550	Irving Park-O'Hare	12/17/2017	U	1762	41.952925	-87.729229
40550	Irving Park-O'Hare	12/26/2017	W	2260	41.952925	-87.729229
40550	Irving Park-O'Hare	12/22/2017	W	3929	41.952925	-87.729229
40550	Irving Park-O'Hare	12/31/2017	U	1538	41.952925	-87.729229
40550	Irving Park-O'Hare	12/16/2017	A	2331	41.952925	-87.729229
40550	Irving Park-O'Hare	12/7/2017	W	4563	41.952925	-87.729229
40550	Irving Park-O'Hare	12/9/2017	A	2370	41.952925	-87.729229
40550	Irving Park-O'Hare	12/15/2017	W	4297	41.952925	-87.729229
40550	Irving Park-O'Hare	12/5/2017	W	4449	41.952925	-87.729229
40550	Irving Park-O'Hare	12/25/2017	U	1007	41.952925	-87.729229
40550	Irving Park-O'Hare	12/4/2017	W	4472	41.952925	-87.729229
40550	Irving Park-O'Hare	3/21/2018	W	4398	41.952925	-87.729229
40550	Irving Park-O'Hare	1/31/2018	W	4632	41.952925	-87.729229
40550	Irving Park-O'Hare	3/1/2018	W	4258	41.952925	-87.729229
40550	Irving Park-O'Hare	3/3/2018	A	2302	41.952925	-87.729229
40550	Irving Park-O'Hare	2/13/2018	W	4396	41.952925	-87.729229
40550	Irving Park-O'Hare	1/18/2018	W	4277	41.952925	-87.729229
40550	Irving Park-O'Hare	1/15/2018	W	2736	41.952925	-87.729229
40550	Irving Park-O'Hare	2/2/2018	W	3873	41.952925	-87.729229
40550	Irving Park-O'Hare	1/16/2018	W	4204	41.952925	-87.729229
40550	Irving Park-O'Hare	3/16/2018	W	4353	41.952925	-87.729229
40550	Irving Park-O'Hare	2/11/2018	U	1580	41.952925	-87.729229
40550	Irving Park-O'Hare	3/14/2018	W	4472	41.952925	-87.729229
40550	Irving Park-O'Hare	2/25/2018	U	1701	41.952925	-87.729229
40550	Irving Park-O'Hare	3/13/2018	W	4389	41.952925	-87.729229
40550	Irving Park-O'Hare	2/17/2018	A	2128	41.952925	-87.729229
40550	Irving Park-O'Hare	2/7/2018	W	4256	41.952925	-87.729229
40550	Irving Park-O'Hare	3/31/2018	A	2062	41.952925	-87.729229
40550	Irving Park-O'Hare	3/19/2018	W	4354	41.952925	-87.729229
40550	Irving Park-O'Hare	1/23/2018	W	4288	41.952925	-87.729229
40550	Irving Park-O'Hare	2/12/2018	W	4121	41.952925	-87.729229
40550	Irving Park-O'Hare	2/15/2018	W	4430	41.952925	-87.729229
