ï..station_id	stationname	date	daytype	rides	lat	long
41300	Loyola	12/12/2017	W	5177	42.001073	-87.661061
41300	Loyola	12/5/2017	W	5454	42.001073	-87.661061
41300	Loyola	12/13/2017	W	4986	42.001073	-87.661061
41300	Loyola	12/18/2017	W	3776	42.001073	-87.661061
41300	Loyola	12/8/2017	W	5895	42.001073	-87.661061
41300	Loyola	12/27/2017	W	2264	42.001073	-87.661061
41300	Loyola	12/30/2017	A	2060	42.001073	-87.661061
41300	Loyola	12/25/2017	U	963	42.001073	-87.661061
41300	Loyola	12/21/2017	W	3654	42.001073	-87.661061
41300	Loyola	12/24/2017	U	1481	42.001073	-87.661061
41300	Loyola	12/16/2017	A	4212	42.001073	-87.661061
41300	Loyola	12/22/2017	W	3307	42.001073	-87.661061
41300	Loyola	12/3/2017	U	3341	42.001073	-87.661061
41300	Loyola	12/26/2017	W	1843	42.001073	-87.661061
41300	Loyola	12/10/2017	U	2864	42.001073	-87.661061
41300	Loyola	12/6/2017	W	5465	42.001073	-87.661061
41300	Loyola	12/9/2017	A	3961	42.001073	-87.661061
41300	Loyola	12/20/2017	W	3846	42.001073	-87.661061
41300	Loyola	12/17/2017	U	2578	42.001073	-87.661061
41300	Loyola	12/19/2017	W	3980	42.001073	-87.661061
41300	Loyola	12/14/2017	W	5109	42.001073	-87.661061
41300	Loyola	12/1/2017	W	6511	42.001073	-87.661061
41300	Loyola	12/11/2017	W	4966	42.001073	-87.661061
41300	Loyola	12/28/2017	W	2541	42.001073	-87.661061
41300	Loyola	12/15/2017	W	5175	42.001073	-87.661061
41300	Loyola	12/2/2017	A	4856	42.001073	-87.661061
41300	Loyola	12/7/2017	W	5532	42.001073	-87.661061
41300	Loyola	12/29/2017	W	2667	42.001073	-87.661061
41300	Loyola	12/4/2017	W	5385	42.001073	-87.661061
41300	Loyola	12/23/2017	A	2119	42.001073	-87.661061
41300	Loyola	12/31/2017	U	2097	42.001073	-87.661061
41300	Loyola	2/14/2018	W	5713	42.001073	-87.661061
41300	Loyola	3/12/2018	W	5329	42.001073	-87.661061
41300	Loyola	1/21/2018	U	2646	42.001073	-87.661061
41300	Loyola	3/13/2018	W	5374	42.001073	-87.661061
41300	Loyola	2/20/2018	W	5270	42.001073	-87.661061
41300	Loyola	3/28/2018	W	5334	42.001073	-87.661061
41300	Loyola	1/7/2018	U	1867	42.001073	-87.661061
41300	Loyola	1/24/2018	W	5342	42.001073	-87.661061
41300	Loyola	1/30/2018	W	5394	42.001073	-87.661061
41300	Loyola	2/17/2018	A	4188	42.001073	-87.661061
41300	Loyola	2/13/2018	W	5516	42.001073	-87.661061
41300	Loyola	1/8/2018	W	3757	42.001073	-87.661061
41300	Loyola	2/16/2018	W	6085	42.001073	-87.661061
41300	Loyola	3/8/2018	W	4262	42.001073	-87.661061
41300	Loyola	3/14/2018	W	5712	42.001073	-87.661061
41300	Loyola	3/11/2018	U	2801	42.001073	-87.661061
41300	Loyola	1/31/2018	W	5450	42.001073	-87.661061
41300	Loyola	3/31/2018	A	3703	42.001073	-87.661061
41300	Loyola	3/26/2018	W	4857	42.001073	-87.661061
41300	Loyola	2/25/2018	U	2973	42.001073	-87.661061
41300	Loyola	1/26/2018	W	5871	42.001073	-87.661061
41300	Loyola	3/19/2018	W	5198	42.001073	-87.661061
41300	Loyola	2/1/2018	W	5419	42.001073	-87.661061
41300	Loyola	1/15/2018	W	3613	42.001073	-87.661061
41300	Loyola	3/17/2018	A	6278	42.001073	-87.661061
41300	Loyola	1/14/2018	U	2223	42.001073	-87.661061
41300	Loyola	3/30/2018	W	4270	42.001073	-87.661061
41300	Loyola	3/7/2018	W	4323	42.001073	-87.661061
41300	Loyola	2/21/2018	W	5577	42.001073	-87.661061
41300	Loyola	1/27/2018	A	4075	42.001073	-87.661061
41300	Loyola	1/23/2018	W	5515	42.001073	-87.661061
41300	Loyola	2/9/2018	W	4589	42.001073	-87.661061
41300	Loyola	1/13/2018	A	2818	42.001073	-87.661061
41300	Loyola	2/24/2018	A	4571	42.001073	-87.661061
41300	Loyola	3/21/2018	W	5185	42.001073	-87.661061
41300	Loyola	2/3/2018	A	3985	42.001073	-87.661061
41300	Loyola	3/27/2018	W	5197	42.001073	-87.661061
