ï..station_id	stationname	date	daytype	rides	lat	long
41310	Paulina	12/10/2017	U	1001	41.943623	-87.670907
41310	Paulina	12/13/2017	W	2805	41.943623	-87.670907
41310	Paulina	12/8/2017	W	2858	41.943623	-87.670907
41310	Paulina	12/21/2017	W	2616	41.943623	-87.670907
41310	Paulina	12/24/2017	U	513	41.943623	-87.670907
41310	Paulina	12/31/2017	U	800	41.943623	-87.670907
41310	Paulina	12/28/2017	W	1583	41.943623	-87.670907
41310	Paulina	12/20/2017	W	2760	41.943623	-87.670907
41310	Paulina	12/12/2017	W	2825	41.943623	-87.670907
41310	Paulina	12/2/2017	A	1897	41.943623	-87.670907
41310	Paulina	12/6/2017	W	2842	41.943623	-87.670907
41310	Paulina	12/23/2017	A	1066	41.943623	-87.670907
41310	Paulina	12/25/2017	U	205	41.943623	-87.670907
41310	Paulina	12/29/2017	W	1649	41.943623	-87.670907
41310	Paulina	12/18/2017	W	2677	41.943623	-87.670907
41310	Paulina	12/9/2017	A	1622	41.943623	-87.670907
41310	Paulina	12/27/2017	W	1364	41.943623	-87.670907
41310	Paulina	12/15/2017	W	2724	41.943623	-87.670907
41310	Paulina	12/3/2017	U	1085	41.943623	-87.670907
41310	Paulina	12/17/2017	U	997	41.943623	-87.670907
41310	Paulina	12/26/2017	W	904	41.943623	-87.670907
41310	Paulina	12/7/2017	W	2805	41.943623	-87.670907
41310	Paulina	12/30/2017	A	945	41.943623	-87.670907
41310	Paulina	12/1/2017	W	3031	41.943623	-87.670907
41310	Paulina	12/11/2017	W	2755	41.943623	-87.670907
41310	Paulina	12/14/2017	W	2781	41.943623	-87.670907
41310	Paulina	12/5/2017	W	2875	41.943623	-87.670907
41310	Paulina	12/22/2017	W	2083	41.943623	-87.670907
41310	Paulina	12/16/2017	A	1624	41.943623	-87.670907
41310	Paulina	12/19/2017	W	2863	41.943623	-87.670907
41310	Paulina	12/4/2017	W	2871	41.943623	-87.670907
41310	Paulina	3/22/2018	W	2785	41.943623	-87.670907
41310	Paulina	1/20/2018	A	1855	41.943623	-87.670907
41310	Paulina	1/22/2018	W	2662	41.943623	-87.670907
41310	Paulina	2/23/2018	W	2824	41.943623	-87.670907
41310	Paulina	1/26/2018	W	2745	41.943623	-87.670907
41310	Paulina	2/19/2018	W	1970	41.943623	-87.670907
41310	Paulina	3/27/2018	W	2697	41.943623	-87.670907
41310	Paulina	1/25/2018	W	2899	41.943623	-87.670907
41310	Paulina	3/11/2018	U	979	41.943623	-87.670907
41310	Paulina	3/25/2018	U	989	41.943623	-87.670907
41310	Paulina	3/7/2018	W	2904	41.943623	-87.670907
41310	Paulina	2/6/2018	W	2796	41.943623	-87.670907
41310	Paulina	1/15/2018	W	1792	41.943623	-87.670907
41310	Paulina	3/6/2018	W	2871	41.943623	-87.670907
41310	Paulina	2/18/2018	U	1035	41.943623	-87.670907
41310	Paulina	1/3/2018	W	2471	41.943623	-87.670907
41310	Paulina	3/19/2018	W	2738	41.943623	-87.670907
41310	Paulina	1/6/2018	A	1192	41.943623	-87.670907
41310	Paulina	3/31/2018	A	1230	41.943623	-87.670907
41310	Paulina	1/17/2018	W	2839	41.943623	-87.670907
41310	Paulina	1/5/2018	W	2290	41.943623	-87.670907
41310	Paulina	1/1/2018	U	595	41.943623	-87.670907
41310	Paulina	3/14/2018	W	2960	41.943623	-87.670907
41310	Paulina	3/20/2018	W	2792	41.943623	-87.670907
41310	Paulina	1/31/2018	W	2913	41.943623	-87.670907
41310	Paulina	2/9/2018	W	2016	41.943623	-87.670907
41310	Paulina	1/14/2018	U	840	41.943623	-87.670907
41310	Paulina	2/7/2018	W	2837	41.943623	-87.670907
