ï..station_id	stationname	date	daytype	rides	lat	long
41400	Roosevelt	12/31/2017	U	4775	41.8675	-87.626667
41400	Roosevelt	12/27/2017	W	6404	41.8675	-87.626667
41400	Roosevelt	12/14/2017	W	10434	41.8675	-87.626667
41400	Roosevelt	12/9/2017	A	7331	41.8675	-87.626667
41400	Roosevelt	12/18/2017	W	9385	41.8675	-87.626667
41400	Roosevelt	12/2/2017	A	8747	41.8675	-87.626667
41400	Roosevelt	12/8/2017	W	11275	41.8675	-87.626667
41400	Roosevelt	12/28/2017	W	7382	41.8675	-87.626667
41400	Roosevelt	12/6/2017	W	10861	41.8675	-87.626667
41400	Roosevelt	12/15/2017	W	10670	41.8675	-87.626667
41400	Roosevelt	12/16/2017	A	8071	41.8675	-87.626667
41400	Roosevelt	12/10/2017	U	5770	41.8675	-87.626667
41400	Roosevelt	12/5/2017	W	10721	41.8675	-87.626667
41400	Roosevelt	12/17/2017	U	5627	41.8675	-87.626667
41400	Roosevelt	12/1/2017	W	11844	41.8675	-87.626667
41400	Roosevelt	12/24/2017	U	7317	41.8675	-87.626667
41400	Roosevelt	12/21/2017	W	9766	41.8675	-87.626667
41400	Roosevelt	12/29/2017	W	8067	41.8675	-87.626667
41400	Roosevelt	12/19/2017	W	9745	41.8675	-87.626667
41400	Roosevelt	12/25/2017	U	1949	41.8675	-87.626667
41400	Roosevelt	12/4/2017	W	10637	41.8675	-87.626667
41400	Roosevelt	12/13/2017	W	10250	41.8675	-87.626667
41400	Roosevelt	12/20/2017	W	9817	41.8675	-87.626667
41400	Roosevelt	12/30/2017	A	5507	41.8675	-87.626667
41400	Roosevelt	12/3/2017	U	9972	41.8675	-87.626667
41400	Roosevelt	12/23/2017	A	6323	41.8675	-87.626667
41400	Roosevelt	12/26/2017	W	5535	41.8675	-87.626667
41400	Roosevelt	12/12/2017	W	10052	41.8675	-87.626667
41400	Roosevelt	12/11/2017	W	10001	41.8675	-87.626667
41400	Roosevelt	12/7/2017	W	10647	41.8675	-87.626667
41400	Roosevelt	12/22/2017	W	9569	41.8675	-87.626667
41400	Roosevelt	2/9/2018	W	7550	41.8675	-87.626667
41400	Roosevelt	3/3/2018	A	8131	41.8675	-87.626667
41400	Roosevelt	1/23/2018	W	10239	41.8675	-87.626667
41400	Roosevelt	1/19/2018	W	10342	41.8675	-87.626667
41400	Roosevelt	1/9/2018	W	9271	41.8675	-87.626667
41400	Roosevelt	1/22/2018	W	9872	41.8675	-87.626667
41400	Roosevelt	3/1/2018	W	10402	41.8675	-87.626667
41400	Roosevelt	3/6/2018	W	10145	41.8675	-87.626667
41400	Roosevelt	3/12/2018	W	10200	41.8675	-87.626667
41400	Roosevelt	2/2/2018	W	10035	41.8675	-87.626667
41400	Roosevelt	1/4/2018	W	8260	41.8675	-87.626667
41400	Roosevelt	2/8/2018	W	10358	41.8675	-87.626667
41400	Roosevelt	2/6/2018	W	9888	41.8675	-87.626667
41400	Roosevelt	3/16/2018	W	11222	41.8675	-87.626667
41400	Roosevelt	3/27/2018	W	10365	41.8675	-87.626667
41400	Roosevelt	1/11/2018	W	9445	41.8675	-87.626667
41400	Roosevelt	1/8/2018	W	8959	41.8675	-87.626667
41400	Roosevelt	3/18/2018	U	6290	41.8675	-87.626667
41400	Roosevelt	2/5/2018	W	9137	41.8675	-87.626667
41400	Roosevelt	1/29/2018	W	9462	41.8675	-87.626667
41400	Roosevelt	3/21/2018	W	9771	41.8675	-87.626667
41400	Roosevelt	1/27/2018	A	7592	41.8675	-87.626667
41400	Roosevelt	3/9/2018	W	10763	41.8675	-87.626667
41400	Roosevelt	1/14/2018	U	4838	41.8675	-87.626667
41400	Roosevelt	1/6/2018	A	5904	41.8675	-87.626667
41400	Roosevelt	1/7/2018	U	4552	41.8675	-87.626667
41400	Roosevelt	3/31/2018	A	7214	41.8675	-87.626667
41400	Roosevelt	2/13/2018	W	10606	41.8675	-87.626667
41400	Roosevelt	1/17/2018	W	9320	41.8675	-87.626667
41400	Roosevelt	2/11/2018	U	5016	41.8675	-87.626667
41400	Roosevelt	3/29/2018	W	10443	41.8675	-87.626667
41400	Roosevelt	1/24/2018	W	10197	41.8675	-87.626667
41400	Roosevelt	3/30/2018	W	10313	41.8675	-87.626667
41400	Roosevelt	2/20/2018	W	10253	41.8675	-87.626667
41400	Roosevelt	3/14/2018	W	10469	41.8675	-87.626667
41400	Roosevelt	1/12/2018	W	9282	41.8675	-87.626667
41400	Roosevelt	2/22/2018	W	10740	41.8675	-87.626667
41400	Roosevelt	3/13/2018	W	10565	41.8675	-87.626667
41400	Roosevelt	2/23/2018	W	10733	41.8675	-87.626667
41400	Roosevelt	2/3/2018	A	6633	41.8675	-87.626667
41400	Roosevelt	2/27/2018	W	10535	41.8675	-87.626667
41400	Roosevelt	2/17/2018	A	8069	41.8675	-87.626667
41400	Roosevelt	1/31/2018	W	10158	41.8675	-87.626667
41400	Roosevelt	1/30/2018	W	9847	41.8675	-87.626667
41400	Roosevelt	2/7/2018	W	9892	41.8675	-87.626667
41400	Roosevelt	1/25/2018	W	10466	41.8675	-87.626667
41400	Roosevelt	3/19/2018	W	9835	41.8675	-87.626667
41400	Roosevelt	3/25/2018	U	7024	41.8675	-87.626667
41400	Roosevelt	2/26/2018	W	9991	41.8675	-87.626667
41400	Roosevelt	2/1/2018	W	10077	41.8675	-87.626667
41400	Roosevelt	3/17/2018	A	9753	41.8675	-87.626667
41400	Roosevelt	3/8/2018	W	10313	41.8675	-87.626667
41400	Roosevelt	3/7/2018	W	10388	41.8675	-87.626667
41400	Roosevelt	1/20/2018	A	8979	41.8675	-87.626667
41400	Roosevelt	2/25/2018	U	6186	41.8675	-87.626667
41400	Roosevelt	3/26/2018	W	9880	41.8675	-87.626667
41400	Roosevelt	1/2/2018	W	7109	41.8675	-87.626667
41400	Roosevelt	1/13/2018	A	6141	41.8675	-87.626667
41400	Roosevelt	3/11/2018	U	5697	41.8675	-87.626667
41400	Roosevelt	3/15/2018	W	10925	41.8675	-87.626667
41400	Roosevelt	3/22/2018	W	9913	41.8675	-87.626667
41400	Roosevelt	2/16/2018	W	10996	41.8675	-87.626667
41400	Roosevelt	2/28/2018	W	10378	41.8675	-87.626667
41400	Roosevelt	3/23/2018	W	10412	41.8675	-87.626667
41400	Roosevelt	3/10/2018	A	7566	41.8675	-87.626667
41400	Roosevelt	1/21/2018	U	5259	41.8675	-87.626667
41400	Roosevelt	2/10/2018	A	6635	41.8675	-87.626667
41400	Roosevelt	2/4/2018	U	4638	41.8675	-87.626667
41400	Roosevelt	1/16/2018	W	9418	41.8675	-87.626667
41400	Roosevelt	2/18/2018	U	6494	41.8675	-87.626667
41400	Roosevelt	1/15/2018	W	7857	41.8675	-87.626667
41400	Roosevelt	3/24/2018	A	7704	41.8675	-87.626667
41400	Roosevelt	3/5/2018	W	9841	41.8675	-87.626667
41400	Roosevelt	1/18/2018	W	9704	41.8675	-87.626667
41400	Roosevelt	3/28/2018	W	10669	41.8675	-87.626667
41400	Roosevelt	1/10/2018	W	9431	41.8675	-87.626667
41400	Roosevelt	2/15/2018	W	10458	41.8675	-87.626667
41400	Roosevelt	2/19/2018	W	8950	41.8675	-87.626667
41400	Roosevelt	2/14/2018	W	11067	41.8675	-87.626667
41400	Roosevelt	2/21/2018	W	10322	41.8675	-87.626667
41400	Roosevelt	2/24/2018	A	7994	41.8675	-87.626667
41400	Roosevelt	3/4/2018	U	5791	41.8675	-87.626667
41400	Roosevelt	3/2/2018	W	10570	41.8675	-87.626667
41400	Roosevelt	2/12/2018	W	9645	41.8675	-87.626667
41400	Roosevelt	1/26/2018	W	10513	41.8675	-87.626667
41400	Roosevelt	1/28/2018	U	5585	41.8675	-87.626667
41400	Roosevelt	3/20/2018	W	9800	41.8675	-87.626667
41400	Roosevelt	1/1/2018	U	3546	41.8675	-87.626667
41400	Roosevelt	1/3/2018	W	8267	41.8675	-87.626667
41400	Roosevelt	1/5/2018	W	8333	41.8675	-87.626667
41400	Roosevelt	4/14/2018	A	7194	41.8675	-87.626667
41400	Roosevelt	5/29/2018	W	10181	41.8675	-87.626667
41400	Roosevelt	6/13/2018	W	10752	41.8675	-87.626667
41400	Roosevelt	4/26/2018	W	11114	41.8675	-87.626667
41400	Roosevelt	5/17/2018	W	10248	41.8675	-87.626667
41400	Roosevelt	5/14/2018	W	9339	41.8675	-87.626667
41400	Roosevelt	5/30/2018	W	9891	41.8675	-87.626667
41400	Roosevelt	5/20/2018	U	5762	41.8675	-87.626667
41400	Roosevelt	6/9/2018	A	8247	41.8675	-87.626667
41400	Roosevelt	4/7/2018	A	7942	41.8675	-87.626667
41400	Roosevelt	6/11/2018	W	10578	41.8675	-87.626667
41400	Roosevelt	6/30/2018	A	9438	41.8675	-87.626667
41400	Roosevelt	5/11/2018	W	11649	41.8675	-87.626667
41400	Roosevelt	5/4/2018	W	11591	41.8675	-87.626667
41400	Roosevelt	5/1/2018	W	11410	41.8675	-87.626667
41400	Roosevelt	4/3/2018	W	10186	41.8675	-87.626667
41400	Roosevelt	6/10/2018	U	6602	41.8675	-87.626667
41400	Roosevelt	4/6/2018	W	11000	41.8675	-87.626667
41400	Roosevelt	6/1/2018	W	14299	41.8675	-87.626667
41400	Roosevelt	6/3/2018	U	6745	41.8675	-87.626667
41400	Roosevelt	5/9/2018	W	10748	41.8675	-87.626667
41400	Roosevelt	5/16/2018	W	10238	41.8675	-87.626667
41400	Roosevelt	6/2/2018	A	11898	41.8675	-87.626667
41400	Roosevelt	5/12/2018	A	7499	41.8675	-87.626667
41400	Roosevelt	4/10/2018	W	10429	41.8675	-87.626667
41400	Roosevelt	6/4/2018	W	10163	41.8675	-87.626667
41400	Roosevelt	6/29/2018	W	11878	41.8675	-87.626667
41400	Roosevelt	4/11/2018	W	10643	41.8675	-87.626667
41400	Roosevelt	5/22/2018	W	10622	41.8675	-87.626667
41400	Roosevelt	4/20/2018	W	11018	41.8675	-87.626667
41400	Roosevelt	5/26/2018	A	8913	41.8675	-87.626667
41400	Roosevelt	6/24/2018	U	9819	41.8675	-87.626667
41400	Roosevelt	5/7/2018	W	10519	41.8675	-87.626667
41400	Roosevelt	4/8/2018	U	5529	41.8675	-87.626667
41400	Roosevelt	4/25/2018	W	10491	41.8675	-87.626667
41400	Roosevelt	4/17/2018	W	10743	41.8675	-87.626667
41400	Roosevelt	6/28/2018	W	10892	41.8675	-87.626667
41400	Roosevelt	4/27/2018	W	11199	41.8675	-87.626667
41400	Roosevelt	6/26/2018	W	10582	41.8675	-87.626667
41400	Roosevelt	4/23/2018	W	9829	41.8675	-87.626667
41400	Roosevelt	5/31/2018	W	11086	41.8675	-87.626667
41400	Roosevelt	5/27/2018	U	7397	41.8675	-87.626667
41400	Roosevelt	4/12/2018	W	10974	41.8675	-87.626667
41400	Roosevelt	6/5/2018	W	11228	41.8675	-87.626667
41400	Roosevelt	5/10/2018	W	11301	41.8675	-87.626667
41400	Roosevelt	5/18/2018	W	10947	41.8675	-87.626667
41400	Roosevelt	6/25/2018	W	10366	41.8675	-87.626667
41400	Roosevelt	4/29/2018	U	6472	41.8675	-87.626667
41400	Roosevelt	4/15/2018	U	5109	41.8675	-87.626667
41400	Roosevelt	5/24/2018	W	11250	41.8675	-87.626667
41400	Roosevelt	6/12/2018	W	10754	41.8675	-87.626667
41400	Roosevelt	6/21/2018	W	10222	41.8675	-87.626667
41400	Roosevelt	6/18/2018	W	10816	41.8675	-87.626667
41400	Roosevelt	6/23/2018	A	10237	41.8675	-87.626667
41400	Roosevelt	4/13/2018	W	10679	41.8675	-87.626667
41400	Roosevelt	4/2/2018	W	9678	41.8675	-87.626667
41400	Roosevelt	5/6/2018	U	6547	41.8675	-87.626667
41400	Roosevelt	4/28/2018	A	8183	41.8675	-87.626667
41400	Roosevelt	6/8/2018	W	11004	41.8675	-87.626667
41400	Roosevelt	5/8/2018	W	11182	41.8675	-87.626667
41400	Roosevelt	6/17/2018	U	6567	41.8675	-87.626667
41400	Roosevelt	5/25/2018	W	10822	41.8675	-87.626667
41400	Roosevelt	5/21/2018	W	9093	41.8675	-87.626667
41400	Roosevelt	5/15/2018	W	10057	41.8675	-87.626667
41400	Roosevelt	5/19/2018	A	8035	41.8675	-87.626667
41400	Roosevelt	5/23/2018	W	10620	41.8675	-87.626667
41400	Roosevelt	4/30/2018	W	10569	41.8675	-87.626667
41400	Roosevelt	6/16/2018	A	8475	41.8675	-87.626667
41400	Roosevelt	4/1/2018	U	4834	41.8675	-87.626667
41400	Roosevelt	5/13/2018	U	5588	41.8675	-87.626667
41400	Roosevelt	4/22/2018	U	5905	41.8675	-87.626667
41400	Roosevelt	6/14/2018	W	11125	41.8675	-87.626667
41400	Roosevelt	4/24/2018	W	10425	41.8675	-87.626667
41400	Roosevelt	5/5/2018	A	9618	41.8675	-87.626667
41400	Roosevelt	5/3/2018	W	10938	41.8675	-87.626667
41400	Roosevelt	4/4/2018	W	10357	41.8675	-87.626667
41400	Roosevelt	6/15/2018	W	11664	41.8675	-87.626667
41400	Roosevelt	4/18/2018	W	10274	41.8675	-87.626667
41400	Roosevelt	5/2/2018	W	10958	41.8675	-87.626667
41400	Roosevelt	4/9/2018	W	9880	41.8675	-87.626667
41400	Roosevelt	5/28/2018	U	5958	41.8675	-87.626667
41400	Roosevelt	6/22/2018	W	11850	41.8675	-87.626667
41400	Roosevelt	4/16/2018	W	9908	41.8675	-87.626667
41400	Roosevelt	4/5/2018	W	10691	41.8675	-87.626667
41400	Roosevelt	6/6/2018	W	10849	41.8675	-87.626667
41400	Roosevelt	6/7/2018	W	11395	41.8675	-87.626667
41400	Roosevelt	6/20/2018	W	11343	41.8675	-87.626667
41400	Roosevelt	6/27/2018	W	10998	41.8675	-87.626667
41400	Roosevelt	4/19/2018	W	10740	41.8675	-87.626667
41400	Roosevelt	6/19/2018	W	11682	41.8675	-87.626667
41400	Roosevelt	4/21/2018	A	7774	41.8675	-87.626667
41400	Roosevelt	7/1/2018	U	6730	41.8675	-87.626667
41400	Roosevelt	7/2/2018	W	10753	41.8675	-87.626667
41400	Roosevelt	7/3/2018	W	10896	41.8675	-87.626667
41400	Roosevelt	7/4/2018	U	8264	41.8675	-87.626667
41400	Roosevelt	7/5/2018	W	9890	41.8675	-87.626667
41400	Roosevelt	7/6/2018	W	10920	41.8675	-87.626667
41400	Roosevelt	7/7/2018	A	8503	41.8675	-87.626667
41400	Roosevelt	7/8/2018	U	6820	41.8675	-87.626667
41400	Roosevelt	7/9/2018	W	10791	41.8675	-87.626667
41400	Roosevelt	7/10/2018	W	11296	41.8675	-87.626667
41400	Roosevelt	7/11/2018	W	11809	41.8675	-87.626667
41400	Roosevelt	7/12/2018	W	11729	41.8675	-87.626667
41400	Roosevelt	7/13/2018	W	12575	41.8675	-87.626667
41400	Roosevelt	7/14/2018	A	8781	41.8675	-87.626667
41400	Roosevelt	7/15/2018	U	7653	41.8675	-87.626667
41400	Roosevelt	7/16/2018	W	10747	41.8675	-87.626667
41400	Roosevelt	7/17/2018	W	10961	41.8675	-87.626667
41400	Roosevelt	7/18/2018	W	11240	41.8675	-87.626667
41400	Roosevelt	7/19/2018	W	11313	41.8675	-87.626667
41400	Roosevelt	7/20/2018	W	14023	41.8675	-87.626667
41400	Roosevelt	7/21/2018	A	9298	41.8675	-87.626667
41400	Roosevelt	7/22/2018	U	7491	41.8675	-87.626667
41400	Roosevelt	7/23/2018	W	10533	41.8675	-87.626667
41400	Roosevelt	7/24/2018	W	11495	41.8675	-87.626667
41400	Roosevelt	7/25/2018	W	11116	41.8675	-87.626667
41400	Roosevelt	7/26/2018	W	11515	41.8675	-87.626667
41400	Roosevelt	7/27/2018	W	11509	41.8675	-87.626667
41400	Roosevelt	7/28/2018	A	9977	41.8675	-87.626667
41400	Roosevelt	7/29/2018	U	7586	41.8675	-87.626667
41400	Roosevelt	7/30/2018	W	10450	41.8675	-87.626667
41400	Roosevelt	7/31/2018	W	11669	41.8675	-87.626667
41400	Roosevelt	8/1/2018	W	11779	41.8675	-87.626667
41400	Roosevelt	8/2/2018	W	14192	41.8675	-87.626667
41400	Roosevelt	8/3/2018	W	14707	41.8675	-87.626667
41400	Roosevelt	8/4/2018	A	10859	41.8675	-87.626667
41400	Roosevelt	8/5/2018	U	8679	41.8675	-87.626667
41400	Roosevelt	8/6/2018	W	10328	41.8675	-87.626667
41400	Roosevelt	8/7/2018	W	10337	41.8675	-87.626667
41400	Roosevelt	8/8/2018	W	10627	41.8675	-87.626667
41400	Roosevelt	8/9/2018	W	10843	41.8675	-87.626667
41400	Roosevelt	8/10/2018	W	11785	41.8675	-87.626667
41400	Roosevelt	8/11/2018	A	11536	41.8675	-87.626667
41400	Roosevelt	8/12/2018	U	9901	41.8675	-87.626667
41400	Roosevelt	8/13/2018	W	9919	41.8675	-87.626667
41400	Roosevelt	8/14/2018	W	10619	41.8675	-87.626667
41400	Roosevelt	8/15/2018	W	10450	41.8675	-87.626667
