"ï..station_id","stationname","date","daytype","rides"
41230,"47th-Dan Ryan","12/13/2017","W","2,889"
41230,"47th-Dan Ryan","12/10/2017","U","1,482"
41230,"47th-Dan Ryan","12/16/2017","A","2,096"
41230,"47th-Dan Ryan","12/31/2017","U","1,276"
41230,"47th-Dan Ryan","12/24/2017","U","1,351"
41230,"47th-Dan Ryan","12/07/2017","W","2,896"
41230,"47th-Dan Ryan","12/09/2017","A","1,987"
41230,"47th-Dan Ryan","12/15/2017","W","3,010"
41230,"47th-Dan Ryan","12/14/2017","W","2,883"
41230,"47th-Dan Ryan","12/18/2017","W","2,842"
41230,"47th-Dan Ryan","12/30/2017","A","1,564"
41230,"47th-Dan Ryan","12/17/2017","U","1,537"
41230,"47th-Dan Ryan","12/03/2017","U","1,629"
41230,"47th-Dan Ryan","12/22/2017","W","2,911"
41230,"47th-Dan Ryan","12/02/2017","A","2,196"
41230,"47th-Dan Ryan","12/21/2017","W","2,839"
41230,"47th-Dan Ryan","12/04/2017","W","3,007"
41230,"47th-Dan Ryan","12/01/2017","W","3,340"
41230,"47th-Dan Ryan","12/06/2017","W","2,957"
41230,"47th-Dan Ryan","12/27/2017","W","1,890"
41230,"47th-Dan Ryan","12/23/2017","A","1,942"
41230,"47th-Dan Ryan","12/28/2017","W","2,039"
41230,"47th-Dan Ryan","12/26/2017","W","1,641"
41230,"47th-Dan Ryan","12/12/2017","W","2,798"
41230,"47th-Dan Ryan","12/29/2017","W","2,215"
41230,"47th-Dan Ryan","12/05/2017","W","2,862"
41230,"47th-Dan Ryan","12/11/2017","W","2,857"
41230,"47th-Dan Ryan","12/08/2017","W","3,055"
41230,"47th-Dan Ryan","12/19/2017","W","2,951"
41230,"47th-Dan Ryan","12/25/2017","U","862"
41230,"47th-Dan Ryan","12/20/2017","W","2,878"
41230,"47th-Dan Ryan","03/15/2018","W","2,883"
41230,"47th-Dan Ryan","03/24/2018","A","1,839"
41230,"47th-Dan Ryan","03/03/2018","A","1,992"
41230,"47th-Dan Ryan","01/25/2018","W","2,843"
41230,"47th-Dan Ryan","03/07/2018","W","2,820"
41230,"47th-Dan Ryan","01/23/2018","W","2,781"
41230,"47th-Dan Ryan","01/08/2018","W","2,628"
41230,"47th-Dan Ryan","02/19/2018","W","1,967"
41230,"47th-Dan Ryan","01/29/2018","W","2,608"
41230,"47th-Dan Ryan","01/02/2018","W","1,812"
41230,"47th-Dan Ryan","03/16/2018","W","2,940"
41230,"47th-Dan Ryan","02/14/2018","W","2,855"
41230,"47th-Dan Ryan","01/10/2018","W","2,832"
41230,"47th-Dan Ryan","01/13/2018","A","1,680"
41230,"47th-Dan Ryan","01/27/2018","A","1,942"
41230,"47th-Dan Ryan","02/06/2018","W","2,663"
41230,"47th-Dan Ryan","02/16/2018","W","2,827"
41230,"47th-Dan Ryan","02/20/2018","W","2,743"
41230,"47th-Dan Ryan","03/11/2018","U","1,399"
41230,"47th-Dan Ryan","02/17/2018","A","1,972"
41230,"47th-Dan Ryan","03/25/2018","U","1,443"
41230,"47th-Dan Ryan","03/18/2018","U","1,562"
41230,"47th-Dan Ryan","03/10/2018","A","1,974"
41230,"47th-Dan Ryan","03/12/2018","W","2,789"
41230,"47th-Dan Ryan","03/27/2018","W","2,441"
41230,"47th-Dan Ryan","01/01/2018","U","1,035"
41230,"47th-Dan Ryan","03/26/2018","W","2,430"
41230,"47th-Dan Ryan","01/14/2018","U","1,318"
41230,"47th-Dan Ryan","02/07/2018","W","2,651"
41230,"47th-Dan Ryan","01/15/2018","W","1,721"
41230,"47th-Dan Ryan","02/23/2018","W","2,954"
41230,"47th-Dan Ryan","01/17/2018","W","2,793"
41230,"47th-Dan Ryan","02/05/2018","W","2,505"
41230,"47th-Dan Ryan","03/28/2018","W","2,553"
41230,"47th-Dan Ryan","03/22/2018","W","2,882"
41230,"47th-Dan Ryan","01/20/2018","A","1,893"
41230,"47th-Dan Ryan","01/24/2018","W","2,781"
41230,"47th-Dan Ryan","03/06/2018","W","2,752"
41230,"47th-Dan Ryan","01/03/2018","W","2,143"
41230,"47th-Dan Ryan","03/01/2018","W","2,816"
41230,"47th-Dan Ryan","03/19/2018","W","2,800"
41230,"47th-Dan Ryan","03/14/2018","W","2,913"
41230,"47th-Dan Ryan","01/07/2018","U","1,328"
41230,"47th-Dan Ryan","01/21/2018","U","1,472"
41230,"47th-Dan Ryan","03/17/2018","A","2,085"
41230,"47th-Dan Ryan","02/01/2018","W","2,827"
41230,"47th-Dan Ryan","02/27/2018","W","2,790"
41230,"47th-Dan Ryan","01/06/2018","A","1,677"
41230,"47th-Dan Ryan","03/02/2018","W","2,927"
41230,"47th-Dan Ryan","02/09/2018","W","1,780"
41230,"47th-Dan Ryan","03/31/2018","A","1,790"
41230,"47th-Dan Ryan","03/23/2018","W","2,782"
41230,"47th-Dan Ryan","01/05/2018","W","2,226"
41230,"47th-Dan Ryan","02/10/2018","A","1,648"
41230,"47th-Dan Ryan","02/18/2018","U","1,492"
41230,"47th-Dan Ryan","03/08/2018","W","2,851"
41230,"47th-Dan Ryan","03/09/2018","W","2,926"
41230,"47th-Dan Ryan","02/24/2018","A","2,039"
41230,"47th-Dan Ryan","02/04/2018","U","1,280"
41230,"47th-Dan Ryan","03/05/2018","W","2,665"
41230,"47th-Dan Ryan","01/30/2018","W","2,763"
41230,"47th-Dan Ryan","01/28/2018","U","1,445"
41230,"47th-Dan Ryan","01/09/2018","W","2,793"
41230,"47th-Dan Ryan","01/26/2018","W","3,050"
41230,"47th-Dan Ryan","02/11/2018","U","1,317"
41230,"47th-Dan Ryan","02/08/2018","W","2,724"
41230,"47th-Dan Ryan","03/29/2018","W","2,443"
41230,"47th-Dan Ryan","01/11/2018","W","2,880"
41230,"47th-Dan Ryan","01/18/2018","W","2,792"
41230,"47th-Dan Ryan","02/26/2018","W","2,848"
41230,"47th-Dan Ryan","03/30/2018","W","2,566"
41230,"47th-Dan Ryan","02/21/2018","W","2,820"
41230,"47th-Dan Ryan","02/28/2018","W","2,843"
41230,"47th-Dan Ryan","01/04/2018","W","2,156"
41230,"47th-Dan Ryan","01/12/2018","W","2,710"
41230,"47th-Dan Ryan","03/20/2018","W","2,755"
41230,"47th-Dan Ryan","02/13/2018","W","2,879"
41230,"47th-Dan Ryan","03/04/2018","U","1,485"
41230,"47th-Dan Ryan","01/16/2018","W","2,673"
41230,"47th-Dan Ryan","01/19/2018","W","2,903"
41230,"47th-Dan Ryan","02/12/2018","W","2,611"
41230,"47th-Dan Ryan","03/21/2018","W","2,752"
41230,"47th-Dan Ryan","01/22/2018","W","2,769"
41230,"47th-Dan Ryan","02/03/2018","A","1,845"
41230,"47th-Dan Ryan","02/02/2018","W","2,582"
41230,"47th-Dan Ryan","02/15/2018","W","2,866"
41230,"47th-Dan Ryan","02/22/2018","W","2,882"
41230,"47th-Dan Ryan","01/31/2018","W","2,809"
41230,"47th-Dan Ryan","03/13/2018","W","2,810"
41230,"47th-Dan Ryan","02/25/2018","U","1,497"
41230,"47th-Dan Ryan","06/02/2018","A","2,134"
41230,"47th-Dan Ryan","06/01/2018","W","3,298"
41230,"47th-Dan Ryan","04/23/2018","W","2,895"
41230,"47th-Dan Ryan","04/08/2018","U","1,419"
41230,"47th-Dan Ryan","05/24/2018","W","3,172"
41230,"47th-Dan Ryan","04/25/2018","W","2,946"
41230,"47th-Dan Ryan","06/23/2018","A","2,217"
41230,"47th-Dan Ryan","06/30/2018","A","2,086"
41230,"47th-Dan Ryan","06/26/2018","W","2,769"
41230,"47th-Dan Ryan","04/30/2018","W","2,934"
41230,"47th-Dan Ryan","05/08/2018","W","3,077"
41230,"47th-Dan Ryan","04/14/2018","A","1,879"
41230,"47th-Dan Ryan","06/13/2018","W","2,978"
41230,"47th-Dan Ryan","04/18/2018","W","2,760"
41230,"47th-Dan Ryan","06/10/2018","U","1,559"
41230,"47th-Dan Ryan","04/29/2018","U","1,592"
41230,"47th-Dan Ryan","06/21/2018","W","2,458"
41230,"47th-Dan Ryan","05/07/2018","W","2,876"
41230,"47th-Dan Ryan","06/19/2018","W","2,931"
41230,"47th-Dan Ryan","06/09/2018","A","2,056"
41230,"47th-Dan Ryan","05/28/2018","U","1,564"
41230,"47th-Dan Ryan","06/05/2018","W","3,141"
41230,"47th-Dan Ryan","05/22/2018","W","3,037"
41230,"47th-Dan Ryan","05/15/2018","W","3,049"
41230,"47th-Dan Ryan","04/15/2018","U","1,328"
41230,"47th-Dan Ryan","04/01/2018","U","1,313"
41230,"47th-Dan Ryan","04/03/2018","W","2,757"
41230,"47th-Dan Ryan","04/04/2018","W","2,842"
41230,"47th-Dan Ryan","04/13/2018","W","2,685"
41230,"47th-Dan Ryan","06/18/2018","W","2,762"
41230,"47th-Dan Ryan","05/10/2018","W","3,039"
41230,"47th-Dan Ryan","06/07/2018","W","3,220"
41230,"47th-Dan Ryan","05/21/2018","W","2,711"
41230,"47th-Dan Ryan","05/05/2018","A","2,202"
41230,"47th-Dan Ryan","06/20/2018","W","2,868"
41230,"47th-Dan Ryan","05/11/2018","W","2,971"
41230,"47th-Dan Ryan","04/12/2018","W","3,018"
41230,"47th-Dan Ryan","05/27/2018","U","1,833"
41230,"47th-Dan Ryan","06/24/2018","U","2,405"
41230,"47th-Dan Ryan","06/12/2018","W","2,992"
41230,"47th-Dan Ryan","05/31/2018","W","3,137"
41230,"47th-Dan Ryan","06/04/2018","W","3,021"
41230,"47th-Dan Ryan","05/30/2018","W","2,935"
41230,"47th-Dan Ryan","04/19/2018","W","2,805"
41230,"47th-Dan Ryan","04/22/2018","U","1,452"
41230,"47th-Dan Ryan","06/08/2018","W","2,988"
41230,"47th-Dan Ryan","05/29/2018","W","2,927"
41230,"47th-Dan Ryan","06/14/2018","W","2,995"
41230,"47th-Dan Ryan","04/16/2018","W","2,642"
41230,"47th-Dan Ryan","05/25/2018","W","3,083"
41230,"47th-Dan Ryan","04/07/2018","A","1,985"
41230,"47th-Dan Ryan","06/22/2018","W","2,544"
41230,"47th-Dan Ryan","05/18/2018","W","3,110"
41230,"47th-Dan Ryan","06/28/2018","W","2,948"
41230,"47th-Dan Ryan","06/25/2018","W","2,705"
41230,"47th-Dan Ryan","06/29/2018","W","2,946"
41230,"47th-Dan Ryan","05/26/2018","A","2,238"
41230,"47th-Dan Ryan","05/23/2018","W","3,265"
41230,"47th-Dan Ryan","04/27/2018","W","2,961"
41230,"47th-Dan Ryan","06/15/2018","W","2,975"
41230,"47th-Dan Ryan","05/03/2018","W","2,903"
41230,"47th-Dan Ryan","06/27/2018","W","2,891"
41230,"47th-Dan Ryan","04/26/2018","W","3,072"
41230,"47th-Dan Ryan","06/16/2018","A","2,200"
41230,"47th-Dan Ryan","05/16/2018","W","3,090"
41230,"47th-Dan Ryan","06/11/2018","W","2,942"
41230,"47th-Dan Ryan","05/01/2018","W","3,223"
41230,"47th-Dan Ryan","04/28/2018","A","2,067"
