"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40580	"54th/Cermak"	"12/20/2017"	"W"	"2,088"
40580	"54th/Cermak"	"12/12/2017"	"W"	"2,108"
40580	"54th/Cermak"	"12/09/2017"	"A"	"1,263"
40580	"54th/Cermak"	"12/06/2017"	"W"	"2,364"
40580	"54th/Cermak"	"12/08/2017"	"W"	"2,157"
40580	"54th/Cermak"	"12/14/2017"	"W"	"2,143"
40580	"54th/Cermak"	"12/23/2017"	"A"	"1,103"
40580	"54th/Cermak"	"12/11/2017"	"W"	"2,091"
40580	"54th/Cermak"	"12/25/2017"	"U"	"345"
40580	"54th/Cermak"	"12/24/2017"	"U"	"573"
40580	"54th/Cermak"	"12/18/2017"	"W"	"1,973"
40580	"54th/Cermak"	"12/10/2017"	"U"	"791"
40580	"54th/Cermak"	"12/19/2017"	"W"	"2,139"
40580	"54th/Cermak"	"12/05/2017"	"W"	"2,310"
40580	"54th/Cermak"	"12/04/2017"	"W"	"2,204"
40580	"54th/Cermak"	"12/30/2017"	"A"	"850"
40580	"54th/Cermak"	"12/27/2017"	"W"	"1,484"
40580	"54th/Cermak"	"12/03/2017"	"U"	"974"
40580	"54th/Cermak"	"12/26/2017"	"W"	"1,260"
40580	"54th/Cermak"	"12/01/2017"	"W"	"2,307"
40580	"54th/Cermak"	"12/22/2017"	"W"	"1,936"
40580	"54th/Cermak"	"12/16/2017"	"A"	"1,229"
40580	"54th/Cermak"	"12/29/2017"	"W"	"1,610"
40580	"54th/Cermak"	"12/21/2017"	"W"	"2,046"
40580	"54th/Cermak"	"12/28/2017"	"W"	"1,581"
40580	"54th/Cermak"	"12/13/2017"	"W"	"2,227"
40580	"54th/Cermak"	"12/15/2017"	"W"	"2,098"
40580	"54th/Cermak"	"12/17/2017"	"U"	"830"
40580	"54th/Cermak"	"12/02/2017"	"A"	"1,330"
40580	"54th/Cermak"	"12/07/2017"	"W"	"2,183"
40580	"54th/Cermak"	"12/31/2017"	"U"	"632"
40580	"54th/Cermak"	"03/25/2018"	"U"	"740"
40580	"54th/Cermak"	"03/28/2018"	"W"	"1,981"
40580	"54th/Cermak"	"01/20/2018"	"A"	"1,084"
40580	"54th/Cermak"	"02/20/2018"	"W"	"2,041"
40580	"54th/Cermak"	"03/27/2018"	"W"	"1,967"
40580	"54th/Cermak"	"03/30/2018"	"W"	"1,714"
40580	"54th/Cermak"	"02/23/2018"	"W"	"2,068"
40580	"54th/Cermak"	"03/24/2018"	"A"	"985"
40580	"54th/Cermak"	"03/16/2018"	"W"	"2,030"
40580	"54th/Cermak"	"01/22/2018"	"W"	"1,977"
40580	"54th/Cermak"	"02/12/2018"	"W"	"1,926"
40580	"54th/Cermak"	"03/04/2018"	"U"	"737"
40580	"54th/Cermak"	"02/11/2018"	"U"	"620"
40580	"54th/Cermak"	"02/04/2018"	"U"	"582"
40580	"54th/Cermak"	"03/20/2018"	"W"	"1,991"
40580	"54th/Cermak"	"01/17/2018"	"W"	"2,031"
40580	"54th/Cermak"	"02/27/2018"	"W"	"2,214"
40580	"54th/Cermak"	"01/16/2018"	"W"	"1,977"
40580	"54th/Cermak"	"03/14/2018"	"W"	"2,048"
40580	"54th/Cermak"	"03/22/2018"	"W"	"2,075"
40580	"54th/Cermak"	"01/18/2018"	"W"	"2,023"
40580	"54th/Cermak"	"01/15/2018"	"W"	"1,243"
40580	"54th/Cermak"	"03/26/2018"	"W"	"1,882"
40580	"54th/Cermak"	"01/27/2018"	"A"	"1,073"
40580	"54th/Cermak"	"03/19/2018"	"W"	"1,932"
40580	"54th/Cermak"	"02/16/2018"	"W"	"2,075"
40580	"54th/Cermak"	"02/17/2018"	"A"	"1,015"
40580	"54th/Cermak"	"01/23/2018"	"W"	"2,117"
40580	"54th/Cermak"	"01/13/2018"	"A"	"922"
40580	"54th/Cermak"	"03/29/2018"	"W"	"1,930"
40580	"54th/Cermak"	"01/29/2018"	"W"	"1,913"
40580	"54th/Cermak"	"01/02/2018"	"W"	"1,439"
40580	"54th/Cermak"	"03/12/2018"	"W"	"1,925"
40580	"54th/Cermak"	"03/18/2018"	"U"	"818"
40580	"54th/Cermak"	"01/14/2018"	"U"	"588"
40580	"54th/Cermak"	"01/31/2018"	"W"	"2,038"
40580	"54th/Cermak"	"03/03/2018"	"A"	"1,090"
40580	"54th/Cermak"	"01/03/2018"	"W"	"1,673"
40580	"54th/Cermak"	"01/11/2018"	"W"	"2,000"
40580	"54th/Cermak"	"02/15/2018"	"W"	"2,129"
40580	"54th/Cermak"	"03/23/2018"	"W"	"2,008"
40580	"54th/Cermak"	"03/02/2018"	"W"	"2,061"
40580	"54th/Cermak"	"03/06/2018"	"W"	"2,058"
40580	"54th/Cermak"	"03/11/2018"	"U"	"666"
40580	"54th/Cermak"	"02/28/2018"	"W"	"2,130"
40580	"54th/Cermak"	"01/08/2018"	"W"	"1,822"
40580	"54th/Cermak"	"01/12/2018"	"W"	"1,844"
40580	"54th/Cermak"	"03/17/2018"	"A"	"1,402"
40580	"54th/Cermak"	"02/10/2018"	"A"	"893"
40580	"54th/Cermak"	"01/19/2018"	"W"	"1,982"
40580	"54th/Cermak"	"03/31/2018"	"A"	"934"
40580	"54th/Cermak"	"02/08/2018"	"W"	"2,022"
40580	"54th/Cermak"	"01/28/2018"	"U"	"688"
40580	"54th/Cermak"	"02/25/2018"	"U"	"723"
40580	"54th/Cermak"	"01/25/2018"	"W"	"2,089"
40580	"54th/Cermak"	"02/24/2018"	"A"	"949"
40580	"54th/Cermak"	"03/01/2018"	"W"	"1,967"
40580	"54th/Cermak"	"03/05/2018"	"W"	"1,852"
40580	"54th/Cermak"	"03/13/2018"	"W"	"1,977"
40580	"54th/Cermak"	"02/26/2018"	"W"	"2,097"
40580	"54th/Cermak"	"01/10/2018"	"W"	"2,012"
40580	"54th/Cermak"	"02/13/2018"	"W"	"2,098"
40580	"54th/Cermak"	"02/05/2018"	"W"	"1,788"
40580	"54th/Cermak"	"02/03/2018"	"A"	"959"
40580	"54th/Cermak"	"02/06/2018"	"W"	"1,949"
40580	"54th/Cermak"	"01/21/2018"	"U"	"703"
40580	"54th/Cermak"	"01/04/2018"	"W"	"1,653"
40580	"54th/Cermak"	"01/01/2018"	"U"	"438"
40580	"54th/Cermak"	"02/07/2018"	"W"	"2,027"
40580	"54th/Cermak"	"01/26/2018"	"W"	"2,068"
40580	"54th/Cermak"	"02/18/2018"	"U"	"722"
40580	"54th/Cermak"	"01/05/2018"	"W"	"1,658"
40580	"54th/Cermak"	"02/22/2018"	"W"	"2,143"
