"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40910	"63rd-Dan Ryan"	"12/06/2017"	"W"	"3,082"
40910	"63rd-Dan Ryan"	"12/20/2017"	"W"	"3,006"
40910	"63rd-Dan Ryan"	"12/25/2017"	"U"	"1,055"
40910	"63rd-Dan Ryan"	"12/11/2017"	"W"	"2,996"
40910	"63rd-Dan Ryan"	"12/04/2017"	"W"	"3,052"
40910	"63rd-Dan Ryan"	"12/03/2017"	"U"	"1,776"
40910	"63rd-Dan Ryan"	"12/18/2017"	"W"	"2,906"
40910	"63rd-Dan Ryan"	"12/21/2017"	"W"	"2,963"
40910	"63rd-Dan Ryan"	"12/24/2017"	"U"	"1,554"
40910	"63rd-Dan Ryan"	"12/02/2017"	"A"	"2,169"
40910	"63rd-Dan Ryan"	"12/12/2017"	"W"	"2,908"
40910	"63rd-Dan Ryan"	"12/31/2017"	"U"	"1,469"
40910	"63rd-Dan Ryan"	"12/15/2017"	"W"	"2,912"
40910	"63rd-Dan Ryan"	"12/08/2017"	"W"	"2,971"
40910	"63rd-Dan Ryan"	"12/17/2017"	"U"	"1,712"
40910	"63rd-Dan Ryan"	"12/09/2017"	"A"	"1,980"
40910	"63rd-Dan Ryan"	"12/14/2017"	"W"	"3,033"
40910	"63rd-Dan Ryan"	"12/30/2017"	"A"	"1,695"
40910	"63rd-Dan Ryan"	"12/10/2017"	"U"	"1,604"
40910	"63rd-Dan Ryan"	"12/13/2017"	"W"	"3,068"
40910	"63rd-Dan Ryan"	"12/07/2017"	"W"	"3,025"
40910	"63rd-Dan Ryan"	"12/28/2017"	"W"	"2,004"
40910	"63rd-Dan Ryan"	"12/05/2017"	"W"	"3,167"
40910	"63rd-Dan Ryan"	"12/29/2017"	"W"	"2,205"
40910	"63rd-Dan Ryan"	"12/22/2017"	"W"	"2,850"
40910	"63rd-Dan Ryan"	"12/27/2017"	"W"	"1,891"
40910	"63rd-Dan Ryan"	"12/16/2017"	"A"	"2,088"
40910	"63rd-Dan Ryan"	"12/01/2017"	"W"	"3,396"
40910	"63rd-Dan Ryan"	"12/23/2017"	"A"	"2,026"
40910	"63rd-Dan Ryan"	"12/19/2017"	"W"	"2,839"
40910	"63rd-Dan Ryan"	"12/26/2017"	"W"	"1,711"
40910	"63rd-Dan Ryan"	"02/02/2018"	"W"	"2,644"
40910	"63rd-Dan Ryan"	"02/28/2018"	"W"	"3,024"
40910	"63rd-Dan Ryan"	"01/23/2018"	"W"	"2,915"
40910	"63rd-Dan Ryan"	"01/05/2018"	"W"	"2,193"
40910	"63rd-Dan Ryan"	"02/19/2018"	"W"	"2,049"
40910	"63rd-Dan Ryan"	"03/21/2018"	"W"	"3,043"
40910	"63rd-Dan Ryan"	"01/07/2018"	"U"	"1,360"
40910	"63rd-Dan Ryan"	"03/19/2018"	"W"	"2,881"
40910	"63rd-Dan Ryan"	"01/24/2018"	"W"	"2,981"
40910	"63rd-Dan Ryan"	"01/30/2018"	"W"	"2,824"
40910	"63rd-Dan Ryan"	"02/14/2018"	"W"	"3,116"
40910	"63rd-Dan Ryan"	"01/02/2018"	"W"	"1,864"
40910	"63rd-Dan Ryan"	"02/22/2018"	"W"	"2,998"
40910	"63rd-Dan Ryan"	"01/19/2018"	"W"	"2,922"
40910	"63rd-Dan Ryan"	"01/01/2018"	"U"	"1,109"
40910	"63rd-Dan Ryan"	"02/24/2018"	"A"	"2,036"
40910	"63rd-Dan Ryan"	"01/16/2018"	"W"	"2,800"
40910	"63rd-Dan Ryan"	"02/21/2018"	"W"	"3,005"
40910	"63rd-Dan Ryan"	"02/16/2018"	"W"	"2,993"
40910	"63rd-Dan Ryan"	"03/02/2018"	"W"	"2,920"
40910	"63rd-Dan Ryan"	"03/13/2018"	"W"	"2,935"
40910	"63rd-Dan Ryan"	"03/05/2018"	"W"	"2,906"
40910	"63rd-Dan Ryan"	"03/20/2018"	"W"	"2,941"
40910	"63rd-Dan Ryan"	"01/15/2018"	"W"	"1,718"
40910	"63rd-Dan Ryan"	"02/04/2018"	"U"	"1,380"
40910	"63rd-Dan Ryan"	"03/07/2018"	"W"	"3,012"
40910	"63rd-Dan Ryan"	"02/01/2018"	"W"	"2,918"
40910	"63rd-Dan Ryan"	"01/27/2018"	"A"	"1,982"
40910	"63rd-Dan Ryan"	"01/20/2018"	"A"	"2,007"
40910	"63rd-Dan Ryan"	"02/12/2018"	"W"	"2,714"
40910	"63rd-Dan Ryan"	"03/18/2018"	"U"	"1,725"
40910	"63rd-Dan Ryan"	"03/30/2018"	"W"	"2,495"
