"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40240	"79th"	"12/17/2017"	"U"	"3,881"
40240	"79th"	"12/15/2017"	"W"	"6,780"
40240	"79th"	"12/31/2017"	"U"	"3,345"
40240	"79th"	"12/27/2017"	"W"	"4,778"
40240	"79th"	"12/30/2017"	"A"	"3,833"
40240	"79th"	"12/21/2017"	"W"	"6,638"
40240	"79th"	"12/26/2017"	"W"	"4,303"
40240	"79th"	"12/22/2017"	"W"	"6,750"
40240	"79th"	"12/01/2017"	"W"	"7,538"
40240	"79th"	"12/06/2017"	"W"	"6,892"
40240	"79th"	"12/28/2017"	"W"	"4,967"
40240	"79th"	"12/14/2017"	"W"	"6,892"
40240	"79th"	"12/19/2017"	"W"	"6,707"
40240	"79th"	"12/11/2017"	"W"	"6,808"
40240	"79th"	"12/20/2017"	"W"	"6,798"
40240	"79th"	"12/09/2017"	"A"	"4,575"
40240	"79th"	"12/10/2017"	"U"	"3,658"
40240	"79th"	"12/13/2017"	"W"	"6,684"
40240	"79th"	"12/02/2017"	"A"	"5,163"
40240	"79th"	"12/25/2017"	"U"	"2,511"
40240	"79th"	"12/29/2017"	"W"	"5,561"
40240	"79th"	"12/24/2017"	"U"	"3,509"
40240	"79th"	"12/07/2017"	"W"	"6,755"
40240	"79th"	"12/08/2017"	"W"	"7,064"
40240	"79th"	"12/18/2017"	"W"	"6,533"
40240	"79th"	"12/04/2017"	"W"	"7,121"
40240	"79th"	"12/03/2017"	"U"	"4,287"
40240	"79th"	"12/12/2017"	"W"	"6,669"
40240	"79th"	"12/05/2017"	"W"	"6,812"
40240	"79th"	"12/23/2017"	"A"	"4,727"
40240	"79th"	"12/16/2017"	"A"	"4,812"
40240	"79th"	"03/07/2018"	"W"	"6,495"
40240	"79th"	"03/02/2018"	"W"	"6,629"
40240	"79th"	"02/07/2018"	"W"	"6,243"
40240	"79th"	"02/05/2018"	"W"	"5,851"
40240	"79th"	"03/23/2018"	"W"	"6,517"
40240	"79th"	"01/16/2018"	"W"	"6,317"
40240	"79th"	"02/14/2018"	"W"	"6,929"
40240	"79th"	"03/08/2018"	"W"	"6,513"
40240	"79th"	"01/30/2018"	"W"	"6,464"
40240	"79th"	"02/09/2018"	"W"	"4,652"
40240	"79th"	"01/03/2018"	"W"	"5,325"
40240	"79th"	"01/15/2018"	"W"	"4,211"
40240	"79th"	"03/15/2018"	"W"	"6,588"
40240	"79th"	"02/11/2018"	"U"	"3,241"
40240	"79th"	"02/25/2018"	"U"	"3,586"
40240	"79th"	"03/29/2018"	"W"	"5,881"
40240	"79th"	"02/20/2018"	"W"	"6,592"
40240	"79th"	"02/04/2018"	"U"	"3,123"
40240	"79th"	"01/24/2018"	"W"	"6,414"
40240	"79th"	"01/26/2018"	"W"	"6,829"
40240	"79th"	"02/08/2018"	"W"	"6,242"
40240	"79th"	"02/18/2018"	"U"	"3,332"
40240	"79th"	"02/06/2018"	"W"	"6,288"
40240	"79th"	"01/07/2018"	"U"	"3,206"
40240	"79th"	"03/04/2018"	"U"	"3,623"
40240	"79th"	"01/09/2018"	"W"	"6,345"
40240	"79th"	"01/12/2018"	"W"	"6,252"
40240	"79th"	"03/03/2018"	"A"	"4,592"
40240	"79th"	"03/13/2018"	"W"	"6,367"
40240	"79th"	"03/12/2018"	"W"	"6,232"
40240	"79th"	"03/10/2018"	"A"	"4,510"
40240	"79th"	"01/08/2018"	"W"	"6,200"
40240	"79th"	"02/15/2018"	"W"	"6,677"
40240	"79th"	"01/11/2018"	"W"	"6,475"
40240	"79th"	"01/17/2018"	"W"	"6,243"
40240	"79th"	"03/24/2018"	"A"	"4,070"
40240	"79th"	"01/25/2018"	"W"	"6,670"
40240	"79th"	"02/10/2018"	"A"	"3,888"
40240	"79th"	"03/19/2018"	"W"	"6,364"
40240	"79th"	"03/16/2018"	"W"	"6,540"
40240	"79th"	"01/18/2018"	"W"	"6,473"
40240	"79th"	"03/25/2018"	"U"	"3,432"
40240	"79th"	"03/17/2018"	"A"	"4,512"
40240	"79th"	"02/24/2018"	"A"	"4,552"
40240	"79th"	"03/22/2018"	"W"	"6,743"
40240	"79th"	"01/31/2018"	"W"	"6,671"
40240	"79th"	"01/10/2018"	"W"	"6,472"
40240	"79th"	"02/22/2018"	"W"	"6,732"
40240	"79th"	"03/01/2018"	"W"	"6,539"
40240	"79th"	"01/02/2018"	"W"	"4,480"
40240	"79th"	"03/21/2018"	"W"	"6,384"
40240	"79th"	"02/26/2018"	"W"	"6,640"
40240	"79th"	"03/11/2018"	"U"	"3,507"
40240	"79th"	"01/22/2018"	"W"	"6,464"
40240	"79th"	"02/21/2018"	"W"	"6,585"
40240	"79th"	"02/27/2018"	"W"	"6,907"
40240	"79th"	"01/21/2018"	"U"	"3,432"
40240	"79th"	"03/09/2018"	"W"	"6,680"
40240	"79th"	"01/29/2018"	"W"	"6,235"
40240	"79th"	"02/16/2018"	"W"	"6,650"
40240	"79th"	"03/18/2018"	"U"	"3,582"
40240	"79th"	"02/12/2018"	"W"	"5,992"
40240	"79th"	"03/14/2018"	"W"	"6,447"
40240	"79th"	"01/01/2018"	"U"	"2,707"
40240	"79th"	"02/17/2018"	"A"	"4,279"
40240	"79th"	"03/20/2018"	"W"	"6,420"
40240	"79th"	"02/23/2018"	"W"	"6,806"
40240	"79th"	"03/28/2018"	"W"	"5,856"
40240	"79th"	"01/20/2018"	"A"	"4,380"
40240	"79th"	"03/05/2018"	"W"	"6,196"
40240	"79th"	"02/03/2018"	"A"	"4,205"
40240	"79th"	"01/23/2018"	"W"	"6,532"
40240	"79th"	"01/13/2018"	"A"	"4,014"
40240	"79th"	"01/06/2018"	"A"	"3,740"
40240	"79th"	"01/14/2018"	"U"	"3,186"
40240	"79th"	"01/04/2018"	"W"	"5,292"
40240	"79th"	"03/27/2018"	"W"	"5,744"
40240	"79th"	"01/19/2018"	"W"	"6,553"
40240	"79th"	"03/26/2018"	"W"	"5,670"
40240	"79th"	"01/27/2018"	"A"	"4,495"
40240	"79th"	"02/19/2018"	"W"	"5,037"
40240	"79th"	"02/28/2018"	"W"	"6,609"
40240	"79th"	"02/13/2018"	"W"	"6,705"
40240	"79th"	"03/06/2018"	"W"	"6,462"
40240	"79th"	"01/28/2018"	"U"	"3,398"
40240	"79th"	"03/30/2018"	"W"	"5,847"
40240	"79th"	"01/05/2018"	"W"	"5,417"
40240	"79th"	"02/02/2018"	"W"	"6,013"
40240	"79th"	"02/01/2018"	"W"	"6,736"
40240	"79th"	"03/31/2018"	"A"	"4,119"
40240	"79th"	"05/10/2018"	"W"	"6,910"
40240	"79th"	"04/22/2018"	"U"	"3,538"
40240	"79th"	"06/14/2018"	"W"	"6,696"
40240	"79th"	"05/05/2018"	"A"	"4,855"
40240	"79th"	"06/24/2018"	"U"	"5,007"
40240	"79th"	"04/07/2018"	"A"	"4,600"
40240	"79th"	"05/26/2018"	"A"	"5,043"
40240	"79th"	"04/12/2018"	"W"	"6,901"
40240	"79th"	"06/26/2018"	"W"	"6,388"
40240	"79th"	"05/13/2018"	"U"	"3,663"
40240	"79th"	"06/07/2018"	"W"	"6,989"
40240	"79th"	"04/14/2018"	"A"	"4,138"
40240	"79th"	"05/24/2018"	"W"	"6,909"
40240	"79th"	"05/09/2018"	"W"	"6,685"
40240	"79th"	"04/09/2018"	"W"	"6,277"
40240	"79th"	"05/31/2018"	"W"	"6,910"
40240	"79th"	"04/25/2018"	"W"	"6,703"
40240	"79th"	"06/13/2018"	"W"	"6,855"
40240	"79th"	"05/12/2018"	"A"	"4,359"
40240	"79th"	"06/01/2018"	"W"	"7,347"
40240	"79th"	"04/06/2018"	"W"	"6,509"
40240	"79th"	"06/02/2018"	"A"	"4,888"
40240	"79th"	"05/02/2018"	"W"	"6,563"
40240	"79th"	"06/23/2018"	"A"	"4,829"
40240	"79th"	"06/20/2018"	"W"	"6,433"
40240	"79th"	"05/16/2018"	"W"	"6,940"
40240	"79th"	"04/17/2018"	"W"	"6,614"
40240	"79th"	"04/04/2018"	"W"	"6,305"
40240	"79th"	"04/05/2018"	"W"	"6,430"
40240	"79th"	"05/01/2018"	"W"	"7,073"
40240	"79th"	"06/21/2018"	"W"	"5,639"
40240	"79th"	"05/20/2018"	"U"	"3,584"
40240	"79th"	"06/27/2018"	"W"	"6,594"
40240	"79th"	"05/17/2018"	"W"	"6,759"
40240	"79th"	"05/14/2018"	"W"	"6,153"
40240	"79th"	"06/22/2018"	"W"	"6,237"
40240	"79th"	"06/08/2018"	"W"	"6,767"
40240	"79th"	"04/15/2018"	"U"	"3,265"
40240	"79th"	"05/06/2018"	"U"	"3,791"
40240	"79th"	"06/03/2018"	"U"	"4,062"
40240	"79th"	"06/04/2018"	"W"	"6,852"
40240	"79th"	"04/13/2018"	"W"	"6,353"
40240	"79th"	"06/11/2018"	"W"	"6,408"
40240	"79th"	"04/20/2018"	"W"	"6,588"
40240	"79th"	"04/30/2018"	"W"	"6,598"
40240	"79th"	"04/27/2018"	"W"	"6,862"
40240	"79th"	"04/11/2018"	"W"	"6,775"
40240	"79th"	"06/10/2018"	"U"	"3,642"
40240	"79th"	"05/29/2018"	"W"	"6,596"
40240	"79th"	"04/10/2018"	"W"	"6,369"
40240	"79th"	"04/16/2018"	"W"	"6,035"
40240	"79th"	"06/30/2018"	"A"	"4,720"
40240	"79th"	"06/12/2018"	"W"	"6,796"
40240	"79th"	"04/01/2018"	"U"	"3,242"
40240	"79th"	"06/25/2018"	"W"	"6,475"
40240	"79th"	"05/19/2018"	"A"	"4,586"
40240	"79th"	"06/29/2018"	"W"	"6,773"
40240	"79th"	"04/19/2018"	"W"	"6,284"
40240	"79th"	"04/18/2018"	"W"	"6,234"
40240	"79th"	"05/07/2018"	"W"	"6,607"
40240	"79th"	"06/15/2018"	"W"	"7,057"
40240	"79th"	"05/08/2018"	"W"	"6,993"
40240	"79th"	"05/22/2018"	"W"	"6,958"
40240	"79th"	"04/29/2018"	"U"	"3,656"
40240	"79th"	"04/26/2018"	"W"	"6,689"
40240	"79th"	"05/11/2018"	"W"	"6,825"
40240	"79th"	"05/30/2018"	"W"	"6,651"
40240	"79th"	"05/04/2018"	"W"	"6,898"
40240	"79th"	"06/18/2018"	"W"	"6,163"
40240	"79th"	"04/02/2018"	"W"	"6,155"
40240	"79th"	"06/19/2018"	"W"	"6,675"
40240	"79th"	"05/28/2018"	"U"	"3,944"
40240	"79th"	"04/08/2018"	"U"	"3,464"
40240	"79th"	"06/05/2018"	"W"	"7,167"
40240	"79th"	"06/17/2018"	"U"	"3,916"
