"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40450	"95th/Dan Ryan"	"12/04/2017"	"W"	"10,611"
40450	"95th/Dan Ryan"	"12/16/2017"	"A"	"6,458"
40450	"95th/Dan Ryan"	"12/17/2017"	"U"	"4,850"
40450	"95th/Dan Ryan"	"12/11/2017"	"W"	"10,099"
40450	"95th/Dan Ryan"	"12/23/2017"	"A"	"5,946"
40450	"95th/Dan Ryan"	"12/19/2017"	"W"	"9,566"
40450	"95th/Dan Ryan"	"12/20/2017"	"W"	"10,150"
40450	"95th/Dan Ryan"	"12/29/2017"	"W"	"7,656"
40450	"95th/Dan Ryan"	"12/21/2017"	"W"	"9,861"
40450	"95th/Dan Ryan"	"12/15/2017"	"W"	"9,936"
40450	"95th/Dan Ryan"	"12/09/2017"	"A"	"5,759"
40450	"95th/Dan Ryan"	"12/13/2017"	"W"	"10,062"
40450	"95th/Dan Ryan"	"12/01/2017"	"W"	"11,173"
40450	"95th/Dan Ryan"	"12/24/2017"	"U"	"4,329"
40450	"95th/Dan Ryan"	"12/22/2017"	"W"	"9,675"
40450	"95th/Dan Ryan"	"12/10/2017"	"U"	"4,668"
40450	"95th/Dan Ryan"	"12/12/2017"	"W"	"10,025"
40450	"95th/Dan Ryan"	"12/14/2017"	"W"	"10,052"
40450	"95th/Dan Ryan"	"12/06/2017"	"W"	"10,633"
40450	"95th/Dan Ryan"	"12/03/2017"	"U"	"5,431"
40450	"95th/Dan Ryan"	"12/26/2017"	"W"	"6,138"
40450	"95th/Dan Ryan"	"12/05/2017"	"W"	"10,518"
40450	"95th/Dan Ryan"	"12/07/2017"	"W"	"10,389"
40450	"95th/Dan Ryan"	"12/08/2017"	"W"	"10,051"
40450	"95th/Dan Ryan"	"12/31/2017"	"U"	"4,189"
40450	"95th/Dan Ryan"	"12/02/2017"	"A"	"6,654"
40450	"95th/Dan Ryan"	"12/28/2017"	"W"	"7,365"
40450	"95th/Dan Ryan"	"12/27/2017"	"W"	"6,862"
40450	"95th/Dan Ryan"	"12/30/2017"	"A"	"4,820"
40450	"95th/Dan Ryan"	"12/18/2017"	"W"	"9,874"
40450	"95th/Dan Ryan"	"12/25/2017"	"U"	"3,068"
40450	"95th/Dan Ryan"	"03/06/2018"	"W"	"9,948"
40450	"95th/Dan Ryan"	"01/25/2018"	"W"	"10,303"
40450	"95th/Dan Ryan"	"02/24/2018"	"A"	"5,854"
40450	"95th/Dan Ryan"	"02/20/2018"	"W"	"10,016"
40450	"95th/Dan Ryan"	"01/31/2018"	"W"	"9,990"
40450	"95th/Dan Ryan"	"03/19/2018"	"W"	"9,697"
40450	"95th/Dan Ryan"	"01/15/2018"	"W"	"5,726"
40450	"95th/Dan Ryan"	"03/14/2018"	"W"	"9,917"
40450	"95th/Dan Ryan"	"03/04/2018"	"U"	"4,836"
40450	"95th/Dan Ryan"	"03/24/2018"	"A"	"5,212"
40450	"95th/Dan Ryan"	"03/13/2018"	"W"	"9,736"
40450	"95th/Dan Ryan"	"02/07/2018"	"W"	"9,742"
40450	"95th/Dan Ryan"	"01/01/2018"	"U"	"3,258"
40450	"95th/Dan Ryan"	"03/29/2018"	"W"	"8,603"
40450	"95th/Dan Ryan"	"03/05/2018"	"W"	"9,363"
40450	"95th/Dan Ryan"	"01/18/2018"	"W"	"9,702"
40450	"95th/Dan Ryan"	"01/28/2018"	"U"	"4,383"
40450	"95th/Dan Ryan"	"01/30/2018"	"W"	"9,949"
40450	"95th/Dan Ryan"	"03/18/2018"	"U"	"4,746"
40450	"95th/Dan Ryan"	"03/28/2018"	"W"	"8,777"
40450	"95th/Dan Ryan"	"01/29/2018"	"W"	"9,697"
40450	"95th/Dan Ryan"	"03/09/2018"	"W"	"9,899"
40450	"95th/Dan Ryan"	"01/19/2018"	"W"	"9,806"
40450	"95th/Dan Ryan"	"01/09/2018"	"W"	"9,515"
40450	"95th/Dan Ryan"	"01/03/2018"	"W"	"7,698"
40450	"95th/Dan Ryan"	"02/26/2018"	"W"	"10,126"
40450	"95th/Dan Ryan"	"01/24/2018"	"W"	"9,998"
40450	"95th/Dan Ryan"	"02/22/2018"	"W"	"10,345"
40450	"95th/Dan Ryan"	"02/09/2018"	"W"	"5,920"
40450	"95th/Dan Ryan"	"02/28/2018"	"W"	"10,247"
40450	"95th/Dan Ryan"	"02/19/2018"	"W"	"7,157"
40450	"95th/Dan Ryan"	"02/27/2018"	"W"	"10,362"
40450	"95th/Dan Ryan"	"02/06/2018"	"W"	"9,490"
40450	"95th/Dan Ryan"	"03/26/2018"	"W"	"8,447"
40450	"95th/Dan Ryan"	"02/10/2018"	"A"	"4,811"
40450	"95th/Dan Ryan"	"03/11/2018"	"U"	"4,592"
40450	"95th/Dan Ryan"	"01/12/2018"	"W"	"9,236"
40450	"95th/Dan Ryan"	"02/25/2018"	"U"	"4,686"
40450	"95th/Dan Ryan"	"01/20/2018"	"A"	"5,638"
40450	"95th/Dan Ryan"	"01/22/2018"	"W"	"9,836"
40450	"95th/Dan Ryan"	"01/27/2018"	"A"	"5,948"
40450	"95th/Dan Ryan"	"02/16/2018"	"W"	"9,985"
40450	"95th/Dan Ryan"	"01/13/2018"	"A"	"5,173"
40450	"95th/Dan Ryan"	"01/14/2018"	"U"	"3,891"
40450	"95th/Dan Ryan"	"01/06/2018"	"A"	"4,805"
40450	"95th/Dan Ryan"	"03/12/2018"	"W"	"9,577"
40450	"95th/Dan Ryan"	"01/08/2018"	"W"	"9,194"
40450	"95th/Dan Ryan"	"02/05/2018"	"W"	"8,991"
40450	"95th/Dan Ryan"	"01/02/2018"	"W"	"6,446"
40450	"95th/Dan Ryan"	"03/31/2018"	"A"	"5,408"
40450	"95th/Dan Ryan"	"01/10/2018"	"W"	"9,947"
40450	"95th/Dan Ryan"	"03/25/2018"	"U"	"4,363"
40450	"95th/Dan Ryan"	"03/20/2018"	"W"	"9,783"
40450	"95th/Dan Ryan"	"02/03/2018"	"A"	"5,529"
40450	"95th/Dan Ryan"	"02/08/2018"	"W"	"9,810"
40450	"95th/Dan Ryan"	"01/17/2018"	"W"	"9,595"
40450	"95th/Dan Ryan"	"03/17/2018"	"A"	"5,922"
40450	"95th/Dan Ryan"	"01/23/2018"	"W"	"9,972"
40450	"95th/Dan Ryan"	"02/18/2018"	"U"	"4,581"
40450	"95th/Dan Ryan"	"02/04/2018"	"U"	"4,049"
40450	"95th/Dan Ryan"	"02/01/2018"	"W"	"10,037"
40450	"95th/Dan Ryan"	"01/05/2018"	"W"	"7,763"
40450	"95th/Dan Ryan"	"03/10/2018"	"A"	"5,766"
