"ï..station_id","stationname","date","daytype","rides"
40680,"Adams/Wabash","12/06/2017","W","7,234"
40680,"Adams/Wabash","12/02/2017","A","3,393"
40680,"Adams/Wabash","12/03/2017","U","2,463"
40680,"Adams/Wabash","12/05/2017","W","7,130"
40680,"Adams/Wabash","12/16/2017","A","2,907"
40680,"Adams/Wabash","12/28/2017","W","4,315"
40680,"Adams/Wabash","12/09/2017","A","2,993"
40680,"Adams/Wabash","12/15/2017","W","6,481"
40680,"Adams/Wabash","12/17/2017","U","1,940"
40680,"Adams/Wabash","12/01/2017","W","7,097"
40680,"Adams/Wabash","12/19/2017","W","6,473"
40680,"Adams/Wabash","12/26/2017","W","2,740"
40680,"Adams/Wabash","12/30/2017","A","1,905"
40680,"Adams/Wabash","12/14/2017","W","7,016"
40680,"Adams/Wabash","12/24/2017","U","1,279"
40680,"Adams/Wabash","12/29/2017","W","4,274"
40680,"Adams/Wabash","12/07/2017","W","7,745"
40680,"Adams/Wabash","12/25/2017","U","483"
40680,"Adams/Wabash","12/31/2017","U","1,419"
40680,"Adams/Wabash","12/08/2017","W","6,938"
40680,"Adams/Wabash","12/20/2017","W","6,225"
40680,"Adams/Wabash","12/12/2017","W","6,798"
40680,"Adams/Wabash","12/22/2017","W","5,129"
40680,"Adams/Wabash","12/11/2017","W","6,518"
40680,"Adams/Wabash","12/18/2017","W","6,141"
40680,"Adams/Wabash","12/04/2017","W","7,056"
40680,"Adams/Wabash","12/27/2017","W","3,842"
40680,"Adams/Wabash","12/23/2017","A","2,410"
40680,"Adams/Wabash","12/10/2017","U","2,089"
40680,"Adams/Wabash","12/21/2017","W","6,146"
40680,"Adams/Wabash","12/13/2017","W","6,806"
40680,"Adams/Wabash","03/14/2018","W","7,766"
40680,"Adams/Wabash","03/11/2018","U","1,985"
40680,"Adams/Wabash","03/22/2018","W","7,086"
40680,"Adams/Wabash","02/15/2018","W","8,046"
40680,"Adams/Wabash","01/15/2018","W","3,588"
40680,"Adams/Wabash","03/01/2018","W","8,138"
40680,"Adams/Wabash","02/12/2018","W","7,341"
40680,"Adams/Wabash","03/29/2018","W","7,870"
