ï..station_id	stationname	date	daytype	rides
41440	Addison-Brown	12/06/2017	W	2,699
41440	Addison-Brown	12/21/2017	W	2,437
41440	Addison-Brown	12/18/2017	W	2,477
41440	Addison-Brown	12/11/2017	W	2,512
41440	Addison-Brown	12/14/2017	W	2,640
41440	Addison-Brown	12/17/2017	U	690
41440	Addison-Brown	12/27/2017	W	1,122
41440	Addison-Brown	12/19/2017	W	2,568
41440	Addison-Brown	12/30/2017	A	646
41440	Addison-Brown	12/16/2017	A	1,083
41440	Addison-Brown	12/20/2017	W	2,582
41440	Addison-Brown	12/25/2017	U	127
41440	Addison-Brown	12/29/2017	W	1,263
41440	Addison-Brown	12/01/2017	W	2,663
41440	Addison-Brown	12/24/2017	U	339
41440	Addison-Brown	12/22/2017	W	1,914
41440	Addison-Brown	12/07/2017	W	2,649
41440	Addison-Brown	12/13/2017	W	2,652
41440	Addison-Brown	12/05/2017	W	2,540
41440	Addison-Brown	12/12/2017	W	2,571
41440	Addison-Brown	12/08/2017	W	2,598
41440	Addison-Brown	12/26/2017	W	643
41440	Addison-Brown	12/23/2017	A	750
41440	Addison-Brown	12/02/2017	A	1,352
41440	Addison-Brown	12/28/2017	W	1,267
41440	Addison-Brown	12/15/2017	W	2,420
41440	Addison-Brown	12/04/2017	W	2,647
41440	Addison-Brown	12/31/2017	U	677
41440	Addison-Brown	12/10/2017	U	783
41440	Addison-Brown	12/09/2017	A	1,072
41440	Addison-Brown	12/03/2017	U	773
41440	Addison-Brown	01/13/2018	A	858
41440	Addison-Brown	03/05/2018	W	2,526
41440	Addison-Brown	01/08/2018	W	2,536
41440	Addison-Brown	01/20/2018	A	1,253
41440	Addison-Brown	01/02/2018	W	1,670
41440	Addison-Brown	02/11/2018	U	701
41440	Addison-Brown	02/06/2018	W	2,595
41440	Addison-Brown	01/31/2018	W	2,718
41440	Addison-Brown	03/08/2018	W	2,685
41440	Addison-Brown	02/10/2018	A	1,017
41440	Addison-Brown	02/03/2018	A	958
41440	Addison-Brown	01/30/2018	W	2,653
41440	Addison-Brown	03/22/2018	W	2,485
41440	Addison-Brown	02/16/2018	W	2,509
41440	Addison-Brown	01/15/2018	W	1,266
41440	Addison-Brown	01/24/2018	W	2,663
41440	Addison-Brown	02/21/2018	W	2,722
41440	Addison-Brown	03/21/2018	W	2,682
41440	Addison-Brown	01/28/2018	U	675
41440	Addison-Brown	01/16/2018	W	2,609
41440	Addison-Brown	03/14/2018	W	2,673
41440	Addison-Brown	02/12/2018	W	2,581
41440	Addison-Brown	01/19/2018	W	2,529
41440	Addison-Brown	01/09/2018	W	2,642
41440	Addison-Brown	01/10/2018	W	2,738
41440	Addison-Brown	01/12/2018	W	2,531
41440	Addison-Brown	01/03/2018	W	1,959
41440	Addison-Brown	03/18/2018	U	761
41440	Addison-Brown	01/07/2018	U	567
