"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41420	"Addison-North Main"	"12/19/2017"	"W"	"6,034"
41420	"Addison-North Main"	"12/06/2017"	"W"	"6,136"
41420	"Addison-North Main"	"12/22/2017"	"W"	"4,848"
41420	"Addison-North Main"	"12/13/2017"	"W"	"5,979"
41420	"Addison-North Main"	"12/21/2017"	"W"	"5,496"
41420	"Addison-North Main"	"12/18/2017"	"W"	"5,802"
41420	"Addison-North Main"	"12/23/2017"	"A"	"3,100"
41420	"Addison-North Main"	"12/04/2017"	"W"	"6,152"
41420	"Addison-North Main"	"12/01/2017"	"W"	"6,815"
41420	"Addison-North Main"	"12/31/2017"	"U"	"2,690"
41420	"Addison-North Main"	"12/10/2017"	"U"	"3,530"
41420	"Addison-North Main"	"12/25/2017"	"U"	"668"
41420	"Addison-North Main"	"12/11/2017"	"W"	"5,987"
41420	"Addison-North Main"	"12/16/2017"	"A"	"5,212"
41420	"Addison-North Main"	"12/26/2017"	"W"	"1,914"
41420	"Addison-North Main"	"12/12/2017"	"W"	"5,912"
41420	"Addison-North Main"	"12/20/2017"	"W"	"5,881"
41420	"Addison-North Main"	"12/07/2017"	"W"	"6,168"
41420	"Addison-North Main"	"12/09/2017"	"A"	"5,458"
41420	"Addison-North Main"	"12/29/2017"	"W"	"3,914"
41420	"Addison-North Main"	"12/02/2017"	"A"	"5,921"
41420	"Addison-North Main"	"12/05/2017"	"W"	"5,990"
41420	"Addison-North Main"	"12/03/2017"	"U"	"4,203"
41420	"Addison-North Main"	"12/17/2017"	"U"	"3,703"
41420	"Addison-North Main"	"12/24/2017"	"U"	"1,514"
41420	"Addison-North Main"	"12/28/2017"	"W"	"3,458"
41420	"Addison-North Main"	"12/08/2017"	"W"	"6,610"
41420	"Addison-North Main"	"12/15/2017"	"W"	"6,306"
41420	"Addison-North Main"	"12/27/2017"	"W"	"2,851"
41420	"Addison-North Main"	"12/14/2017"	"W"	"6,259"
41420	"Addison-North Main"	"12/30/2017"	"A"	"2,762"
41420	"Addison-North Main"	"02/19/2018"	"W"	"4,685"
41420	"Addison-North Main"	"02/08/2018"	"W"	"6,145"
41420	"Addison-North Main"	"03/26/2018"	"W"	"6,161"
41420	"Addison-North Main"	"02/05/2018"	"W"	"5,692"
41420	"Addison-North Main"	"03/30/2018"	"W"	"5,757"
41420	"Addison-North Main"	"01/01/2018"	"U"	"2,975"
41420	"Addison-North Main"	"01/30/2018"	"W"	"6,141"
41420	"Addison-North Main"	"03/31/2018"	"A"	"3,849"
41420	"Addison-North Main"	"01/28/2018"	"U"	"2,868"
41420	"Addison-North Main"	"02/13/2018"	"W"	"6,299"
41420	"Addison-North Main"	"02/20/2018"	"W"	"6,239"
41420	"Addison-North Main"	"03/12/2018"	"W"	"6,246"
41420	"Addison-North Main"	"03/20/2018"	"W"	"5,932"
41420	"Addison-North Main"	"01/31/2018"	"W"	"6,220"
41420	"Addison-North Main"	"02/16/2018"	"W"	"6,362"
41420	"Addison-North Main"	"01/22/2018"	"W"	"6,203"
41420	"Addison-North Main"	"02/27/2018"	"W"	"6,628"
41420	"Addison-North Main"	"03/11/2018"	"U"	"3,262"
41420	"Addison-North Main"	"03/10/2018"	"A"	"4,267"
41420	"Addison-North Main"	"03/29/2018"	"W"	"6,595"
41420	"Addison-North Main"	"03/21/2018"	"W"	"5,915"
41420	"Addison-North Main"	"02/10/2018"	"A"	"4,034"
41420	"Addison-North Main"	"03/08/2018"	"W"	"6,366"
41420	"Addison-North Main"	"01/05/2018"	"W"	"4,950"
41420	"Addison-North Main"	"02/07/2018"	"W"	"6,122"
41420	"Addison-North Main"	"02/26/2018"	"W"	"6,095"
41420	"Addison-North Main"	"02/28/2018"	"W"	"6,415"
41420	"Addison-North Main"	"02/02/2018"	"W"	"5,482"
41420	"Addison-North Main"	"02/17/2018"	"A"	"4,036"
41420	"Addison-North Main"	"01/16/2018"	"W"	"6,119"
41420	"Addison-North Main"	"02/06/2018"	"W"	"6,126"
41420	"Addison-North Main"	"02/25/2018"	"U"	"3,115"
41420	"Addison-North Main"	"01/25/2018"	"W"	"6,422"
41420	"Addison-North Main"	"02/23/2018"	"W"	"6,140"
41420	"Addison-North Main"	"02/15/2018"	"W"	"6,580"
41420	"Addison-North Main"	"01/19/2018"	"W"	"6,115"
41420	"Addison-North Main"	"01/03/2018"	"W"	"5,192"
41420	"Addison-North Main"	"01/29/2018"	"W"	"5,971"
41420	"Addison-North Main"	"03/19/2018"	"W"	"6,181"
41420	"Addison-North Main"	"03/06/2018"	"W"	"6,108"
41420	"Addison-North Main"	"02/21/2018"	"W"	"6,356"
41420	"Addison-North Main"	"03/17/2018"	"A"	"12,323"
41420	"Addison-North Main"	"01/08/2018"	"W"	"5,895"
41420	"Addison-North Main"	"01/14/2018"	"U"	"2,628"
41420	"Addison-North Main"	"03/05/2018"	"W"	"5,846"
41420	"Addison-North Main"	"01/27/2018"	"A"	"4,126"
41420	"Addison-North Main"	"01/24/2018"	"W"	"6,277"
41420	"Addison-North Main"	"01/13/2018"	"A"	"3,324"
41420	"Addison-North Main"	"03/13/2018"	"W"	"6,428"
41420	"Addison-North Main"	"02/12/2018"	"W"	"6,060"
41420	"Addison-North Main"	"01/18/2018"	"W"	"6,192"
41420	"Addison-North Main"	"03/01/2018"	"W"	"6,366"
41420	"Addison-North Main"	"02/22/2018"	"W"	"6,435"
41420	"Addison-North Main"	"03/25/2018"	"U"	"3,098"
41420	"Addison-North Main"	"02/03/2018"	"A"	"3,607"
41420	"Addison-North Main"	"02/04/2018"	"U"	"2,592"
41420	"Addison-North Main"	"01/09/2018"	"W"	"6,000"
41420	"Addison-North Main"	"03/28/2018"	"W"	"6,436"
41420	"Addison-North Main"	"01/11/2018"	"W"	"6,061"
41420	"Addison-North Main"	"01/17/2018"	"W"	"6,054"
41420	"Addison-North Main"	"03/09/2018"	"W"	"6,161"
41420	"Addison-North Main"	"03/24/2018"	"A"	"4,013"
41420	"Addison-North Main"	"02/09/2018"	"W"	"4,556"
41420	"Addison-North Main"	"01/26/2018"	"W"	"6,122"
41420	"Addison-North Main"	"03/16/2018"	"W"	"7,108"
41420	"Addison-North Main"	"01/04/2018"	"W"	"5,224"
41420	"Addison-North Main"	"02/24/2018"	"A"	"4,195"
41420	"Addison-North Main"	"03/02/2018"	"W"	"6,261"
41420	"Addison-North Main"	"03/23/2018"	"W"	"6,135"
41420	"Addison-North Main"	"02/18/2018"	"U"	"3,414"
