"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41240	"Addison-O'Hare"	"12/01/2017"	"W"	"3,172"
41240	"Addison-O'Hare"	"12/14/2017"	"W"	"3,033"
41240	"Addison-O'Hare"	"12/04/2017"	"W"	"3,034"
41240	"Addison-O'Hare"	"12/23/2017"	"A"	"1,313"
41240	"Addison-O'Hare"	"12/21/2017"	"W"	"2,916"
41240	"Addison-O'Hare"	"12/26/2017"	"W"	"1,257"
41240	"Addison-O'Hare"	"12/17/2017"	"U"	"1,015"
41240	"Addison-O'Hare"	"12/12/2017"	"W"	"2,870"
41240	"Addison-O'Hare"	"12/15/2017"	"W"	"2,866"
41240	"Addison-O'Hare"	"12/03/2017"	"U"	"1,121"
41240	"Addison-O'Hare"	"12/02/2017"	"A"	"1,533"
41240	"Addison-O'Hare"	"12/10/2017"	"U"	"876"
41240	"Addison-O'Hare"	"12/16/2017"	"A"	"1,378"
41240	"Addison-O'Hare"	"12/05/2017"	"W"	"3,013"
41240	"Addison-O'Hare"	"12/06/2017"	"W"	"3,051"
41240	"Addison-O'Hare"	"12/25/2017"	"U"	"358"
41240	"Addison-O'Hare"	"12/09/2017"	"A"	"1,315"
41240	"Addison-O'Hare"	"12/24/2017"	"U"	"809"
41240	"Addison-O'Hare"	"12/28/2017"	"W"	"1,395"
41240	"Addison-O'Hare"	"12/27/2017"	"W"	"1,513"
41240	"Addison-O'Hare"	"12/22/2017"	"W"	"2,658"
41240	"Addison-O'Hare"	"12/13/2017"	"W"	"2,749"
41240	"Addison-O'Hare"	"12/19/2017"	"W"	"3,026"
41240	"Addison-O'Hare"	"12/31/2017"	"U"	"732"
41240	"Addison-O'Hare"	"12/11/2017"	"W"	"2,853"
41240	"Addison-O'Hare"	"12/30/2017"	"A"	"764"
41240	"Addison-O'Hare"	"12/07/2017"	"W"	"3,033"
41240	"Addison-O'Hare"	"12/29/2017"	"W"	"1,476"
41240	"Addison-O'Hare"	"12/08/2017"	"W"	"3,054"
41240	"Addison-O'Hare"	"12/20/2017"	"W"	"2,902"
41240	"Addison-O'Hare"	"12/18/2017"	"W"	"2,869"
41240	"Addison-O'Hare"	"02/22/2018"	"W"	"2,951"
41240	"Addison-O'Hare"	"03/11/2018"	"U"	"864"
41240	"Addison-O'Hare"	"01/02/2018"	"W"	"1,792"
41240	"Addison-O'Hare"	"03/25/2018"	"U"	"909"
41240	"Addison-O'Hare"	"03/29/2018"	"W"	"2,505"
41240	"Addison-O'Hare"	"02/09/2018"	"W"	"1,931"
41240	"Addison-O'Hare"	"03/01/2018"	"W"	"2,876"
41240	"Addison-O'Hare"	"02/19/2018"	"W"	"1,904"
41240	"Addison-O'Hare"	"01/13/2018"	"A"	"996"
41240	"Addison-O'Hare"	"03/28/2018"	"W"	"2,577"
