ï..station_id	stationname	date	daytype	rides
41200	Argyle	12/30/2017	A	1,716
41200	Argyle	12/07/2017	W	3,111
41200	Argyle	12/09/2017	A	2,349
41200	Argyle	12/29/2017	W	2,252
41200	Argyle	12/12/2017	W	3,043
41200	Argyle	12/19/2017	W	2,905
41200	Argyle	12/16/2017	A	2,378
41200	Argyle	12/08/2017	W	3,074
41200	Argyle	12/04/2017	W	3,077
41200	Argyle	12/17/2017	U	1,807
41200	Argyle	12/22/2017	W	2,549
41200	Argyle	12/21/2017	W	2,818
41200	Argyle	12/20/2017	W	2,955
41200	Argyle	12/03/2017	U	1,985
41200	Argyle	12/31/2017	U	1,523
41200	Argyle	12/28/2017	W	2,070
41200	Argyle	12/24/2017	U	1,291
41200	Argyle	12/10/2017	U	1,532
41200	Argyle	12/23/2017	A	1,749
41200	Argyle	12/02/2017	A	2,539
41200	Argyle	12/15/2017	W	3,069
41200	Argyle	12/25/2017	U	850
41200	Argyle	12/27/2017	W	1,840
41200	Argyle	12/26/2017	W	1,499
41200	Argyle	12/14/2017	W	3,032
41200	Argyle	12/06/2017	W	3,043
41200	Argyle	12/18/2017	W	2,896
41200	Argyle	12/05/2017	W	3,062
41200	Argyle	12/01/2017	W	3,326
41200	Argyle	12/13/2017	W	2,995
41200	Argyle	12/11/2017	W	2,989
41200	Argyle	03/28/2018	W	2,941
41200	Argyle	02/07/2018	W	3,140
41200	Argyle	01/19/2018	W	3,093
41200	Argyle	02/16/2018	W	3,233
41200	Argyle	03/03/2018	A	2,455
41200	Argyle	02/13/2018	W	3,193
41200	Argyle	01/16/2018	W	2,951
41200	Argyle	03/05/2018	W	2,896
41200	Argyle	02/04/2018	U	1,525
41200	Argyle	01/17/2018	W	3,045
41200	Argyle	03/26/2018	W	2,862
41200	Argyle	02/14/2018	W	3,194
41200	Argyle	03/18/2018	U	1,708
41200	Argyle	03/22/2018	W	2,989
41200	Argyle	02/01/2018	W	3,015
41200	Argyle	02/27/2018	W	3,134
41200	Argyle	03/10/2018	A	2,419
41200	Argyle	03/11/2018	U	1,762
41200	Argyle	02/06/2018	W	2,923
41200	Argyle	01/21/2018	U	1,655
41200	Argyle	03/24/2018	A	1,899
41200	Argyle	03/15/2018	W	3,254
41200	Argyle	02/17/2018	A	2,379
41200	Argyle	03/16/2018	W	3,370
41200	Argyle	01/23/2018	W	2,997
41200	Argyle	03/06/2018	W	3,049
41200	Argyle	02/12/2018	W	2,982
41200	Argyle	03/08/2018	W	2,932
41200	Argyle	01/03/2018	W	2,688
41200	Argyle	01/18/2018	W	2,956
41200	Argyle	01/09/2018	W	2,914
41200	Argyle	03/25/2018	U	1,816
41200	Argyle	03/02/2018	W	3,312
41200	Argyle	01/06/2018	A	1,746
41200	Argyle	03/01/2018	W	3,057
41200	Argyle	02/02/2018	W	2,967
41200	Argyle	01/29/2018	W	2,959
41200	Argyle	01/31/2018	W	3,030
41200	Argyle	02/21/2018	W	3,095
41200	Argyle	02/26/2018	W	2,994
41200	Argyle	01/28/2018	U	1,710
41200	Argyle	01/11/2018	W	3,015
41200	Argyle	01/22/2018	W	3,021
41200	Argyle	02/10/2018	A	2,236
41200	Argyle	02/08/2018	W	3,028
41200	Argyle	03/21/2018	W	3,022
41200	Argyle	01/25/2018	W	3,139
41200	Argyle	02/20/2018	W	3,020
41200	Argyle	02/03/2018	A	2,177
41200	Argyle	02/24/2018	A	2,963
41200	Argyle	03/29/2018	W	2,995
41200	Argyle	02/25/2018	U	1,852
41200	Argyle	03/09/2018	W	3,088
41200	Argyle	01/02/2018	W	2,232
41200	Argyle	03/14/2018	W	3,160
41200	Argyle	03/13/2018	W	3,094
