"ï..station_id","stationname","date","daytype","rides"
40660,"Armitage","12/18/2017","W","4,478"
40660,"Armitage","12/02/2017","A","3,013"
40660,"Armitage","12/23/2017","A","1,425"
40660,"Armitage","12/07/2017","W","4,458"
40660,"Armitage","12/15/2017","W","4,491"
40660,"Armitage","12/16/2017","A","2,426"
40660,"Armitage","12/10/2017","U","1,524"
40660,"Armitage","12/05/2017","W","4,427"
40660,"Armitage","12/09/2017","A","2,242"
40660,"Armitage","12/01/2017","W","4,852"
40660,"Armitage","12/22/2017","W","3,593"
40660,"Armitage","12/11/2017","W","4,234"
40660,"Armitage","12/25/2017","U","192"
40660,"Armitage","12/12/2017","W","4,497"
40660,"Armitage","12/27/2017","W","1,758"
40660,"Armitage","12/21/2017","W","4,301"
40660,"Armitage","12/04/2017","W","4,516"
40660,"Armitage","12/30/2017","A","1,284"
40660,"Armitage","12/24/2017","U","565"
40660,"Armitage","12/14/2017","W","4,406"
40660,"Armitage","12/17/2017","U","1,490"
40660,"Armitage","12/06/2017","W","4,516"
40660,"Armitage","12/19/2017","W","4,616"
40660,"Armitage","12/26/2017","W","1,114"
40660,"Armitage","12/29/2017","W","2,263"
40660,"Armitage","12/08/2017","W","4,735"
40660,"Armitage","12/31/2017","U","1,116"
40660,"Armitage","12/13/2017","W","4,403"
40660,"Armitage","12/20/2017","W","4,532"
40660,"Armitage","12/28/2017","W","2,057"
40660,"Armitage","12/03/2017","U","1,627"
40660,"Armitage","01/27/2018","A","2,273"
40660,"Armitage","01/21/2018","U","1,440"
40660,"Armitage","02/06/2018","W","4,493"
40660,"Armitage","03/19/2018","W","4,323"
40660,"Armitage","03/04/2018","U","1,408"
40660,"Armitage","03/30/2018","W","3,294"
40660,"Armitage","01/15/2018","W","2,509"
40660,"Armitage","03/20/2018","W","4,211"
40660,"Armitage","02/04/2018","U","1,227"
40660,"Armitage","03/27/2018","W","3,774"
40660,"Armitage","01/26/2018","W","4,580"
40660,"Armitage","02/24/2018","A","2,166"
40660,"Armitage","03/16/2018","W","4,607"
40660,"Armitage","03/13/2018","W","4,054"
40660,"Armitage","03/06/2018","W","4,465"
40660,"Armitage","02/18/2018","U","1,498"
40660,"Armitage","01/06/2018","A","1,573"
40660,"Armitage","02/21/2018","W","4,552"
40660,"Armitage","02/26/2018","W","4,414"
40660,"Armitage","03/31/2018","A","1,715"
40660,"Armitage","02/11/2018","U","1,489"
40660,"Armitage","03/12/2018","W","4,381"
40660,"Armitage","02/25/2018","U","1,555"
40660,"Armitage","01/02/2018","W","2,843"
40660,"Armitage","01/07/2018","U","1,186"
40660,"Armitage","02/28/2018","W","4,612"
