"ï..station_id","stationname","date","daytype","rides"
40170,"Ashland-Lake","12/01/2017","W","2,568"
40170,"Ashland-Lake","12/28/2017","W","1,457"
40170,"Ashland-Lake","12/29/2017","W","1,547"
40170,"Ashland-Lake","12/07/2017","W","2,382"
40170,"Ashland-Lake","12/09/2017","A","1,164"
40170,"Ashland-Lake","12/22/2017","W","1,855"
40170,"Ashland-Lake","12/03/2017","U","930"
40170,"Ashland-Lake","12/05/2017","W","2,530"
40170,"Ashland-Lake","12/08/2017","W","2,455"
40170,"Ashland-Lake","12/16/2017","A","1,249"
40170,"Ashland-Lake","12/26/2017","W","971"
40170,"Ashland-Lake","12/13/2017","W","2,487"
40170,"Ashland-Lake","12/11/2017","W","2,495"
40170,"Ashland-Lake","12/30/2017","A","750"
40170,"Ashland-Lake","12/27/2017","W","1,333"
40170,"Ashland-Lake","12/31/2017","U","519"
40170,"Ashland-Lake","12/04/2017","W","2,629"
40170,"Ashland-Lake","12/10/2017","U","793"
40170,"Ashland-Lake","12/18/2017","W","2,433"
40170,"Ashland-Lake","12/23/2017","A","897"
40170,"Ashland-Lake","12/21/2017","W","2,244"
40170,"Ashland-Lake","12/17/2017","U","808"
40170,"Ashland-Lake","12/20/2017","W","2,398"
40170,"Ashland-Lake","12/06/2017","W","2,447"
40170,"Ashland-Lake","12/02/2017","A","1,295"
40170,"Ashland-Lake","12/24/2017","U","461"
40170,"Ashland-Lake","12/14/2017","W","2,490"
40170,"Ashland-Lake","12/12/2017","W","2,410"
40170,"Ashland-Lake","12/25/2017","U","301"
40170,"Ashland-Lake","12/15/2017","W","2,263"
40170,"Ashland-Lake","12/19/2017","W","2,315"
40170,"Ashland-Lake","02/27/2018","W","2,514"
40170,"Ashland-Lake","02/08/2018","W","2,506"
40170,"Ashland-Lake","02/20/2018","W","2,337"
40170,"Ashland-Lake","03/01/2018","W","2,424"
40170,"Ashland-Lake","03/08/2018","W","2,559"
40170,"Ashland-Lake","03/16/2018","W","2,411"
40170,"Ashland-Lake","03/05/2018","W","2,495"
40170,"Ashland-Lake","03/18/2018","U","993"
40170,"Ashland-Lake","02/25/2018","U","807"
40170,"Ashland-Lake","02/01/2018","W","2,404"
40170,"Ashland-Lake","02/05/2018","W","2,083"
40170,"Ashland-Lake","03/31/2018","A","980"
40170,"Ashland-Lake","03/03/2018","A","1,217"
40170,"Ashland-Lake","03/15/2018","W","2,449"
40170,"Ashland-Lake","02/22/2018","W","2,630"
40170,"Ashland-Lake","03/19/2018","W","2,413"
40170,"Ashland-Lake","01/03/2018","W","1,769"
40170,"Ashland-Lake","03/22/2018","W","2,557"
40170,"Ashland-Lake","02/23/2018","W","2,524"
40170,"Ashland-Lake","02/17/2018","A","1,137"
40170,"Ashland-Lake","02/15/2018","W","2,607"
40170,"Ashland-Lake","03/30/2018","W","1,935"
40170,"Ashland-Lake","03/25/2018","U","782"
40170,"Ashland-Lake","02/18/2018","U","688"
40170,"Ashland-Lake","03/10/2018","A","1,135"
40170,"Ashland-Lake","03/26/2018","W","2,142"
40170,"Ashland-Lake","02/13/2018","W","2,400"
40170,"Ashland-Lake","01/17/2018","W","2,376"
40170,"Ashland-Lake","03/21/2018","W","2,558"
40170,"Ashland-Lake","03/20/2018","W","2,380"
40170,"Ashland-Lake","01/12/2018","W","2,199"
40170,"Ashland-Lake","01/23/2018","W","2,365"
40170,"Ashland-Lake","02/19/2018","W","1,674"
40170,"Ashland-Lake","01/19/2018","W","2,225"
40170,"Ashland-Lake","02/03/2018","A","1,036"
40170,"Ashland-Lake","01/15/2018","W","1,374"
40170,"Ashland-Lake","03/02/2018","W","2,415"
40170,"Ashland-Lake","03/09/2018","W","2,486"
40170,"Ashland-Lake","01/31/2018","W","2,379"
40170,"Ashland-Lake","03/13/2018","W","2,569"
40170,"Ashland-Lake","01/29/2018","W","2,204"
40170,"Ashland-Lake","03/04/2018","U","742"
40170,"Ashland-Lake","01/26/2018","W","2,397"
40170,"Ashland-Lake","02/16/2018","W","2,373"
40170,"Ashland-Lake","02/12/2018","W","2,291"
40170,"Ashland-Lake","01/05/2018","W","1,833"
40170,"Ashland-Lake","03/14/2018","W","2,449"
40170,"Ashland-Lake","01/21/2018","U","747"
40170,"Ashland-Lake","01/28/2018","U","811"
40170,"Ashland-Lake","02/10/2018","A","1,105"
40170,"Ashland-Lake","03/12/2018","W","2,316"
40170,"Ashland-Lake","01/24/2018","W","2,491"
40170,"Ashland-Lake","03/24/2018","A","6,562"
40170,"Ashland-Lake","01/16/2018","W","2,457"
40170,"Ashland-Lake","02/02/2018","W","2,114"
40170,"Ashland-Lake","02/11/2018","U","605"
40170,"Ashland-Lake","01/27/2018","A","1,088"
40170,"Ashland-Lake","01/30/2018","W","2,401"
40170,"Ashland-Lake","02/07/2018","W","2,265"
40170,"Ashland-Lake","03/11/2018","U","864"
40170,"Ashland-Lake","01/20/2018","A","1,280"
40170,"Ashland-Lake","01/02/2018","W","1,440"
40170,"Ashland-Lake","01/11/2018","W","2,395"
40170,"Ashland-Lake","03/27/2018","W","2,195"
40170,"Ashland-Lake","01/09/2018","W","2,238"
40170,"Ashland-Lake","01/18/2018","W","2,345"
40170,"Ashland-Lake","02/14/2018","W","2,602"
40170,"Ashland-Lake","02/24/2018","A","1,113"
40170,"Ashland-Lake","03/29/2018","W","2,242"
40170,"Ashland-Lake","01/25/2018","W","2,434"
40170,"Ashland-Lake","01/08/2018","W","2,338"
40170,"Ashland-Lake","01/06/2018","A","860"
40170,"Ashland-Lake","02/09/2018","W","1,517"
40170,"Ashland-Lake","02/06/2018","W","2,327"
40170,"Ashland-Lake","03/17/2018","A","1,782"
40170,"Ashland-Lake","01/10/2018","W","2,365"
40170,"Ashland-Lake","01/01/2018","U","537"
40170,"Ashland-Lake","01/04/2018","W","1,846"
40170,"Ashland-Lake","02/04/2018","U","565"
40170,"Ashland-Lake","03/28/2018","W","2,307"
40170,"Ashland-Lake","02/28/2018","W","2,370"
40170,"Ashland-Lake","02/26/2018","W","2,379"
40170,"Ashland-Lake","01/14/2018","U","727"
40170,"Ashland-Lake","03/23/2018","W","2,531"
40170,"Ashland-Lake","01/22/2018","W","2,412"
40170,"Ashland-Lake","01/07/2018","U","591"
40170,"Ashland-Lake","03/07/2018","W","2,529"
40170,"Ashland-Lake","01/13/2018","A","1,024"
40170,"Ashland-Lake","03/06/2018","W","2,525"
40170,"Ashland-Lake","02/21/2018","W","2,553"
40170,"Ashland-Lake","06/27/2018","W","2,403"
40170,"Ashland-Lake","04/22/2018","U","745"
40170,"Ashland-Lake","06/14/2018","W","2,550"
40170,"Ashland-Lake","06/13/2018","W","2,562"
40170,"Ashland-Lake","04/13/2018","W","2,119"
40170,"Ashland-Lake","04/08/2018","U","665"
40170,"Ashland-Lake","06/08/2018","W","2,470"
40170,"Ashland-Lake","05/22/2018","W","2,713"
40170,"Ashland-Lake","05/27/2018","U","961"
40170,"Ashland-Lake","05/26/2018","A","1,433"
40170,"Ashland-Lake","06/18/2018","W","2,155"
40170,"Ashland-Lake","05/06/2018","U","781"
40170,"Ashland-Lake","05/13/2018","U","657"
40170,"Ashland-Lake","05/07/2018","W","2,373"
40170,"Ashland-Lake","04/26/2018","W","2,398"
40170,"Ashland-Lake","04/25/2018","W","2,397"
40170,"Ashland-Lake","04/11/2018","W","2,725"
40170,"Ashland-Lake","05/01/2018","W","2,562"
