"ï..station_id","stationname","date","daytype","rides"
40010,"Austin-Forest Park","12/03/2017","U","641"
40010,"Austin-Forest Park","12/28/2017","W","1,155"
40010,"Austin-Forest Park","12/13/2017","W","1,916"
40010,"Austin-Forest Park","12/22/2017","W","1,535"
40010,"Austin-Forest Park","12/16/2017","A","828"
40010,"Austin-Forest Park","12/12/2017","W","1,950"
40010,"Austin-Forest Park","12/25/2017","U","339"
40010,"Austin-Forest Park","12/27/2017","W","1,074"
40010,"Austin-Forest Park","12/08/2017","W","2,045"
40010,"Austin-Forest Park","12/23/2017","A","681"
40010,"Austin-Forest Park","12/10/2017","U","555"
40010,"Austin-Forest Park","12/15/2017","W","1,820"
40010,"Austin-Forest Park","12/14/2017","W","1,977"
40010,"Austin-Forest Park","12/02/2017","A","942"
40010,"Austin-Forest Park","12/06/2017","W","2,047"
40010,"Austin-Forest Park","12/09/2017","A","977"
40010,"Austin-Forest Park","12/17/2017","U","626"
40010,"Austin-Forest Park","12/19/2017","W","1,942"
40010,"Austin-Forest Park","12/01/2017","W","2,218"
40010,"Austin-Forest Park","12/11/2017","W","1,938"
40010,"Austin-Forest Park","12/20/2017","W","1,823"
40010,"Austin-Forest Park","12/21/2017","W","1,797"
40010,"Austin-Forest Park","12/05/2017","W","2,077"
40010,"Austin-Forest Park","12/04/2017","W","2,111"
40010,"Austin-Forest Park","12/18/2017","W","1,841"
40010,"Austin-Forest Park","12/24/2017","U","501"
40010,"Austin-Forest Park","12/31/2017","U","511"
40010,"Austin-Forest Park","12/30/2017","A","587"
40010,"Austin-Forest Park","12/07/2017","W","2,015"
40010,"Austin-Forest Park","12/26/2017","W","885"
40010,"Austin-Forest Park","12/29/2017","W","1,153"
40010,"Austin-Forest Park","11/01/2018","W","2,248"
40010,"Austin-Forest Park","11/02/2018","W","1,983"
40010,"Austin-Forest Park","11/03/2018","A","837"
40010,"Austin-Forest Park","11/04/2018","U","604"
40010,"Austin-Forest Park","11/05/2018","W","2,161"
40010,"Austin-Forest Park","11/06/2018","W","2,021"
40010,"Austin-Forest Park","11/07/2018","W","2,185"
40010,"Austin-Forest Park","11/08/2018","W","2,205"
40010,"Austin-Forest Park","11/09/2018","W","1,893"
40010,"Austin-Forest Park","11/10/2018","A","769"
40010,"Austin-Forest Park","11/11/2018","U","591"
40010,"Austin-Forest Park","11/12/2018","W","1,724"
40010,"Austin-Forest Park","11/13/2018","W","2,140"
40010,"Austin-Forest Park","11/14/2018","W","2,147"
40010,"Austin-Forest Park","11/15/2018","W","2,095"
40010,"Austin-Forest Park","11/16/2018","W","2,030"
40010,"Austin-Forest Park","11/17/2018","A","807"
40010,"Austin-Forest Park","11/18/2018","U","597"
40010,"Austin-Forest Park","11/19/2018","W","2,056"
40010,"Austin-Forest Park","11/20/2018","W","2,027"
40010,"Austin-Forest Park","11/21/2018","W","1,638"
40010,"Austin-Forest Park","11/22/2018","U","518"
