"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41320	"Belmont-North Main"	"12/28/2017"	"W"	"6,981"
41320	"Belmont-North Main"	"12/12/2017"	"W"	"11,192"
41320	"Belmont-North Main"	"12/11/2017"	"W"	"11,136"
41320	"Belmont-North Main"	"12/21/2017"	"W"	"10,749"
41320	"Belmont-North Main"	"12/24/2017"	"U"	"2,996"
41320	"Belmont-North Main"	"12/09/2017"	"A"	"8,970"
41320	"Belmont-North Main"	"12/29/2017"	"W"	"7,554"
41320	"Belmont-North Main"	"12/19/2017"	"W"	"11,411"
41320	"Belmont-North Main"	"12/30/2017"	"A"	"5,541"
41320	"Belmont-North Main"	"12/23/2017"	"A"	"5,649"
41320	"Belmont-North Main"	"12/25/2017"	"U"	"1,346"
41320	"Belmont-North Main"	"12/18/2017"	"W"	"11,012"
41320	"Belmont-North Main"	"12/10/2017"	"U"	"6,319"
41320	"Belmont-North Main"	"12/05/2017"	"W"	"11,508"
41320	"Belmont-North Main"	"12/04/2017"	"W"	"11,490"
41320	"Belmont-North Main"	"12/13/2017"	"W"	"11,347"
41320	"Belmont-North Main"	"12/14/2017"	"W"	"11,731"
41320	"Belmont-North Main"	"12/06/2017"	"W"	"11,599"
41320	"Belmont-North Main"	"12/07/2017"	"W"	"11,719"
41320	"Belmont-North Main"	"12/17/2017"	"U"	"6,512"
41320	"Belmont-North Main"	"12/27/2017"	"W"	"5,787"
41320	"Belmont-North Main"	"12/03/2017"	"U"	"7,128"
41320	"Belmont-North Main"	"12/01/2017"	"W"	"13,014"
41320	"Belmont-North Main"	"12/08/2017"	"W"	"11,957"
41320	"Belmont-North Main"	"12/31/2017"	"U"	"5,288"
41320	"Belmont-North Main"	"12/16/2017"	"A"	"9,281"
41320	"Belmont-North Main"	"12/20/2017"	"W"	"11,396"
41320	"Belmont-North Main"	"12/26/2017"	"W"	"4,014"
41320	"Belmont-North Main"	"12/22/2017"	"W"	"9,155"
41320	"Belmont-North Main"	"12/15/2017"	"W"	"11,829"
41320	"Belmont-North Main"	"12/02/2017"	"A"	"9,979"
41320	"Belmont-North Main"	"03/16/2018"	"W"	"12,943"
41320	"Belmont-North Main"	"01/04/2018"	"W"	"10,162"
41320	"Belmont-North Main"	"02/12/2018"	"W"	"11,348"
41320	"Belmont-North Main"	"02/07/2018"	"W"	"11,490"
41320	"Belmont-North Main"	"02/19/2018"	"W"	"9,037"
41320	"Belmont-North Main"	"01/09/2018"	"W"	"11,434"
41320	"Belmont-North Main"	"02/26/2018"	"W"	"11,479"
41320	"Belmont-North Main"	"02/09/2018"	"W"	"9,032"
