ï..station_id	stationname	date	daytype	rides
40060	Belmont-O'Hare	12/02/2017	A	3,327
40060	Belmont-O'Hare	12/23/2017	A	2,821
40060	Belmont-O'Hare	12/27/2017	W	3,625
40060	Belmont-O'Hare	12/30/2017	A	2,433
40060	Belmont-O'Hare	12/01/2017	W	6,151
40060	Belmont-O'Hare	12/25/2017	U	1,085
40060	Belmont-O'Hare	12/20/2017	W	5,422
40060	Belmont-O'Hare	12/15/2017	W	5,543
40060	Belmont-O'Hare	12/07/2017	W	5,905
40060	Belmont-O'Hare	12/05/2017	W	5,829
40060	Belmont-O'Hare	12/16/2017	A	3,152
40060	Belmont-O'Hare	12/09/2017	A	3,172
40060	Belmont-O'Hare	12/12/2017	W	5,558
40060	Belmont-O'Hare	12/04/2017	W	5,757
40060	Belmont-O'Hare	12/26/2017	W	2,959
40060	Belmont-O'Hare	12/14/2017	W	5,771
40060	Belmont-O'Hare	12/19/2017	W	5,400
40060	Belmont-O'Hare	12/24/2017	U	1,843
40060	Belmont-O'Hare	12/10/2017	U	2,284
40060	Belmont-O'Hare	12/17/2017	U	2,391
40060	Belmont-O'Hare	12/31/2017	U	1,975
40060	Belmont-O'Hare	12/08/2017	W	6,073
40060	Belmont-O'Hare	12/29/2017	W	3,952
40060	Belmont-O'Hare	12/18/2017	W	5,296
40060	Belmont-O'Hare	12/11/2017	W	5,497
40060	Belmont-O'Hare	12/28/2017	W	3,849
40060	Belmont-O'Hare	12/22/2017	W	5,083
40060	Belmont-O'Hare	12/21/2017	W	5,253
40060	Belmont-O'Hare	12/03/2017	U	2,600
40060	Belmont-O'Hare	12/13/2017	W	5,493
40060	Belmont-O'Hare	12/06/2017	W	5,832
40060	Belmont-O'Hare	01/15/2018	W	3,527
40060	Belmont-O'Hare	01/14/2018	U	1,908
40060	Belmont-O'Hare	01/13/2018	A	2,631
40060	Belmont-O'Hare	03/14/2018	W	5,707
40060	Belmont-O'Hare	01/26/2018	W	5,644
40060	Belmont-O'Hare	03/18/2018	U	2,366
40060	Belmont-O'Hare	03/10/2018	A	2,932
40060	Belmont-O'Hare	01/04/2018	W	4,495
40060	Belmont-O'Hare	01/05/2018	W	4,656
40060	Belmont-O'Hare	01/25/2018	W	5,698
40060	Belmont-O'Hare	01/16/2018	W	5,470
40060	Belmont-O'Hare	02/11/2018	U	2,126
40060	Belmont-O'Hare	01/23/2018	W	5,616
40060	Belmont-O'Hare	02/20/2018	W	5,477
40060	Belmont-O'Hare	03/28/2018	W	5,240
40060	Belmont-O'Hare	03/02/2018	W	5,564
40060	Belmont-O'Hare	02/24/2018	A	2,915
40060	Belmont-O'Hare	02/10/2018	A	2,823
40060	Belmont-O'Hare	01/03/2018	W	4,375
40060	Belmont-O'Hare	02/19/2018	W	4,195
40060	Belmont-O'Hare	02/23/2018	W	5,621
40060	Belmont-O'Hare	01/18/2018	W	5,434
40060	Belmont-O'Hare	01/29/2018	W	5,280
40060	Belmont-O'Hare	03/08/2018	W	5,654
40060	Belmont-O'Hare	01/19/2018	W	5,446
40060	Belmont-O'Hare	03/31/2018	A	2,749
40060	Belmont-O'Hare	03/22/2018	W	5,664
40060	Belmont-O'Hare	03/04/2018	U	2,155
40060	Belmont-O'Hare	01/20/2018	A	3,073
40060	Belmont-O'Hare	02/02/2018	W	5,365
40060	Belmont-O'Hare	03/25/2018	U	2,323
40060	Belmont-O'Hare	01/08/2018	W	4,923
40060	Belmont-O'Hare	01/10/2018	W	5,227
40060	Belmont-O'Hare	03/17/2018	A	3,824
40060	Belmont-O'Hare	03/11/2018	U	2,186
40060	Belmont-O'Hare	02/05/2018	W	5,098
40060	Belmont-O'Hare	01/17/2018	W	5,516
40060	Belmont-O'Hare	02/06/2018	W	5,520
40060	Belmont-O'Hare	03/16/2018	W	5,700
40060	Belmont-O'Hare	03/03/2018	A	3,092
40060	Belmont-O'Hare	03/23/2018	W	5,632
40060	Belmont-O'Hare	02/03/2018	A	2,367
40060	Belmont-O'Hare	03/27/2018	W	5,282
40060	Belmont-O'Hare	03/09/2018	W	5,600
40060	Belmont-O'Hare	03/20/2018	W	5,572
40060	Belmont-O'Hare	02/21/2018	W	5,583
40060	Belmont-O'Hare	02/12/2018	W	5,178
40060	Belmont-O'Hare	02/27/2018	W	5,747
40060	Belmont-O'Hare	01/27/2018	A	2,876
40060	Belmont-O'Hare	02/01/2018	W	5,632
40060	Belmont-O'Hare	02/16/2018	W	5,667
40060	Belmont-O'Hare	03/21/2018	W	5,669
40060	Belmont-O'Hare	02/09/2018	W	4,221
