"ï..station_id","stationname","date","daytype","rides"
40340,"Berwyn","12/20/2017","W","3,113"
40340,"Berwyn","12/21/2017","W","3,010"
40340,"Berwyn","12/26/2017","W","1,576"
40340,"Berwyn","12/13/2017","W","3,374"
40340,"Berwyn","12/03/2017","U","1,919"
40340,"Berwyn","12/02/2017","A","2,640"
40340,"Berwyn","12/30/2017","A","1,686"
40340,"Berwyn","12/31/2017","U","1,588"
40340,"Berwyn","12/17/2017","U","1,744"
40340,"Berwyn","12/05/2017","W","3,359"
40340,"Berwyn","12/15/2017","W","3,317"
40340,"Berwyn","12/27/2017","W","1,919"
40340,"Berwyn","12/10/2017","U","1,884"
40340,"Berwyn","12/14/2017","W","3,346"
40340,"Berwyn","12/08/2017","W","3,477"
40340,"Berwyn","12/12/2017","W","3,289"
40340,"Berwyn","12/19/2017","W","3,191"
40340,"Berwyn","12/25/2017","U","606"
40340,"Berwyn","12/29/2017","W","2,371"
40340,"Berwyn","12/23/2017","A","1,845"
40340,"Berwyn","12/09/2017","A","2,373"
40340,"Berwyn","12/22/2017","W","2,835"
40340,"Berwyn","12/01/2017","W","3,646"
40340,"Berwyn","12/06/2017","W","3,452"
40340,"Berwyn","12/18/2017","W","3,143"
40340,"Berwyn","12/11/2017","W","3,309"
40340,"Berwyn","12/24/2017","U","1,248"
40340,"Berwyn","12/28/2017","W","2,088"
40340,"Berwyn","12/07/2017","W","3,383"
40340,"Berwyn","12/04/2017","W","3,403"
40340,"Berwyn","12/16/2017","A","2,404"
40340,"Berwyn","02/08/2018","W","3,428"
40340,"Berwyn","03/28/2018","W","3,259"
40340,"Berwyn","01/15/2018","W","2,254"
40340,"Berwyn","03/20/2018","W","3,198"
40340,"Berwyn","01/13/2018","A","1,912"
40340,"Berwyn","03/31/2018","A","2,141"
40340,"Berwyn","03/15/2018","W","3,357"
40340,"Berwyn","03/21/2018","W","3,262"
40340,"Berwyn","02/02/2018","W","3,159"
40340,"Berwyn","01/09/2018","W","3,096"
40340,"Berwyn","01/14/2018","U","1,520"
40340,"Berwyn","01/25/2018","W","3,296"
40340,"Berwyn","02/03/2018","A","2,153"
40340,"Berwyn","03/07/2018","W","3,283"
40340,"Berwyn","03/06/2018","W","3,238"
40340,"Berwyn","01/12/2018","W","3,016"
40340,"Berwyn","02/18/2018","U","1,835"
40340,"Berwyn","03/14/2018","W","3,457"
40340,"Berwyn","01/23/2018","W","3,389"
40340,"Berwyn","02/09/2018","W","2,694"
40340,"Berwyn","03/02/2018","W","3,470"
40340,"Berwyn","02/20/2018","W","3,253"
40340,"Berwyn","03/23/2018","W","3,313"
40340,"Berwyn","03/16/2018","W","3,363"
40340,"Berwyn","03/11/2018","U","1,686"
40340,"Berwyn","01/07/2018","U","1,556"
40340,"Berwyn","02/13/2018","W","3,450"
40340,"Berwyn","02/10/2018","A","2,248"
40340,"Berwyn","01/27/2018","A","2,251"
40340,"Berwyn","01/21/2018","U","1,642"
40340,"Berwyn","02/04/2018","U","1,564"
40340,"Berwyn","02/24/2018","A","2,366"
40340,"Berwyn","01/04/2018","W","2,756"
40340,"Berwyn","03/29/2018","W","3,045"
40340,"Berwyn","02/15/2018","W","3,404"
40340,"Berwyn","01/03/2018","W","2,883"
40340,"Berwyn","03/03/2018","A","2,378"
40340,"Berwyn","01/28/2018","U","1,716"
40340,"Berwyn","03/27/2018","W","3,128"
40340,"Berwyn","02/16/2018","W","3,310"
40340,"Berwyn","03/09/2018","W","3,260"
40340,"Berwyn","03/30/2018","W","2,945"
40340,"Berwyn","02/07/2018","W","3,345"
40340,"Berwyn","02/06/2018","W","3,254"
40340,"Berwyn","02/19/2018","W","2,531"
40340,"Berwyn","01/18/2018","W","3,337"
40340,"Berwyn","02/23/2018","W","3,281"
40340,"Berwyn","02/17/2018","A","2,170"
40340,"Berwyn","02/12/2018","W","3,344"
40340,"Berwyn","03/17/2018","A","2,836"
40340,"Berwyn","01/29/2018","W","3,114"
40340,"Berwyn","05/21/2009","W","3,287"
40340,"Berwyn","01/30/2018","W","3,271"
40340,"Berwyn","02/25/2018","U","1,702"
40340,"Berwyn","01/20/2018","A","2,684"
40340,"Berwyn","02/28/2018","W","3,387"
40340,"Berwyn","01/02/2018","W","2,383"
40340,"Berwyn","03/18/2018","U","1,862"
40340,"Berwyn","01/01/2018","U","1,054"
40340,"Berwyn","03/08/2018","W","3,271"
40340,"Berwyn","01/22/2018","W","3,304"
40340,"Berwyn","02/26/2018","W","3,287"
40340,"Berwyn","01/24/2018","W","3,361"
40340,"Berwyn","03/10/2018","A","2,339"
40340,"Berwyn","02/27/2018","W","3,400"
40340,"Berwyn","01/17/2018","W","3,285"
40340,"Berwyn","01/16/2018","W","3,250"
40340,"Berwyn","03/25/2018","U","1,777"
40340,"Berwyn","01/10/2018","W","3,226"
40340,"Berwyn","01/11/2018","W","3,124"
40340,"Berwyn","01/19/2018","W","3,333"
40340,"Berwyn","01/06/2018","A","1,808"
40340,"Berwyn","03/26/2018","W","3,083"
40340,"Berwyn","03/24/2018","A","2,291"
40340,"Berwyn","02/11/2018","U","1,778"
40340,"Berwyn","02/01/2018","W","3,232"
40340,"Berwyn","01/05/2018","W","2,722"
40340,"Berwyn","03/05/2018","W","3,116"
40340,"Berwyn","03/22/2018","W","3,306"
40340,"Berwyn","01/08/2018","W","3,045"
40340,"Berwyn","01/31/2018","W","3,350"
40340,"Berwyn","02/14/2018","W","3,404"
40340,"Berwyn","03/01/2018","W","3,417"
40340,"Berwyn","03/19/2018","W","3,224"
40340,"Berwyn","02/05/2018","W","3,067"
40340,"Berwyn","03/04/2018","U","1,669"
40340,"Berwyn","03/13/2018","W","3,295"
40340,"Berwyn","02/22/2018","W","3,288"
40340,"Berwyn","01/26/2018","W","3,366"
40340,"Berwyn","03/12/2018","W","3,130"
40340,"Berwyn","02/21/2018","W","3,354"
40340,"Berwyn","04/08/2018","U","1,675"
40340,"Berwyn","04/09/2018","W","3,295"
40340,"Berwyn","05/22/2018","W","3,241"
40340,"Berwyn","05/09/2018","W","3,287"
40340,"Berwyn","06/16/2018","A","2,591"
40340,"Berwyn","04/12/2018","W","3,351"
40340,"Berwyn","06/11/2018","W","3,227"
40340,"Berwyn","04/24/2018","W","3,254"
40340,"Berwyn","06/29/2018","W","3,435"
40340,"Berwyn","05/01/2018","W","3,397"
40340,"Berwyn","06/26/2018","W","3,147"
40340,"Berwyn","05/25/2018","W","3,263"
40340,"Berwyn","04/04/2018","W","3,315"
40340,"Berwyn","06/18/2018","W","3,191"
40340,"Berwyn","04/11/2018","W","3,387"
40340,"Berwyn","05/18/2018","W","3,132"
40340,"Berwyn","04/26/2018","W","3,341"
40340,"Berwyn","04/29/2018","U","1,871"
40340,"Berwyn","04/30/2018","W","3,341"
40340,"Berwyn","06/14/2018","W","3,331"
40340,"Berwyn","04/27/2018","W","3,271"
40340,"Berwyn","06/02/2018","A","2,339"
40340,"Berwyn","04/05/2018","W","3,361"
40340,"Berwyn","05/24/2018","W","3,294"
40340,"Berwyn","05/21/2018","W","3,030"
40340,"Berwyn","06/10/2018","U","2,152"
40340,"Berwyn","05/20/2018","U","1,692"
40340,"Berwyn","06/08/2018","W","3,667"
40340,"Berwyn","05/26/2018","A","2,429"
40340,"Berwyn","04/21/2018","A","2,179"
40340,"Berwyn","06/30/2018","A","2,514"
40340,"Berwyn","06/23/2018","A","2,526"
40340,"Berwyn","05/31/2018","W","3,357"
40340,"Berwyn","06/17/2018","U","1,891"
40340,"Berwyn","04/13/2018","W","3,153"
40340,"Berwyn","05/23/2018","W","3,328"
40340,"Berwyn","05/05/2018","A","2,492"
40340,"Berwyn","05/12/2018","A","2,032"
40340,"Berwyn","04/03/2018","W","3,211"
40340,"Berwyn","05/19/2018","A","2,229"
40340,"Berwyn","06/09/2018","A","3,237"
40340,"Berwyn","05/15/2018","W","3,172"
40340,"Berwyn","06/22/2018","W","3,112"
40340,"Berwyn","04/06/2018","W","3,304"
40340,"Berwyn","04/23/2018","W","3,094"
40340,"Berwyn","05/04/2018","W","3,378"
40340,"Berwyn","06/24/2018","U","3,149"
40340,"Berwyn","04/28/2018","A","2,391"
40340,"Berwyn","06/07/2018","W","3,432"
40340,"Berwyn","05/28/2018","U","1,846"
40340,"Berwyn","05/03/2018","W","3,337"
40340,"Berwyn","04/17/2018","W","3,368"
40340,"Berwyn","04/20/2018","W","3,275"
40340,"Berwyn","06/15/2018","W","3,497"
40340,"Berwyn","05/10/2018","W","3,280"
40340,"Berwyn","05/02/2018","W","3,310"
40340,"Berwyn","05/29/2018","W","3,156"
40340,"Berwyn","06/21/2018","W","3,118"
40340,"Berwyn","06/25/2018","W","3,116"
40340,"Berwyn","04/02/2018","W","3,227"
40340,"Berwyn","04/18/2018","W","3,165"
40340,"Berwyn","05/11/2018","W","3,285"
40340,"Berwyn","06/28/2018","W","3,358"
40340,"Berwyn","06/05/2018","W","3,400"
40340,"Berwyn","05/27/2018","U","2,183"
40340,"Berwyn","04/10/2018","W","3,358"
40340,"Berwyn","05/08/2018","W","3,343"
