"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41380	"Bryn Mawr"	"12/16/2017"	"A"	"3,333"
41380	"Bryn Mawr"	"12/26/2017"	"W"	"2,249"
41380	"Bryn Mawr"	"12/04/2017"	"W"	"4,714"
41380	"Bryn Mawr"	"12/14/2017"	"W"	"4,732"
41380	"Bryn Mawr"	"12/31/2017"	"U"	"2,201"
41380	"Bryn Mawr"	"12/06/2017"	"W"	"4,775"
41380	"Bryn Mawr"	"12/07/2017"	"W"	"4,746"
41380	"Bryn Mawr"	"12/09/2017"	"A"	"3,075"
41380	"Bryn Mawr"	"12/25/2017"	"U"	"1,024"
41380	"Bryn Mawr"	"12/24/2017"	"U"	"1,705"
41380	"Bryn Mawr"	"12/11/2017"	"W"	"4,492"
41380	"Bryn Mawr"	"12/18/2017"	"W"	"4,222"
41380	"Bryn Mawr"	"12/17/2017"	"U"	"2,368"
41380	"Bryn Mawr"	"12/19/2017"	"W"	"4,509"
41380	"Bryn Mawr"	"12/10/2017"	"U"	"2,303"
41380	"Bryn Mawr"	"12/22/2017"	"W"	"3,896"
41380	"Bryn Mawr"	"12/03/2017"	"U"	"2,533"
41380	"Bryn Mawr"	"12/13/2017"	"W"	"4,640"
41380	"Bryn Mawr"	"12/15/2017"	"W"	"4,680"
41380	"Bryn Mawr"	"12/02/2017"	"A"	"3,358"
41380	"Bryn Mawr"	"12/29/2017"	"W"	"3,309"
41380	"Bryn Mawr"	"12/08/2017"	"W"	"4,824"
41380	"Bryn Mawr"	"12/12/2017"	"W"	"4,678"
41380	"Bryn Mawr"	"12/20/2017"	"W"	"4,377"
41380	"Bryn Mawr"	"12/21/2017"	"W"	"4,229"
41380	"Bryn Mawr"	"12/23/2017"	"A"	"2,441"
41380	"Bryn Mawr"	"12/30/2017"	"A"	"2,201"
41380	"Bryn Mawr"	"12/28/2017"	"W"	"3,109"
41380	"Bryn Mawr"	"12/01/2017"	"W"	"5,164"
