"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40570	"California/Milwaukee"	"12/02/2017"	"A"	"3,499"
40570	"California/Milwaukee"	"12/13/2017"	"W"	"5,533"
40570	"California/Milwaukee"	"12/10/2017"	"U"	"2,298"
40570	"California/Milwaukee"	"12/11/2017"	"W"	"5,596"
40570	"California/Milwaukee"	"12/30/2017"	"A"	"1,998"
40570	"California/Milwaukee"	"12/03/2017"	"U"	"2,663"
40570	"California/Milwaukee"	"12/01/2017"	"W"	"6,206"
40570	"California/Milwaukee"	"12/12/2017"	"W"	"5,634"
40570	"California/Milwaukee"	"12/28/2017"	"W"	"3,403"
40570	"California/Milwaukee"	"12/25/2017"	"U"	"629"
40570	"California/Milwaukee"	"12/05/2017"	"W"	"5,697"
40570	"California/Milwaukee"	"12/26/2017"	"W"	"1,991"
40570	"California/Milwaukee"	"12/16/2017"	"A"	"3,188"
40570	"California/Milwaukee"	"12/15/2017"	"W"	"5,547"
40570	"California/Milwaukee"	"12/24/2017"	"U"	"1,338"
40570	"California/Milwaukee"	"12/08/2017"	"W"	"5,883"
40570	"California/Milwaukee"	"12/09/2017"	"A"	"3,270"
40570	"California/Milwaukee"	"12/06/2017"	"W"	"5,749"
40570	"California/Milwaukee"	"12/22/2017"	"W"	"4,528"
40570	"California/Milwaukee"	"12/19/2017"	"W"	"5,603"
40570	"California/Milwaukee"	"12/23/2017"	"A"	"2,392"
40570	"California/Milwaukee"	"12/17/2017"	"U"	"2,210"
40570	"California/Milwaukee"	"12/04/2017"	"W"	"5,769"
40570	"California/Milwaukee"	"12/31/2017"	"U"	"1,787"
40570	"California/Milwaukee"	"12/29/2017"	"W"	"3,404"
40570	"California/Milwaukee"	"12/07/2017"	"W"	"5,831"
40570	"California/Milwaukee"	"12/27/2017"	"W"	"2,962"
40570	"California/Milwaukee"	"12/18/2017"	"W"	"5,336"
40570	"California/Milwaukee"	"12/20/2017"	"W"	"5,526"
40570	"California/Milwaukee"	"12/14/2017"	"W"	"5,826"
40570	"California/Milwaukee"	"12/21/2017"	"W"	"5,298"
40570	"California/Milwaukee"	"03/13/2018"	"W"	"5,626"
40570	"California/Milwaukee"	"01/29/2018"	"W"	"5,259"
40570	"California/Milwaukee"	"02/02/2018"	"W"	"5,041"
40570	"California/Milwaukee"	"03/22/2018"	"W"	"5,719"
40570	"California/Milwaukee"	"03/12/2018"	"W"	"5,434"
40570	"California/Milwaukee"	"02/16/2018"	"W"	"5,740"
40570	"California/Milwaukee"	"03/23/2018"	"W"	"5,640"
40570	"California/Milwaukee"	"01/14/2018"	"U"	"1,840"
40570	"California/Milwaukee"	"01/09/2018"	"W"	"5,226"
40570	"California/Milwaukee"	"01/20/2018"	"A"	"3,482"
40570	"California/Milwaukee"	"02/20/2018"	"W"	"5,515"
40570	"California/Milwaukee"	"03/01/2018"	"W"	"5,391"
40570	"California/Milwaukee"	"01/27/2018"	"A"	"2,970"
40570	"California/Milwaukee"	"03/25/2018"	"U"	"2,344"
40570	"California/Milwaukee"	"03/24/2018"	"A"	"2,913"
40570	"California/Milwaukee"	"03/21/2018"	"W"	"5,620"
