"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40280	"Central-Lake"	"12/02/2017"	"A"	"1,270"
40280	"Central-Lake"	"12/03/2017"	"U"	"983"
40280	"Central-Lake"	"12/12/2017"	"W"	"1,854"
40280	"Central-Lake"	"12/19/2017"	"W"	"1,992"
40280	"Central-Lake"	"12/30/2017"	"A"	"908"
40280	"Central-Lake"	"12/09/2017"	"A"	"1,116"
40280	"Central-Lake"	"12/27/2017"	"W"	"1,317"
40280	"Central-Lake"	"12/07/2017"	"W"	"1,964"
40280	"Central-Lake"	"12/28/2017"	"W"	"1,485"
40280	"Central-Lake"	"12/16/2017"	"A"	"1,271"
40280	"Central-Lake"	"12/17/2017"	"U"	"945"
40280	"Central-Lake"	"12/06/2017"	"W"	"1,975"
40280	"Central-Lake"	"12/13/2017"	"W"	"1,927"
40280	"Central-Lake"	"12/01/2017"	"W"	"2,176"
40280	"Central-Lake"	"12/05/2017"	"W"	"1,971"
40280	"Central-Lake"	"12/29/2017"	"W"	"1,594"
40280	"Central-Lake"	"12/04/2017"	"W"	"2,020"
40280	"Central-Lake"	"12/24/2017"	"U"	"854"
40280	"Central-Lake"	"12/25/2017"	"U"	"660"
40280	"Central-Lake"	"12/11/2017"	"W"	"1,904"
40280	"Central-Lake"	"12/21/2017"	"W"	"1,895"
40280	"Central-Lake"	"12/23/2017"	"A"	"1,116"
40280	"Central-Lake"	"12/15/2017"	"W"	"2,003"
40280	"Central-Lake"	"12/26/2017"	"W"	"1,221"
40280	"Central-Lake"	"12/08/2017"	"W"	"1,999"
40280	"Central-Lake"	"12/22/2017"	"W"	"1,840"
40280	"Central-Lake"	"12/18/2017"	"W"	"1,970"
40280	"Central-Lake"	"12/14/2017"	"W"	"2,001"
40280	"Central-Lake"	"12/31/2017"	"U"	"795"
40280	"Central-Lake"	"12/20/2017"	"W"	"2,026"
40280	"Central-Lake"	"12/10/2017"	"U"	"875"
40280	"Central-Lake"	"03/30/2018"	"W"	"1,838"
40280	"Central-Lake"	"03/25/2018"	"U"	"935"
40280	"Central-Lake"	"02/18/2018"	"U"	"924"
40280	"Central-Lake"	"02/09/2018"	"W"	"1,311"
40280	"Central-Lake"	"01/05/2018"	"W"	"1,665"
40280	"Central-Lake"	"01/16/2018"	"W"	"1,854"
40280	"Central-Lake"	"01/13/2018"	"A"	"1,097"
40280	"Central-Lake"	"03/18/2018"	"U"	"895"
40280	"Central-Lake"	"03/03/2018"	"A"	"1,291"
40280	"Central-Lake"	"01/07/2018"	"U"	"773"
40280	"Central-Lake"	"03/14/2018"	"W"	"2,127"
40280	"Central-Lake"	"01/30/2018"	"W"	"1,987"
40280	"Central-Lake"	"02/08/2018"	"W"	"1,903"
40280	"Central-Lake"	"03/20/2018"	"W"	"1,892"
40280	"Central-Lake"	"02/02/2018"	"W"	"1,848"
40280	"Central-Lake"	"02/15/2018"	"W"	"1,982"
40280	"Central-Lake"	"02/22/2018"	"W"	"2,044"
40280	"Central-Lake"	"01/24/2018"	"W"	"1,951"
40280	"Central-Lake"	"03/08/2018"	"W"	"1,988"
40280	"Central-Lake"	"03/24/2018"	"A"	"1,170"
40280	"Central-Lake"	"03/07/2018"	"W"	"2,026"
40280	"Central-Lake"	"01/06/2018"	"A"	"943"
40280	"Central-Lake"	"02/14/2018"	"W"	"2,046"
40280	"Central-Lake"	"03/13/2018"	"W"	"1,930"
40280	"Central-Lake"	"02/16/2018"	"W"	"2,071"
40280	"Central-Lake"	"02/20/2018"	"W"	"1,963"
40280	"Central-Lake"	"01/02/2018"	"W"	"1,394"
40280	"Central-Lake"	"02/21/2018"	"W"	"2,153"
40280	"Central-Lake"	"03/12/2018"	"W"	"1,898"
40280	"Central-Lake"	"01/12/2018"	"W"	"1,834"
40280	"Central-Lake"	"02/23/2018"	"W"	"2,113"
40280	"Central-Lake"	"02/12/2018"	"W"	"1,684"
40280	"Central-Lake"	"01/08/2018"	"W"	"1,790"
40280	"Central-Lake"	"03/29/2018"	"W"	"1,763"
40280	"Central-Lake"	"03/21/2018"	"W"	"2,035"
40280	"Central-Lake"	"03/16/2018"	"W"	"2,011"
40280	"Central-Lake"	"01/01/2018"	"U"	"574"
40280	"Central-Lake"	"03/17/2018"	"A"	"1,235"
40280	"Central-Lake"	"03/05/2018"	"W"	"1,886"
40280	"Central-Lake"	"02/24/2018"	"A"	"1,288"
40280	"Central-Lake"	"01/15/2018"	"W"	"1,176"
40280	"Central-Lake"	"01/03/2018"	"W"	"1,626"
40280	"Central-Lake"	"02/05/2018"	"W"	"1,727"
40280	"Central-Lake"	"03/10/2018"	"A"	"1,186"
40280	"Central-Lake"	"01/27/2018"	"A"	"1,203"
40280	"Central-Lake"	"03/09/2018"	"W"	"2,039"
40280	"Central-Lake"	"02/13/2018"	"W"	"1,965"
40280	"Central-Lake"	"03/11/2018"	"U"	"909"
40280	"Central-Lake"	"01/21/2018"	"U"	"876"
40280	"Central-Lake"	"03/15/2018"	"W"	"2,093"
40280	"Central-Lake"	"02/26/2018"	"W"	"2,006"
40280	"Central-Lake"	"01/17/2018"	"W"	"1,927"
40280	"Central-Lake"	"03/19/2018"	"W"	"1,921"
40280	"Central-Lake"	"03/31/2018"	"A"	"1,131"
40280	"Central-Lake"	"02/28/2018"	"W"	"2,079"
40280	"Central-Lake"	"02/07/2018"	"W"	"1,916"
40280	"Central-Lake"	"02/11/2018"	"U"	"778"
40280	"Central-Lake"	"03/22/2018"	"W"	"2,018"
40280	"Central-Lake"	"02/03/2018"	"A"	"1,111"
40280	"Central-Lake"	"02/25/2018"	"U"	"938"
40280	"Central-Lake"	"01/23/2018"	"W"	"1,941"
40280	"Central-Lake"	"03/26/2018"	"W"	"1,766"
40280	"Central-Lake"	"03/23/2018"	"W"	"2,000"
40280	"Central-Lake"	"01/29/2018"	"W"	"1,842"
40280	"Central-Lake"	"02/06/2018"	"W"	"1,866"
40280	"Central-Lake"	"01/31/2018"	"W"	"2,032"
40280	"Central-Lake"	"01/26/2018"	"W"	"2,083"
40280	"Central-Lake"	"01/10/2018"	"W"	"1,902"
40280	"Central-Lake"	"01/18/2018"	"W"	"1,891"
40280	"Central-Lake"	"02/04/2018"	"U"	"794"
40280	"Central-Lake"	"02/17/2018"	"A"	"1,144"
40280	"Central-Lake"	"03/28/2018"	"W"	"1,866"
40280	"Central-Lake"	"03/04/2018"	"U"	"995"
40280	"Central-Lake"	"02/10/2018"	"A"	"1,031"
40280	"Central-Lake"	"01/09/2018"	"W"	"1,846"
40280	"Central-Lake"	"01/04/2018"	"W"	"1,559"
40280	"Central-Lake"	"02/19/2018"	"W"	"1,409"
40280	"Central-Lake"	"02/01/2018"	"W"	"1,976"
40280	"Central-Lake"	"02/27/2018"	"W"	"2,138"
40280	"Central-Lake"	"01/22/2018"	"W"	"2,021"
40280	"Central-Lake"	"01/11/2018"	"W"	"1,895"
40280	"Central-Lake"	"03/27/2018"	"W"	"1,747"
40280	"Central-Lake"	"01/20/2018"	"A"	"1,123"
40280	"Central-Lake"	"01/25/2018"	"W"	"2,025"
40280	"Central-Lake"	"03/01/2018"	"W"	"2,033"
40280	"Central-Lake"	"03/02/2018"	"W"	"2,189"
40280	"Central-Lake"	"03/06/2018"	"W"	"2,040"
40280	"Central-Lake"	"01/28/2018"	"U"	"864"
40280	"Central-Lake"	"01/19/2018"	"W"	"1,956"
40280	"Central-Lake"	"01/14/2018"	"U"	"813"
40280	"Central-Lake"	"04/01/2018"	"U"	"879"
40280	"Central-Lake"	"06/30/2018"	"A"	"1,231"
40280	"Central-Lake"	"05/22/2018"	"W"	"2,118"
40280	"Central-Lake"	"04/19/2018"	"W"	"1,920"
40280	"Central-Lake"	"05/05/2018"	"A"	"1,435"
40280	"Central-Lake"	"04/02/2018"	"W"	"1,844"
40280	"Central-Lake"	"05/09/2018"	"W"	"1,979"
40280	"Central-Lake"	"05/21/2018"	"W"	"1,857"
40280	"Central-Lake"	"06/15/2018"	"W"	"2,134"
40280	"Central-Lake"	"04/30/2018"	"W"	"2,061"
40280	"Central-Lake"	"05/31/2018"	"W"	"2,143"
40280	"Central-Lake"	"05/13/2018"	"U"	"956"
40280	"Central-Lake"	"05/01/2018"	"W"	"2,172"
