ï..station_id	stationname	date	daytype	rides
41000	Cermak-Chinatown	12/18/2017	W	3,636
41000	Cermak-Chinatown	12/04/2017	W	3,842
41000	Cermak-Chinatown	12/21/2017	W	3,701
41000	Cermak-Chinatown	12/22/2017	W	3,688
41000	Cermak-Chinatown	12/30/2017	A	2,518
41000	Cermak-Chinatown	12/05/2017	W	3,419
41000	Cermak-Chinatown	12/31/2017	U	2,377
41000	Cermak-Chinatown	12/03/2017	U	3,052
41000	Cermak-Chinatown	12/25/2017	U	1,813
41000	Cermak-Chinatown	12/29/2017	W	2,866
41000	Cermak-Chinatown	12/10/2017	U	2,514
41000	Cermak-Chinatown	12/12/2017	W	3,189
41000	Cermak-Chinatown	12/08/2017	W	3,922
41000	Cermak-Chinatown	12/06/2017	W	3,608
41000	Cermak-Chinatown	12/24/2017	U	2,065
41000	Cermak-Chinatown	12/23/2017	A	2,898
41000	Cermak-Chinatown	12/07/2017	W	3,473
41000	Cermak-Chinatown	12/19/2017	W	3,589
41000	Cermak-Chinatown	12/28/2017	W	2,698
41000	Cermak-Chinatown	12/17/2017	U	2,669
41000	Cermak-Chinatown	12/13/2017	W	3,315
41000	Cermak-Chinatown	12/15/2017	W	3,889
41000	Cermak-Chinatown	12/11/2017	W	3,467
41000	Cermak-Chinatown	12/14/2017	W	3,457
41000	Cermak-Chinatown	12/09/2017	A	3,238
41000	Cermak-Chinatown	12/27/2017	W	2,560
41000	Cermak-Chinatown	12/01/2017	W	4,454
41000	Cermak-Chinatown	12/20/2017	W	3,527
41000	Cermak-Chinatown	12/16/2017	A	4,209
41000	Cermak-Chinatown	12/26/2017	W	1,985
41000	Cermak-Chinatown	12/02/2017	A	4,383
41000	Cermak-Chinatown	03/06/2018	W	3,602
41000	Cermak-Chinatown	02/17/2018	A	4,853
41000	Cermak-Chinatown	02/27/2018	W	3,605
41000	Cermak-Chinatown	02/18/2018	U	3,650
41000	Cermak-Chinatown	03/19/2018	W	3,939
41000	Cermak-Chinatown	01/20/2018	A	4,289
41000	Cermak-Chinatown	01/10/2018	W	3,337
41000	Cermak-Chinatown	03/20/2018	W	3,782
41000	Cermak-Chinatown	02/04/2018	U	1,774
41000	Cermak-Chinatown	02/07/2018	W	3,361
41000	Cermak-Chinatown	03/04/2018	U	3,060
41000	Cermak-Chinatown	01/11/2018	W	3,263
41000	Cermak-Chinatown	01/23/2018	W	3,479
41000	Cermak-Chinatown	02/23/2018	W	4,222
41000	Cermak-Chinatown	01/21/2018	U	2,575
41000	Cermak-Chinatown	02/20/2018	W	3,296
41000	Cermak-Chinatown	01/15/2018	W	2,384
41000	Cermak-Chinatown	03/03/2018	A	4,503
41000	Cermak-Chinatown	02/05/2018	W	2,954
41000	Cermak-Chinatown	03/21/2018	W	3,889
41000	Cermak-Chinatown	02/06/2018	W	3,263
41000	Cermak-Chinatown	02/09/2018	W	2,540
41000	Cermak-Chinatown	01/28/2018	U	2,688
41000	Cermak-Chinatown	01/04/2018	W	2,739
41000	Cermak-Chinatown	03/10/2018	A	4,393
41000	Cermak-Chinatown	01/13/2018	A	3,061
41000	Cermak-Chinatown	01/24/2018	W	3,568
41000	Cermak-Chinatown	03/23/2018	W	4,410
41000	Cermak-Chinatown	01/30/2018	W	3,347
41000	Cermak-Chinatown	01/22/2018	W	3,573
41000	Cermak-Chinatown	02/28/2018	W	3,661
41000	Cermak-Chinatown	01/27/2018	A	3,985
41000	Cermak-Chinatown	01/09/2018	W	3,242
41000	Cermak-Chinatown	01/14/2018	U	2,366
41000	Cermak-Chinatown	01/26/2018	W	4,195
41000	Cermak-Chinatown	02/13/2018	W	3,553
41000	Cermak-Chinatown	02/24/2018	A	4,163
41000	Cermak-Chinatown	02/11/2018	U	2,516
41000	Cermak-Chinatown	02/12/2018	W	3,434
41000	Cermak-Chinatown	02/03/2018	A	3,249
41000	Cermak-Chinatown	01/05/2018	W	2,816
41000	Cermak-Chinatown	03/13/2018	W	4,152
41000	Cermak-Chinatown	02/15/2018	W	3,983
41000	Cermak-Chinatown	01/25/2018	W	3,597
41000	Cermak-Chinatown	03/05/2018	W	3,499
41000	Cermak-Chinatown	01/02/2018	W	2,446
41000	Cermak-Chinatown	03/12/2018	W	4,180
41000	Cermak-Chinatown	02/01/2018	W	3,448
41000	Cermak-Chinatown	03/31/2018	A	4,046
41000	Cermak-Chinatown	01/17/2018	W	3,183
41000	Cermak-Chinatown	03/09/2018	W	4,473
41000	Cermak-Chinatown	02/21/2018	W	3,446
41000	Cermak-Chinatown	03/18/2018	U	3,474
41000	Cermak-Chinatown	01/08/2018	W	3,073
41000	Cermak-Chinatown	01/16/2018	W	3,016
41000	Cermak-Chinatown	01/03/2018	W	2,641
41000	Cermak-Chinatown	01/01/2018	U	1,869
41000	Cermak-Chinatown	02/08/2018	W	3,341
41000	Cermak-Chinatown	03/11/2018	U	3,178
41000	Cermak-Chinatown	03/08/2018	W	3,888
41000	Cermak-Chinatown	03/30/2018	W	4,585
41000	Cermak-Chinatown	01/18/2018	W	3,347
41000	Cermak-Chinatown	03/29/2018	W	3,991
41000	Cermak-Chinatown	02/25/2018	U	6,121
41000	Cermak-Chinatown	02/14/2018	W	4,005
41000	Cermak-Chinatown	01/07/2018	U	1,980
41000	Cermak-Chinatown	02/16/2018	W	4,729
41000	Cermak-Chinatown	02/26/2018	W	3,573
41000	Cermak-Chinatown	02/19/2018	W	3,045
41000	Cermak-Chinatown	03/25/2018	U	3,071
41000	Cermak-Chinatown	03/16/2018	W	4,438
41000	Cermak-Chinatown	01/06/2018	A	2,520
41000	Cermak-Chinatown	03/22/2018	W	3,777
41000	Cermak-Chinatown	02/22/2018	W	3,595
41000	Cermak-Chinatown	03/15/2018	W	4,157
41000	Cermak-Chinatown	03/28/2018	W	4,104
41000	Cermak-Chinatown	03/27/2018	W	3,812
41000	Cermak-Chinatown	01/12/2018	W	3,554
41000	Cermak-Chinatown	03/07/2018	W	3,881
41000	Cermak-Chinatown	01/29/2018	W	3,166
41000	Cermak-Chinatown	01/31/2018	W	3,430
41000	Cermak-Chinatown	02/02/2018	W	3,655
41000	Cermak-Chinatown	03/02/2018	W	4,472
41000	Cermak-Chinatown	03/14/2018	W	4,129
41000	Cermak-Chinatown	03/24/2018	A	4,034
41000	Cermak-Chinatown	01/19/2018	W	3,871
41000	Cermak-Chinatown	03/26/2018	W	3,749
41000	Cermak-Chinatown	02/10/2018	A	3,479
41000	Cermak-Chinatown	03/17/2018	A	5,193
41000	Cermak-Chinatown	03/01/2018	W	3,484
