ï..station_id	stationname	date	daytype	rides
41690	Cermak-McCormick Place	12/19/2017	W	1,304
41690	Cermak-McCormick Place	12/23/2017	A	789
41690	Cermak-McCormick Place	12/17/2017	U	462
41690	Cermak-McCormick Place	12/07/2017	W	1,223
41690	Cermak-McCormick Place	12/14/2017	W	1,179
41690	Cermak-McCormick Place	12/08/2017	W	1,370
41690	Cermak-McCormick Place	12/13/2017	W	1,195
41690	Cermak-McCormick Place	12/26/2017	W	559
41690	Cermak-McCormick Place	12/06/2017	W	1,320
41690	Cermak-McCormick Place	12/21/2017	W	1,552
41690	Cermak-McCormick Place	12/27/2017	W	810
41690	Cermak-McCormick Place	12/02/2017	A	1,035
41690	Cermak-McCormick Place	12/25/2017	U	208
41690	Cermak-McCormick Place	12/28/2017	W	789
41690	Cermak-McCormick Place	12/22/2017	W	1,505
41690	Cermak-McCormick Place	12/15/2017	W	1,248
41690	Cermak-McCormick Place	12/29/2017	W	798
41690	Cermak-McCormick Place	12/01/2017	W	1,518
41690	Cermak-McCormick Place	12/18/2017	W	1,107
41690	Cermak-McCormick Place	12/30/2017	A	477
41690	Cermak-McCormick Place	12/05/2017	W	1,212
41690	Cermak-McCormick Place	12/12/2017	W	1,174
41690	Cermak-McCormick Place	12/09/2017	A	717
41690	Cermak-McCormick Place	12/03/2017	U	621
41690	Cermak-McCormick Place	12/24/2017	U	404
41690	Cermak-McCormick Place	12/31/2017	U	379
41690	Cermak-McCormick Place	12/20/2017	W	1,587
41690	Cermak-McCormick Place	12/10/2017	U	493
41690	Cermak-McCormick Place	12/04/2017	W	1,410
41690	Cermak-McCormick Place	12/16/2017	A	1,343
41690	Cermak-McCormick Place	12/11/2017	W	1,227
41690	Cermak-McCormick Place	03/23/2018	W	2,032
41690	Cermak-McCormick Place	02/24/2018	A	1,286
41690	Cermak-McCormick Place	02/25/2018	U	746
41690	Cermak-McCormick Place	02/04/2018	U	439
41690	Cermak-McCormick Place	02/17/2018	A	1,652
41690	Cermak-McCormick Place	03/25/2018	U	568
41690	Cermak-McCormick Place	03/26/2018	W	1,235
41690	Cermak-McCormick Place	01/11/2018	W	1,216
41690	Cermak-McCormick Place	02/08/2018	W	1,048
41690	Cermak-McCormick Place	03/20/2018	W	1,417
41690	Cermak-McCormick Place	03/24/2018	A	1,265
41690	Cermak-McCormick Place	02/20/2018	W	1,254
41690	Cermak-McCormick Place	03/17/2018	A	1,219
41690	Cermak-McCormick Place	02/15/2018	W	1,616
41690	Cermak-McCormick Place	01/29/2018	W	1,188
41690	Cermak-McCormick Place	03/27/2018	W	1,492
41690	Cermak-McCormick Place	02/02/2018	W	1,121
41690	Cermak-McCormick Place	01/23/2018	W	1,733
41690	Cermak-McCormick Place	02/03/2018	A	615
41690	Cermak-McCormick Place	02/07/2018	W	1,004
41690	Cermak-McCormick Place	02/28/2018	W	1,263
41690	Cermak-McCormick Place	03/15/2018	W	1,377
41690	Cermak-McCormick Place	01/31/2018	W	1,282
41690	Cermak-McCormick Place	02/05/2018	W	1,086
41690	Cermak-McCormick Place	03/03/2018	A	1,122
41690	Cermak-McCormick Place	02/21/2018	W	1,264
41690	Cermak-McCormick Place	02/11/2018	U	963
41690	Cermak-McCormick Place	01/07/2018	U	381
41690	Cermak-McCormick Place	01/27/2018	A	763
41690	Cermak-McCormick Place	03/31/2018	A	1,078
41690	Cermak-McCormick Place	01/08/2018	W	1,066
41690	Cermak-McCormick Place	01/05/2018	W	996
41690	Cermak-McCormick Place	03/01/2018	W	1,259
41690	Cermak-McCormick Place	02/14/2018	W	1,699
41690	Cermak-McCormick Place	03/09/2018	W	1,642
41690	Cermak-McCormick Place	01/06/2018	A	862
41690	Cermak-McCormick Place	03/22/2018	W	1,329
41690	Cermak-McCormick Place	01/09/2018	W	1,161
41690	Cermak-McCormick Place	03/21/2018	W	1,361
41690	Cermak-McCormick Place	02/26/2018	W	1,242
41690	Cermak-McCormick Place	01/02/2018	W	1,023
