"ï..station_id","stationname","date","daytype","rides"
41410,"Chicago/Milwaukee","12/28/2017","W","2,542"
41410,"Chicago/Milwaukee","12/31/2017","U","1,017"
41410,"Chicago/Milwaukee","12/07/2017","W","4,495"
41410,"Chicago/Milwaukee","12/05/2017","W","4,395"
41410,"Chicago/Milwaukee","12/23/2017","A","1,490"
41410,"Chicago/Milwaukee","12/01/2017","W","4,632"
41410,"Chicago/Milwaukee","12/02/2017","A","1,985"
41410,"Chicago/Milwaukee","12/24/2017","U","1,001"
41410,"Chicago/Milwaukee","12/06/2017","W","4,260"
41410,"Chicago/Milwaukee","12/04/2017","W","4,306"
41410,"Chicago/Milwaukee","12/29/2017","W","2,434"
41410,"Chicago/Milwaukee","12/21/2017","W","4,083"
41410,"Chicago/Milwaukee","12/22/2017","W","3,524"
41410,"Chicago/Milwaukee","12/25/2017","U","537"
41410,"Chicago/Milwaukee","12/14/2017","W","4,481"
41410,"Chicago/Milwaukee","12/15/2017","W","4,134"
41410,"Chicago/Milwaukee","12/12/2017","W","4,348"
41410,"Chicago/Milwaukee","12/03/2017","U","1,581"
41410,"Chicago/Milwaukee","12/17/2017","U","1,353"
41410,"Chicago/Milwaukee","12/30/2017","A","1,199"
41410,"Chicago/Milwaukee","12/19/2017","W","4,259"
41410,"Chicago/Milwaukee","12/10/2017","U","1,426"
41410,"Chicago/Milwaukee","12/26/2017","W","1,551"
41410,"Chicago/Milwaukee","12/16/2017","A","1,931"
41410,"Chicago/Milwaukee","12/18/2017","W","4,091"
41410,"Chicago/Milwaukee","12/08/2017","W","4,390"
41410,"Chicago/Milwaukee","12/09/2017","A","1,961"
41410,"Chicago/Milwaukee","12/20/2017","W","4,235"
41410,"Chicago/Milwaukee","12/13/2017","W","4,308"
41410,"Chicago/Milwaukee","12/27/2017","W","2,203"
41410,"Chicago/Milwaukee","12/11/2017","W","4,258"
41410,"Chicago/Milwaukee","03/14/2018","W","4,436"
41410,"Chicago/Milwaukee","02/21/2018","W","4,416"
41410,"Chicago/Milwaukee","01/18/2018","W","4,446"
41410,"Chicago/Milwaukee","01/27/2018","A","1,747"
41410,"Chicago/Milwaukee","02/20/2018","W","4,262"
41410,"Chicago/Milwaukee","02/25/2018","U","1,328"
41410,"Chicago/Milwaukee","01/26/2018","W","4,093"
41410,"Chicago/Milwaukee","02/18/2018","U","1,339"
41410,"Chicago/Milwaukee","03/23/2018","W","4,175"
41410,"Chicago/Milwaukee","01/03/2018","W","3,445"
41410,"Chicago/Milwaukee","01/24/2018","W","4,368"
41410,"Chicago/Milwaukee","01/20/2018","A","2,071"
41410,"Chicago/Milwaukee","03/04/2018","U","1,371"
41410,"Chicago/Milwaukee","03/07/2018","W","4,476"
41410,"Chicago/Milwaukee","03/25/2018","U","1,444"
41410,"Chicago/Milwaukee","03/03/2018","A","1,890"
41410,"Chicago/Milwaukee","02/15/2018","W","4,469"
41410,"Chicago/Milwaukee","03/01/2018","W","4,315"
41410,"Chicago/Milwaukee","02/27/2018","W","4,405"
41410,"Chicago/Milwaukee","02/22/2018","W","4,492"
41410,"Chicago/Milwaukee","03/27/2018","W","3,968"
41410,"Chicago/Milwaukee","01/04/2018","W","3,467"
41410,"Chicago/Milwaukee","02/14/2018","W","4,487"
41410,"Chicago/Milwaukee","01/09/2018","W","4,187"
41410,"Chicago/Milwaukee","01/13/2018","A","1,445"
41410,"Chicago/Milwaukee","02/08/2018","W","4,359"
41410,"Chicago/Milwaukee","01/29/2018","W","4,221"
41410,"Chicago/Milwaukee","03/31/2018","A","1,703"
41410,"Chicago/Milwaukee","03/22/2018","W","4,472"
41410,"Chicago/Milwaukee","02/09/2018","W","2,890"
41410,"Chicago/Milwaukee","01/16/2018","W","4,210"
41410,"Chicago/Milwaukee","02/10/2018","A","1,631"
41410,"Chicago/Milwaukee","03/29/2018","W","4,054"
41410,"Chicago/Milwaukee","01/12/2018","W","4,054"
41410,"Chicago/Milwaukee","03/11/2018","U","1,307"
41410,"Chicago/Milwaukee","03/08/2018","W","4,330"
41410,"Chicago/Milwaukee","01/01/2018","U","1,082"
41410,"Chicago/Milwaukee","02/07/2018","W","4,345"
41410,"Chicago/Milwaukee","01/31/2018","W","4,324"
41410,"Chicago/Milwaukee","01/28/2018","U","1,213"
41410,"Chicago/Milwaukee","01/11/2018","W","4,168"
41410,"Chicago/Milwaukee","02/01/2018","W","4,365"
41410,"Chicago/Milwaukee","01/30/2018","W","4,327"
41410,"Chicago/Milwaukee","03/26/2018","W","3,804"
41410,"Chicago/Milwaukee","01/14/2018","U","1,163"
41410,"Chicago/Milwaukee","02/19/2018","W","3,027"
41410,"Chicago/Milwaukee","03/19/2018","W","4,322"
41410,"Chicago/Milwaukee","01/02/2018","W","2,969"
41410,"Chicago/Milwaukee","02/02/2018","W","3,945"
41410,"Chicago/Milwaukee","02/28/2018","W","4,387"
41410,"Chicago/Milwaukee","01/21/2018","U","1,265"
41410,"Chicago/Milwaukee","02/05/2018","W","4,039"
41410,"Chicago/Milwaukee","01/06/2018","A","1,318"
41410,"Chicago/Milwaukee","01/15/2018","W","2,479"
41410,"Chicago/Milwaukee","02/13/2018","W","4,481"
41410,"Chicago/Milwaukee","03/18/2018","U","1,547"
41410,"Chicago/Milwaukee","01/23/2018","W","4,435"
41410,"Chicago/Milwaukee","03/15/2018","W","4,407"
41410,"Chicago/Milwaukee","02/17/2018","A","1,754"
41410,"Chicago/Milwaukee","01/19/2018","W","4,165"
41410,"Chicago/Milwaukee","03/09/2018","W","4,441"
41410,"Chicago/Milwaukee","02/04/2018","U","1,092"
41410,"Chicago/Milwaukee","03/12/2018","W","4,079"
41410,"Chicago/Milwaukee","03/17/2018","A","2,661"
41410,"Chicago/Milwaukee","03/02/2018","W","4,181"
41410,"Chicago/Milwaukee","03/06/2018","W","4,340"
41410,"Chicago/Milwaukee","03/05/2018","W","4,083"
41410,"Chicago/Milwaukee","01/05/2018","W","3,310"
41410,"Chicago/Milwaukee","02/26/2018","W","4,146"
41410,"Chicago/Milwaukee","02/11/2018","U","1,301"
41410,"Chicago/Milwaukee","01/17/2018","W","4,372"
41410,"Chicago/Milwaukee","01/25/2018","W","4,508"
41410,"Chicago/Milwaukee","01/10/2018","W","4,216"
41410,"Chicago/Milwaukee","03/28/2018","W","3,971"
41410,"Chicago/Milwaukee","02/23/2018","W","4,155"
41410,"Chicago/Milwaukee","03/24/2018","A","1,703"
41410,"Chicago/Milwaukee","02/16/2018","W","4,423"
41410,"Chicago/Milwaukee","03/30/2018","W","3,591"
41410,"Chicago/Milwaukee","02/03/2018","A","1,479"
41410,"Chicago/Milwaukee","02/12/2018","W","4,269"
41410,"Chicago/Milwaukee","01/07/2018","U","976"
41410,"Chicago/Milwaukee","03/21/2018","W","4,360"
41410,"Chicago/Milwaukee","03/10/2018","A","1,853"
41410,"Chicago/Milwaukee","03/16/2018","W","4,484"
41410,"Chicago/Milwaukee","02/24/2018","A","1,795"
41410,"Chicago/Milwaukee","03/20/2018","W","4,445"
41410,"Chicago/Milwaukee","02/06/2018","W","4,251"
41410,"Chicago/Milwaukee","01/22/2018","W","4,215"
41410,"Chicago/Milwaukee","03/13/2018","W","4,368"
41410,"Chicago/Milwaukee","01/08/2018","W","4,032"
41410,"Chicago/Milwaukee","06/17/2018","U","1,488"
41410,"Chicago/Milwaukee","05/16/2018","W","4,483"
41410,"Chicago/Milwaukee","04/26/2018","W","4,466"
41410,"Chicago/Milwaukee","05/21/2018","W","4,265"
41410,"Chicago/Milwaukee","04/09/2018","W","4,245"
41410,"Chicago/Milwaukee","06/15/2018","W","4,168"
41410,"Chicago/Milwaukee","05/24/2018","W","4,530"
41410,"Chicago/Milwaukee","05/26/2018","A","1,927"
41410,"Chicago/Milwaukee","06/12/2018","W","4,567"
41410,"Chicago/Milwaukee","04/13/2018","W","4,049"
41410,"Chicago/Milwaukee","06/19/2018","W","4,351"
41410,"Chicago/Milwaukee","04/27/2018","W","4,333"
41410,"Chicago/Milwaukee","06/18/2018","W","4,109"
