ï..station_id	stationname	date	daytype	rides
41450	Chicago/State	12/27/2017	W	9,639
41450	Chicago/State	12/14/2017	W	14,262
41450	Chicago/State	12/12/2017	W	13,980
41450	Chicago/State	12/24/2017	U	5,831
41450	Chicago/State	12/04/2017	W	14,357
41450	Chicago/State	12/28/2017	W	10,866
41450	Chicago/State	12/30/2017	A	8,454
41450	Chicago/State	12/05/2017	W	14,697
41450	Chicago/State	12/20/2017	W	13,605
41450	Chicago/State	12/25/2017	U	2,615
41450	Chicago/State	12/29/2017	W	11,542
41450	Chicago/State	12/17/2017	U	8,301
41450	Chicago/State	12/13/2017	W	13,682
41450	Chicago/State	12/23/2017	A	9,694
41450	Chicago/State	12/21/2017	W	13,508
41450	Chicago/State	12/06/2017	W	14,521
41450	Chicago/State	12/26/2017	W	8,355
41450	Chicago/State	12/11/2017	W	13,384
41450	Chicago/State	12/31/2017	U	6,651
41450	Chicago/State	12/02/2017	A	13,119
41450	Chicago/State	12/15/2017	W	14,374
41450	Chicago/State	12/01/2017	W	16,123
41450	Chicago/State	12/16/2017	A	12,407
41450	Chicago/State	12/10/2017	U	8,176
41450	Chicago/State	12/08/2017	W	15,211
41450	Chicago/State	12/03/2017	U	8,973
41450	Chicago/State	12/09/2017	A	11,287
41450	Chicago/State	12/19/2017	W	14,158
41450	Chicago/State	12/18/2017	W	13,132
41450	Chicago/State	12/22/2017	W	13,364
41450	Chicago/State	12/07/2017	W	14,339
41450	Chicago/State	03/28/2018	W	14,255
41450	Chicago/State	02/08/2018	W	13,524
41450	Chicago/State	03/08/2018	W	12,687
41450	Chicago/State	02/21/2018	W	13,324
41450	Chicago/State	01/07/2018	U	6,099
41450	Chicago/State	03/12/2018	W	13,242
41450	Chicago/State	02/06/2018	W	13,425
41450	Chicago/State	03/17/2018	A	14,463
41450	Chicago/State	03/27/2018	W	14,659
41450	Chicago/State	03/07/2018	W	12,710
41450	Chicago/State	02/09/2018	W	10,912
41450	Chicago/State	01/29/2018	W	12,636
41450	Chicago/State	03/20/2018	W	14,105
41450	Chicago/State	02/02/2018	W	12,991
41450	Chicago/State	03/05/2018	W	11,700
41450	Chicago/State	02/17/2018	A	10,386
41450	Chicago/State	01/15/2018	W	9,166
41450	Chicago/State	03/14/2018	W	14,196
41450	Chicago/State	02/18/2018	U	8,479
41450	Chicago/State	02/13/2018	W	13,932
41450	Chicago/State	03/18/2018	U	8,719
41450	Chicago/State	01/17/2018	W	12,991
41450	Chicago/State	03/01/2018	W	13,390
41450	Chicago/State	03/23/2018	W	13,882
41450	Chicago/State	03/26/2018	W	13,522
41450	Chicago/State	03/29/2018	W	14,381
41450	Chicago/State	03/15/2018	W	14,562
41450	Chicago/State	02/14/2018	W	14,305
41450	Chicago/State	02/25/2018	U	8,001
41450	Chicago/State	02/19/2018	W	11,464
41450	Chicago/State	03/03/2018	A	10,365
41450	Chicago/State	01/10/2018	W	12,352
41450	Chicago/State	02/23/2018	W	13,870
41450	Chicago/State	02/12/2018	W	12,745
41450	Chicago/State	03/13/2018	W	14,334
41450	Chicago/State	02/16/2018	W	14,221
41450	Chicago/State	03/21/2018	W	13,391
41450	Chicago/State	01/02/2018	W	10,222
41450	Chicago/State	01/14/2018	U	6,862
41450	Chicago/State	02/22/2018	W	13,813
41450	Chicago/State	01/08/2018	W	11,925
41450	Chicago/State	03/30/2018	W	14,094
41450	Chicago/State	02/20/2018	W	12,969
41450	Chicago/State	01/19/2018	W	13,641
41450	Chicago/State	01/20/2018	A	10,588
41450	Chicago/State	02/01/2018	W	13,307
41450	Chicago/State	02/15/2018	W	14,099
41450	Chicago/State	03/11/2018	U	7,585
41450	Chicago/State	01/03/2018	W	11,167
41450	Chicago/State	02/27/2018	W	13,930
41450	Chicago/State	03/10/2018	A	10,348
41450	Chicago/State	02/28/2018	W	13,219
41450	Chicago/State	01/21/2018	U	6,800
41450	Chicago/State	03/09/2018	W	12,974
41450	Chicago/State	01/04/2018	W	11,332
41450	Chicago/State	01/12/2018	W	11,921
41450	Chicago/State	01/13/2018	A	8,914
41450	Chicago/State	02/26/2018	W	12,877
41450	Chicago/State	01/01/2018	U	6,038
41450	Chicago/State	01/18/2018	W	13,706
41450	Chicago/State	03/19/2018	W	13,137
