"ï..station_id","stationname","date","daytype","rides"
40630,"Clark/Division","12/29/2017","W","5,479"
40630,"Clark/Division","12/03/2017","U","5,305"
40630,"Clark/Division","12/12/2017","W","7,512"
40630,"Clark/Division","12/26/2017","W","3,369"
40630,"Clark/Division","12/01/2017","W","8,958"
40630,"Clark/Division","12/31/2017","U","3,551"
40630,"Clark/Division","12/10/2017","U","4,721"
40630,"Clark/Division","12/27/2017","W","4,443"
40630,"Clark/Division","12/17/2017","U","4,596"
40630,"Clark/Division","12/23/2017","A","4,373"
40630,"Clark/Division","12/24/2017","U","2,724"
40630,"Clark/Division","12/02/2017","A","7,255"
40630,"Clark/Division","12/21/2017","W","7,404"
40630,"Clark/Division","12/07/2017","W","7,822"
40630,"Clark/Division","12/15/2017","W","8,088"
40630,"Clark/Division","12/30/2017","A","4,065"
40630,"Clark/Division","12/28/2017","W","4,961"
40630,"Clark/Division","12/11/2017","W","7,577"
40630,"Clark/Division","12/09/2017","A","6,184"
40630,"Clark/Division","12/13/2017","W","7,889"
40630,"Clark/Division","12/08/2017","W","8,371"
40630,"Clark/Division","12/16/2017","A","6,407"
40630,"Clark/Division","12/14/2017","W","7,789"
40630,"Clark/Division","12/05/2017","W","7,722"
40630,"Clark/Division","12/04/2017","W","7,890"
40630,"Clark/Division","12/18/2017","W","7,344"
40630,"Clark/Division","12/19/2017","W","7,687"
40630,"Clark/Division","12/22/2017","W","6,802"
40630,"Clark/Division","12/20/2017","W","7,795"
40630,"Clark/Division","12/06/2017","W","8,097"
40630,"Clark/Division","12/25/2017","U","1,292"
40630,"Clark/Division","03/30/2018","W","6,859"
40630,"Clark/Division","03/07/2018","W","7,749"
40630,"Clark/Division","03/21/2018","W","7,629"
40630,"Clark/Division","01/26/2018","W","8,219"
40630,"Clark/Division","01/05/2018","W","6,305"
40630,"Clark/Division","02/05/2018","W","7,087"
40630,"Clark/Division","01/15/2018","W","5,225"
40630,"Clark/Division","01/01/2018","U","3,107"
40630,"Clark/Division","02/21/2018","W","7,934"
40630,"Clark/Division","01/09/2018","W","7,249"
40630,"Clark/Division","03/20/2018","W","7,485"
40630,"Clark/Division","02/04/2018","U","4,054"
40630,"Clark/Division","03/12/2018","W","7,515"
40630,"Clark/Division","01/22/2018","W","7,530"
40630,"Clark/Division","02/19/2018","W","5,729"
40630,"Clark/Division","03/15/2018","W","7,934"
40630,"Clark/Division","01/20/2018","A","5,965"
40630,"Clark/Division","03/24/2018","A","5,587"
40630,"Clark/Division","01/16/2018","W","7,692"
40630,"Clark/Division","01/24/2018","W","7,809"
40630,"Clark/Division","02/26/2018","W","7,386"
40630,"Clark/Division","01/25/2018","W","7,961"
40630,"Clark/Division","02/03/2018","A","5,426"
40630,"Clark/Division","03/23/2018","W","7,596"
40630,"Clark/Division","02/16/2018","W","7,901"
40630,"Clark/Division","01/28/2018","U","4,271"
40630,"Clark/Division","02/20/2018","W","7,444"
40630,"Clark/Division","03/09/2018","W","7,829"
40630,"Clark/Division","01/03/2018","W","6,257"
40630,"Clark/Division","03/03/2018","A","5,834"
40630,"Clark/Division","03/19/2018","W","7,308"
40630,"Clark/Division","01/11/2018","W","7,378"
40630,"Clark/Division","02/13/2018","W","7,849"
40630,"Clark/Division","03/26/2018","W","6,592"
40630,"Clark/Division","01/07/2018","U","3,658"
40630,"Clark/Division","03/16/2018","W","8,168"
40630,"Clark/Division","02/09/2018","W","5,739"
40630,"Clark/Division","03/22/2018","W","7,748"
40630,"Clark/Division","01/23/2018","W","7,843"
40630,"Clark/Division","01/02/2018","W","5,365"
40630,"Clark/Division","01/27/2018","A","5,730"
40630,"Clark/Division","03/28/2018","W","7,264"
40630,"Clark/Division","03/05/2018","W","7,094"
40630,"Clark/Division","02/06/2018","W","7,516"
40630,"Clark/Division","02/24/2018","A","5,751"
40630,"Clark/Division","03/31/2018","A","5,074"
40630,"Clark/Division","03/10/2018","A","5,933"
40630,"Clark/Division","02/12/2018","W","7,428"
40630,"Clark/Division","01/30/2018","W","7,775"
40630,"Clark/Division","02/22/2018","W","7,800"
40630,"Clark/Division","02/08/2018","W","7,648"
40630,"Clark/Division","02/17/2018","A","5,764"
40630,"Clark/Division","01/17/2018","W","7,735"
40630,"Clark/Division","03/13/2018","W","7,718"
40630,"Clark/Division","02/10/2018","A","5,374"
40630,"Clark/Division","02/18/2018","U","4,869"
40630,"Clark/Division","03/27/2018","W","7,010"
40630,"Clark/Division","03/25/2018","U","4,601"
40630,"Clark/Division","01/13/2018","A","4,865"
40630,"Clark/Division","03/01/2018","W","7,583"
40630,"Clark/Division","01/10/2018","W","7,567"
40630,"Clark/Division","03/29/2018","W","7,164"
40630,"Clark/Division","01/12/2018","W","7,446"
40630,"Clark/Division","03/02/2018","W","8,308"
40630,"Clark/Division","02/11/2018","U","4,191"
40630,"Clark/Division","01/14/2018","U","4,028"
40630,"Clark/Division","03/11/2018","U","4,503"
40630,"Clark/Division","03/08/2018","W","7,850"
40630,"Clark/Division","01/29/2018","W","7,365"
40630,"Clark/Division","03/17/2018","A","8,390"
40630,"Clark/Division","03/06/2018","W","7,498"
40630,"Clark/Division","03/18/2018","U","5,262"
40630,"Clark/Division","01/08/2018","W","7,050"
40630,"Clark/Division","02/01/2018","W","7,706"
40630,"Clark/Division","01/18/2018","W","7,763"
40630,"Clark/Division","03/14/2018","W","8,125"
40630,"Clark/Division","01/19/2018","W","7,894"
40630,"Clark/Division","02/23/2018","W","8,165"
40630,"Clark/Division","02/02/2018","W","6,987"
40630,"Clark/Division","01/31/2018","W","7,847"
40630,"Clark/Division","02/28/2018","W","7,641"
40630,"Clark/Division","01/04/2018","W","6,040"
40630,"Clark/Division","01/06/2018","A","4,561"
40630,"Clark/Division","03/04/2018","U","4,359"
40630,"Clark/Division","01/21/2018","U","4,176"
40630,"Clark/Division","02/25/2018","U","4,673"
40630,"Clark/Division","02/14/2018","W","8,019"
40630,"Clark/Division","02/27/2018","W","7,655"
40630,"Clark/Division","02/15/2018","W","8,107"
40630,"Clark/Division","02/07/2018","W","7,625"
40630,"Clark/Division","06/19/2018","W","8,558"
40630,"Clark/Division","04/20/2018","W","7,901"
40630,"Clark/Division","05/17/2018","W","7,889"
40630,"Clark/Division","05/21/2018","W","7,365"
40630,"Clark/Division","04/27/2018","W","8,025"
40630,"Clark/Division","04/10/2018","W","7,588"
40630,"Clark/Division","04/15/2018","U","3,609"
40630,"Clark/Division","04/07/2018","A","5,934"
40630,"Clark/Division","04/05/2018","W","7,854"
40630,"Clark/Division","05/27/2018","U","5,880"
40630,"Clark/Division","06/07/2018","W","8,724"
40630,"Clark/Division","06/29/2018","W","8,879"
40630,"Clark/Division","04/29/2018","U","5,058"
40630,"Clark/Division","05/11/2018","W","8,297"
40630,"Clark/Division","05/10/2018","W","8,132"
40630,"Clark/Division","04/30/2018","W","7,726"
40630,"Clark/Division","05/14/2018","W","7,339"
40630,"Clark/Division","05/08/2018","W","8,578"
40630,"Clark/Division","04/12/2018","W","8,110"
40630,"Clark/Division","04/04/2018","W","7,929"
40630,"Clark/Division","06/22/2018","W","7,561"
40630,"Clark/Division","04/08/2018","U","4,403"
40630,"Clark/Division","06/27/2018","W","7,939"
40630,"Clark/Division","06/25/2018","W","7,288"
40630,"Clark/Division","04/17/2018","W","7,971"
40630,"Clark/Division","05/26/2018","A","6,743"
40630,"Clark/Division","06/12/2018","W","8,028"
40630,"Clark/Division","06/17/2018","U","5,313"
40630,"Clark/Division","04/11/2018","W","8,137"
40630,"Clark/Division","06/23/2018","A","6,767"
40630,"Clark/Division","06/11/2018","W","7,961"
40630,"Clark/Division","04/02/2018","W","6,898"
40630,"Clark/Division","04/19/2018","W","7,620"
40630,"Clark/Division","05/31/2018","W","8,498"
40630,"Clark/Division","04/06/2018","W","7,750"
40630,"Clark/Division","04/03/2018","W","7,326"
40630,"Clark/Division","06/02/2018","A","6,274"
40630,"Clark/Division","05/13/2018","U","4,569"
40630,"Clark/Division","04/24/2018","W","7,773"
40630,"Clark/Division","04/28/2018","A","6,174"
40630,"Clark/Division","06/01/2018","W","9,181"
40630,"Clark/Division","06/14/2018","W","8,575"
40630,"Clark/Division","05/12/2018","A","5,790"
40630,"Clark/Division","06/21/2018","W","7,257"
40630,"Clark/Division","05/03/2018","W","7,832"
40630,"Clark/Division","06/08/2018","W","8,731"
40630,"Clark/Division","05/05/2018","A","6,482"
40630,"Clark/Division","04/25/2018","W","7,963"
40630,"Clark/Division","06/05/2018","W","8,454"
40630,"Clark/Division","05/23/2018","W","8,573"
40630,"Clark/Division","05/18/2018","W","8,089"
40630,"Clark/Division","05/24/2018","W","7,985"
40630,"Clark/Division","06/30/2018","A","6,913"
40630,"Clark/Division","05/25/2018","W","9,061"
40630,"Clark/Division","05/20/2018","U","4,257"
40630,"Clark/Division","04/09/2018","W","7,303"
40630,"Clark/Division","04/16/2018","W","7,403"
40630,"Clark/Division","05/16/2018","W","8,028"
40630,"Clark/Division","06/20/2018","W","8,004"
40630,"Clark/Division","05/07/2018","W","7,857"
40630,"Clark/Division","05/02/2018","W","7,966"
40630,"Clark/Division","06/13/2018","W","8,637"
40630,"Clark/Division","04/21/2018","A","5,824"
40630,"Clark/Division","04/13/2018","W","7,369"
40630,"Clark/Division","05/30/2018","W","7,815"
40630,"Clark/Division","04/23/2018","W","7,382"
40630,"Clark/Division","06/09/2018","A","7,923"
40630,"Clark/Division","06/16/2018","A","7,148"
40630,"Clark/Division","04/26/2018","W","7,993"
40630,"Clark/Division","04/14/2018","A","5,541"
40630,"Clark/Division","05/04/2018","W","8,155"
40630,"Clark/Division","06/15/2018","W","8,551"
40630,"Clark/Division","05/19/2018","A","5,715"
40630,"Clark/Division","05/15/2018","W","7,848"
40630,"Clark/Division","05/06/2018","U","4,695"
40630,"Clark/Division","06/28/2018","W","8,071"
40630,"Clark/Division","06/18/2018","W","8,179"
40630,"Clark/Division","06/03/2018","U","5,129"
40630,"Clark/Division","06/10/2018","U","5,319"
40630,"Clark/Division","06/24/2018","U","6,733"
40630,"Clark/Division","05/28/2018","U","6,265"
40630,"Clark/Division","05/01/2018","W","8,399"
40630,"Clark/Division","04/18/2018","W","7,620"
40630,"Clark/Division","05/29/2018","W","7,759"
40630,"Clark/Division","06/04/2018","W","8,068"
40630,"Clark/Division","05/09/2018","W","8,180"
40630,"Clark/Division","04/01/2018","U","3,619"
40630,"Clark/Division","06/06/2018","W","8,579"
40630,"Clark/Division","04/22/2018","U","4,487"
40630,"Clark/Division","06/26/2018","W","7,662"
40630,"Clark/Division","05/22/2018","W","8,228"
40630,"Clark/Division","07/01/2018","U","5,121"
40630,"Clark/Division","07/02/2018","W","7,090"
40630,"Clark/Division","07/03/2018","W","8,075"
40630,"Clark/Division","07/04/2018","U","6,068"
40630,"Clark/Division","07/05/2018","W","6,599"
40630,"Clark/Division","07/06/2018","W","7,944"
40630,"Clark/Division","07/07/2018","A","6,747"
40630,"Clark/Division","07/08/2018","U","5,402"
40630,"Clark/Division","07/09/2018","W","7,313"
40630,"Clark/Division","07/10/2018","W","7,768"
40630,"Clark/Division","07/11/2018","W","8,150"
40630,"Clark/Division","07/12/2018","W","7,970"
40630,"Clark/Division","07/13/2018","W","8,885"
40630,"Clark/Division","07/14/2018","A","6,652"
40630,"Clark/Division","07/15/2018","U","5,776"
40630,"Clark/Division","07/16/2018","W","7,182"
40630,"Clark/Division","07/17/2018","W","7,709"
40630,"Clark/Division","07/18/2018","W","7,855"
40630,"Clark/Division","07/19/2018","W","8,325"
40630,"Clark/Division","07/20/2018","W","8,329"
40630,"Clark/Division","07/21/2018","A","7,567"
40630,"Clark/Division","07/22/2018","U","5,098"
40630,"Clark/Division","07/23/2018","W","7,722"
40630,"Clark/Division","07/24/2018","W","8,250"
40630,"Clark/Division","07/25/2018","W","8,424"
40630,"Clark/Division","07/26/2018","W","8,380"
40630,"Clark/Division","07/27/2018","W","8,240"
40630,"Clark/Division","07/28/2018","A","6,875"
40630,"Clark/Division","07/29/2018","U","3,827"
40630,"Clark/Division","07/30/2018","W","7,404"
40630,"Clark/Division","07/31/2018","W","7,529"
40630,"Clark/Division","08/01/2018","W","7,984"
40630,"Clark/Division","08/02/2018","W","9,174"
40630,"Clark/Division","08/03/2018","W","9,260"
40630,"Clark/Division","08/04/2018","A","7,829"
40630,"Clark/Division","08/05/2018","U","6,002"
40630,"Clark/Division","08/06/2018","W","7,267"
40630,"Clark/Division","08/07/2018","W","7,331"
40630,"Clark/Division","08/08/2018","W","7,747"
40630,"Clark/Division","08/09/2018","W","7,543"
40630,"Clark/Division","08/10/2018","W","8,856"
40630,"Clark/Division","08/11/2018","A","7,473"
40630,"Clark/Division","08/12/2018","U","5,576"
40630,"Clark/Division","08/13/2018","W","7,445"
40630,"Clark/Division","08/14/2018","W","7,965"
40630,"Clark/Division","08/15/2018","W","7,471"
40630,"Clark/Division","08/16/2018","W","7,600"
40630,"Clark/Division","08/17/2018","W","7,952"
40630,"Clark/Division","08/18/2018","A","8,478"
40630,"Clark/Division","08/19/2018","U","7,147"
40630,"Clark/Division","08/20/2018","W","7,497"
40630,"Clark/Division","08/21/2018","W","7,596"
40630,"Clark/Division","08/22/2018","W","7,701"
40630,"Clark/Division","08/23/2018","W","8,109"
40630,"Clark/Division","08/24/2018","W","7,859"
40630,"Clark/Division","08/25/2018","A","6,376"
40630,"Clark/Division","08/26/2018","U","5,174"
40630,"Clark/Division","08/27/2018","W","7,732"
40630,"Clark/Division","08/28/2018","W","8,092"
40630,"Clark/Division","08/29/2018","W","7,912"
40630,"Clark/Division","08/30/2018","W","7,883"
40630,"Clark/Division","08/31/2018","W","7,751"
40630,"Clark/Division","09/01/2018","A","5,752"
40630,"Clark/Division","09/02/2018","U","5,324"
40630,"Clark/Division","09/03/2018","U","3,957"
40630,"Clark/Division","09/04/2018","W","8,092"
40630,"Clark/Division","09/05/2018","W","8,079"
40630,"Clark/Division","09/06/2018","W","8,649"
40630,"Clark/Division","09/07/2018","W","9,111"
40630,"Clark/Division","09/08/2018","A","6,480"
40630,"Clark/Division","09/09/2018","U","4,753"
40630,"Clark/Division","09/10/2018","W","8,200"
40630,"Clark/Division","09/11/2018","W","8,584"
40630,"Clark/Division","09/12/2018","W","8,970"
40630,"Clark/Division","09/13/2018","W","8,680"
40630,"Clark/Division","09/14/2018","W","9,132"
40630,"Clark/Division","09/15/2018","A","6,989"
40630,"Clark/Division","09/16/2018","U","5,301"
40630,"Clark/Division","09/17/2018","W","8,331"
40630,"Clark/Division","09/18/2018","W","8,280"
40630,"Clark/Division","09/19/2018","W","8,032"
40630,"Clark/Division","09/20/2018","W","8,595"
40630,"Clark/Division","09/21/2018","W","8,767"
40630,"Clark/Division","09/22/2018","A","6,483"
40630,"Clark/Division","09/23/2018","U","3,791"
40630,"Clark/Division","09/24/2018","W","8,455"
40630,"Clark/Division","09/25/2018","W","8,289"
40630,"Clark/Division","09/26/2018","W","8,913"
40630,"Clark/Division","09/27/2018","W","8,998"
40630,"Clark/Division","09/28/2018","W","8,730"
40630,"Clark/Division","09/29/2018","A","7,078"
40630,"Clark/Division","09/30/2018","U","5,228"
40630,"Clark/Division","10/01/2018","W","8,389"
40630,"Clark/Division","10/02/2018","W","8,928"
40630,"Clark/Division","10/03/2018","W","8,465"
40630,"Clark/Division","10/04/2018","W","8,671"
40630,"Clark/Division","10/05/2018","W","8,222"
40630,"Clark/Division","10/06/2018","A","6,242"
40630,"Clark/Division","10/07/2018","U","10,380"
40630,"Clark/Division","10/08/2018","W","7,414"
40630,"Clark/Division","10/09/2018","W","8,430"
40630,"Clark/Division","10/10/2018","W","8,381"
40630,"Clark/Division","10/11/2018","W","8,662"
40630,"Clark/Division","10/12/2018","W","8,365"
40630,"Clark/Division","10/13/2018","A","6,269"
40630,"Clark/Division","10/14/2018","U","4,956"
40630,"Clark/Division","10/15/2018","W","8,030"
40630,"Clark/Division","10/16/2018","W","8,310"
40630,"Clark/Division","10/17/2018","W","8,439"
40630,"Clark/Division","10/18/2018","W","8,411"
40630,"Clark/Division","10/19/2018","W","8,598"
40630,"Clark/Division","10/20/2018","A","6,288"
40630,"Clark/Division","10/21/2018","U","4,771"
40630,"Clark/Division","10/22/2018","W","8,047"
40630,"Clark/Division","10/23/2018","W","8,232"
40630,"Clark/Division","10/24/2018","W","8,403"
40630,"Clark/Division","10/25/2018","W","8,473"
40630,"Clark/Division","10/26/2018","W","8,568"
40630,"Clark/Division","10/27/2018","A","6,333"
40630,"Clark/Division","10/28/2018","U","4,857"
40630,"Clark/Division","10/29/2018","W","7,849"
40630,"Clark/Division","10/30/2018","W","8,016"
40630,"Clark/Division","10/31/2018","W","8,435"
40630,"Clark/Division","11/01/2018","W","8,397"
40630,"Clark/Division","11/02/2018","W","7,710"
40630,"Clark/Division","11/03/2018","A","4,631"
40630,"Clark/Division","11/04/2018","U","2,844"
40630,"Clark/Division","11/05/2018","W","7,729"
40630,"Clark/Division","11/06/2018","W","7,860"
40630,"Clark/Division","11/07/2018","W","8,208"
40630,"Clark/Division","11/08/2018","W","8,268"
40630,"Clark/Division","11/09/2018","W","8,266"
40630,"Clark/Division","11/10/2018","A","5,608"
40630,"Clark/Division","11/11/2018","U","4,756"
40630,"Clark/Division","11/12/2018","W","6,688"
40630,"Clark/Division","11/13/2018","W","7,993"
40630,"Clark/Division","11/14/2018","W","8,175"
40630,"Clark/Division","11/15/2018","W","7,941"
40630,"Clark/Division","11/16/2018","W","8,591"
40630,"Clark/Division","11/17/2018","A","6,906"
40630,"Clark/Division","11/18/2018","U","4,891"
40630,"Clark/Division","11/19/2018","W","7,791"
40630,"Clark/Division","11/20/2018","W","7,786"
40630,"Clark/Division","11/21/2018","W","6,038"
40630,"Clark/Division","11/22/2018","U","2,474"
40630,"Clark/Division","11/23/2018","W","4,486"
40630,"Clark/Division","11/24/2018","A","4,514"
40630,"Clark/Division","11/25/2018","U","3,464"
40630,"Clark/Division","11/26/2018","W","7,027"
40630,"Clark/Division","11/27/2018","W","7,776"
40630,"Clark/Division","11/28/2018","W","7,927"
40630,"Clark/Division","11/29/2018","W","8,224"
40630,"Clark/Division","11/30/2018","W","8,509"
40630,"Clark/Division","12/01/2018","A","5,245"
40630,"Clark/Division","12/02/2018","U","4,484"
40630,"Clark/Division","12/03/2018","W","7,611"
40630,"Clark/Division","12/04/2018","W","7,761"
40630,"Clark/Division","12/05/2018","W","8,027"
40630,"Clark/Division","12/06/2018","W","8,147"
40630,"Clark/Division","12/07/2018","W","8,389"
40630,"Clark/Division","12/08/2018","A","5,991"
40630,"Clark/Division","12/09/2018","U","4,518"
40630,"Clark/Division","12/10/2018","W","7,568"
40630,"Clark/Division","12/11/2018","W","7,876"
40630,"Clark/Division","12/12/2018","W","7,811"
40630,"Clark/Division","12/13/2018","W","8,067"
40630,"Clark/Division","12/14/2018","W","8,363"
40630,"Clark/Division","12/15/2018","A","6,513"
40630,"Clark/Division","12/16/2018","U","4,749"
40630,"Clark/Division","12/17/2018","W","7,294"
40630,"Clark/Division","12/18/2018","W","7,711"
40630,"Clark/Division","12/19/2018","W","7,683"
40630,"Clark/Division","12/20/2018","W","7,591"
40630,"Clark/Division","12/21/2018","W","7,446"
40630,"Clark/Division","12/22/2018","A","4,716"
40630,"Clark/Division","12/23/2018","U","3,403"
40630,"Clark/Division","12/24/2018","W","3,206"
40630,"Clark/Division","12/25/2018","U","1,465"
40630,"Clark/Division","12/26/2018","W","4,093"
40630,"Clark/Division","12/27/2018","W","4,690"
40630,"Clark/Division","12/28/2018","W","5,340"
40630,"Clark/Division","12/29/2018","A","4,240"
40630,"Clark/Division","12/30/2018","U","3,784"
40630,"Clark/Division","12/31/2018","W","4,555"
40630,"Clark/Division","01/01/2019","U","3,637"
40630,"Clark/Division","01/02/2019","W","5,781"
40630,"Clark/Division","01/03/2019","W","6,580"
40630,"Clark/Division","01/04/2019","W","6,864"
40630,"Clark/Division","01/05/2019","A","5,237"
40630,"Clark/Division","01/06/2019","U","4,084"
40630,"Clark/Division","01/07/2019","W","7,166"
40630,"Clark/Division","01/08/2019","W","7,332"
40630,"Clark/Division","01/09/2019","W","7,229"
40630,"Clark/Division","01/10/2019","W","7,450"
40630,"Clark/Division","01/11/2019","W","7,584"
40630,"Clark/Division","01/12/2019","A","4,995"
40630,"Clark/Division","01/13/2019","U","3,930"
40630,"Clark/Division","01/14/2019","W","7,190"
40630,"Clark/Division","01/15/2019","W","7,358"
40630,"Clark/Division","01/16/2019","W","7,538"
40630,"Clark/Division","01/17/2019","W","7,632"
40630,"Clark/Division","01/18/2019","W","7,551"
40630,"Clark/Division","01/19/2019","A","4,687"
40630,"Clark/Division","01/20/2019","U","3,841"
40630,"Clark/Division","01/21/2019","W","4,686"
40630,"Clark/Division","01/22/2019","W","7,361"
40630,"Clark/Division","01/23/2019","W","7,604"
40630,"Clark/Division","01/24/2019","W","7,329"
40630,"Clark/Division","01/25/2019","W","6,713"
40630,"Clark/Division","01/26/2019","A","4,512"
40630,"Clark/Division","01/27/2019","U","3,415"
40630,"Clark/Division","01/28/2019","W","7,930"
40630,"Clark/Division","01/29/2019","W","6,232"
40630,"Clark/Division","01/30/2019","W","1,198"
40630,"Clark/Division","01/31/2019","W","2,856"
40630,"Clark/Division","02/01/2019","W","7,090"
40630,"Clark/Division","02/02/2019","A","5,286"
40630,"Clark/Division","02/03/2019","U","4,132"
40630,"Clark/Division","02/04/2019","W","7,392"
40630,"Clark/Division","02/05/2019","W","7,384"
40630,"Clark/Division","02/06/2019","W","7,680"
40630,"Clark/Division","02/07/2019","W","7,566"
40630,"Clark/Division","02/08/2019","W","7,227"
40630,"Clark/Division","02/09/2019","A","5,064"
40630,"Clark/Division","02/10/2019","U","3,903"
40630,"Clark/Division","02/11/2019","W","7,174"
40630,"Clark/Division","02/12/2019","W","7,442"
40630,"Clark/Division","02/13/2019","W","7,660"
40630,"Clark/Division","02/14/2019","W","7,855"
40630,"Clark/Division","02/15/2019","W","7,694"
40630,"Clark/Division","02/16/2019","A","5,030"
40630,"Clark/Division","02/17/2019","U","3,894"
40630,"Clark/Division","02/18/2019","W","5,476"
40630,"Clark/Division","02/19/2019","W","7,464"
40630,"Clark/Division","02/20/2019","W","7,663"
40630,"Clark/Division","02/21/2019","W","7,670"
40630,"Clark/Division","02/22/2019","W","7,704"
40630,"Clark/Division","02/23/2019","A","4,731"
40630,"Clark/Division","02/24/2019","U","3,650"
40630,"Clark/Division","02/25/2019","W","6,983"
40630,"Clark/Division","02/26/2019","W","7,279"
40630,"Clark/Division","02/27/2019","W","7,381"
40630,"Clark/Division","02/28/2019","W","7,392"
40630,"Clark/Division","03/01/2019","W","7,473"
40630,"Clark/Division","03/02/2019","A","4,964"
40630,"Clark/Division","03/03/2019","U","3,793"
40630,"Clark/Division","03/04/2019","W","7,206"
40630,"Clark/Division","03/05/2019","W","7,278"
40630,"Clark/Division","03/06/2019","W","7,626"
40630,"Clark/Division","03/07/2019","W","7,406"
40630,"Clark/Division","03/08/2019","W","7,588"
40630,"Clark/Division","03/09/2019","A","4,650"
40630,"Clark/Division","03/10/2019","U","3,621"
40630,"Clark/Division","03/11/2019","W","6,987"
40630,"Clark/Division","03/12/2019","W","7,587"
40630,"Clark/Division","03/13/2019","W","7,598"
40630,"Clark/Division","03/14/2019","W","7,344"
40630,"Clark/Division","03/15/2019","W","7,717"
40630,"Clark/Division","03/16/2019","A","7,323"
40630,"Clark/Division","03/17/2019","U","4,404"
40630,"Clark/Division","03/18/2019","W","7,333"
40630,"Clark/Division","03/19/2019","W","7,434"
40630,"Clark/Division","03/20/2019","W","7,416"
40630,"Clark/Division","03/21/2019","W","7,441"
40630,"Clark/Division","03/22/2019","W","7,485"
40630,"Clark/Division","03/23/2019","A","5,481"
40630,"Clark/Division","03/24/2019","U","4,107"
40630,"Clark/Division","03/25/2019","W","6,865"
40630,"Clark/Division","03/26/2019","W","7,084"
40630,"Clark/Division","03/27/2019","W","7,189"
40630,"Clark/Division","03/28/2019","W","7,027"
40630,"Clark/Division","03/29/2019","W","7,104"
40630,"Clark/Division","03/30/2019","A","4,937"
40630,"Clark/Division","03/31/2019","U","3,764"
40630,"Clark/Division","04/01/2019","W","7,181"
40630,"Clark/Division","04/02/2019","W","7,375"
40630,"Clark/Division","04/03/2019","W","7,647"
40630,"Clark/Division","04/04/2019","W","7,534"
40630,"Clark/Division","04/05/2019","W","7,411"
40630,"Clark/Division","04/06/2019","A","5,915"
40630,"Clark/Division","04/07/2019","U","3,915"
40630,"Clark/Division","04/08/2019","W","7,699"
40630,"Clark/Division","04/09/2019","W","7,264"
40630,"Clark/Division","04/10/2019","W","7,473"
40630,"Clark/Division","04/11/2019","W","7,452"
40630,"Clark/Division","04/12/2019","W","7,889"
40630,"Clark/Division","04/13/2019","A","5,849"
40630,"Clark/Division","04/14/2019","U","3,064"
40630,"Clark/Division","04/15/2019","W","6,517"
40630,"Clark/Division","04/16/2019","W","6,674"
40630,"Clark/Division","04/17/2019","W","6,941"
40630,"Clark/Division","04/18/2019","W","6,563"
40630,"Clark/Division","04/19/2019","W","6,484"
40630,"Clark/Division","04/20/2019","A","5,176"
40630,"Clark/Division","04/21/2019","U","3,688"
40630,"Clark/Division","04/22/2019","W","6,821"
40630,"Clark/Division","04/23/2019","W","7,725"
40630,"Clark/Division","04/24/2019","W","7,940"
40630,"Clark/Division","04/25/2019","W","7,838"
40630,"Clark/Division","04/26/2019","W","8,048"
40630,"Clark/Division","04/27/2019","A","4,584"
40630,"Clark/Division","04/28/2019","U","4,158"
40630,"Clark/Division","04/29/2019","W","7,042"
40630,"Clark/Division","04/30/2019","W","7,214"
40630,"Clark/Division","05/01/2019","W","6,905"
40630,"Clark/Division","05/02/2019","W","7,516"
40630,"Clark/Division","05/03/2019","W","8,234"
40630,"Clark/Division","05/04/2019","A","6,353"
40630,"Clark/Division","05/05/2019","U","5,100"
40630,"Clark/Division","05/06/2019","W","7,440"
40630,"Clark/Division","05/07/2019","W","7,771"
40630,"Clark/Division","05/08/2019","W","8,039"
40630,"Clark/Division","05/09/2019","W","7,926"
40630,"Clark/Division","05/10/2019","W","8,224"
40630,"Clark/Division","05/11/2019","A","5,742"
40630,"Clark/Division","05/12/2019","U","4,119"
40630,"Clark/Division","05/13/2019","W","7,163"
40630,"Clark/Division","05/14/2019","W","7,484"
