"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40380	"Clark/Lake"	"12/20/2017"	"W"	"20,358"
40380	"Clark/Lake"	"12/10/2017"	"U"	"4,973"
40380	"Clark/Lake"	"12/03/2017"	"U"	"5,682"
40380	"Clark/Lake"	"12/22/2017"	"W"	"15,598"
40380	"Clark/Lake"	"12/21/2017"	"W"	"19,322"
40380	"Clark/Lake"	"12/16/2017"	"A"	"6,157"
40380	"Clark/Lake"	"12/15/2017"	"W"	"19,626"
40380	"Clark/Lake"	"12/09/2017"	"A"	"6,425"
40380	"Clark/Lake"	"12/06/2017"	"W"	"21,879"
40380	"Clark/Lake"	"12/08/2017"	"W"	"21,198"
40380	"Clark/Lake"	"12/28/2017"	"W"	"12,615"
40380	"Clark/Lake"	"12/26/2017"	"W"	"8,170"
40380	"Clark/Lake"	"12/01/2017"	"W"	"22,440"
40380	"Clark/Lake"	"12/02/2017"	"A"	"7,561"
40380	"Clark/Lake"	"12/31/2017"	"U"	"2,735"
40380	"Clark/Lake"	"12/23/2017"	"A"	"4,642"
40380	"Clark/Lake"	"12/05/2017"	"W"	"21,582"
40380	"Clark/Lake"	"12/18/2017"	"W"	"20,323"
40380	"Clark/Lake"	"12/27/2017"	"W"	"11,528"
40380	"Clark/Lake"	"12/17/2017"	"U"	"4,683"
40380	"Clark/Lake"	"12/11/2017"	"W"	"21,223"
40380	"Clark/Lake"	"12/24/2017"	"U"	"2,703"
40380	"Clark/Lake"	"12/07/2017"	"W"	"21,906"
40380	"Clark/Lake"	"12/14/2017"	"W"	"20,852"
40380	"Clark/Lake"	"12/25/2017"	"U"	"1,413"
40380	"Clark/Lake"	"12/04/2017"	"W"	"21,960"
40380	"Clark/Lake"	"12/12/2017"	"W"	"20,915"
40380	"Clark/Lake"	"12/19/2017"	"W"	"20,910"
40380	"Clark/Lake"	"12/29/2017"	"W"	"12,070"
40380	"Clark/Lake"	"12/13/2017"	"W"	"20,867"
40380	"Clark/Lake"	"12/30/2017"	"A"	"3,659"
40380	"Clark/Lake"	"01/11/2018"	"W"	"21,062"
40380	"Clark/Lake"	"02/27/2018"	"W"	"21,231"
40380	"Clark/Lake"	"02/10/2018"	"A"	"4,607"
40380	"Clark/Lake"	"03/12/2018"	"W"	"20,887"
40380	"Clark/Lake"	"03/13/2018"	"W"	"21,224"
40380	"Clark/Lake"	"01/01/2018"	"U"	"2,963"
