"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40430	"Clinton-Forest Park"	"12/27/2017"	"W"	"2,495"
40430	"Clinton-Forest Park"	"12/07/2017"	"W"	"3,748"
40430	"Clinton-Forest Park"	"12/03/2017"	"U"	"1,142"
40430	"Clinton-Forest Park"	"12/10/2017"	"U"	"1,048"
40430	"Clinton-Forest Park"	"12/04/2017"	"W"	"3,896"
40430	"Clinton-Forest Park"	"12/05/2017"	"W"	"3,779"
40430	"Clinton-Forest Park"	"12/26/2017"	"W"	"2,033"
40430	"Clinton-Forest Park"	"12/24/2017"	"U"	"866"
40430	"Clinton-Forest Park"	"12/08/2017"	"W"	"3,698"
40430	"Clinton-Forest Park"	"12/31/2017"	"U"	"1,023"
40430	"Clinton-Forest Park"	"12/06/2017"	"W"	"3,767"
40430	"Clinton-Forest Park"	"12/19/2017"	"W"	"3,740"
40430	"Clinton-Forest Park"	"12/11/2017"	"W"	"3,900"
40430	"Clinton-Forest Park"	"12/20/2017"	"W"	"3,635"
40430	"Clinton-Forest Park"	"12/28/2017"	"W"	"2,641"
40430	"Clinton-Forest Park"	"12/14/2017"	"W"	"3,583"
40430	"Clinton-Forest Park"	"12/15/2017"	"W"	"3,548"
40430	"Clinton-Forest Park"	"12/16/2017"	"A"	"1,357"
40430	"Clinton-Forest Park"	"12/17/2017"	"U"	"1,193"
40430	"Clinton-Forest Park"	"12/23/2017"	"A"	"1,196"
40430	"Clinton-Forest Park"	"12/13/2017"	"W"	"3,702"
40430	"Clinton-Forest Park"	"12/12/2017"	"W"	"3,810"
40430	"Clinton-Forest Park"	"12/02/2017"	"A"	"1,243"
40430	"Clinton-Forest Park"	"12/25/2017"	"U"	"744"
40430	"Clinton-Forest Park"	"12/30/2017"	"A"	"1,143"
40430	"Clinton-Forest Park"	"12/01/2017"	"W"	"3,808"
40430	"Clinton-Forest Park"	"12/09/2017"	"A"	"1,157"
40430	"Clinton-Forest Park"	"12/21/2017"	"W"	"3,400"
40430	"Clinton-Forest Park"	"12/22/2017"	"W"	"2,690"
40430	"Clinton-Forest Park"	"12/29/2017"	"W"	"2,364"
40430	"Clinton-Forest Park"	"12/18/2017"	"W"	"3,735"
40430	"Clinton-Forest Park"	"03/11/2018"	"U"	"1,156"
40430	"Clinton-Forest Park"	"03/24/2018"	"A"	"1,131"
40430	"Clinton-Forest Park"	"01/01/2018"	"U"	"768"
40430	"Clinton-Forest Park"	"01/03/2018"	"W"	"3,436"
40430	"Clinton-Forest Park"	"03/05/2018"	"W"	"3,739"
40430	"Clinton-Forest Park"	"01/31/2018"	"W"	"3,681"
40430	"Clinton-Forest Park"	"01/24/2018"	"W"	"3,754"
40430	"Clinton-Forest Park"	"01/05/2018"	"W"	"3,175"
40430	"Clinton-Forest Park"	"03/04/2018"	"U"	"1,167"
40430	"Clinton-Forest Park"	"01/09/2018"	"W"	"3,544"
40430	"Clinton-Forest Park"	"02/14/2018"	"W"	"3,798"
40430	"Clinton-Forest Park"	"03/25/2018"	"U"	"1,170"
40430	"Clinton-Forest Park"	"02/23/2018"	"W"	"3,688"
40430	"Clinton-Forest Park"	"01/20/2018"	"A"	"1,220"
40430	"Clinton-Forest Park"	"01/11/2018"	"W"	"3,559"
40430	"Clinton-Forest Park"	"01/30/2018"	"W"	"3,660"
40430	"Clinton-Forest Park"	"03/12/2018"	"W"	"3,735"
40430	"Clinton-Forest Park"	"01/21/2018"	"U"	"954"
40430	"Clinton-Forest Park"	"03/18/2018"	"U"	"1,133"
40430	"Clinton-Forest Park"	"02/17/2018"	"A"	"1,195"
40430	"Clinton-Forest Park"	"01/18/2018"	"W"	"3,748"
40430	"Clinton-Forest Park"	"02/26/2018"	"W"	"3,650"
40430	"Clinton-Forest Park"	"01/15/2018"	"W"	"1,989"
40430	"Clinton-Forest Park"	"02/16/2018"	"W"	"3,758"
40430	"Clinton-Forest Park"	"01/06/2018"	"A"	"957"
40430	"Clinton-Forest Park"	"01/28/2018"	"U"	"916"
40430	"Clinton-Forest Park"	"03/14/2018"	"W"	"3,777"
40430	"Clinton-Forest Park"	"02/03/2018"	"A"	"1,079"
40430	"Clinton-Forest Park"	"01/27/2018"	"A"	"1,054"
40430	"Clinton-Forest Park"	"01/14/2018"	"U"	"899"
40430	"Clinton-Forest Park"	"01/12/2018"	"W"	"3,387"
40430	"Clinton-Forest Park"	"03/19/2018"	"W"	"3,759"
40430	"Clinton-Forest Park"	"02/05/2018"	"W"	"3,793"
40430	"Clinton-Forest Park"	"02/15/2018"	"W"	"3,714"
40430	"Clinton-Forest Park"	"02/02/2018"	"W"	"3,464"
40430	"Clinton-Forest Park"	"03/16/2018"	"W"	"3,650"
40430	"Clinton-Forest Park"	"03/17/2018"	"A"	"1,758"
40430	"Clinton-Forest Park"	"03/27/2018"	"W"	"3,450"
40430	"Clinton-Forest Park"	"01/08/2018"	"W"	"3,622"
40430	"Clinton-Forest Park"	"02/22/2018"	"W"	"3,767"
40430	"Clinton-Forest Park"	"03/10/2018"	"A"	"1,407"
40430	"Clinton-Forest Park"	"01/04/2018"	"W"	"3,449"
40430	"Clinton-Forest Park"	"03/29/2018"	"W"	"3,437"
40430	"Clinton-Forest Park"	"02/19/2018"	"W"	"2,614"
40430	"Clinton-Forest Park"	"02/21/2018"	"W"	"3,738"
40430	"Clinton-Forest Park"	"03/21/2018"	"W"	"3,755"
40430	"Clinton-Forest Park"	"01/16/2018"	"W"	"3,713"
40430	"Clinton-Forest Park"	"02/04/2018"	"U"	"914"
40430	"Clinton-Forest Park"	"03/26/2018"	"W"	"3,652"
40430	"Clinton-Forest Park"	"02/20/2018"	"W"	"3,729"
40430	"Clinton-Forest Park"	"03/07/2018"	"W"	"3,930"
40430	"Clinton-Forest Park"	"02/13/2018"	"W"	"3,823"
40430	"Clinton-Forest Park"	"03/22/2018"	"W"	"3,611"
40430	"Clinton-Forest Park"	"01/25/2018"	"W"	"3,648"
40430	"Clinton-Forest Park"	"01/17/2018"	"W"	"3,726"
40430	"Clinton-Forest Park"	"02/18/2018"	"U"	"1,096"
40430	"Clinton-Forest Park"	"02/24/2018"	"A"	"1,223"
40430	"Clinton-Forest Park"	"03/23/2018"	"W"	"3,431"
40430	"Clinton-Forest Park"	"01/13/2018"	"A"	"1,036"
40430	"Clinton-Forest Park"	"02/25/2018"	"U"	"1,005"
40430	"Clinton-Forest Park"	"03/20/2018"	"W"	"3,747"
40430	"Clinton-Forest Park"	"03/03/2018"	"A"	"1,291"
40430	"Clinton-Forest Park"	"02/28/2018"	"W"	"3,690"
40430	"Clinton-Forest Park"	"02/12/2018"	"W"	"3,647"
40430	"Clinton-Forest Park"	"01/29/2018"	"W"	"3,764"
40430	"Clinton-Forest Park"	"03/06/2018"	"W"	"3,748"
40430	"Clinton-Forest Park"	"01/23/2018"	"W"	"3,721"
40430	"Clinton-Forest Park"	"01/02/2018"	"W"	"3,205"
40430	"Clinton-Forest Park"	"02/09/2018"	"W"	"2,229"
40430	"Clinton-Forest Park"	"03/31/2018"	"A"	"1,157"
40430	"Clinton-Forest Park"	"01/26/2018"	"W"	"3,522"
40430	"Clinton-Forest Park"	"02/10/2018"	"A"	"1,155"
40430	"Clinton-Forest Park"	"03/15/2018"	"W"	"3,734"
40430	"Clinton-Forest Park"	"02/08/2018"	"W"	"3,865"
40430	"Clinton-Forest Park"	"03/01/2018"	"W"	"3,746"
40430	"Clinton-Forest Park"	"02/11/2018"	"U"	"963"
40430	"Clinton-Forest Park"	"03/09/2018"	"W"	"3,630"
40430	"Clinton-Forest Park"	"03/28/2018"	"W"	"3,579"
40430	"Clinton-Forest Park"	"03/30/2018"	"W"	"2,991"
