"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
41160	"Clinton-Lake"	"12/31/2017"	"U"	"621"
41160	"Clinton-Lake"	"12/22/2017"	"W"	"2,905"
41160	"Clinton-Lake"	"12/28/2017"	"W"	"2,661"
41160	"Clinton-Lake"	"12/13/2017"	"W"	"4,419"
41160	"Clinton-Lake"	"12/01/2017"	"W"	"4,320"
41160	"Clinton-Lake"	"12/23/2017"	"A"	"968"
41160	"Clinton-Lake"	"12/07/2017"	"W"	"4,548"
41160	"Clinton-Lake"	"12/29/2017"	"W"	"2,451"
41160	"Clinton-Lake"	"12/05/2017"	"W"	"4,585"
41160	"Clinton-Lake"	"12/12/2017"	"W"	"4,476"
41160	"Clinton-Lake"	"12/21/2017"	"W"	"3,837"
41160	"Clinton-Lake"	"12/27/2017"	"W"	"2,535"
41160	"Clinton-Lake"	"12/30/2017"	"A"	"892"
41160	"Clinton-Lake"	"12/11/2017"	"W"	"4,459"
41160	"Clinton-Lake"	"12/06/2017"	"W"	"4,532"
41160	"Clinton-Lake"	"12/09/2017"	"A"	"1,241"
41160	"Clinton-Lake"	"12/19/2017"	"W"	"4,215"
41160	"Clinton-Lake"	"12/03/2017"	"U"	"928"
41160	"Clinton-Lake"	"12/26/2017"	"W"	"1,885"
41160	"Clinton-Lake"	"12/10/2017"	"U"	"814"
41160	"Clinton-Lake"	"12/16/2017"	"A"	"1,270"
41160	"Clinton-Lake"	"12/14/2017"	"W"	"4,365"
41160	"Clinton-Lake"	"12/18/2017"	"W"	"4,094"
41160	"Clinton-Lake"	"12/24/2017"	"U"	"520"
41160	"Clinton-Lake"	"12/08/2017"	"W"	"4,243"
41160	"Clinton-Lake"	"12/02/2017"	"A"	"1,324"
41160	"Clinton-Lake"	"12/17/2017"	"U"	"852"
41160	"Clinton-Lake"	"12/15/2017"	"W"	"3,977"
41160	"Clinton-Lake"	"12/25/2017"	"U"	"371"
41160	"Clinton-Lake"	"12/04/2017"	"W"	"4,499"
41160	"Clinton-Lake"	"12/20/2017"	"W"	"3,985"
41160	"Clinton-Lake"	"03/21/2018"	"W"	"4,444"
41160	"Clinton-Lake"	"03/06/2018"	"W"	"4,434"
41160	"Clinton-Lake"	"03/11/2018"	"U"	"851"
41160	"Clinton-Lake"	"03/27/2018"	"W"	"4,176"
41160	"Clinton-Lake"	"01/11/2018"	"W"	"4,250"
41160	"Clinton-Lake"	"02/02/2018"	"W"	"4,003"
41160	"Clinton-Lake"	"01/09/2018"	"W"	"4,226"
41160	"Clinton-Lake"	"03/26/2018"	"W"	"4,102"
41160	"Clinton-Lake"	"01/13/2018"	"A"	"1,029"
41160	"Clinton-Lake"	"03/05/2018"	"W"	"4,468"
41160	"Clinton-Lake"	"01/14/2018"	"U"	"739"
41160	"Clinton-Lake"	"02/16/2018"	"W"	"4,147"
41160	"Clinton-Lake"	"03/12/2018"	"W"	"4,293"
41160	"Clinton-Lake"	"02/21/2018"	"W"	"4,647"
41160	"Clinton-Lake"	"03/31/2018"	"A"	"1,103"
41160	"Clinton-Lake"	"02/25/2018"	"U"	"891"
41160	"Clinton-Lake"	"03/15/2018"	"W"	"4,325"
41160	"Clinton-Lake"	"02/08/2018"	"W"	"4,678"
41160	"Clinton-Lake"	"01/27/2018"	"A"	"1,260"
41160	"Clinton-Lake"	"03/29/2018"	"W"	"4,163"
41160	"Clinton-Lake"	"01/10/2018"	"W"	"4,350"
41160	"Clinton-Lake"	"01/12/2018"	"W"	"3,971"
41160	"Clinton-Lake"	"01/29/2018"	"W"	"4,437"
41160	"Clinton-Lake"	"02/14/2018"	"W"	"4,588"
41160	"Clinton-Lake"	"02/15/2018"	"W"	"4,623"
41160	"Clinton-Lake"	"01/21/2018"	"U"	"825"
41160	"Clinton-Lake"	"03/22/2018"	"W"	"4,257"
41160	"Clinton-Lake"	"03/04/2018"	"U"	"844"
41160	"Clinton-Lake"	"03/08/2018"	"W"	"4,502"
41160	"Clinton-Lake"	"02/10/2018"	"A"	"1,028"
41160	"Clinton-Lake"	"03/17/2018"	"A"	"1,589"
41160	"Clinton-Lake"	"02/04/2018"	"U"	"762"
41160	"Clinton-Lake"	"01/15/2018"	"W"	"2,179"
41160	"Clinton-Lake"	"01/05/2018"	"W"	"3,729"
41160	"Clinton-Lake"	"03/03/2018"	"A"	"1,190"
41160	"Clinton-Lake"	"01/18/2018"	"W"	"4,359"
41160	"Clinton-Lake"	"03/24/2018"	"A"	"1,854"
41160	"Clinton-Lake"	"01/04/2018"	"W"	"3,958"
41160	"Clinton-Lake"	"02/03/2018"	"A"	"1,006"
41160	"Clinton-Lake"	"03/20/2018"	"W"	"4,301"
41160	"Clinton-Lake"	"03/09/2018"	"W"	"4,117"
41160	"Clinton-Lake"	"01/23/2018"	"W"	"4,573"
41160	"Clinton-Lake"	"02/11/2018"	"U"	"752"
41160	"Clinton-Lake"	"01/28/2018"	"U"	"769"
41160	"Clinton-Lake"	"01/26/2018"	"W"	"3,961"
41160	"Clinton-Lake"	"01/22/2018"	"W"	"4,434"
41160	"Clinton-Lake"	"03/23/2018"	"W"	"3,926"
41160	"Clinton-Lake"	"02/17/2018"	"A"	"1,136"
41160	"Clinton-Lake"	"02/06/2018"	"W"	"4,483"
41160	"Clinton-Lake"	"01/25/2018"	"W"	"4,333"
41160	"Clinton-Lake"	"03/10/2018"	"A"	"1,107"
41160	"Clinton-Lake"	"02/28/2018"	"W"	"4,478"
41160	"Clinton-Lake"	"01/08/2018"	"W"	"4,380"
41160	"Clinton-Lake"	"03/30/2018"	"W"	"3,250"
41160	"Clinton-Lake"	"01/01/2018"	"U"	"489"
41160	"Clinton-Lake"	"03/28/2018"	"W"	"4,249"
41160	"Clinton-Lake"	"02/22/2018"	"W"	"4,523"
41160	"Clinton-Lake"	"01/07/2018"	"U"	"642"
41160	"Clinton-Lake"	"02/23/2018"	"W"	"4,239"
41160	"Clinton-Lake"	"03/13/2018"	"W"	"4,483"
41160	"Clinton-Lake"	"01/24/2018"	"W"	"4,554"
41160	"Clinton-Lake"	"01/31/2018"	"W"	"4,492"
41160	"Clinton-Lake"	"03/14/2018"	"W"	"4,416"
41160	"Clinton-Lake"	"02/07/2018"	"W"	"4,578"
41160	"Clinton-Lake"	"01/03/2018"	"W"	"3,955"
41160	"Clinton-Lake"	"01/19/2018"	"W"	"4,128"
41160	"Clinton-Lake"	"03/07/2018"	"W"	"4,597"
41160	"Clinton-Lake"	"01/20/2018"	"A"	"1,414"
41160	"Clinton-Lake"	"03/16/2018"	"W"	"4,087"
41160	"Clinton-Lake"	"02/19/2018"	"W"	"3,360"
41160	"Clinton-Lake"	"01/06/2018"	"A"	"911"
41160	"Clinton-Lake"	"02/09/2018"	"W"	"2,949"
41160	"Clinton-Lake"	"02/18/2018"	"U"	"885"
41160	"Clinton-Lake"	"03/02/2018"	"W"	"4,072"
41160	"Clinton-Lake"	"01/16/2018"	"W"	"4,577"
41160	"Clinton-Lake"	"03/25/2018"	"U"	"806"
41160	"Clinton-Lake"	"03/01/2018"	"W"	"4,489"
41160	"Clinton-Lake"	"03/18/2018"	"U"	"922"
41160	"Clinton-Lake"	"02/05/2018"	"W"	"4,510"
