"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40230	"Cumberland"	"12/08/2017"	"W"	"4,589"
40230	"Cumberland"	"12/25/2017"	"U"	"639"
40230	"Cumberland"	"12/27/2017"	"W"	"2,735"
40230	"Cumberland"	"12/22/2017"	"W"	"3,618"
40230	"Cumberland"	"12/20/2017"	"W"	"4,222"
40230	"Cumberland"	"12/07/2017"	"W"	"4,851"
40230	"Cumberland"	"12/09/2017"	"A"	"1,967"
40230	"Cumberland"	"12/06/2017"	"W"	"4,686"
40230	"Cumberland"	"12/14/2017"	"W"	"4,550"
40230	"Cumberland"	"12/15/2017"	"W"	"4,165"
40230	"Cumberland"	"12/10/2017"	"U"	"1,331"
40230	"Cumberland"	"12/26/2017"	"W"	"2,129"
40230	"Cumberland"	"12/05/2017"	"W"	"4,784"
40230	"Cumberland"	"12/24/2017"	"U"	"1,120"
40230	"Cumberland"	"12/16/2017"	"A"	"2,002"
40230	"Cumberland"	"12/01/2017"	"W"	"4,802"
40230	"Cumberland"	"12/29/2017"	"W"	"2,747"
40230	"Cumberland"	"12/28/2017"	"W"	"2,866"
40230	"Cumberland"	"12/04/2017"	"W"	"4,819"
40230	"Cumberland"	"12/30/2017"	"A"	"1,198"
40230	"Cumberland"	"12/19/2017"	"W"	"4,388"
40230	"Cumberland"	"12/02/2017"	"A"	"2,238"
40230	"Cumberland"	"12/13/2017"	"W"	"4,559"
40230	"Cumberland"	"12/11/2017"	"W"	"4,372"
40230	"Cumberland"	"12/03/2017"	"U"	"1,617"
40230	"Cumberland"	"12/23/2017"	"A"	"1,896"
40230	"Cumberland"	"12/31/2017"	"U"	"1,340"
40230	"Cumberland"	"12/12/2017"	"W"	"4,517"
40230	"Cumberland"	"12/17/2017"	"U"	"1,377"
40230	"Cumberland"	"12/18/2017"	"W"	"4,253"
40230	"Cumberland"	"12/21/2017"	"W"	"4,227"
40230	"Cumberland"	"03/23/2018"	"W"	"4,252"
40230	"Cumberland"	"03/03/2018"	"A"	"1,575"
40230	"Cumberland"	"02/14/2018"	"W"	"4,534"
40230	"Cumberland"	"03/07/2018"	"W"	"4,549"
40230	"Cumberland"	"01/13/2018"	"A"	"1,258"
40230	"Cumberland"	"03/02/2018"	"W"	"4,211"
40230	"Cumberland"	"02/19/2018"	"W"	"3,234"
40230	"Cumberland"	"01/20/2018"	"A"	"1,961"
40230	"Cumberland"	"02/02/2018"	"W"	"3,863"
40230	"Cumberland"	"02/12/2018"	"W"	"4,320"
40230	"Cumberland"	"02/08/2018"	"W"	"4,536"
40230	"Cumberland"	"03/22/2018"	"W"	"4,518"
40230	"Cumberland"	"02/18/2018"	"U"	"1,246"
40230	"Cumberland"	"01/28/2018"	"U"	"1,097"
40230	"Cumberland"	"02/20/2018"	"W"	"4,486"
40230	"Cumberland"	"01/14/2018"	"U"	"990"
40230	"Cumberland"	"03/11/2018"	"U"	"1,148"
40230	"Cumberland"	"01/26/2018"	"W"	"4,204"
40230	"Cumberland"	"02/04/2018"	"U"	"915"
40230	"Cumberland"	"01/08/2018"	"W"	"4,104"
40230	"Cumberland"	"02/21/2018"	"W"	"4,566"
40230	"Cumberland"	"03/20/2018"	"W"	"4,448"
40230	"Cumberland"	"03/09/2018"	"W"	"4,256"
40230	"Cumberland"	"03/19/2018"	"W"	"4,356"
40230	"Cumberland"	"03/13/2018"	"W"	"4,553"
40230	"Cumberland"	"03/05/2018"	"W"	"4,188"
40230	"Cumberland"	"01/24/2018"	"W"	"4,515"
40230	"Cumberland"	"03/26/2018"	"W"	"4,184"
40230	"Cumberland"	"03/24/2018"	"A"	"1,639"
40230	"Cumberland"	"02/13/2018"	"W"	"4,475"
40230	"Cumberland"	"03/21/2018"	"W"	"4,514"
40230	"Cumberland"	"03/10/2018"	"A"	"1,589"
40230	"Cumberland"	"01/12/2018"	"W"	"3,896"
40230	"Cumberland"	"03/16/2018"	"W"	"4,484"
40230	"Cumberland"	"02/28/2018"	"W"	"4,534"
40230	"Cumberland"	"01/21/2018"	"U"	"988"
40230	"Cumberland"	"01/04/2018"	"W"	"3,666"
40230	"Cumberland"	"02/09/2018"	"W"	"2,403"
40230	"Cumberland"	"03/12/2018"	"W"	"4,368"
40230	"Cumberland"	"01/10/2018"	"W"	"4,289"
40230	"Cumberland"	"03/15/2018"	"W"	"4,711"
40230	"Cumberland"	"01/09/2018"	"W"	"4,244"
40230	"Cumberland"	"01/06/2018"	"A"	"1,111"
40230	"Cumberland"	"02/27/2018"	"W"	"4,601"
40230	"Cumberland"	"03/28/2018"	"W"	"4,387"
40230	"Cumberland"	"03/18/2018"	"U"	"1,212"
40230	"Cumberland"	"03/31/2018"	"A"	"1,353"
40230	"Cumberland"	"03/29/2018"	"W"	"4,323"
40230	"Cumberland"	"03/14/2018"	"W"	"4,615"
40230	"Cumberland"	"03/30/2018"	"W"	"3,430"
40230	"Cumberland"	"02/05/2018"	"W"	"4,224"
40230	"Cumberland"	"02/22/2018"	"W"	"4,588"
40230	"Cumberland"	"03/04/2018"	"U"	"1,165"
40230	"Cumberland"	"01/18/2018"	"W"	"4,492"
