"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40590	"Damen/Milwaukee"	"12/24/2017"	"U"	"1,552"
40590	"Damen/Milwaukee"	"12/28/2017"	"W"	"3,817"
40590	"Damen/Milwaukee"	"12/16/2017"	"A"	"4,584"
40590	"Damen/Milwaukee"	"12/27/2017"	"W"	"3,383"
40590	"Damen/Milwaukee"	"12/29/2017"	"W"	"4,174"
40590	"Damen/Milwaukee"	"12/19/2017"	"W"	"6,572"
40590	"Damen/Milwaukee"	"12/11/2017"	"W"	"6,167"
40590	"Damen/Milwaukee"	"12/08/2017"	"W"	"6,741"
40590	"Damen/Milwaukee"	"12/20/2017"	"W"	"6,312"
40590	"Damen/Milwaukee"	"12/21/2017"	"W"	"6,250"
40590	"Damen/Milwaukee"	"12/13/2017"	"W"	"6,089"
40590	"Damen/Milwaukee"	"12/23/2017"	"A"	"3,295"
40590	"Damen/Milwaukee"	"12/02/2017"	"A"	"4,952"
40590	"Damen/Milwaukee"	"12/01/2017"	"W"	"7,448"
40590	"Damen/Milwaukee"	"12/07/2017"	"W"	"6,441"
40590	"Damen/Milwaukee"	"12/06/2017"	"W"	"6,334"
40590	"Damen/Milwaukee"	"12/31/2017"	"U"	"2,255"
40590	"Damen/Milwaukee"	"12/03/2017"	"U"	"3,702"
40590	"Damen/Milwaukee"	"12/25/2017"	"U"	"614"
40590	"Damen/Milwaukee"	"12/15/2017"	"W"	"6,498"
40590	"Damen/Milwaukee"	"12/18/2017"	"W"	"6,245"
40590	"Damen/Milwaukee"	"12/04/2017"	"W"	"6,330"
40590	"Damen/Milwaukee"	"12/10/2017"	"U"	"3,152"
40590	"Damen/Milwaukee"	"12/22/2017"	"W"	"5,533"
40590	"Damen/Milwaukee"	"12/09/2017"	"A"	"4,225"
40590	"Damen/Milwaukee"	"12/05/2017"	"W"	"6,217"
40590	"Damen/Milwaukee"	"12/26/2017"	"W"	"2,256"
40590	"Damen/Milwaukee"	"12/12/2017"	"W"	"6,165"
40590	"Damen/Milwaukee"	"12/30/2017"	"A"	"2,687"
40590	"Damen/Milwaukee"	"12/14/2017"	"W"	"6,400"
40590	"Damen/Milwaukee"	"12/17/2017"	"U"	"3,166"
40590	"Damen/Milwaukee"	"03/09/2018"	"W"	"6,598"
40590	"Damen/Milwaukee"	"02/01/2018"	"W"	"6,024"
40590	"Damen/Milwaukee"	"01/14/2018"	"U"	"2,470"
40590	"Damen/Milwaukee"	"01/11/2018"	"W"	"6,094"
40590	"Damen/Milwaukee"	"03/06/2018"	"W"	"6,242"
40590	"Damen/Milwaukee"	"02/27/2018"	"W"	"6,297"
40590	"Damen/Milwaukee"	"03/28/2018"	"W"	"6,290"
40590	"Damen/Milwaukee"	"01/22/2018"	"W"	"5,929"
40590	"Damen/Milwaukee"	"01/21/2018"	"U"	"2,629"
40590	"Damen/Milwaukee"	"02/08/2018"	"W"	"6,060"
40590	"Damen/Milwaukee"	"01/30/2018"	"W"	"5,855"
