"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40090	"Damen-Brown"	"12/18/2017"	"W"	"2,813"
40090	"Damen-Brown"	"12/14/2017"	"W"	"3,005"
40090	"Damen-Brown"	"12/08/2017"	"W"	"2,941"
40090	"Damen-Brown"	"12/31/2017"	"U"	"888"
40090	"Damen-Brown"	"12/29/2017"	"W"	"1,570"
40090	"Damen-Brown"	"12/13/2017"	"W"	"3,039"
40090	"Damen-Brown"	"12/10/2017"	"U"	"1,071"
40090	"Damen-Brown"	"12/25/2017"	"U"	"253"
40090	"Damen-Brown"	"12/21/2017"	"W"	"2,818"
40090	"Damen-Brown"	"12/28/2017"	"W"	"1,562"
40090	"Damen-Brown"	"12/23/2017"	"A"	"1,013"
40090	"Damen-Brown"	"12/20/2017"	"W"	"2,924"
40090	"Damen-Brown"	"12/24/2017"	"U"	"557"
40090	"Damen-Brown"	"12/27/2017"	"W"	"1,361"
40090	"Damen-Brown"	"12/26/2017"	"W"	"997"
40090	"Damen-Brown"	"12/19/2017"	"W"	"2,949"
40090	"Damen-Brown"	"12/11/2017"	"W"	"2,843"
40090	"Damen-Brown"	"12/30/2017"	"A"	"926"
40090	"Damen-Brown"	"12/17/2017"	"U"	"991"
40090	"Damen-Brown"	"12/06/2017"	"W"	"3,128"
40090	"Damen-Brown"	"12/01/2017"	"W"	"3,157"
40090	"Damen-Brown"	"12/15/2017"	"W"	"3,025"
40090	"Damen-Brown"	"12/03/2017"	"U"	"1,115"
40090	"Damen-Brown"	"12/02/2017"	"A"	"1,895"
40090	"Damen-Brown"	"12/16/2017"	"A"	"1,566"
40090	"Damen-Brown"	"12/12/2017"	"W"	"3,069"
40090	"Damen-Brown"	"12/09/2017"	"A"	"1,616"
40090	"Damen-Brown"	"12/07/2017"	"W"	"2,987"
40090	"Damen-Brown"	"12/05/2017"	"W"	"3,039"
40090	"Damen-Brown"	"12/22/2017"	"W"	"2,241"
40090	"Damen-Brown"	"12/04/2017"	"W"	"2,935"
40090	"Damen-Brown"	"03/29/2018"	"W"	"2,900"
40090	"Damen-Brown"	"03/14/2018"	"W"	"2,991"
40090	"Damen-Brown"	"02/17/2018"	"A"	"1,466"
40090	"Damen-Brown"	"03/24/2018"	"A"	"1,394"
40090	"Damen-Brown"	"01/24/2018"	"W"	"3,052"
40090	"Damen-Brown"	"02/28/2018"	"W"	"3,042"
40090	"Damen-Brown"	"01/10/2018"	"W"	"2,984"
40090	"Damen-Brown"	"02/23/2018"	"W"	"2,828"
40090	"Damen-Brown"	"03/11/2018"	"U"	"949"
40090	"Damen-Brown"	"02/03/2018"	"A"	"1,304"
40090	"Damen-Brown"	"03/12/2018"	"W"	"2,785"
40090	"Damen-Brown"	"03/25/2018"	"U"	"1,020"
40090	"Damen-Brown"	"02/10/2018"	"A"	"1,506"
40090	"Damen-Brown"	"02/16/2018"	"W"	"2,812"
40090	"Damen-Brown"	"02/14/2018"	"W"	"3,106"
40090	"Damen-Brown"	"01/18/2018"	"W"	"2,952"
40090	"Damen-Brown"	"03/23/2018"	"W"	"2,825"
40090	"Damen-Brown"	"02/05/2018"	"W"	"2,791"
40090	"Damen-Brown"	"03/21/2018"	"W"	"2,991"
40090	"Damen-Brown"	"01/23/2018"	"W"	"3,056"
40090	"Damen-Brown"	"03/08/2018"	"W"	"2,931"
40090	"Damen-Brown"	"03/04/2018"	"U"	"953"
40090	"Damen-Brown"	"03/17/2018"	"A"	"2,088"
40090	"Damen-Brown"	"01/31/2018"	"W"	"3,053"
40090	"Damen-Brown"	"02/27/2018"	"W"	"3,025"
40090	"Damen-Brown"	"01/06/2018"	"A"	"1,021"
40090	"Damen-Brown"	"01/28/2018"	"U"	"907"
40090	"Damen-Brown"	"02/12/2018"	"W"	"2,853"
40090	"Damen-Brown"	"01/11/2018"	"W"	"2,873"
40090	"Damen-Brown"	"02/19/2018"	"W"	"1,940"
40090	"Damen-Brown"	"02/15/2018"	"W"	"3,118"
40090	"Damen-Brown"	"03/28/2018"	"W"	"2,978"
40090	"Damen-Brown"	"01/17/2018"	"W"	"2,969"
40090	"Damen-Brown"	"02/18/2018"	"U"	"1,060"
40090	"Damen-Brown"	"02/21/2018"	"W"	"2,901"
40090	"Damen-Brown"	"01/29/2018"	"W"	"2,891"
40090	"Damen-Brown"	"02/01/2018"	"W"	"2,908"
40090	"Damen-Brown"	"01/13/2018"	"A"	"1,155"
40090	"Damen-Brown"	"03/07/2018"	"W"	"2,990"
40090	"Damen-Brown"	"01/16/2018"	"W"	"2,906"
40090	"Damen-Brown"	"02/11/2018"	"U"	"995"
40090	"Damen-Brown"	"01/15/2018"	"W"	"1,654"
40090	"Damen-Brown"	"03/06/2018"	"W"	"2,975"
40090	"Damen-Brown"	"02/08/2018"	"W"	"2,946"
40090	"Damen-Brown"	"02/20/2018"	"W"	"2,780"
40090	"Damen-Brown"	"02/06/2018"	"W"	"2,925"
40090	"Damen-Brown"	"01/05/2018"	"W"	"2,273"
40090	"Damen-Brown"	"01/07/2018"	"U"	"756"
40090	"Damen-Brown"	"01/03/2018"	"W"	"2,335"
40090	"Damen-Brown"	"01/14/2018"	"U"	"911"
40090	"Damen-Brown"	"01/08/2018"	"W"	"2,875"
40090	"Damen-Brown"	"03/16/2018"	"W"	"2,856"
40090	"Damen-Brown"	"02/04/2018"	"U"	"822"
40090	"Damen-Brown"	"01/04/2018"	"W"	"2,350"
40090	"Damen-Brown"	"01/19/2018"	"W"	"2,928"
40090	"Damen-Brown"	"03/22/2018"	"W"	"3,025"
40090	"Damen-Brown"	"03/01/2018"	"W"	"2,964"
40090	"Damen-Brown"	"03/20/2018"	"W"	"2,888"
40090	"Damen-Brown"	"03/30/2018"	"W"	"2,335"
40090	"Damen-Brown"	"03/27/2018"	"W"	"3,085"
40090	"Damen-Brown"	"03/31/2018"	"A"	"1,193"
40090	"Damen-Brown"	"01/09/2018"	"W"	"2,998"
40090	"Damen-Brown"	"02/02/2018"	"W"	"2,611"
40090	"Damen-Brown"	"03/09/2018"	"W"	"2,817"
40090	"Damen-Brown"	"01/20/2018"	"A"	"1,877"
40090	"Damen-Brown"	"03/13/2018"	"W"	"2,948"
40090	"Damen-Brown"	"01/22/2018"	"W"	"2,824"
40090	"Damen-Brown"	"01/02/2018"	"W"	"2,035"
40090	"Damen-Brown"	"03/15/2018"	"W"	"2,992"
40090	"Damen-Brown"	"01/25/2018"	"W"	"2,988"
40090	"Damen-Brown"	"01/01/2018"	"U"	"434"
40090	"Damen-Brown"	"02/25/2018"	"U"	"970"
40090	"Damen-Brown"	"02/22/2018"	"W"	"2,876"
40090	"Damen-Brown"	"02/26/2018"	"W"	"2,924"
40090	"Damen-Brown"	"01/26/2018"	"W"	"2,897"
40090	"Damen-Brown"	"03/02/2018"	"W"	"2,963"
40090	"Damen-Brown"	"01/27/2018"	"A"	"1,398"
40090	"Damen-Brown"	"01/12/2018"	"W"	"2,900"
40090	"Damen-Brown"	"03/10/2018"	"A"	"1,542"
40090	"Damen-Brown"	"02/09/2018"	"W"	"1,998"
40090	"Damen-Brown"	"01/30/2018"	"W"	"2,990"
