ï..station_id	stationname	date	daytype	rides
40210	Damen-Cermak	12/15/2017	W	1,485
40210	Damen-Cermak	12/24/2017	U	415
40210	Damen-Cermak	12/21/2017	W	1,410
40210	Damen-Cermak	12/05/2017	W	1,661
40210	Damen-Cermak	12/23/2017	A	680
40210	Damen-Cermak	12/13/2017	W	1,546
40210	Damen-Cermak	12/10/2017	U	606
40210	Damen-Cermak	12/28/2017	W	943
40210	Damen-Cermak	12/20/2017	W	1,464
40210	Damen-Cermak	12/26/2017	W	691
40210	Damen-Cermak	12/16/2017	A	921
40210	Damen-Cermak	12/25/2017	U	207
40210	Damen-Cermak	12/03/2017	U	731
40210	Damen-Cermak	12/29/2017	W	991
40210	Damen-Cermak	12/14/2017	W	1,537
40210	Damen-Cermak	12/19/2017	W	1,501
40210	Damen-Cermak	12/27/2017	W	877
40210	Damen-Cermak	12/01/2017	W	1,659
40210	Damen-Cermak	12/09/2017	A	810
40210	Damen-Cermak	12/12/2017	W	1,534
40210	Damen-Cermak	12/22/2017	W	1,399
40210	Damen-Cermak	12/18/2017	W	1,444
40210	Damen-Cermak	12/17/2017	U	613
40210	Damen-Cermak	12/04/2017	W	1,578
40210	Damen-Cermak	12/31/2017	U	501
40210	Damen-Cermak	12/30/2017	A	587
40210	Damen-Cermak	12/08/2017	W	1,516
40210	Damen-Cermak	12/07/2017	W	1,573
40210	Damen-Cermak	12/02/2017	A	932
40210	Damen-Cermak	12/11/2017	W	1,444
40210	Damen-Cermak	12/06/2017	W	1,594
40210	Damen-Cermak	03/11/2018	U	523
40210	Damen-Cermak	01/11/2018	W	1,432
40210	Damen-Cermak	01/16/2018	W	1,482
40210	Damen-Cermak	01/05/2018	W	1,105
40210	Damen-Cermak	02/17/2018	A	787
40210	Damen-Cermak	03/10/2018	A	785
40210	Damen-Cermak	03/29/2018	W	1,382
40210	Damen-Cermak	03/09/2018	W	1,557
40210	Damen-Cermak	03/01/2018	W	1,495
40210	Damen-Cermak	01/06/2018	A	606
40210	Damen-Cermak	03/03/2018	A	827
40210	Damen-Cermak	02/22/2018	W	1,511
40210	Damen-Cermak	02/10/2018	A	734
40210	Damen-Cermak	01/01/2018	U	296
40210	Damen-Cermak	03/31/2018	A	743
40210	Damen-Cermak	03/30/2018	W	1,195
40210	Damen-Cermak	03/12/2018	W	1,521
40210	Damen-Cermak	02/16/2018	W	1,496
40210	Damen-Cermak	01/26/2018	W	1,515
40210	Damen-Cermak	03/16/2018	W	1,512
40210	Damen-Cermak	02/03/2018	A	649
40210	Damen-Cermak	03/21/2018	W	1,570
40210	Damen-Cermak	03/25/2018	U	580
