ï..station_id	stationname	date	daytype	rides
40140	Dempster-Skokie	12/19/2017	W	1,759
40140	Dempster-Skokie	12/10/2017	U	628
40140	Dempster-Skokie	12/06/2017	W	1,892
40140	Dempster-Skokie	12/09/2017	A	848
40140	Dempster-Skokie	12/18/2017	W	1,689
40140	Dempster-Skokie	12/29/2017	W	1,247
40140	Dempster-Skokie	12/23/2017	A	899
40140	Dempster-Skokie	12/24/2017	U	486
40140	Dempster-Skokie	12/31/2017	U	572
40140	Dempster-Skokie	12/20/2017	W	1,679
40140	Dempster-Skokie	12/12/2017	W	1,787
40140	Dempster-Skokie	12/17/2017	U	619
40140	Dempster-Skokie	12/05/2017	W	1,891
40140	Dempster-Skokie	12/21/2017	W	1,657
40140	Dempster-Skokie	12/15/2017	W	1,701
40140	Dempster-Skokie	12/14/2017	W	1,762
40140	Dempster-Skokie	12/07/2017	W	1,838
40140	Dempster-Skokie	12/08/2017	W	1,758
40140	Dempster-Skokie	12/01/2017	W	1,890
40140	Dempster-Skokie	12/16/2017	A	1,033
40140	Dempster-Skokie	12/04/2017	W	1,935
40140	Dempster-Skokie	12/25/2017	U	258
40140	Dempster-Skokie	12/11/2017	W	1,741
40140	Dempster-Skokie	12/27/2017	W	1,252
40140	Dempster-Skokie	12/26/2017	W	941
40140	Dempster-Skokie	12/30/2017	A	590
40140	Dempster-Skokie	12/13/2017	W	1,779
40140	Dempster-Skokie	12/22/2017	W	2,573
40140	Dempster-Skokie	12/03/2017	U	761
40140	Dempster-Skokie	12/28/2017	W	1,199
40140	Dempster-Skokie	12/02/2017	A	1,020
40140	Dempster-Skokie	02/14/2018	W	1,810
40140	Dempster-Skokie	03/05/2018	W	1,718
40140	Dempster-Skokie	01/26/2018	W	1,703
40140	Dempster-Skokie	03/14/2018	W	1,762
40140	Dempster-Skokie	03/23/2018	W	1,620
40140	Dempster-Skokie	01/16/2018	W	1,822
40140	Dempster-Skokie	03/17/2018	A	1,712
40140	Dempster-Skokie	01/31/2018	W	1,863
40140	Dempster-Skokie	02/28/2018	W	1,807
40140	Dempster-Skokie	02/23/2018	W	1,640
40140	Dempster-Skokie	02/10/2018	A	688
40140	Dempster-Skokie	02/11/2018	U	486
40140	Dempster-Skokie	02/18/2018	U	670
40140	Dempster-Skokie	03/15/2018	W	1,873
40140	Dempster-Skokie	01/19/2018	W	1,681
40140	Dempster-Skokie	01/30/2018	W	1,819
40140	Dempster-Skokie	02/17/2018	A	794
40140	Dempster-Skokie	01/06/2018	A	533
40140	Dempster-Skokie	03/13/2018	W	1,835
40140	Dempster-Skokie	03/19/2018	W	1,736
40140	Dempster-Skokie	03/22/2018	W	1,824
40140	Dempster-Skokie	03/04/2018	U	559
40140	Dempster-Skokie	01/08/2018	W	1,616
40140	Dempster-Skokie	01/13/2018	A	593
40140	Dempster-Skokie	03/12/2018	W	1,920
40140	Dempster-Skokie	03/11/2018	U	587
40140	Dempster-Skokie	03/03/2018	A	833
40140	Dempster-Skokie	02/15/2018	W	1,821
40140	Dempster-Skokie	02/05/2018	W	1,699
40140	Dempster-Skokie	01/05/2018	W	1,286
40140	Dempster-Skokie	01/15/2018	W	1,119
40140	Dempster-Skokie	02/04/2018	U	431
40140	Dempster-Skokie	02/01/2018	W	1,803
40140	Dempster-Skokie	01/12/2018	W	1,355
40140	Dempster-Skokie	01/02/2018	W	1,313
40140	Dempster-Skokie	02/07/2018	W	1,831
40140	Dempster-Skokie	02/08/2018	W	1,755
40140	Dempster-Skokie	02/03/2018	A	709
40140	Dempster-Skokie	03/29/2018	W	1,718
40140	Dempster-Skokie	02/02/2018	W	1,546
40140	Dempster-Skokie	01/29/2018	W	1,795
40140	Dempster-Skokie	01/11/2018	W	1,638
40140	Dempster-Skokie	02/24/2018	A	704
40140	Dempster-Skokie	01/04/2018	W	1,376
40140	Dempster-Skokie	03/02/2018	W	1,721
40140	Dempster-Skokie	03/06/2018	W	1,759
40140	Dempster-Skokie	03/31/2018	A	734
40140	Dempster-Skokie	03/20/2018	W	1,531
40140	Dempster-Skokie	01/25/2018	W	1,844
40140	Dempster-Skokie	01/17/2018	W	1,812
40140	Dempster-Skokie	03/26/2018	W	1,732
40140	Dempster-Skokie	01/14/2018	U	516
40140	Dempster-Skokie	02/22/2018	W	1,859
40140	Dempster-Skokie	02/13/2018	W	1,821
40140	Dempster-Skokie	01/21/2018	U	515
40140	Dempster-Skokie	02/19/2018	W	1,492
40140	Dempster-Skokie	03/01/2018	W	1,763
40140	Dempster-Skokie	02/27/2018	W	1,863
40140	Dempster-Skokie	03/25/2018	U	573
40140	Dempster-Skokie	02/09/2018	W	1,035
40140	Dempster-Skokie	03/27/2018	W	1,827
40140	Dempster-Skokie	01/18/2018	W	1,821
40140	Dempster-Skokie	01/24/2018	W	1,896
40140	Dempster-Skokie	02/16/2018	W	1,644
40140	Dempster-Skokie	01/09/2018	W	1,685
40140	Dempster-Skokie	01/20/2018	A	1,034
40140	Dempster-Skokie	02/21/2018	W	1,863
40140	Dempster-Skokie	02/12/2018	W	1,753
40140	Dempster-Skokie	02/25/2018	U	608
40140	Dempster-Skokie	01/28/2018	U	548
40140	Dempster-Skokie	03/08/2018	W	1,746
40140	Dempster-Skokie	01/22/2018	W	1,838
40140	Dempster-Skokie	02/26/2018	W	1,845
40140	Dempster-Skokie	03/18/2018	U	616
40140	Dempster-Skokie	03/30/2018	W	1,395
40140	Dempster-Skokie	01/01/2018	U	363
