"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
40530	"Diversey"	"12/10/2017"	"U"	"1,912"
40530	"Diversey"	"12/21/2017"	"W"	"5,020"
40530	"Diversey"	"12/15/2017"	"W"	"5,491"
40530	"Diversey"	"12/03/2017"	"U"	"2,067"
40530	"Diversey"	"12/27/2017"	"W"	"2,533"
40530	"Diversey"	"12/20/2017"	"W"	"5,334"
40530	"Diversey"	"12/11/2017"	"W"	"5,419"
40530	"Diversey"	"12/06/2017"	"W"	"5,741"
40530	"Diversey"	"12/16/2017"	"A"	"2,915"
40530	"Diversey"	"12/23/2017"	"A"	"1,657"
40530	"Diversey"	"12/01/2017"	"W"	"5,866"
40530	"Diversey"	"12/07/2017"	"W"	"5,712"
40530	"Diversey"	"12/31/2017"	"U"	"1,519"
40530	"Diversey"	"12/08/2017"	"W"	"5,601"
40530	"Diversey"	"12/17/2017"	"U"	"1,843"
40530	"Diversey"	"12/14/2017"	"W"	"5,685"
40530	"Diversey"	"12/05/2017"	"W"	"5,758"
40530	"Diversey"	"12/09/2017"	"A"	"2,846"
40530	"Diversey"	"12/02/2017"	"A"	"3,371"
40530	"Diversey"	"12/30/2017"	"A"	"1,686"
40530	"Diversey"	"12/12/2017"	"W"	"5,618"
40530	"Diversey"	"12/28/2017"	"W"	"3,018"
40530	"Diversey"	"12/25/2017"	"U"	"384"
40530	"Diversey"	"12/22/2017"	"W"	"3,793"
40530	"Diversey"	"12/24/2017"	"U"	"841"
40530	"Diversey"	"12/26/2017"	"W"	"1,559"
40530	"Diversey"	"12/04/2017"	"W"	"5,667"
40530	"Diversey"	"12/18/2017"	"W"	"5,267"
40530	"Diversey"	"12/13/2017"	"W"	"5,663"
40530	"Diversey"	"12/19/2017"	"W"	"5,585"
40530	"Diversey"	"12/29/2017"	"W"	"3,019"
40530	"Diversey"	"02/25/2018"	"U"	"1,816"
40530	"Diversey"	"01/25/2018"	"W"	"5,888"
40530	"Diversey"	"01/20/2018"	"A"	"3,006"
40530	"Diversey"	"01/21/2018"	"U"	"1,694"
40530	"Diversey"	"01/17/2018"	"W"	"5,667"
40530	"Diversey"	"03/21/2018"	"W"	"5,507"
40530	"Diversey"	"01/26/2018"	"W"	"5,704"
40530	"Diversey"	"01/03/2018"	"W"	"5,149"
40530	"Diversey"	"02/03/2018"	"A"	"2,451"
40530	"Diversey"	"03/06/2018"	"W"	"5,726"
40530	"Diversey"	"03/05/2018"	"W"	"5,393"
40530	"Diversey"	"03/19/2018"	"W"	"5,512"
40530	"Diversey"	"01/31/2018"	"W"	"5,772"
40530	"Diversey"	"03/12/2018"	"W"	"5,601"
40530	"Diversey"	"01/27/2018"	"A"	"2,929"
40530	"Diversey"	"02/04/2018"	"U"	"1,653"
40530	"Diversey"	"01/18/2018"	"W"	"5,738"
40530	"Diversey"	"02/23/2018"	"W"	"5,605"
40530	"Diversey"	"02/17/2018"	"A"	"2,812"
40530	"Diversey"	"01/05/2018"	"W"	"4,936"
40530	"Diversey"	"01/13/2018"	"A"	"2,408"
40530	"Diversey"	"03/03/2018"	"A"	"2,804"
40530	"Diversey"	"01/29/2018"	"W"	"5,465"
40530	"Diversey"	"01/09/2018"	"W"	"5,741"
40530	"Diversey"	"03/15/2018"	"W"	"5,894"
40530	"Diversey"	"02/09/2018"	"W"	"4,030"
40530	"Diversey"	"03/25/2018"	"U"	"1,880"
40530	"Diversey"	"02/19/2018"	"W"	"3,989"
40530	"Diversey"	"01/28/2018"	"U"	"1,815"
40530	"Diversey"	"02/07/2018"	"W"	"5,641"
40530	"Diversey"	"03/28/2018"	"W"	"5,686"
40530	"Diversey"	"02/18/2018"	"U"	"1,945"
40530	"Diversey"	"03/22/2018"	"W"	"5,594"
40530	"Diversey"	"01/11/2018"	"W"	"5,685"
40530	"Diversey"	"03/16/2018"	"W"	"5,766"
40530	"Diversey"	"02/06/2018"	"W"	"5,675"
40530	"Diversey"	"01/02/2018"	"W"	"4,266"
40530	"Diversey"	"02/26/2018"	"W"	"5,588"
40530	"Diversey"	"01/19/2018"	"W"	"5,699"
40530	"Diversey"	"03/27/2018"	"W"	"5,614"
40530	"Diversey"	"03/24/2018"	"A"	"2,441"
40530	"Diversey"	"02/27/2018"	"W"	"5,844"
40530	"Diversey"	"03/08/2018"	"W"	"5,691"
40530	"Diversey"	"02/28/2018"	"W"	"5,792"
40530	"Diversey"	"01/22/2018"	"W"	"5,465"
40530	"Diversey"	"02/02/2018"	"W"	"5,287"
40530	"Diversey"	"01/14/2018"	"U"	"1,576"
40530	"Diversey"	"02/20/2018"	"W"	"5,550"
40530	"Diversey"	"02/14/2018"	"W"	"5,777"
40530	"Diversey"	"01/06/2018"	"A"	"2,090"
40530	"Diversey"	"01/23/2018"	"W"	"5,879"
40530	"Diversey"	"03/26/2018"	"W"	"5,354"
40530	"Diversey"	"02/11/2018"	"U"	"1,884"
40530	"Diversey"	"03/17/2018"	"A"	"4,876"
40530	"Diversey"	"03/02/2018"	"W"	"5,707"
40530	"Diversey"	"01/16/2018"	"W"	"5,688"
40530	"Diversey"	"02/01/2018"	"W"	"5,508"
40530	"Diversey"	"03/30/2018"	"W"	"4,679"
40530	"Diversey"	"02/22/2018"	"W"	"5,783"
40530	"Diversey"	"03/04/2018"	"U"	"1,838"
40530	"Diversey"	"02/10/2018"	"A"	"2,805"
40530	"Diversey"	"01/24/2018"	"W"	"5,832"
40530	"Diversey"	"02/15/2018"	"W"	"5,572"
40530	"Diversey"	"03/14/2018"	"W"	"5,895"
40530	"Diversey"	"01/07/2018"	"U"	"1,560"
40530	"Diversey"	"01/10/2018"	"W"	"5,695"
40530	"Diversey"	"02/13/2018"	"W"	"5,751"
40530	"Diversey"	"01/04/2018"	"W"	"5,072"
40530	"Diversey"	"01/01/2018"	"U"	"1,068"
40530	"Diversey"	"03/10/2018"	"A"	"3,072"
40530	"Diversey"	"03/13/2018"	"W"	"5,762"
40530	"Diversey"	"03/20/2018"	"W"	"5,558"
40530	"Diversey"	"03/29/2018"	"W"	"5,572"
40530	"Diversey"	"01/30/2018"	"W"	"5,818"
40530	"Diversey"	"01/12/2018"	"W"	"5,253"
40530	"Diversey"	"02/05/2018"	"W"	"5,182"
40530	"Diversey"	"02/21/2018"	"W"	"5,806"
40530	"Diversey"	"03/01/2018"	"W"	"5,727"
40530	"Diversey"	"02/08/2018"	"W"	"5,542"
40530	"Diversey"	"02/16/2018"	"W"	"5,431"
40530	"Diversey"	"02/24/2018"	"A"	"2,728"
40530	"Diversey"	"03/23/2018"	"W"	"5,320"
40530	"Diversey"	"01/08/2018"	"W"	"5,551"
40530	"Diversey"	"03/09/2018"	"W"	"5,594"
40530	"Diversey"	"03/07/2018"	"W"	"5,755"
40530	"Diversey"	"03/31/2018"	"A"	"2,232"
40530	"Diversey"	"02/12/2018"	"W"	"5,493"
40530	"Diversey"	"01/15/2018"	"W"	"3,477"
40530	"Diversey"	"03/11/2018"	"U"	"1,777"
40530	"Diversey"	"03/18/2018"	"U"	"2,104"
40530	"Diversey"	"06/01/2018"	"W"	"6,219"
40530	"Diversey"	"05/03/2018"	"W"	"5,876"
