"ï..station_id","stationname","date","daytype","rides"
40320,"Division/Milwaukee","12/05/2017","W","6,278"
40320,"Division/Milwaukee","12/21/2017","W","5,992"
40320,"Division/Milwaukee","12/06/2017","W","6,329"
40320,"Division/Milwaukee","12/03/2017","U","2,550"
40320,"Division/Milwaukee","12/10/2017","U","2,300"
40320,"Division/Milwaukee","12/17/2017","U","2,284"
40320,"Division/Milwaukee","12/24/2017","U","1,394"
40320,"Division/Milwaukee","12/27/2017","W","3,082"
40320,"Division/Milwaukee","12/09/2017","A","3,260"
40320,"Division/Milwaukee","12/01/2017","W","6,968"
40320,"Division/Milwaukee","12/25/2017","U","704"
40320,"Division/Milwaukee","12/13/2017","W","6,263"
40320,"Division/Milwaukee","12/07/2017","W","6,505"
40320,"Division/Milwaukee","12/12/2017","W","6,238"
40320,"Division/Milwaukee","12/14/2017","W","6,373"
40320,"Division/Milwaukee","12/18/2017","W","6,090"
40320,"Division/Milwaukee","12/19/2017","W","6,260"
40320,"Division/Milwaukee","12/04/2017","W","6,340"
40320,"Division/Milwaukee","12/30/2017","A","1,980"
40320,"Division/Milwaukee","12/16/2017","A","3,227"
40320,"Division/Milwaukee","12/26/2017","W","2,152"
40320,"Division/Milwaukee","12/15/2017","W","6,110"
40320,"Division/Milwaukee","12/22/2017","W","5,037"
40320,"Division/Milwaukee","12/29/2017","W","3,466"
40320,"Division/Milwaukee","12/11/2017","W","6,112"
40320,"Division/Milwaukee","12/23/2017","A","2,362"
40320,"Division/Milwaukee","12/02/2017","A","3,519"
40320,"Division/Milwaukee","12/08/2017","W","6,368"
40320,"Division/Milwaukee","12/31/2017","U","1,653"
40320,"Division/Milwaukee","12/20/2017","W","6,255"
40320,"Division/Milwaukee","12/28/2017","W","3,555"
40320,"Division/Milwaukee","02/09/2018","W","4,237"
40320,"Division/Milwaukee","03/02/2018","W","6,166"
40320,"Division/Milwaukee","03/18/2018","U","2,605"
40320,"Division/Milwaukee","02/28/2018","W","6,376"
40320,"Division/Milwaukee","01/24/2018","W","6,205"
40320,"Division/Milwaukee","03/15/2018","W","6,539"
40320,"Division/Milwaukee","01/01/2018","U","1,725"
40320,"Division/Milwaukee","02/13/2018","W","6,525"
40320,"Division/Milwaukee","01/07/2018","U","1,609"
40320,"Division/Milwaukee","01/22/2018","W","6,104"
40320,"Division/Milwaukee","01/31/2018","W","6,264"
40320,"Division/Milwaukee","01/29/2018","W","6,055"
40320,"Division/Milwaukee","01/26/2018","W","6,216"
40320,"Division/Milwaukee","01/09/2018","W","5,987"
40320,"Division/Milwaukee","02/25/2018","U","2,170"
40320,"Division/Milwaukee","01/13/2018","A","2,466"
40320,"Division/Milwaukee","03/26/2018","W","5,700"
40320,"Division/Milwaukee","02/07/2018","W","6,323"
40320,"Division/Milwaukee","03/06/2018","W","6,265"
40320,"Division/Milwaukee","03/09/2018","W","6,353"
40320,"Division/Milwaukee","02/27/2018","W","6,385"
40320,"Division/Milwaukee","01/21/2018","U","1,939"
40320,"Division/Milwaukee","01/19/2018","W","6,301"
40320,"Division/Milwaukee","01/02/2018","W","4,195"
40320,"Division/Milwaukee","03/16/2018","W","6,358"
40320,"Division/Milwaukee","03/12/2018","W","6,056"
40320,"Division/Milwaukee","03/24/2018","A","2,987"
40320,"Division/Milwaukee","02/16/2018","W","6,460"
40320,"Division/Milwaukee","01/04/2018","W","5,006"
40320,"Division/Milwaukee","02/19/2018","W","4,178"
40320,"Division/Milwaukee","03/05/2018","W","6,116"
40320,"Division/Milwaukee","03/30/2018","W","5,180"
40320,"Division/Milwaukee","03/08/2018","W","6,578"
40320,"Division/Milwaukee","01/23/2018","W","6,356"
40320,"Division/Milwaukee","01/08/2018","W","5,804"
40320,"Division/Milwaukee","03/11/2018","U","2,143"
40320,"Division/Milwaukee","03/10/2018","A","3,044"
40320,"Division/Milwaukee","01/11/2018","W","5,947"
40320,"Division/Milwaukee","03/14/2018","W","6,442"
40320,"Division/Milwaukee","02/15/2018","W","6,471"
40320,"Division/Milwaukee","01/30/2018","W","6,201"
40320,"Division/Milwaukee","03/22/2018","W","6,183"
40320,"Division/Milwaukee","02/08/2018","W","6,258"
40320,"Division/Milwaukee","03/20/2018","W","6,443"
40320,"Division/Milwaukee","01/14/2018","U","1,905"
40320,"Division/Milwaukee","01/12/2018","W","5,938"
40320,"Division/Milwaukee","03/13/2018","W","6,367"
40320,"Division/Milwaukee","02/01/2018","W","6,173"
40320,"Division/Milwaukee","03/31/2018","A","2,662"
40320,"Division/Milwaukee","01/20/2018","A","3,504"
40320,"Division/Milwaukee","02/06/2018","W","6,198"
40320,"Division/Milwaukee","02/12/2018","W","6,168"
40320,"Division/Milwaukee","03/21/2018","W","6,168"
40320,"Division/Milwaukee","02/18/2018","U","2,280"
40320,"Division/Milwaukee","02/03/2018","A","2,580"
40320,"Division/Milwaukee","02/26/2018","W","6,148"
40320,"Division/Milwaukee","01/25/2018","W","6,283"
40320,"Division/Milwaukee","02/17/2018","A","2,925"
40320,"Division/Milwaukee","03/17/2018","A","4,749"
40320,"Division/Milwaukee","02/20/2018","W","6,118"
40320,"Division/Milwaukee","01/16/2018","W","6,195"
40320,"Division/Milwaukee","01/05/2018","W","4,841"
40320,"Division/Milwaukee","03/27/2018","W","5,859"
40320,"Division/Milwaukee","02/11/2018","U","2,186"
40320,"Division/Milwaukee","02/24/2018","A","2,925"
40320,"Division/Milwaukee","01/17/2018","W","6,121"
40320,"Division/Milwaukee","03/19/2018","W","6,283"
40320,"Division/Milwaukee","01/03/2018","W","4,877"
40320,"Division/Milwaukee","02/10/2018","A","2,799"
40320,"Division/Milwaukee","03/04/2018","U","2,183"
40320,"Division/Milwaukee","02/21/2018","W","6,277"
40320,"Division/Milwaukee","01/28/2018","U","1,931"
40320,"Division/Milwaukee","03/03/2018","A","3,203"
40320,"Division/Milwaukee","02/22/2018","W","6,355"
40320,"Division/Milwaukee","03/25/2018","U","2,330"
40320,"Division/Milwaukee","02/02/2018","W","5,861"
40320,"Division/Milwaukee","03/29/2018","W","5,762"
40320,"Division/Milwaukee","02/04/2018","U","1,834"
40320,"Division/Milwaukee","01/27/2018","A","2,942"
40320,"Division/Milwaukee","02/05/2018","W","5,893"
40320,"Division/Milwaukee","03/01/2018","W","6,157"
40320,"Division/Milwaukee","02/23/2018","W","6,314"
40320,"Division/Milwaukee","01/18/2018","W","6,238"
40320,"Division/Milwaukee","01/10/2018","W","6,054"
40320,"Division/Milwaukee","01/06/2018","A","2,197"
40320,"Division/Milwaukee","01/15/2018","W","3,561"
40320,"Division/Milwaukee","03/28/2018","W","5,894"
40320,"Division/Milwaukee","03/23/2018","W","6,146"
40320,"Division/Milwaukee","02/14/2018","W","6,462"
40320,"Division/Milwaukee","03/07/2018","W","6,285"
40320,"Division/Milwaukee","04/20/2018","W","6,558"
40320,"Division/Milwaukee","06/29/2018","W","6,095"
40320,"Division/Milwaukee","05/21/2018","W","5,900"
40320,"Division/Milwaukee","06/15/2018","W","6,280"
40320,"Division/Milwaukee","05/08/2018","W","6,591"
40320,"Division/Milwaukee","05/25/2018","W","6,050"
40320,"Division/Milwaukee","05/29/2018","W","6,084"
40320,"Division/Milwaukee","05/26/2018","A","3,071"
40320,"Division/Milwaukee","04/21/2018","A","3,027"
40320,"Division/Milwaukee","06/06/2018","W","6,547"
40320,"Division/Milwaukee","06/30/2018","A","3,142"
40320,"Division/Milwaukee","04/26/2018","W","6,430"
40320,"Division/Milwaukee","06/05/2018","W","6,502"
40320,"Division/Milwaukee","05/05/2018","A","2,996"
40320,"Division/Milwaukee","04/11/2018","W","6,404"
40320,"Division/Milwaukee","05/30/2018","W","6,179"
40320,"Division/Milwaukee","05/01/2018","W","6,496"
40320,"Division/Milwaukee","04/04/2018","W","6,290"
40320,"Division/Milwaukee","06/04/2018","W","6,223"
40320,"Division/Milwaukee","04/07/2018","A","3,115"
40320,"Division/Milwaukee","05/15/2018","W","6,446"
40320,"Division/Milwaukee","04/15/2018","U","1,955"
40320,"Division/Milwaukee","05/07/2018","W","6,233"
40320,"Division/Milwaukee","04/19/2018","W","6,662"
40320,"Division/Milwaukee","06/24/2018","U","2,711"
40320,"Division/Milwaukee","06/20/2018","W","6,254"
