"ï..station_id","stationname","date","daytype","rides"
40390,"Forest Park","12/13/2017","W","3,412"
40390,"Forest Park","12/21/2017","W","3,182"
40390,"Forest Park","12/14/2017","W","3,427"
40390,"Forest Park","12/05/2017","W","3,564"
40390,"Forest Park","12/23/2017","A","1,417"
40390,"Forest Park","12/15/2017","W","3,188"
40390,"Forest Park","12/16/2017","A","1,565"
40390,"Forest Park","12/09/2017","A","1,835"
40390,"Forest Park","12/11/2017","W","3,253"
40390,"Forest Park","12/10/2017","U","1,122"
40390,"Forest Park","12/12/2017","W","3,310"
40390,"Forest Park","12/28/2017","W","2,180"
40390,"Forest Park","12/29/2017","W","2,302"
40390,"Forest Park","12/24/2017","U","997"
40390,"Forest Park","12/25/2017","U","632"
40390,"Forest Park","12/02/2017","A","1,620"
40390,"Forest Park","12/07/2017","W","3,504"
40390,"Forest Park","12/20/2017","W","3,201"
40390,"Forest Park","12/18/2017","W","3,103"
40390,"Forest Park","12/30/2017","A","1,073"
40390,"Forest Park","12/22/2017","W","2,766"
40390,"Forest Park","12/08/2017","W","3,418"
40390,"Forest Park","12/19/2017","W","3,252"
40390,"Forest Park","12/27/2017","W","2,101"
40390,"Forest Park","12/26/2017","W","1,800"
40390,"Forest Park","12/03/2017","U","1,312"
40390,"Forest Park","12/01/2017","W","3,662"
40390,"Forest Park","12/31/2017","U","1,075"
40390,"Forest Park","12/04/2017","W","3,578"
40390,"Forest Park","12/06/2017","W","3,533"
40390,"Forest Park","12/17/2017","U","1,237"
40390,"Forest Park","03/01/2018","W","3,353"
40390,"Forest Park","03/10/2018","A","1,400"
40390,"Forest Park","01/10/2018","W","3,163"
40390,"Forest Park","03/08/2018","W","3,307"
40390,"Forest Park","03/31/2018","A","1,420"
40390,"Forest Park","03/20/2018","W","3,340"
40390,"Forest Park","03/18/2018","U","1,099"
40390,"Forest Park","03/16/2018","W","3,237"
40390,"Forest Park","01/31/2018","W","3,345"
40390,"Forest Park","03/26/2018","W","2,983"
40390,"Forest Park","01/05/2018","W","2,523"
40390,"Forest Park","01/02/2018","W","2,275"
40390,"Forest Park","03/28/2018","W","3,202"
40390,"Forest Park","03/07/2018","W","3,373"
40390,"Forest Park","02/03/2018","A","1,172"
40390,"Forest Park","02/12/2018","W","2,946"
40390,"Forest Park","01/14/2018","U","1,059"
40390,"Forest Park","01/26/2018","W","3,235"
40390,"Forest Park","03/29/2018","W","3,188"
40390,"Forest Park","03/19/2018","W","3,255"
40390,"Forest Park","01/12/2018","W","2,929"
40390,"Forest Park","03/13/2018","W","3,396"
40390,"Forest Park","02/16/2018","W","3,156"
40390,"Forest Park","01/11/2018","W","3,278"
40390,"Forest Park","01/18/2018","W","3,281"
40390,"Forest Park","02/20/2018","W","3,384"
40390,"Forest Park","01/30/2018","W","3,333"
40390,"Forest Park","03/12/2018","W","3,245"
40390,"Forest Park","01/29/2018","W","3,238"
40390,"Forest Park","02/04/2018","U","959"
40390,"Forest Park","02/18/2018","U","1,060"
40390,"Forest Park","03/06/2018","W","3,316"
40390,"Forest Park","01/08/2018","W","2,987"
40390,"Forest Park","02/08/2018","W","3,245"
40390,"Forest Park","02/01/2018","W","3,282"
40390,"Forest Park","01/09/2018","W","3,126"
40390,"Forest Park","02/10/2018","A","1,141"
40390,"Forest Park","01/28/2018","U","1,077"
40390,"Forest Park","03/22/2018","W","3,428"
40390,"Forest Park","01/19/2018","W","3,239"
40390,"Forest Park","01/03/2018","W","2,625"
40390,"Forest Park","01/16/2018","W","3,186"
40390,"Forest Park","02/17/2018","A","1,290"
40390,"Forest Park","02/11/2018","U","904"
40390,"Forest Park","01/07/2018","U","830"
40390,"Forest Park","01/04/2018","W","2,660"
40390,"Forest Park","02/26/2018","W","3,265"
40390,"Forest Park","03/05/2018","W","3,011"
40390,"Forest Park","02/09/2018","W","1,935"
40390,"Forest Park","02/14/2018","W","3,478"
40390,"Forest Park","02/21/2018","W","3,491"
40390,"Forest Park","02/25/2018","U","1,064"
40390,"Forest Park","03/14/2018","W","3,399"
40390,"Forest Park","01/15/2018","W","1,649"
40390,"Forest Park","01/27/2018","A","1,218"
40390,"Forest Park","02/07/2018","W","3,299"
40390,"Forest Park","03/24/2018","A","1,295"
40390,"Forest Park","02/28/2018","W","3,426"
40390,"Forest Park","03/30/2018","W","2,725"
40390,"Forest Park","03/03/2018","A","1,440"
40390,"Forest Park","03/27/2018","W","3,097"
40390,"Forest Park","03/23/2018","W","3,246"
40390,"Forest Park","01/20/2018","A","1,716"
40390,"Forest Park","03/09/2018","W","3,203"
40390,"Forest Park","01/21/2018","U","1,030"
40390,"Forest Park","03/02/2018","W","3,292"
40390,"Forest Park","01/23/2018","W","3,309"
40390,"Forest Park","03/04/2018","U","1,135"
40390,"Forest Park","01/13/2018","A","1,134"
40390,"Forest Park","03/17/2018","A","1,987"
40390,"Forest Park","03/15/2018","W","3,467"
40390,"Forest Park","02/24/2018","A","1,306"
40390,"Forest Park","02/13/2018","W","3,368"
40390,"Forest Park","03/25/2018","U","1,105"
40390,"Forest Park","02/27/2018","W","3,412"
40390,"Forest Park","03/21/2018","W","3,359"
40390,"Forest Park","01/17/2018","W","3,243"
40390,"Forest Park","02/22/2018","W","3,417"
40390,"Forest Park","01/06/2018","A","1,067"
40390,"Forest Park","02/02/2018","W","2,870"
40390,"Forest Park","01/25/2018","W","3,384"
40390,"Forest Park","02/23/2018","W","3,231"
40390,"Forest Park","02/06/2018","W","3,171"
40390,"Forest Park","01/24/2018","W","3,310"
40390,"Forest Park","02/19/2018","W","2,324"
40390,"Forest Park","02/15/2018","W","3,319"
40390,"Forest Park","01/22/2018","W","3,243"
40390,"Forest Park","01/01/2018","U","696"
40390,"Forest Park","02/05/2018","W","2,970"
40390,"Forest Park","03/11/2018","U","1,102"
40390,"Forest Park","06/03/2018","U","1,353"
40390,"Forest Park","04/18/2018","W","3,380"
40390,"Forest Park","04/16/2018","W","3,170"
40390,"Forest Park","06/22/2018","W","3,248"
40390,"Forest Park","05/03/2018","W","3,373"
40390,"Forest Park","06/29/2018","W","3,467"
40390,"Forest Park","04/10/2018","W","3,408"
40390,"Forest Park","06/30/2018","A","1,727"
40390,"Forest Park","04/04/2018","W","3,327"
40390,"Forest Park","06/27/2018","W","3,629"
40390,"Forest Park","04/05/2018","W","3,320"
40390,"Forest Park","05/14/2018","W","3,146"
40390,"Forest Park","05/09/2018","W","3,494"
40390,"Forest Park","06/15/2018","W","3,309"
40390,"Forest Park","05/16/2018","W","3,411"
40390,"Forest Park","06/19/2018","W","3,438"
40390,"Forest Park","06/14/2018","W","3,425"
40390,"Forest Park","04/19/2018","W","3,442"
40390,"Forest Park","04/12/2018","W","3,588"
40390,"Forest Park","06/16/2018","A","1,678"
40390,"Forest Park","06/20/2018","W","3,619"
40390,"Forest Park","04/14/2018","A","1,376"
40390,"Forest Park","06/04/2018","W","3,370"
40390,"Forest Park","05/23/2018","W","3,597"
40390,"Forest Park","05/28/2018","U","1,598"
40390,"Forest Park","04/09/2018","W","3,273"
40390,"Forest Park","04/15/2018","U","938"
40390,"Forest Park","04/23/2018","W","3,338"
40390,"Forest Park","04/24/2018","W","3,508"
40390,"Forest Park","06/23/2018","A","1,748"
40390,"Forest Park","05/29/2018","W","3,175"
40390,"Forest Park","06/13/2018","W","3,515"
40390,"Forest Park","06/21/2018","W","3,184"
40390,"Forest Park","05/17/2018","W","3,449"
40390,"Forest Park","06/06/2018","W","3,577"
40390,"Forest Park","06/05/2018","W","3,490"
40390,"Forest Park","04/13/2018","W","3,307"
40390,"Forest Park","05/26/2018","A","1,729"
40390,"Forest Park","04/01/2018","U","1,065"
40390,"Forest Park","05/24/2018","W","3,591"
40390,"Forest Park","04/27/2018","W","3,291"
40390,"Forest Park","05/30/2018","W","3,223"
40390,"Forest Park","05/05/2018","A","1,636"
40390,"Forest Park","06/11/2018","W","3,322"
40390,"Forest Park","04/25/2018","W","3,522"
40390,"Forest Park","05/13/2018","U","1,244"
40390,"Forest Park","05/01/2018","W","3,532"
40390,"Forest Park","05/06/2018","U","1,186"
40390,"Forest Park","06/09/2018","A","1,935"
40390,"Forest Park","04/29/2018","U","1,302"
40390,"Forest Park","04/22/2018","U","1,224"
40390,"Forest Park","05/18/2018","W","3,141"
40390,"Forest Park","06/07/2018","W","3,697"
40390,"Forest Park","04/20/2018","W","3,292"
40390,"Forest Park","04/06/2018","W","3,210"
40390,"Forest Park","04/02/2018","W","3,057"
40390,"Forest Park","06/24/2018","U","2,199"
40390,"Forest Park","04/07/2018","A","1,434"
40390,"Forest Park","05/27/2018","U","1,423"
40390,"Forest Park","04/21/2018","A","1,527"
40390,"Forest Park","04/28/2018","A","1,487"
40390,"Forest Park","05/21/2018","W","2,960"
40390,"Forest Park","05/31/2018","W","3,422"
40390,"Forest Park","05/07/2018","W","3,342"
40390,"Forest Park","05/15/2018","W","3,456"
40390,"Forest Park","06/08/2018","W","3,626"
40390,"Forest Park","05/22/2018","W","3,499"
40390,"Forest Park","05/25/2018","W","3,246"
40390,"Forest Park","05/11/2018","W","3,329"
40390,"Forest Park","05/10/2018","W","3,472"
40390,"Forest Park","05/12/2018","A","1,499"
40390,"Forest Park","04/08/2018","U","1,141"
40390,"Forest Park","04/17/2018","W","3,353"
40390,"Forest Park","04/26/2018","W","3,579"
40390,"Forest Park","05/02/2018","W","3,440"
40390,"Forest Park","06/10/2018","U","1,440"
40390,"Forest Park","06/01/2018","W","3,468"
40390,"Forest Park","06/17/2018","U","1,358"
40390,"Forest Park","04/30/2018","W","3,338"
40390,"Forest Park","05/08/2018","W","3,488"
40390,"Forest Park","06/25/2018","W","3,354"
40390,"Forest Park","04/11/2018","W","3,579"
