"ï..station_id","stationname","date","daytype","rides"
40870,"Francisco","12/19/2017","W","1,643"
40870,"Francisco","12/15/2017","W","1,655"
40870,"Francisco","12/07/2017","W","1,674"
40870,"Francisco","12/04/2017","W","1,677"
40870,"Francisco","12/09/2017","A","825"
40870,"Francisco","12/02/2017","A","1,051"
40870,"Francisco","12/17/2017","U","669"
40870,"Francisco","12/13/2017","W","1,698"
40870,"Francisco","12/12/2017","W","1,696"
40870,"Francisco","12/14/2017","W","1,687"
40870,"Francisco","12/31/2017","U","539"
40870,"Francisco","12/03/2017","U","661"
40870,"Francisco","12/29/2017","W","1,003"
40870,"Francisco","12/21/2017","W","1,585"
40870,"Francisco","12/01/2017","W","1,839"
40870,"Francisco","12/26/2017","W","699"
40870,"Francisco","12/11/2017","W","1,647"
40870,"Francisco","12/30/2017","A","572"
40870,"Francisco","12/24/2017","U","414"
40870,"Francisco","12/16/2017","A","942"
40870,"Francisco","12/08/2017","W","1,660"
40870,"Francisco","12/20/2017","W","1,628"
40870,"Francisco","12/06/2017","W","1,706"
40870,"Francisco","12/18/2017","W","1,598"
40870,"Francisco","12/23/2017","A","682"
40870,"Francisco","12/10/2017","U","594"
40870,"Francisco","12/22/2017","W","1,346"
40870,"Francisco","12/27/2017","W","972"
40870,"Francisco","12/05/2017","W","1,696"
40870,"Francisco","12/28/2017","W","1,025"
40870,"Francisco","12/25/2017","U","179"
40870,"Francisco","03/25/2018","U","588"
40870,"Francisco","03/21/2018","W","1,608"
40870,"Francisco","03/26/2018","W","1,521"
40870,"Francisco","02/19/2018","W","1,099"
40870,"Francisco","02/20/2018","W","1,585"
40870,"Francisco","01/10/2018","W","1,661"
40870,"Francisco","03/31/2018","A","727"
40870,"Francisco","02/16/2018","W","1,658"
40870,"Francisco","01/25/2018","W","1,629"
40870,"Francisco","03/02/2018","W","1,616"
40870,"Francisco","03/03/2018","A","830"
40870,"Francisco","01/19/2018","W","1,569"
40870,"Francisco","03/05/2018","W","1,535"
40870,"Francisco","01/01/2018","U","259"
40870,"Francisco","02/12/2018","W","1,579"
40870,"Francisco","01/11/2018","W","1,667"
40870,"Francisco","03/14/2018","W","1,705"
40870,"Francisco","01/18/2018","W","1,641"
40870,"Francisco","03/10/2018","A","777"
40870,"Francisco","02/21/2018","W","1,724"
40870,"Francisco","03/19/2018","W","1,547"
40870,"Francisco","01/31/2018","W","1,660"
40870,"Francisco","03/07/2018","W","1,727"
40870,"Francisco","01/27/2018","A","768"
40870,"Francisco","02/25/2018","U","572"
40870,"Francisco","03/12/2018","W","1,536"
40870,"Francisco","01/20/2018","A","1,181"
40870,"Francisco","03/27/2018","W","1,536"
40870,"Francisco","01/04/2018","W","1,396"
40870,"Francisco","03/30/2018","W","1,310"
40870,"Francisco","03/01/2018","W","1,642"
40870,"Francisco","03/22/2018","W","1,649"
40870,"Francisco","02/09/2018","W","1,223"
40870,"Francisco","01/17/2018","W","1,646"
40870,"Francisco","03/13/2018","W","1,595"
40870,"Francisco","02/28/2018","W","1,676"
40870,"Francisco","03/09/2018","W","1,576"
40870,"Francisco","02/18/2018","U","635"
40870,"Francisco","02/27/2018","W","1,688"
40870,"Francisco","01/24/2018","W","1,684"
40870,"Francisco","01/07/2018","U","461"
40870,"Francisco","01/23/2018","W","1,625"
40870,"Francisco","01/16/2018","W","1,643"
40870,"Francisco","01/15/2018","W","956"
40870,"Francisco","01/05/2018","W","1,346"
40870,"Francisco","01/26/2018","W","1,623"
40870,"Francisco","03/23/2018","W","1,598"
40870,"Francisco","02/01/2018","W","1,626"
40870,"Francisco","03/20/2018","W","1,580"
40870,"Francisco","02/11/2018","U","538"
40870,"Francisco","03/28/2018","W","1,611"
40870,"Francisco","03/11/2018","U","567"
40870,"Francisco","03/06/2018","W","1,705"
40870,"Francisco","02/14/2018","W","1,698"
40870,"Francisco","02/02/2018","W","1,231"
40870,"Francisco","02/26/2018","W","1,610"
40870,"Francisco","02/17/2018","A","847"
40870,"Francisco","01/06/2018","A","612"
40870,"Francisco","09/21/2006","W","0"
40870,"Francisco","03/29/2018","W","1,545"
40870,"Francisco","03/18/2018","U","586"
40870,"Francisco","02/04/2018","U","491"
40870,"Francisco","01/09/2018","W","1,675"
40870,"Francisco","01/02/2018","W","1,174"
40870,"Francisco","02/07/2018","W","1,655"
40870,"Francisco","01/03/2018","W","1,383"
40870,"Francisco","03/24/2018","A","883"
40870,"Francisco","02/15/2018","W","1,667"
40870,"Francisco","01/12/2018","W","1,578"
40870,"Francisco","01/08/2018","W","1,553"
40870,"Francisco","01/30/2018","W","1,662"
40870,"Francisco","02/03/2018","A","751"
40870,"Francisco","01/13/2018","A","719"
