ï..station_id	stationname	date	daytype	rides
41170	Garfield-Dan Ryan	12/22/2017	W	3,040
41170	Garfield-Dan Ryan	12/05/2017	W	3,217
41170	Garfield-Dan Ryan	12/27/2017	W	2,016
41170	Garfield-Dan Ryan	12/02/2017	A	2,624
41170	Garfield-Dan Ryan	12/19/2017	W	2,958
41170	Garfield-Dan Ryan	12/31/2017	U	1,415
41170	Garfield-Dan Ryan	12/28/2017	W	2,114
41170	Garfield-Dan Ryan	12/17/2017	U	1,580
41170	Garfield-Dan Ryan	12/14/2017	W	3,043
41170	Garfield-Dan Ryan	12/15/2017	W	3,205
41170	Garfield-Dan Ryan	12/24/2017	U	1,461
41170	Garfield-Dan Ryan	12/10/2017	U	1,537
41170	Garfield-Dan Ryan	12/26/2017	W	1,784
41170	Garfield-Dan Ryan	12/20/2017	W	3,076
41170	Garfield-Dan Ryan	12/03/2017	U	1,866
41170	Garfield-Dan Ryan	12/08/2017	W	3,502
41170	Garfield-Dan Ryan	12/06/2017	W	3,231
41170	Garfield-Dan Ryan	12/04/2017	W	3,226
41170	Garfield-Dan Ryan	12/16/2017	A	2,265
41170	Garfield-Dan Ryan	12/25/2017	U	831
41170	Garfield-Dan Ryan	12/18/2017	W	2,945
41170	Garfield-Dan Ryan	12/23/2017	A	2,075
41170	Garfield-Dan Ryan	12/13/2017	W	3,094
41170	Garfield-Dan Ryan	12/01/2017	W	3,642
41170	Garfield-Dan Ryan	12/21/2017	W	3,012
41170	Garfield-Dan Ryan	12/07/2017	W	3,204
41170	Garfield-Dan Ryan	12/09/2017	A	2,213
41170	Garfield-Dan Ryan	12/12/2017	W	3,022
41170	Garfield-Dan Ryan	12/11/2017	W	3,011
41170	Garfield-Dan Ryan	12/30/2017	A	1,637
41170	Garfield-Dan Ryan	12/29/2017	W	2,494
41170	Garfield-Dan Ryan	01/31/2018	W	3,067
41170	Garfield-Dan Ryan	03/17/2018	A	2,310
41170	Garfield-Dan Ryan	02/25/2018	U	1,690
41170	Garfield-Dan Ryan	03/12/2018	W	2,861
41170	Garfield-Dan Ryan	03/03/2018	A	2,576
41170	Garfield-Dan Ryan	02/27/2018	W	3,164
41170	Garfield-Dan Ryan	01/07/2018	U	1,427
41170	Garfield-Dan Ryan	02/09/2018	W	2,174
41170	Garfield-Dan Ryan	03/25/2018	U	1,613
41170	Garfield-Dan Ryan	01/08/2018	W	2,763
41170	Garfield-Dan Ryan	01/09/2018	W	2,939
41170	Garfield-Dan Ryan	01/26/2018	W	3,461
41170	Garfield-Dan Ryan	01/14/2018	U	1,515
41170	Garfield-Dan Ryan	02/04/2018	U	1,386
41170	Garfield-Dan Ryan	02/23/2018	W	3,337
41170	Garfield-Dan Ryan	01/29/2018	W	2,831
41170	Garfield-Dan Ryan	02/13/2018	W	2,980
41170	Garfield-Dan Ryan	02/08/2018	W	2,987
41170	Garfield-Dan Ryan	03/06/2018	W	2,886
41170	Garfield-Dan Ryan	02/24/2018	A	2,552
41170	Garfield-Dan Ryan	03/22/2018	W	2,984
41170	Garfield-Dan Ryan	01/03/2018	W	2,376
41170	Garfield-Dan Ryan	03/10/2018	A	2,360
41170	Garfield-Dan Ryan	01/01/2018	U	976
41170	Garfield-Dan Ryan	03/13/2018	W	2,986
41170	Garfield-Dan Ryan	01/18/2018	W	3,042
41170	Garfield-Dan Ryan	01/11/2018	W	3,126
41170	Garfield-Dan Ryan	03/29/2018	W	2,794
41170	Garfield-Dan Ryan	02/17/2018	A	2,414
41170	Garfield-Dan Ryan	03/24/2018	A	1,920
41170	Garfield-Dan Ryan	03/28/2018	W	2,798
41170	Garfield-Dan Ryan	01/12/2018	W	3,013
41170	Garfield-Dan Ryan	01/02/2018	W	2,000
41170	Garfield-Dan Ryan	02/07/2018	W	2,918
41170	Garfield-Dan Ryan	02/03/2018	A	2,237
41170	Garfield-Dan Ryan	01/30/2018	W	2,934
41170	Garfield-Dan Ryan	02/14/2018	W	3,265
41170	Garfield-Dan Ryan	02/21/2018	W	3,109
41170	Garfield-Dan Ryan	02/16/2018	W	3,452
41170	Garfield-Dan Ryan	02/01/2018	W	3,022
41170	Garfield-Dan Ryan	01/06/2018	A	1,995
41170	Garfield-Dan Ryan	02/26/2018	W	3,015
41170	Garfield-Dan Ryan	03/08/2018	W	3,170
41170	Garfield-Dan Ryan	02/28/2018	W	3,115
41170	Garfield-Dan Ryan	02/11/2018	U	1,408
41170	Garfield-Dan Ryan	01/15/2018	W	2,051
41170	Garfield-Dan Ryan	03/01/2018	W	3,019
41170	Garfield-Dan Ryan	03/14/2018	W	3,182
41170	Garfield-Dan Ryan	03/23/2018	W	2,968
41170	Garfield-Dan Ryan	03/30/2018	W	3,108
41170	Garfield-Dan Ryan	03/05/2018	W	2,842
41170	Garfield-Dan Ryan	03/26/2018	W	2,674
41170	Garfield-Dan Ryan	02/06/2018	W	2,814
41170	Garfield-Dan Ryan	02/20/2018	W	3,028
41170	Garfield-Dan Ryan	02/19/2018	W	2,236
41170	Garfield-Dan Ryan	01/20/2018	A	2,302
41170	Garfield-Dan Ryan	02/22/2018	W	3,062
41170	Garfield-Dan Ryan	03/18/2018	U	1,680
41170	Garfield-Dan Ryan	01/27/2018	A	2,298
41170	Garfield-Dan Ryan	03/09/2018	W	3,216
41170	Garfield-Dan Ryan	02/02/2018	W	2,920
41170	Garfield-Dan Ryan	01/23/2018	W	2,924
41170	Garfield-Dan Ryan	03/02/2018	W	3,327
41170	Garfield-Dan Ryan	01/22/2018	W	3,038
41170	Garfield-Dan Ryan	01/05/2018	W	2,649
41170	Garfield-Dan Ryan	01/25/2018	W	3,032
41170	Garfield-Dan Ryan	03/11/2018	U	1,540
41170	Garfield-Dan Ryan	01/04/2018	W	2,402
41170	Garfield-Dan Ryan	03/19/2018	W	2,938
41170	Garfield-Dan Ryan	03/07/2018	W	3,031
41170	Garfield-Dan Ryan	03/15/2018	W	3,237
41170	Garfield-Dan Ryan	01/13/2018	A	2,177
41170	Garfield-Dan Ryan	01/17/2018	W	2,951
41170	Garfield-Dan Ryan	03/31/2018	A	2,300
41170	Garfield-Dan Ryan	03/21/2018	W	2,942
41170	Garfield-Dan Ryan	01/19/2018	W	3,151
41170	Garfield-Dan Ryan	03/20/2018	W	2,853
41170	Garfield-Dan Ryan	01/10/2018	W	3,031
41170	Garfield-Dan Ryan	01/16/2018	W	2,797
41170	Garfield-Dan Ryan	01/28/2018	U	1,604
41170	Garfield-Dan Ryan	03/16/2018	W	3,208
41170	Garfield-Dan Ryan	01/21/2018	U	1,562
41170	Garfield-Dan Ryan	02/10/2018	A	2,104
41170	Garfield-Dan Ryan	02/12/2018	W	2,784
41170	Garfield-Dan Ryan	02/15/2018	W	3,145
41170	Garfield-Dan Ryan	01/24/2018	W	3,006
41170	Garfield-Dan Ryan	03/27/2018	W	2,641
41170	Garfield-Dan Ryan	02/05/2018	W	2,633
41170	Garfield-Dan Ryan	03/04/2018	U	1,765
41170	Garfield-Dan Ryan	02/18/2018	U	1,651
41170	Garfield-Dan Ryan	04/19/2018	W	3,241
41170	Garfield-Dan Ryan	06/30/2018	A	2,720
41170	Garfield-Dan Ryan	05/26/2018	A	2,698
41170	Garfield-Dan Ryan	05/17/2018	W	3,373
41170	Garfield-Dan Ryan	06/12/2018	W	3,142
41170	Garfield-Dan Ryan	04/04/2018	W	2,954
41170	Garfield-Dan Ryan	06/04/2018	W	3,098
41170	Garfield-Dan Ryan	04/01/2018	U	1,505
41170	Garfield-Dan Ryan	06/13/2018	W	3,297
41170	Garfield-Dan Ryan	05/22/2018	W	3,357
41170	Garfield-Dan Ryan	04/15/2018	U	1,447
41170	Garfield-Dan Ryan	05/23/2018	W	3,450
41170	Garfield-Dan Ryan	06/20/2018	W	3,275
41170	Garfield-Dan Ryan	05/24/2018	W	3,457
41170	Garfield-Dan Ryan	06/10/2018	U	1,740
41170	Garfield-Dan Ryan	06/26/2018	W	3,089
41170	Garfield-Dan Ryan	06/02/2018	A	2,589
41170	Garfield-Dan Ryan	05/10/2018	W	3,289
41170	Garfield-Dan Ryan	04/08/2018	U	1,595
41170	Garfield-Dan Ryan	05/07/2018	W	3,129
41170	Garfield-Dan Ryan	06/22/2018	W	2,893
41170	Garfield-Dan Ryan	04/12/2018	W	3,279
41170	Garfield-Dan Ryan	05/09/2018	W	3,211
41170	Garfield-Dan Ryan	05/28/2018	U	1,841
41170	Garfield-Dan Ryan	06/17/2018	U	1,792
41170	Garfield-Dan Ryan	06/11/2018	W	2,819
41170	Garfield-Dan Ryan	06/15/2018	W	3,303
41170	Garfield-Dan Ryan	05/11/2018	W	3,340
41170	Garfield-Dan Ryan	04/26/2018	W	3,288
41170	Garfield-Dan Ryan	06/21/2018	W	2,776
41170	Garfield-Dan Ryan	06/09/2018	A	2,369
41170	Garfield-Dan Ryan	05/29/2018	W	3,080
41170	Garfield-Dan Ryan	06/23/2018	A	2,446
41170	Garfield-Dan Ryan	05/14/2018	W	2,936
41170	Garfield-Dan Ryan	05/19/2018	A	2,451
41170	Garfield-Dan Ryan	04/25/2018	W	3,099
41170	Garfield-Dan Ryan	06/25/2018	W	3,036
41170	Garfield-Dan Ryan	06/27/2018	W	3,112
41170	Garfield-Dan Ryan	04/24/2018	W	3,081
41170	Garfield-Dan Ryan	06/07/2018	W	3,481
41170	Garfield-Dan Ryan	05/30/2018	W	3,180
41170	Garfield-Dan Ryan	04/05/2018	W	3,077
41170	Garfield-Dan Ryan	06/06/2018	W	3,324
41170	Garfield-Dan Ryan	05/05/2018	A	2,705
41170	Garfield-Dan Ryan	04/07/2018	A	2,381
41170	Garfield-Dan Ryan	04/21/2018	A	2,406
41170	Garfield-Dan Ryan	04/10/2018	W	2,884
41170	Garfield-Dan Ryan	06/16/2018	A	2,330
41170	Garfield-Dan Ryan	04/29/2018	U	1,760
41170	Garfield-Dan Ryan	05/04/2018	W	3,537
41170	Garfield-Dan Ryan	05/16/2018	W	3,349
41170	Garfield-Dan Ryan	05/02/2018	W	3,207
41170	Garfield-Dan Ryan	06/14/2018	W	3,193
41170	Garfield-Dan Ryan	05/13/2018	U	1,693
41170	Garfield-Dan Ryan	05/31/2018	W	3,501
41170	Garfield-Dan Ryan	04/17/2018	W	3,051
41170	Garfield-Dan Ryan	05/01/2018	W	3,308
41170	Garfield-Dan Ryan	04/13/2018	W	3,270
41170	Garfield-Dan Ryan	06/05/2018	W	3,227
41170	Garfield-Dan Ryan	05/20/2018	U	1,759
41170	Garfield-Dan Ryan	05/18/2018	W	3,459
41170	Garfield-Dan Ryan	04/18/2018	W	2,932
41170	Garfield-Dan Ryan	05/15/2018	W	3,104
41170	Garfield-Dan Ryan	04/28/2018	A	2,469
41170	Garfield-Dan Ryan	04/20/2018	W	3,460
41170	Garfield-Dan Ryan	05/03/2018	W	3,246
41170	Garfield-Dan Ryan	04/03/2018	W	2,950
41170	Garfield-Dan Ryan	04/22/2018	U	1,692
41170	Garfield-Dan Ryan	05/12/2018	A	2,474
41170	Garfield-Dan Ryan	04/09/2018	W	2,757
41170	Garfield-Dan Ryan	06/29/2018	W	3,490
41170	Garfield-Dan Ryan	06/18/2018	W	2,923
41170	Garfield-Dan Ryan	04/06/2018	W	3,194
41170	Garfield-Dan Ryan	06/01/2018	W	3,617
41170	Garfield-Dan Ryan	06/24/2018	U	2,756
41170	Garfield-Dan Ryan	04/11/2018	W	3,194
41170	Garfield-Dan Ryan	05/21/2018	W	2,994
41170	Garfield-Dan Ryan	05/25/2018	W	3,599
41170	Garfield-Dan Ryan	04/02/2018	W	2,817
41170	Garfield-Dan Ryan	05/27/2018	U	2,096
41170	Garfield-Dan Ryan	04/14/2018	A	2,338
41170	Garfield-Dan Ryan	04/27/2018	W	3,496
41170	Garfield-Dan Ryan	06/08/2018	W	3,315
41170	Garfield-Dan Ryan	05/08/2018	W	3,318
41170	Garfield-Dan Ryan	04/30/2018	W	3,160
